Cycle,0.68992248062
Average Width,4.05446165122
Width,,3.51007428292,3.8573902607,4.28593162411,4.30948555268,4.06886810362,4.38950700231,4.63655697332,4.41105883683,4.11691749407,4.07092404521,3.77311444515,3.81565657604,4.27764110215,3.97805070152,3.87017938066,4.09576339071,4.54118847933,4.16349976692,4.15158353054,4.67657153978,4.61565311107,4.47822107896,3.79264410182,3.7984802961,3.59186187096,3.69418385924,3.7536719504,4.42085255938,4.0056679422,4.03732538525,4.47088318171,4.11945817955,4.3654482546,4.61476645492,4.09452725852,4.17949315126,3.93674607724,3.83112909984,3.98666467294,3.78780302062,4.18756534398,3.94462914677,3.70726153129,3.53396132655
Point0,H1,(10.8150669523 32),(13.0905548446 167),(13.9193236228 308),(13.8383354592 451),(13.6840833318 595),(14.3676089708 742),(14.1306458594 894),(14.2824108106 1042),(13.0833182647 1189),(13.8374290353 1333),(12.2677343071 1469),(13.0242846321 1605),(14.2939613513 1738),(12.5850396432 1878),(12.4654010535 2028),(12.2968271472 2184),(13.6335028951 2342),(12.397722981 2499),(12.37859916 2654),(12.6720910282 2805),(13.4059692577 2945),(12.0723287874 3077),(9.32715672999 3213),(9.87377007926 3347),(9.2890652783 3489),(9.80280912914 3630),(14.7256232731 3777),(14.5728661567 3918),(13.6605487464 4052),(15.4350976437 4192),(13.0556018102 4328),(14.0826348693 4473),(12.2024848629 4615),(14.4337301838 4754),(14.8843229066 4885),(15.2169618438 5016),(14.1283020681 5143),(11.8369172105 5273),(12.6318712031 5413),(12.6647074432 5550),(11.8080516393 5691),(12.345269421 5831),(11.3256159247 5971),(12.9072664034 6101),
Point0,H2,(6.05404121225 63),(4.79608261356 207),,(5.47681805726 481),(4.82553623372 632),(6.64029727928 779),(7.60477277943 928),(5.16962823844 1088),,,,,(6.89351090009 1771),(5.35109911738 1915),,(7.48170533091 2219),(5.70147157375 2374),(4.92852192307 2531),,,(5.67942080429 2973),,,,(4.26832524327 3529),,(7.33355270948 3809),,(5.72645024559 4093),(6.56406282379 4225),(5.53951554843 4367),,(3.36579792872 4647),,,,,(6.15341096898 5315),(5.47818938916 5442),(6.08935014748 5580),(6.14475170215 5722),,,
Point0,H3,(6.68299754813 77),(5.44045025006 220),,(6.48828327415 498),(5.64836606883 649),(7.40597363348 794),(7.87012460839 940),(5.21631502127 1094),,,,,(7.52538185937 1784),(5.70513537374 1927),,(7.70461956557 2230),(6.35816550358 2389),(5.54438977436 2548),,,(6.60355442769 2989),,,,(4.69354541147 3545),,(7.34741870552 3814),,(6.40816788877 4107),(7.10150437323 4239),(5.89198619801 4380),,(4.30728681637 4662),,,,,(6.15393076842 5317),(6.04743039681 5457),(6.70162929709 5593),(6.82297639648 5737),,,
Point0,H4,,(0.238594821017 261),(5.39656148791 347),,(0.242673336563 694),(1.93913364897 830),,(0.725505951353 1136),(5.61725344689 1220),(6.00820218977 1369),(4.75519148603 1501),,,(1.88823899249 1968),,,,(1.36127928242 2594),(3.70119968177 2688),(4.95671312455 2837),,(2.48457897017 3116),(2.79421620818 3248),(4.7857247334 3383),(0.673453367491 3574),(3.77670111298 3664),,(5.89708281297 3950),(2.28803674371 4135),(1.79982589913 4275),(1.07480556679 4419),(6.4493335914 4503),(-0.0459994508828 4710),(3.75394286738 4783),(5.32250430652 4914),(6.33938826087 5057),,,,,(1.80878860728 5777),(6.40142992141 5864),,
Point0,H5,,(0.302351707503 268),(5.70042183692 359),,(0.331359956664 701),(2.6694189917 843),,(0.959124105141 1147),(6.68233054322 1238),(6.70727910052 1385),(5.72315142438 1517),,,(1.96672471732 1976),,,,(1.55512525474 2603),(4.66444601858 2706),(6.67136866835 2858),,(4.15027180739 3136),(3.26546751789 3264),(4.93809888338 3399),(0.80538142148 3581),(4.13351493219 3687),,(7.54972490718 3968),(2.29060612112 4137),(1.95870041113 4283),(1.23963730464 4428),(8.37484243255 4522),(0.0657823776923 4718),(5.50546940201 4804),(7.70504888482 4936),(6.7228480984 5069),,,,,(2.04462424186 5787),(6.99288844392 5879),,
Point0,H6,(-8.881784197e-15 137),(-3.46389583683e-14 278),(8.881784197e-15 418),(2.6645352591e-15 558),(-0.00164689788063 710),(-7.1054273576e-15 861),(-0.00162183926413 1008),(1.06581410364e-14 1161),(8.881784197e-16 1304),(3.5527136788e-15 1437),(-0.0102618752225 1572),(1.15463194561e-14 1707),(5.3290705182e-15 1848),(8.881784197e-16 1995),(-3.5527136788e-15 2155),(3.5527136788e-15 2313),(-8.881784197e-15 2466),(-2.6645352591e-15 2620),(-0.0129837989394 2773),(-8.881784197e-16 2911),(-0.00673643297748 3049),(-1.33226762955e-15 3179),(-7.9936057773e-15 3304),(-3.5527136788e-15 3454),(0.0 3596),(-0.0114644562905 3741),(-7.1054273576e-15 3885),(5.3290705182e-15 4023),(-1.06581410364e-14 4157),(-0.00323742226933 4300),(-6.2172489379e-15 4442),(8.881784197e-16 4585),(-0.0459994508828 4710),(1.15463194561e-14 4851),(7.9936057773e-15 4986),(3.5527136788e-15 5115),(2.6645352591e-15 5245),(0.0 5380),(8.881784197e-16 5517),(7.9936057773e-15 5660),(-2.6645352591e-15 5803),(3.5527136788e-15 5937),(4.4408920985e-15 6075),
Point1,H1,(11.6847590709 31),(13.720165962 167),(13.6266580502 309),(13.8605343981 452),(13.9885835088 596),(14.6296006918 743),(14.2548757631 893),(14.7965290946 1043),(13.7373910756 1189),(14.6505325334 1333),(13.5393200288 1470),(14.537455056 1605),(13.3655622654 1739),(13.4446193585 1879),(13.7639810134 2029),(13.6365544406 2185),(14.165347639 2342),(13.2920707819 2500),(13.1231680886 2655),(12.3998100801 2806),(13.6992006899 2946),(14.1607444037 3079),(12.5404872176 3215),(12.481423293 3348),(12.9831844258 3488),(10.1705748936 3628),(15.2400252111 3777),(13.6309845928 3919),(13.002732824 4053),(14.5613903649 4191),(12.7702791812 4328),(14.1871302246 4474),(11.7183619456 4616),(14.5939515798 4755),(15.62489916 4885),(15.8459216885 5015),(15.3482141226 5143),(13.2545493731 5274),(13.653305909 5412),(13.9962442123 5551),(12.5793185672 5691),(13.4692996761 5831),(12.7461528742 5970),(14.2861066756 6102),
Point1,H2,(5.67254998451 62),(4.46783967366 208),,(5.15252866412 481),(4.35254965925 629),(6.32314914933 778),,(4.90610548233 1083),,,,,(5.55921217962 1771),(5.24215666515 1913),(6.19247523058 2059),(8.06689498522 2221),(5.62044838805 2376),(4.77225717442 2529),,,(5.73637195269 2973),,,,,(3.87481279004 3661),(6.87513474369 3808),,(5.26075996811 4090),(5.69782377524 4225),(4.78855362667 4365),(5.62789760302 4504),(3.15649560622 4646),(3.34915468159 4783),,,,(5.83743401751 5310),(5.57948518053 5441),(5.76345363943 5581),(5.67300234417 5722),(5.7940543597 5862),(4.37872529665 5998),,
Point1,H3,(6.8583751917 78),(5.1890270608 221),,(5.95397977015 499),(5.37266684568 647),(6.82227065129 791),,(5.28840965003 1096),,,,,(6.53364298879 1786),(6.15757462417 1929),(7.31510013045 2077),(8.14017044495 2228),(6.20490523663 2390),(6.52304219365 2551),,,(7.48307216344 2993),,,,,(4.60769830719 3679),(6.87981376124 3810),,(6.02666606304 4107),(5.87838907628 4235),(5.64676260771 4381),(7.60806543047 4522),(4.79063636333 4664),(5.71207848959 4803),,,,(6.30615680931 5322),(6.03461790599 5456),(6.59138615219 5595),(6.49770783873 5737),(6.91603485608 5879),(5.61176654441 6019),,
Point1,H4,,(0.318759522124 261),(4.38362032953 344),,(0.212714045169 693),(2.06902692724 833),(6.80883298708 929),(0.900699507872 1140),(5.62521184751 1226),(5.66846068626 1370),(4.25668324575 1501),(1.66926242039 1686),,(1.73041120709 1970),(1.53632487628 2131),,(1.58022924566 2435),(1.59882117165 2591),(4.04752408216 2688),(4.03944580637 2836),,(3.91123171241 3116),(4.54929159026 3249),(5.8430659931 3391),,(2.80977353808 3711),(2.80157908368 3861),(4.94718687832 3951),(2.67339483681 4133),(1.03780039628 4274),(0.681320093398 4419),(2.6068377042 4562),(-1.7763568394e-14 4712),,(4.93363860437 4914),(6.49629046831 5056),(7.17020060245 5185),,(2.67783377394 5488),(2.38819088337 5632),(1.71316460494 5778),,(1.94769079904 6053),,
Point1,H5,,(0.374702548927 268),(5.42379121747 362),,(0.371944063207 702),(2.57252578287 844),(7.16334717304 942),(0.940221026856 1147),(6.26732910128 1241),(6.7465108012 1388),(6.14913741653 1520),(1.71937051262 1691),,(1.89453239915 1979),(1.67745886065 2139),,(1.59970444259 2440),(1.82421662896 2601),(5.34894866143 2707),(5.90637111213 2857),,(5.13967303063 3133),(5.62223714922 3266),(6.15183523774 3404),,(2.87827131279 3718),(2.80549281634 3863),(6.51011857379 3970),(2.69712486694 4138),(1.81770352338 4286),(1.15532963947 4430),(2.61021706454 4565),(0.0755988553769 4719),,(7.10204458696 4937),(6.98125607708 5069),(7.2594331824 5193),,(2.77719767543 5495),(2.46260919993 5639),(1.9869289802 5788),,(1.97082139913 6057),,
Point1,H6,(-0.00326920121939 1),(8.881784197e-16 139),(6.2172489379e-15 279),(7.9936057773e-15 419),(1.50990331349e-14 561),(-0.00217946965066 711),(2.6645352591e-15 862),(7.9936057773e-15 1007),(-9.32587340685e-15 1161),(-7.9936057773e-15 1304),(-2.6645352591e-15 1438),(0.0 1572),(-8.881784197e-16 1708),(-1.06581410364e-14 1848),(-9.7699626167e-15 1996),(-1.7763568394e-15 2155),(-7.1054273576e-15 2312),(-9.7699626167e-15 2467),(-7.1054273576e-15 2621),(-1.15463194561e-14 2775),(-0.000404196511873 2912),(-4.4408920985e-15 3050),(-7.9936057773e-15 3182),(-1.7763568394e-15 3310),(-0.00349441185053 3455),(3.5527136788e-15 3597),(-0.0077107597841 3742),(-2.6645352591e-15 3886),(4.4408920985e-15 4023),(1.7763568394e-15 4158),(1.06581410364e-14 4301),(-9.7699626167e-15 4443),(-1.95399252334e-14 4588),(-1.7763568394e-14 4712),(-1.42108547152e-14 4853),(-0.0024173115439 4987),(-2.6645352591e-15 5116),(4.4408920985e-15 5246),(5.3290705182e-15 5381),(-7.1054273576e-15 5518),(-1.7763568394e-15 5660),(-8.881784197e-16 5804),(-8.881784197e-15 5937),(-6.2172489379e-15 6075),
