Cycle,0.79381567029
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8144614706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(11.8735136879 27),(13.7741922062 201),(17.5473697338 379),(15.7401433326 550),(18.0739310314 714),(15.4484488539 891),(15.7733705395 1076),(15.3782046353 1232),(17.6098005818 1403),(18.6973727818 1588),(21.0364800034 1752),(17.8206607061 1928),(22.4902815159 2103),(22.4653086763 2281),(20.4354484219 2455),(18.6894544431 2630),(15.8619714053 2790),(15.5552485336 2931),(18.6402701516 3095),(17.2757056789 3259),(17.1896898821 3433),(15.5987518717 3595),(16.1784528602 3763),(16.0101528177 3929),
Point0,H2,(10.5214712613 40),(11.3701492269 222),,(8.92840183108 578),(10.1515115906 759),(12.8844438242 914),,(8.62320680111 1270),(4.92059336308 1500),(14.2398509003 1623),,,,,,,(8.93091520259 2819),,,,(10.1965767086 3482),,,
Point0,H3,(11.6208715113 56),(11.9455619971 240),,(9.02544020954 586),(10.2869305295 767),(12.8874668636 917),,(8.98764057635 1281),(4.92571166496 1503),(14.2788543443 1629),,,,,,,(9.61326884105 2834),,,,(10.2034611233 3486),,,
Point0,H4,,,(3.52688091197 477),(1.78364773186 661),,(3.1087650419 1013),(3.36077679561 1173),(0.345531202973 1353),(2.79019336865 1527),(5.15714805232 1685),(1.45005221399 1860),(5.18671096432 2011),(4.93344417078 2180),,(3.1059246629 2561),,,(3.43997008531 3028),,,(4.11513873423 3540),(4.16110717339 3699),,
Point0,H5,,,(4.05086746244 491),(1.90721210351 670),,(3.24643813246 1021),(3.68278421441 1183),(0.491022295461 1361),(2.8889575331 1533),(5.19510298876 1689),(1.75298209976 1871),(5.19772835505 2016),(6.39426823394 2201),,(3.90454461714 2574),,,(3.84012031094 3038),,,(4.31654540612 3549),(4.27413130107 3706),,
Point0,H6,(2.6645352591e-15 165),(8.881784197e-15 349),(1.7763568394e-15 516),(1.06581410364e-14 686),(-6.2172489379e-15 858),(7.1054273576e-15 1041),(-1.86517468137e-14 1201),(-3.5527136788e-15 1371),(5.3290705182e-15 1552),(-1.06581410364e-14 1716),(-1.7763568394e-15 1889),(7.9936057773e-15 2066),(-1.7763568394e-15 2243),(-1.59872115546e-14 2420),(-1.24344978758e-14 2594),(-1.15463194561e-14 2754),(-5.3290705182e-15 2897),(0.0 3059),(5.3290705182e-15 3226),(-3.5527136788e-15 3398),(-1.42108547152e-14 3569),(-5.3290705182e-15 3729),(-7.1054273576e-15 3896),
Point1,H1,(8.87819769485 49),(9.72391768354 202),(11.9872326595 379),(9.65548171053 550),(11.8606830576 713),(10.8867287675 895),(11.6292121166 1077),(10.6536117107 1234),(11.7044774004 1406),(12.1843298603 1595),(14.6000317203 1752),(10.2908757583 1931),(13.2885368377 2102),(14.2829591818 2284),(12.1145649891 2456),(11.8883516895 2632),(9.62812901804 2790),(8.63552048413 2932),(10.4772112075 3097),(9.8078841039 3265),(9.79775271668 3435),(8.55452665142 3643),(9.63279340372 3772),(9.13343732107 3932),
Point1,H2,(7.89274748233 69),(8.18923447853 222),,(1.48143678912 635),(7.23573278442 756),,(8.13036082447 1112),,,,,,,,,(7.85412759229 2662),(5.91148187174 2823),(5.88792941876 2960),,,(6.13371997001 3476),,(7.94046229292 3798),,
Point1,H3,(7.93286419215 76),(8.91972059899 243),,(1.5189603435 642),(7.63427245759 768),,(8.13095018327 1114),,,,,,,,,(8.09232184415 2674),(6.00670852642 2837),(5.95109818466 2969),,,(6.57234343535 3488),,(7.97814798686 3804),,
Point1,H4,,(1.1782461874 325),(2.89941271575 472),(1.02674907792 658),,,(2.7437388443 1172),,(3.46696639365 1497),(3.90531018045 1678),,(3.72637067435 2012),(2.64961782008 2176),,(2.24279873395 2560),,,(2.26936832234 3029),,,,(3.18142731818 3689),,,
Point1,H5,,(1.34582701545 334),(3.28597778837 485),(1.27356611727 669),,,(2.90569602687 1180),,(3.52184796978 1503),(4.1049999734 1688),,(4.00811257107 2029),(4.00223967698 2209),,(2.37945390608 2570),,,(2.26998162076 3031),,,,(3.5673602687 3702),,,
Point1,H6,(-0.0207490011724 1),(5.3290705182e-15 167),(-0.00963463376862 349),(-1.33226762955e-15 517),(4.4408920985e-15 684),(-8.881784197e-16 858),(-1.15463194561e-14 1039),(-6.2172489379e-15 1200),(3.5527136788e-15 1372),(-4.4408920985e-15 1550),(-4.4408920985e-15 1715),(-0.00468835573392 1887),(-0.000680746238884 2064),(2.64961782008 2176),(-0.00568292402936 2242),(-0.00444653219721 2422),(-3.5527136788e-15 2594),(-0.00253796340205 2755),(-1.28785870857e-14 2893),(-0.0062515702186 3058),(0.0 3227),(8.881784197e-16 3401),(1.7763568394e-15 3567),(3.5527136788e-15 3728),(-0.004688473904 3900),
Point2,H1,(9.23943307329 29),(10.7897769845 200),(12.240577611 379),(10.1105317461 550),(12.362991803 714),(12.6547264943 892),(11.9435887698 1076),(10.0590580856 1233),(12.5711715646 1403),(11.3671852977 1592),(13.6439099988 1752),(9.57549174044 1929),(12.6646750956 2102),(3.84640934754 2209),(14.7315402063 2282),(12.7615099509 2456),(12.1094425566 2632),(10.4006066306 2790),(9.54834264446 2932),(11.8979606349 3095),(12.2956503888 3259),(11.4424095336 3433),(10.1372561319 3647),(12.2071652012 3764),(11.6748432512 3930),
Point2,H2,(5.78972450327 69),,(6.34832154599 423),(1.28685776136 635),,(7.56269600922 933),(6.59846607544 1108),,(8.21192882531 1443),(8.20054657857 1619),,(4.79145448076 1973),,,,,(6.42843082036 2663),(5.01506317766 2819),(4.67596734136 2961),,,,,,
Point2,H3,(6.43432089619 82),,(6.49588211705 432),(1.31441349229 641),,(7.75810483118 943),(6.89813613356 1121),,(8.30781215687 1451),(8.80090441135 1633),,(4.97544341363 1983),,,,,(6.83245179818 2676),(5.68987064506 2837),(4.69880580297 2967),,,,,,
Point2,H4,(3.84810880076 106),,(2.53870491521 476),(0.813805518446 658),(1.05621723024 838),,(1.61675514615 1174),,(4.16376123115 1496),,,(3.34331835222 2007),(2.25036290268 2149),,,(1.88848559737 2563),,,(1.49238039567 3023),,(1.33813672787 3382),,(3.83481378764 3700),,
Point2,H5,(3.88250926991 112),,(2.85313803403 489),(1.31389626925 671),(1.19102875272 846),,(1.81283958236 1183),,(4.1901740215 1502),,,(3.60018112155 2021),(2.48557907466 2160),,,(2.12451138419 2574),,,(1.66210008097 3034),,(1.36561398061 3388),,(3.8998745361 3706),,
