Cycle,0.796178661616
Average Width,0.0
Width,,6.04358035783,6.97238932532,6.18289081353,5.96923247181,6.6106671614,6.64082793912,5.97739163305,5.05784144255,4.40694332479,6.28986543926,6.31883295355,5.240040988,22.1065918326,6.65195548138,18.7170638392,0.0,9.27373481924,10.2573504566,7.84982097727,0.0,0.0,6.39850679778,0.0,0.0,6.4446603708,0.0,0.0,0.0,43.3184647993,16.5096723062,0.0,15.9419992006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
Point0,H1,(10.8855989415 32),(8.92542556471 190),(9.52143748289 347),(8.2677411264 512),(9.56114032886 671),(8.85808278059 836),(10.2924082078 1005),(7.68738499381 1183),(8.33459541276 1351),(8.21363050864 1500),(9.88608622754 1661),(10.193982183 1812),(6.21524171072 1986),(8.79828061628 2168),(8.32092186967 2356),(7.17267708221 2551),(7.22259782973 2716),(8.5923568685 2884),(9.69922367811 3057),(7.72959502888 3231),(6.32240389117 3378),(10.0213013666 3560),(3.95936337581 3774),(5.9951292214 3907),(9.57598852969 4072),(8.10747850708 4245),(7.60002730108 4451),(5.22297431228 4580),(8.79704286128 4769),(10.2276300418 4945),(9.02648207444 5092),(11.558800619 5262),(9.22589159709 5424),(8.80974956852 5588),(9.802260683 5743),(7.01941588381 5894),(7.75005070174 6052),(6.32815785614 6230),(5.02489372941 6383),(6.51192985513 6532),(6.55174725344 6674),(6.25774048288 6811),(6.72864348634 6951),(6.57115728889 7090),(4.88118382361 7242),
Point0,H2,,,(6.23804231014 375),,(7.28260347345 691),,(4.02246835726 1058),,,,,,,,(5.35983976479 2393),,,,,(3.77926429582 3261),(0.904088202938 3457),(7.72295206663 3611),,(4.20388256315 3936),(7.00886713163 4104),,,,(6.08010238112 4798),,,(7.17699867567 5295),,,,,(7.3304529159 6063),,(3.16944679355 6410),,(3.71159278917 6702),,,,,
Point0,H3,,,(6.24573209028 378),,(7.54647753344 701),,(4.03196026632 1062),,,,,,,,(5.85042847784 2412),,,,,(4.89301162766 3277),(1.04127879804 3467),(8.02680386517 3630),,(4.28230762455 3944),(7.23011596248 4116),,,,(6.4041765642 4811),,,(7.27904238936 5304),,,,,(7.60588265405 6076),,(4.06440398045 6431),,(4.10718086796 6715),,,,,
Point0,H4,,,(2.00721057813 431),(1.97339665162 573),(1.2356749639 778),(4.24546280849 882),(2.7871411808 1086),,(0.960907259404 1433),(1.12870433424 1595),(1.22093811759 1742),(-7.54951656745e-15 1926),(4.44424281461 2028),(5.59980940581 2209),(2.76651761273 2471),,,(2.6808705864 2960),(7.21433526345 3099),,(0.435415302557 3485),(1.33226762955e-14 3693),(2.38790070611 3811),(2.7888582874 3966),(2.8911897544 4150),,,,,,(1.49870383466 5196),(2.90299967237 5356),,,(2.97859764057 5812),,,(1.12740479242 6319),,,,,,(2.2137134315 7170),,
Point0,H5,,,(2.11690996651 442),(2.27151922729 587),(1.84257585349 791),(4.27204393908 887),(2.83707683166 1093),,(1.2746423316 1446),(1.37711232419 1607),(1.43761997179 1755),(0.808209563003 1945),(4.67186193562 2044),(5.77821176681 2221),(3.5367266561 2487),,,(3.51215498743 2984),(7.34514304831 3109),,(0.579003162243 3495),(1.95271027729 3713),(2.69361480712 3827),(3.36563411331 3981),(2.97593696654 4159),,,,,,(1.55712641215 5204),(2.93809150681 5362),,,(3.07559805779 5821),,,(1.13345223847 6324),,,,,,(2.22664671804 7176),,
Point0,H6,(0.0 151),(-0.00156095819718 310),(1.7763568394e-15 484),(-0.00591835116952 634),(0.0 808),(-0.00648186421821 968),(-0.00981621483725 1139),(-4.4408920985e-15 1321),(-3.5527136788e-15 1464),(-1.33226762955e-14 1624),(-0.00828573828096 1778),(-7.54951656745e-15 1926),(-2.6645352591e-15 2133),(3.5527136788e-15 2320),(7.1054273576e-15 2512),(3.5527136788e-15 2682),(-1.7763568394e-15 2854),(-0.00040572004179 3021),(-4.4408920985e-15 3193),(3.10862446895e-15 3340),(-8.881784197e-16 3509),(1.33226762955e-14 3693),(5.3290705182e-15 3854),(-0.00507709267205 4023),(6.2172489379e-15 4201),(-2.22044604925e-15 4363),(-0.00061809511513 4541),(-7.54951656745e-15 4658),(-0.00341972685034 4727),(-1.7763568394e-15 4907),(-8.881784197e-16 5057),(-5.3290705182e-15 5224),(-5.3290705182e-15 5387),(-0.00909889089372 5545),(-6.2172489379e-15 5704),(4.4408920985e-15 5855),(3.5527136788e-15 6022),(-3.99680288865e-15 6192),(-1.33226762955e-15 6346),(8.881784197e-16 6495),(-5.3290705182e-15 6631),(-2.6645352591e-15 6776),(-0.00825912680587 6916),(-0.00334493966439 7050),(5.77315972805e-15 7206),
Point1,H1,(13.7889009374 31),(12.0262182691 189),(12.3597770356 346),(11.5099118994 510),(13.2118727809 670),(12.5331460464 833),(14.2977508614 1005),(11.6196431331 1181),(11.4935049744 1348),(11.3462756272 1498),(12.5015803846 1658),(15.3447170562 1811),(10.6222303293 1983),(11.8827716943 2163),(11.2742282454 2351),(8.44131865454 2547),(7.91453320384 2709),(10.3428645492 2884),(11.6719804003 3056),(8.46152617373 3230),(7.32341899565 3377),(11.5615827863 3542),(4.50019567416 3775),(5.8969229126 3890),(12.0912039718 4071),(8.82257486306 4242),(7.67975630836 4451),(6.05146419214 4576),(10.3377933102 4761),(11.1591316394 4944),(10.1010767344 5090),(11.3144159079 5263),(9.34922225052 5423),(9.33098978101 5588),(9.96804904692 5744),(8.40473287483 5894),(8.81982641982 6052),(8.08795705065 6230),(6.39581536143 6384),(8.13598919175 6529),(8.39320999149 6670),(7.35894046033 6809),(7.73301666004 6946),(8.46099368999 7087),(6.73804096031 7233),
Point1,H2,,(6.19852958497 214),,,(8.98491816172 693),(4.78793798008 879),(3.11762474271 1082),(6.64894168776 1205),,(2.38018200673 1572),,(1.6692526234 1902),,(5.93239371503 2208),,(6.83975217601 2570),(4.26414646095 2776),(5.01835360344 2926),(7.33818928362 3092),(3.91385409698 3262),,,(1.96151778384 3805),(5.47782060518 3905),(7.11251650189 4099),(2.48052964038 4329),,,(6.47812364942 4796),,(5.91662190832 5125),,,(5.08491907603 5629),,(6.40698251489 5934),(8.44296627809 6062),(5.6370845509 6259),(4.03489976232 6420),,(4.25980398339 6705),(3.91577565714 6843),,(5.37521014843 7130),,
Point1,H3,,(6.5046609187 226),,,(9.05555771767 698),(5.10378216416 889),(3.29195962062 1092),(7.4057823403 1221),,(2.3939400585 1576),,(1.70759964661 1910),,(6.1064188363 2218),,(7.01541705832 2583),(4.84222385369 2792),(5.07380851167 2932),(7.61700584407 3108),(4.55267213126 3278),,,(2.94030454582 3823),(5.59596079268 3915),(8.02842987395 4117),(2.58196586447 4338),,,(6.75926311525 4808),,(6.01827768423 5135),,,(5.14844570305 5636),,(6.87913674867 5948),(8.72873533847 6073),(5.69084690912 6266),(4.06181941881 6428),,(4.27484795736 6710),(3.9167814725 6845),,(5.72073471206 7142),,
Point1,H4,,(1.64651239155 284),(1.44659634032 430),,(1.22259134398 778),(1.2520948958 931),(0.964749216979 1122),(3.00542457674 1290),(0.95862837271 1433),(1.46558427048 1595),(1.27766493429 1751),(0.44915447907 1931),,(2.23369200582 2285),,,(1.6375101742 2825),(2.46268770693 2966),(1.74926058473 3165),,,,,(2.83170020275 3962),(3.53784172991 4149),(6.2172489379e-15 4363),,,(2.90131236174 4873),(3.0238927611 5022),,(2.06099673365 5349),(0.45970138239 5538),(2.29151701747 5667),(2.62453780126 5817),,,(1.90036832126 6315),(1.87923375937 6459),,(2.19518385243 6746),,,,,
