Cycle,0.719324324324
Average Width,4.52892709638
Width,,7.01229872661,6.06865068132,4.80650059285,4.94385575875,5.22471854359,4.80187312479,4.91727367754,5.54279737084,5.41783267862,4.91456965472,5.06527792269,4.97017996487,4.82376626578,4.19365309065,4.11320412636,4.24070038227,4.29495544493,4.30654892617,4.25322680124,4.39345842468,4.39979506945,4.12429519837,4.28590983452,4.54871787023,4.30793167806,4.30052079994,4.17551172224,4.4387812608,4.13389474623,4.42914661122,4.68090208306,4.71751866802,4.71556996388,4.34970981213,4.24362751586,4.36328179545,4.05383353168,4.15718460617
Point0,H1,(4.92898767285 34),(5.57111282041 170),(8.6450248384 331),(7.95781675789 495),(8.73464020969 656),(8.64378447689 811),(9.56455383515 958),(9.0250370986 1112),(8.32629559417 1264),(8.15397958087 1409),(10.3640932851 1551),(9.79808647542 1696),(11.1012561737 1846),(12.2608797046 1995),(11.3068054433 2138),(12.81799143 2284),(12.8525964956 2429),(11.0737836729 2586),(10.2897651748 2730),(12.8225830469 2876),(10.762276144 3027),(12.4111860129 3168),(13.8097726129 3310),(13.8635535543 3458),(11.9773730246 3608),(10.7480397102 3746),(9.94905745137 3885),(10.2447893828 4022),(11.292302711 4156),(10.402282367 4296),(11.9077076919 4430),(10.4906526979 4586),(11.5625523672 4744),(11.8632841525 4886),(16.1052503951 5036),(18.0827511023 5196),(16.0583329432 5352),(15.0625681306 5493),
Point0,H2,,(3.04129440306 207),,(4.12494659659 537),(4.50985835437 700),(4.3755133728 850),,,(4.2237703383 1302),,,(5.85586584937 1738),,,,(4.09779554651 2332),,,(4.69542425096 2761),(6.92633162801 2923),,,,(8.80686815898 3496),(4.14623544884 3650),,,,,(4.06082827812 4324),(5.55064519603 4472),(6.24735589404 4625),(5.70759591522 4778),(4.27793151061 4915),,,,
Point0,H3,,(3.08443004126 216),,(4.54321042073 552),(4.52575089732 705),(4.86836558565 864),,,(4.84744067004 1318),,,(5.90982939551 1745),,,,(4.13344823523 2337),,,(5.21420499499 2777),(7.1075965461 2932),,,,(8.8815804741 3503),(4.60446461207 3665),,,,,(4.3757758232 4339),(5.92625067112 4485),(6.26279566463 4630),(5.71344338862 4782),(5.60257733357 4936),,,,
Point0,H4,(2.867236074 72),(1.21229296566 264),,(1.15236257872 598),(0.383555472796 763),(0.953252355782 900),(5.52099294294 998),,(1.23690796114 1354),(3.96701617014 1442),(5.08451292245 1594),(1.82960670369 1787),,(5.68001632325 2034),,(1.06478838153 2375),(5.50351975915 2474),(1.53535759851 2665),(-0.023342827267 2830),(2.66832402372 2972),(2.51628263333 3114),(4.17804019661 3204),(1.94524565238 3401),,(1.04032923387 3692),(6.05868424349 3777),(4.99224402414 3929),(5.04338411126 4057),(4.3108820336 4199),,(1.32376453359 4521),,(0.673302710601 4823),(0.94734562029 4986),(8.3541411865 5079),(8.63587335348 5239),,
Point0,H5,(3.02740828156 83),(1.21768101315 268),,(1.73293616071 611),(0.411827990448 769),(1.04687682334 910),(5.90564444761 1012),,(1.28315070853 1361),(5.18802398301 1461),(5.13990290951 1601),(1.86637653374 1792),,(6.24021926513 2049),,(1.70498200821 2387),(5.78150470978 2484),(1.82029226264 2676),(0.0262483725185 2837),(2.68383909707 2976),(2.53641688177 3118),(5.110041346 3221),(2.17296003639 3410),,(1.20512192368 3700),(6.96002048667 3793),(5.16352576049 3938),(5.34839077095 4069),(5.22339788621 4214),,(1.78614269275 4532),,(1.63256605127 4837),(1.09104073907 4994),(9.1044896865 5093),(9.04636565494 5251),,
Point0,H6,(-3.99680288865e-15 130),(5.77315972805e-15 294),(-6.2172489379e-15 466),(-0.00667754325521 628),(-1.7763568394e-15 782),(-0.00410473207558 928),(-3.5527136788e-15 1077),(-5.77315972805e-15 1234),(-3.99680288865e-15 1379),(2.6645352591e-15 1522),(-1.50990331349e-14 1665),(-1.15463194561e-14 1812),(-0.00850968910916 1962),(-8.881784197e-15 2103),(0.0 2252),(-2.6645352591e-15 2402),(8.881784197e-16 2549),(1.24344978758e-14 2694),(-0.023342827267 2830),(3.5527136788e-15 2996),(6.2172489379e-15 3139),(-2.6645352591e-15 3280),(0.0 3427),(-9.7699626167e-15 3572),(-0.00311095130323 3715),(-8.881784197e-15 3857),(-1.42108547152e-14 3988),(-0.00530867205295 4128),(3.5527136788e-15 4262),(-7.9936057773e-15 4400),(-4.4408920985e-15 4549),(-1.15463194561e-14 4709),(3.99680288865e-15 4853),(1.7763568394e-15 5008),(2.6645352591e-15 5166),(7.9936057773e-15 5316),(1.06581410364e-14 5459),
Point1,H1,(21.4220093263 32),(22.1510276169 174),(26.9600715655 335),(25.8735463896 498),(23.9339489926 661),(24.61461127 815),(27.2671256431 962),(24.7823977698 1117),(25.0930499006 1266),(22.6821833889 1415),(26.9156501333 1555),(27.4743852854 1700),(27.7386428951 1848),(29.8510483666 1999),(27.7447281491 2142),(32.5214255662 2288),(31.1767401389 2434),(28.6862552168 2590),(26.5574488584 2733),(32.4700804172 2880),(29.1602024629 3030),(28.6461196914 3173),(32.9740724189 3314),(32.3259275008 3461),(29.5985521234 3611),(27.2499614561 3749),(28.9925197108 3889),(27.1604220743 4025),(28.9518726443 4161),(26.0641259619 4300),(29.4097134568 4434),(28.4161274607 4586),(28.5361629476 4749),(27.1726591202 4889),(35.7279371705 5041),(36.1725485623 5200),(32.6275775674 5356),(29.9514280501 5497),
Point1,H2,,,,(12.5729338908 542),,(11.0623373503 845),(13.0180608548 1005),,(11.1569589093 1308),(9.88126763996 1448),(12.5472880472 1596),,,,(12.3521226836 2172),,(13.7051151152 2480),,,(14.9755554104 2924),(12.8361590507 3069),(11.5779323261 3208),(14.4378688075 3358),,(13.4575591078 3646),,,(12.4853549982 4061),,,(12.5804581775 4476),(15.245198988 4626),,(9.89204164486 4919),,(15.5269958048 5244),,
Point1,H3,,,,(13.2562889385 553),,(12.1980079222 867),(13.4572581836 1015),,(12.198664385 1321),(11.8760592311 1464),(13.2580574296 1607),,,,(12.4319109596 2180),,(13.8433760956 2486),,,(15.5753298021 2935),(14.1401718457 3083),(12.9592943833 3222),(14.7193816796 3366),,(13.5409838534 3653),,,(12.6652566429 4069),,,(13.3083445607 4488),(15.2693353209 4632),,(12.1785685729 4939),,(16.0610959324 5254),,
Point1,H4,(9.39337034971 77),(3.05573256754 266),(3.51877696761 444),(3.98662763117 603),(12.0213352735 701),(3.2497969883 908),(3.97231094064 1054),(3.51970536754 1214),(3.84490325269 1358),(3.27343408813 1502),(4.33628036374 1646),(13.9972476856 1744),(13.6031500406 1886),(12.125134352 2044),(12.4315992762 2181),(3.67331797156 2383),(4.6969624748 2526),,(10.842424929 2761),(5.56963574938 2974),(5.38535678484 3119),(3.11598887798 3263),(4.75379521749 3405),(15.8904132603 3504),(3.95413950123 3694),(12.004497017 3784),(11.9973779653 3934),(2.70415077846 4114),(11.2014947551 4204),(9.10289233532 4329),(4.06322996729 4525),(5.24889492064 4684),(3.68922328605 4830),(1.90959786051 4990),(15.5922852851 5085),(5.70041007163 5293),,
