Cycle,0.72268707483
Average Width,2.80769933636
Width,,2.71677875157,2.66438884992,2.66975468509,2.7867080867,2.72723141979,2.78912190599,2.81294150912,2.73148301396,2.76048202248,2.69280756196,2.73164097739,2.79356724104,2.78255041666,2.77972289802,2.70047713607,2.73003345532,2.78308701959,2.76768952585,2.85161956489,2.82764597845,2.81252011091,2.83238149183,2.75835216269,2.78778781293,2.7894484253,2.81447019318,2.73370607054,2.74551352702,2.86202839366,2.8248069078,2.72102976667,2.90810879544,2.76816823453,2.79673675518,2.88367686051,2.8529223165,2.80733954149,2.87487166891,2.89736497152,2.87209829108,2.80409351811,2.96711599997,2.96539721941,2.86790782454,2.93095126161,2.84746534936,2.95106553677,2.86363225652,2.91753545419,2.92192180168
Point0,H1,(12.8624335068 30),(11.4111977529 160),(11.8104097618 301),(11.0492260416 447),(12.7934452422 604),(14.183847016 765),(15.3853310228 926),(14.0072081569 1083),(14.051957512 1244),(13.9606291577 1408),(13.2025157445 1566),(12.5975524301 1713),(13.6197648582 1856),(15.0679178053 2012),(14.9468605344 2160),(13.895766328 2317),(14.5672808614 2475),(13.6476217665 2618),(15.0375218367 2751),(15.7656625538 2897),(15.127151321 3051),(15.364323299 3203),(14.6496463055 3356),(17.530198307 3505),(16.7570584145 3664),(14.9309356291 3825),(15.1283290752 3981),(15.7036058069 4127),(16.245909967 4285),(17.1242248607 4445),(15.6973990607 4594),(14.5273007569 4740),(14.0846732174 4885),(16.2563401354 5026),(17.0255287203 5166),(17.5449753331 5313),(16.2732899041 5456),(15.0548618193 5600),(14.6097987626 5740),(16.1304667284 5875),(15.1415199969 6012),(16.5636176059 6142),(14.3963235639 6272),(16.7972701295 6400),(16.7242893128 6529),(15.4246587233 6656),(17.9364681499 6799),(17.7250019331 6947),(15.7731079424 7095),(18.203191869 7246),
Point0,H2,,,,,,,(6.28245324999 972),,,,,,(6.27360255613 1898),(9.32756783887 2037),,,(5.61791202671 2504),(4.95795481765 2647),,,(7.7579999065 3084),,(5.89921502729 3381),(7.7680118261 3547),(7.79003090847 3708),(7.1830744232 3868),(5.85314792399 4010),,,,(5.87830862213 4631),,(6.44783392382 4922),(7.19030516589 5070),,,(7.27352399173 5493),(7.85113796391 5641),(3.44642385104 5767),,(5.47469210428 6040),(6.7099521639 6167),,(6.39438643374 6440),(7.14849593702 6571),(4.41195499248 6697),,(7.85400837395 6990),,
Point0,H3,,,,,,,(6.32377904902 978),,,,,,(7.24932978485 1913),(9.7067836023 2049),,,(6.10818158003 2520),(5.6883993078 2661),,,(7.85721554201 3097),,(7.58808892756 3407),(8.91814350929 3562),(8.80363542413 3722),(7.53655706377 3880),(5.89762704052 4016),,,,(6.746760334 4645),,(7.59838510098 4938),(7.39341554283 5078),,,(8.80962626141 5510),(7.86530998397 5645),(6.05587609449 5792),,(5.92434576089 6052),(7.45649501005 6182),,(6.7192859619 6452),(7.28292855212 6580),(5.82859225817 6713),,(8.10859448963 6999),,
Point0,H4,(1.39908308991 109),(2.29915496122 196),(0.578715495453 383),(1.72680832512 538),(0.885580812789 698),,,(1.57994188271 1179),,,,(5.17942424204 1754),(2.81577086059 1948),(2.34855886121 2112),(5.53830003905 2206),,(2.49074970766 2557),(1.79558067548 2703),(7.06477374076 2795),(6.47896716585 2940),(2.45368972721 3141),(5.44689596565 3244),(2.1646786979 3451),(1.66855844178 3612),(2.69499195797 3770),(2.34213853411 3916),(5.87732486573 4021),(6.16606955613 4174),(2.50197375333 4380),(1.91696888664 4541),(2.10327971 4681),(2.59473893105 4827),(3.43686277727 4973),,(6.12467123948 5213),(1.22702845035 5404),(0.5541167805 5549),,(1.85346371772 5820),(5.23854972309 5911),(1.04528012761 6096),,,,,(0.987835880776 6751),(7.25471559772 6842),(2.65137329884 7035),,
Point0,H5,(1.49978392346 117),(3.76042054674 215),(0.646738865051 391),(1.9482838914 548),(0.983711410688 706),,,(1.580861713 1181),,,,(5.97115138894 1769),(2.85407075236 1954),(2.35679591582 2115),(5.61125035476 2213),,(2.49890295449 2560),(1.80165625794 2706),(7.72128353128 2807),(7.453488541 2954),(3.06767317135 3156),(6.01411270946 3256),(2.56243016658 3462),(2.40366044027 3623),(3.56015841674 3783),(2.52216069843 3925),(6.20115042877 4034),(6.35438006771 4183),(2.74078767893 4389),(2.27564040734 4551),(2.79831424737 4694),(3.5781768158 4839),(3.50437186515 4979),,(6.29055771091 5221),(2.11900615874 5416),(1.35770187043 5561),,(2.39190880227 5831),(6.80321615352 5928),(1.12152434182 6102),,,,,(1.01388741886 6757),(7.94684629112 6855),(3.35792111885 7047),,
Point0,H6,(7.9936057773e-15 133),(2.22044604925e-15 266),(2.6645352591e-15 408),(-1.7763568394e-15 568),(-6.2172489379e-15 728),(-5.3290705182e-15 890),(-7.9936057773e-15 1048),(-1.7763568394e-14 1207),(-1.50990331349e-14 1377),(-1.33226762955e-14 1534),(-2.75335310107e-14 1685),(-5.3290705182e-15 1829),(-1.33226762955e-14 1977),(-0.0060875595036 2134),(-1.86517468137e-14 2276),(0.0 2439),(2.04281036531e-14 2584),(-0.00102675600485 2724),(-3.5527136788e-15 2869),(-7.9936057773e-15 3015),(2.6645352591e-15 3175),(-0.000304448749729 3319),(2.6645352591e-15 3478),(6.2172489379e-15 3638),(8.881784197e-15 3800),(4.4408920985e-15 3951),(-1.7763568394e-15 4099),(3.5527136788e-15 4246),(1.33226762955e-14 4411),(0.0 4566),(-1.06581410364e-14 4711),(-1.42108547152e-14 4857),(-1.7763568394e-15 4999),(8.881784197e-16 5134),(8.881784197e-16 5284),(0.0 5430),(8.881784197e-15 5573),(6.2172489379e-15 5709),(1.42108547152e-14 5847),(1.7763568394e-14 5977),(2.93098878501e-14 6115),(7.9936057773e-15 6243),(6.2172489379e-15 6372),(4.4408920985e-15 6500),(1.59872115546e-14 6629),(2.04281036531e-14 6771),(5.3290705182e-15 6918),(4.4408920985e-15 7064),(-3.5527136788e-15 7209),
Point1,H1,(21.8198186904 32),(21.9353699753 162),(23.3582166521 302),(25.9602933715 446),(27.372228919 604),(26.3424326185 767),(26.4715666117 927),(26.4078855999 1084),(28.7887077876 1245),(28.998117825 1409),(26.2829623726 1567),(25.1298618631 1713),(26.1218050045 1857),(28.5483681553 2013),(26.3316444037 2162),(26.3758401244 2320),(26.3369994227 2476),(24.1373674088 2619),(26.506769702 2753),(29.3728273447 2898),(27.7443568374 3051),(28.3737516654 3204),(26.6255150044 3358),(30.1295848174 3506),(30.539627555 3666),(29.0536835136 3827),(26.6164434309 3983),(29.3125393193 4129),(29.754092212 4286),(29.6593487056 4447),(28.1361927114 4596),(26.1076407442 4741),(25.9192574424 4886),(29.058343347 5027),(28.0828513597 5168),(29.3355699287 5314),(28.1300996453 5458),(27.4764352788 5602),(25.3561776901 5742),(28.0137334768 5877),(26.4957188936 6014),(27.4510538407 6144),(26.5996687651 6273),(26.6547170363 6402),(26.9761117917 6531),(26.3322585232 6658),(28.8878416997 6801),(29.076294164 6948),(26.6618581921 7094),(30.6315439966 7248),
Point1,H2,(7.74078512071 59),,,,,,(11.1962724785 964),(11.3887722468 1117),,,,(8.48417912314 1755),(11.9097040037 1900),,,(12.8875837884 2351),(10.8849629423 2507),(8.23012858164 2649),,(12.278126823 2942),,,(10.6573149005 3384),(13.5231719558 3549),(13.1096732331 3710),(12.9015630831 3869),(9.86583948717 4011),(11.3582356656 4174),,,(10.7223297719 4633),(11.2957333694 4780),(11.0687891625 4922),,,(12.2234836746 5358),(12.8709887445 5497),,(7.12656021611 5769),(11.5245710552 5913),(9.75173661765 6042),(11.0215474095 6169),,,(11.2530576901 6569),(9.06001316543 6700),(12.4033670958 6845),(13.4871566507 6990),,
Point1,H3,(9.61069200262 80),,,,,,(11.5889398511 977),(12.0910402809 1131),,,,(10.4737625312 1770),(12.9193638749 1913),,,(13.186631268 2365),(12.376615922 2523),(11.1756932271 2667),,(13.4167289429 2954),,,(12.9266989374 3408),(14.9379113557 3562),(14.8822394261 3723),(14.1311667969 3882),(10.9729055055 4035),(12.3582274062 4186),,,(12.6407218095 4648),(12.3595289995 4793),(13.5424937887 4939),,,(12.3767020164 5364),(14.5977661561 5512),,(11.2814232302 5792),(13.6254693132 5929),(11.3898620069 6059),(12.384407563 6184),,,(11.9253345393 6582),(10.1915159707 6712),(13.0691493807 6856),(13.9836802169 7000),,
Point1,H4,(3.0257301976 113),(7.24204472103 196),(2.26432886614 384),(3.43159283479 539),(3.04467627217 702),,(3.61480958747 1020),(3.99956766596 1180),,(10.8568089341 1456),(10.3548310044 1611),(1.87780393635 1809),(3.81510541074 1948),(3.43551054512 2111),(9.34302087255 2209),(3.17854191141 2412),(4.42446347887 2559),,(10.7664926733 2795),(4.47142715098 2989),(2.79429649478 3148),(10.857484112 3245),(3.60580369614 3452),(2.90647105893 3614),(3.35339091497 3773),(4.35253811193 3919),,(3.68741838376 4224),(4.40041934218 4381),(3.31326437843 4542),(3.80865584761 4683),(5.756662559 4827),(4.74786048887 4975),(12.5761844994 5071),(10.4841507312 5214),(1.90672509097 5406),(2.36233875177 5551),,(3.35599790636 5822),,,,,(9.62348949707 6440),,(0.443962965368 6756),(4.99595224859 6892),(4.30389621824 7037),,
