Cycle,0.817857142857
Average Width,5.87897453797
Width,,6.51588072001,5.88771192663,6.03423967748,6.23677740291,6.11501393506,6.39022583483,5.94791326286,5.88261278421,6.59456536726,6.11380653104,5.92978490496,5.86277920387,5.99658176278,5.83250999648,5.34077564477,5.33330843302,6.03713706889,5.89513100258,5.98728151318,5.95219321699,6.28156741705,5.37192943538,5.54580439358,5.76055378648,5.50101359697,5.4769556052,5.75953529039,5.62772511063,6.46654391338
Point0,H1,(25.0769577109 37),(13.7496961747 193),(12.4489880036 362),(13.6083953463 524),(11.1205262543 698),(11.141501764 861),(10.3546310598 1034),(11.4184268611 1212),(10.9792213371 1399),(10.5670844394 1570),(11.4631097655 1743),(11.5466048224 1914),(12.003344545 2073),(12.6099210055 2237),(13.9157069056 2410),(10.7182453194 2580),(14.2086866078 2748),(16.1562452975 2921),(15.8608327036 3095),(14.2078529232 3250),(16.8818128892 3413),(15.9652104257 3582),(17.0858383567 3759),(16.9725522658 3930),(13.8766602999 4095),(15.1396142722 4267),(12.9492966256 4426),(14.9399368011 4587),(14.6221091132 4795),
Point0,H2,(17.6925250003 59),,,(3.6435426796 563),(-6.2172489379e-15 730),,,(-0.0134763231609 1248),,,(-8.881784197e-15 1780),(1.41670866432 1944),,,(4.16883775153 2449),(1.94866744814 2614),(2.86670322558 2786),,(6.34958087762 3127),(1.81451248677 3288),(6.82529533246 3447),(5.31044192075 3614),(6.46364000768 3798),,(2.93393462034 4131),(3.91577325748 4305),,,,
Point0,H3,(20.1936832814 76),,,(4.15724322512 578),(1.65422240414 753),,,(2.22612797926 1278),,,(2.23757471051 1802),(3.31365351615 1967),,,(5.55334536639 2469),(4.41894966214 2634),(4.82091499888 2807),,(6.49365963535 3137),(3.1177665009 3306),(8.29950938972 3465),(7.70299557106 3635),(8.03774894452 3815),,(5.01682230949 4152),(6.17497001094 4326),,,,
Point0,H4,(12.895764973 110),,,(1.13420935571 619),(0.217563769099 780),,,(-0.0128102155137 1306),,,(-0.108874347077 1842),(-0.00156661323057 2007),,(5.27078342866 2272),(1.32512377079 2510),(1.68238846403 2672),(2.22430589928 2847),,(1.5013716224 3185),(7.1054273576e-15 3347),(2.44128815681 3504),(1.41505860779 3702),(1.05664385219 3857),,(0.476477133716 4192),(1.33226762955e-15 4361),,,,
Point0,H5,(13.7858341071 125),,,(3.13126896263 643),(2.102161756 819),,,(3.0532815487 1346),,,(0.941434901244 1868),(1.76787975474 2024),,(6.92620271087 2294),(1.49885106992 2524),(1.71358491547 2680),(2.52359941941 2861),,(2.19137318479 3202),(3.28102092397 3367),(2.88943096579 3519),(2.22186021386 3715),(2.06569606175 3875),,(1.2316891195 4212),(0.984243020754 4391),,,,
Point0,H6,(-0.0979770418207 163),(-0.0462520309294 232),(-0.0121642542907 324),(7.1054273576e-15 497),(1.33226762955e-15 668),(-6.2172489379e-15 730),(-0.231329184968 897),(-0.00436734577578 1004),(-0.0080321154308 1066),(-0.0404444749595 1122),(1.90958360236e-14 1189),(-0.0134763231609 1248),(-0.0128102155137 1306),(2.48689957516e-14 1370),(0.0 1426),(-3.5527136788e-15 1542),(-4.61852778244e-14 1717),(-8.881784197e-15 1780),(-0.108874347077 1842),(-0.00156661323057 2007),(-0.021197620063 2184),(-0.00473633057949 2377),(3.10862446895e-15 2546),(-0.0029575357233 2719),(4.4408920985e-15 2889),(0.779716725538 3001),(5.3290705182e-15 3060),(-1.06581410364e-14 3219),(7.1054273576e-15 3347),(1.7763568394e-14 3553),(-7.9936057773e-15 3731),(1.33226762955e-14 3896),(-7.9936057773e-15 4069),(4.4408920985e-15 4239),(1.33226762955e-15 4361),(-4.4408920985e-16 4509),(-8.881784197e-15 4721),
Point1,H1,(30.3727076043 34),(17.2055630688 190),(17.4878079041 357),(19.0671281695 521),(16.7829766654 695),(17.6158321426 858),(16.7181894506 1031),(18.1474352191 1210),(15.2887465438 1395),(16.6495626211 1566),(18.8910523533 1740),(17.0297947028 1912),(16.7063416537 2071),(18.4059152841 2234),(20.5682164066 2408),(16.7852163028 2576),(19.9638555402 2745),(22.1701838917 2919),(21.6948006756 3092),(19.6073516127 3246),(22.2065622367 3410),(23.2804537305 3579),(23.680622457 3756),(23.2704024655 3927),(19.7525660349 4093),(21.6957259024 4265),(18.3196225372 4424),(21.6488089346 4585),(19.7075435864 4746),
Point1,H2,(21.119136413 60),,(4.98653287511 391),(5.58111435175 563),(1.61614809861 727),,,(2.8689668731 1246),,,(3.74856904595 1775),(2.47078862912 1940),,,(7.11258352675 2440),(3.82138084456 2611),(4.98847255045 2784),,(7.67220182313 3123),(3.45755361299 3284),(9.17070417589 3444),,(9.22704327625 3794),,(5.16564979692 4128),(5.21554688145 4301),,(8.4944083468 4614),,
Point1,H3,(22.9035121591 75),,(6.56290856577 407),(6.31592724969 577),(3.11638039971 749),,,(5.53916950285 1267),,,(6.34593603062 1796),(5.8013377241 1964),,,(9.16122085362 2466),(7.46140501844 2631),(7.1574257736 2804),,(9.39072942429 3141),(5.68016255358 3302),(11.5444466554 3461),,(11.0031893411 3811),,(8.42591019264 4149),(7.96275446203 4323),,(10.1235999899 4641),,
Point1,H4,,,(2.02765649323 445),(1.94608613719 618),(-0.000165229215566 782),,,(-0.0224539594245 1303),,,(1.05326150169 1837),(-0.00693838910657 2005),,(7.30562732758 2265),(2.94001598945 2504),(2.03905009535 2672),(2.54883138606 2846),,(2.31320650477 3185),(-0.0209504598376 3346),(3.23135589656 3501),,(2.31166759651 3856),,(0.97932262904 4189),(-0.00403572292346 4358),,(1.58134716515 4680),,
