Cycle,0.735326797386
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(16.6109339078 31),(17.0022704899 188),(16.2641867154 352),(14.2788896222 516),(15.4666329721 677),(18.1338454942 849),(15.5897547499 1025),(16.3502182806 1185),(14.6256136533 1351),(16.9706804628 1520),(15.3828335907 1680),(17.0871156268 1826),(19.1555128368 1979),(18.8931375172 2139),(19.7222233737 2302),(20.304234486 2463),(20.5330207833 2634),(18.4693241543 2808),
Point0,H2,(4.16291194699 67),(3.09092500414 218),(3.22045534302 389),(2.54346475564 548),(4.00511065306 713),(3.39979623562 889),,,(-0.00126822174211 1389),,(2.91676794387 1714),(4.54865419463 1860),(6.04014046214 2014),(5.76800982508 2172),(4.03451606826 2332),(7.24621712247 2491),(6.62865930042 2669),,
Point0,H3,(4.68670679754 82),(5.58187100803 239),(5.41586732799 411),(4.96311586223 575),(5.71470644032 731),(4.58612708818 905),,,(3.09793541562 1408),,(5.02939326941 1735),(7.3533361493 1881),(7.3973404893 2033),(8.21065290789 2191),(7.18240022745 2353),(9.09518446504 2517),(8.81963630853 2687),,
Point0,H4,(1.87108190188 123),(1.16119307714 276),(1.63052595835 438),(-0.000516831207116 616),(1.15244229219 791),(0.57514652997 943),,,(0.257044986217 1444),(4.16317880739 1555),(-0.102559150059 1772),(1.47465933654 1914),(2.30250783499 2070),(1.75090225272 2234),(0.975099327693 2396),(3.00714071367 2550),(2.28073920155 2745),,
Point0,H5,(2.86309687506 137),(1.43199563621 289),(2.61894674284 470),(1.94644389243 635),(2.70529990173 809),(1.45475724678 961),,,(0.696448564784 1461),(5.21230122414 1573),(1.22177421692 1787),(2.94606372284 1929),(3.52041156132 2087),(2.7714228328 2249),(1.22549412337 2406),(4.24847051665 2583),(3.62023537874 2761),,
Point0,H6,(-6.2172489379e-15 155),(-2.6645352591e-15 323),(-4.4408920985e-15 488),(-0.000516831207116 616),(8.881784197e-16 824),(-1.33226762955e-15 995),(-7.1054273576e-15 1134),(-0.0153242783468 1321),(-0.00126822174211 1389),(-8.881784197e-16 1490),(-1.15463194561e-14 1649),(-0.102559150059 1772),(-2.6645352591e-15 1946),(-8.881784197e-16 2106),(-0.00411064352564 2270),(-1.06581410364e-14 2428),(-1.06581410364e-14 2602),(-8.881784197e-15 2778),
Point1,H1,(6.16914173389 124),(7.67621814495 286),(7.41485096292 457),(7.13966732956 617),(8.08874393615 788),(7.11146823702 918),(6.5378744896 1124),(6.90371019803 1289),(7.21342299891 1405),(7.18082920853 1461),(6.58673837433 1618),(5.33824283111 1680),(6.26749253777 1763),(7.46968591225 1913),(6.70365889533 2075),(6.97050699109 2194),(8.52176782355 2399),(6.94672978102 2570),(7.21363564572 2746),
Point1,H2,,(-1.06581410364e-14 321),,(-2.6645352591e-15 644),,,(-8.881784197e-16 1156),,(6.36003648327 1424),(-1.15463194561e-14 1489),,,(0.0 1794),(-3.5527136788e-15 1945),,,,,
Point1,H3,,(5.58034657257 352),,(4.72185777802 682),,,(5.28645852151 1191),,(6.90997765779 1441),(4.22996080384 1518),,,(5.43997584322 1834),(4.38966107885 1976),,,,,
Point1,H4,(-9.7699626167e-15 157),(4.75476444789 369),,(3.19661059865 702),(-6.2172489379e-15 817),,(3.97592471689 1215),(-5.3290705182e-15 1319),,(3.51763112461 1538),,,(4.64974604452 1852),(4.04091187167 1991),(-7.1054273576e-15 2109),,,,
Point1,H5,(5.82178657945 189),(6.93063947698 419),,(6.73577128352 748),(6.38849452837 859),,(5.79371767872 1259),(5.20400098228 1355),,(6.00855942386 1570),,,(6.40134004402 1881),(6.64261852828 2039),(4.98511606992 2140),,,,
Point1,H6,(-0.00889557040694 1),(-9.7699626167e-15 157),(-1.06581410364e-14 321),(-0.00244491968696 485),(-2.6645352591e-15 644),(-6.2172489379e-15 817),(0.0 993),(-8.881784197e-16 1156),(-5.3290705182e-15 1319),(-1.15463194561e-14 1489),(-1.7763568394e-15 1649),(0.0 1794),(-3.5527136788e-15 1945),(-7.1054273576e-15 2109),(-0.00274802507914 2269),(-8.881784197e-16 2431),(-3.10862446895e-15 2602),(-7.1054273576e-15 2775),
Point2,H1,(8.87901834803 124),(8.41541096539 190),(8.60480141065 255),(9.47280556515 458),(8.34554681353 617),(9.72224747891 788),(8.97821742014 965),(7.30461231008 1124),(8.22363683996 1289),(8.14361938934 1460),(7.86042079368 1617),(7.8752184209 1760),(9.35037716611 1912),(8.54724063631 2038),(8.48115152651 2225),(10.7955316426 2397),(9.2974489704 2570),(9.96727854777 2747),
Point2,H2,,,,(-7.1054273576e-15 485),(-9.7699626167e-15 645),,,(-0.000843854776011 1158),,(-4.4408920985e-15 1489),,(3.5527136788e-15 1794),,,(-2.6645352591e-15 2270),,,
Point2,H3,,,,(6.01928428695 517),(5.21154251365 683),,,(5.66295077901 1192),,(5.45624240734 1525),,(6.67218357228 1836),,,(7.40365439028 2299),,,
Point2,H4,,,,(4.49157787793 539),(4.25462870974 700),,,(4.8514320113 1214),,(5.14009969292 1540),(-6.2172489379e-15 1649),(6.03428087342 1850),,,(5.45905635557 2323),,,
Point2,H5,,,,(7.60142080926 589),(7.967781693 754),,,(6.62097681149 1256),,(6.63671573722 1568),(6.05568518857 1682),(8.20600745878 1876),,,(9.36082408712 2358),,,
Point2,H6,(3.5527136788e-15 157),(3.5527136788e-15 322),(-7.1054273576e-15 485),(-9.7699626167e-15 645),(-0.00692899634152 818),(-6.2172489379e-15 993),(-0.000843854776011 1158),(3.5527136788e-15 1320),(-4.4408920985e-15 1489),(-6.2172489379e-15 1649),(3.5527136788e-15 1794),(-3.5527136788e-15 1947),(-7.9936057773e-15 2108),(-2.6645352591e-15 2270),(0.0 2431),(1.7763568394e-15 2603),(-0.00599664426021 2777),
