Cycle,0.7925
Average Width,6.37079494681
Width,,5.94089127295,5.83900970124,5.85958758618,5.77517762437,6.0461470124,5.97711161106,6.29899471671,6.89997231519,6.41416937126,6.33747953844,6.30237035772,5.54161956906,5.94359084859,6.57362114413,6.72003332686,6.27211000537,6.42915150695,6.49191618334,6.8240301729,6.98504108776,6.61291745055,6.57394364971,7.48427665302,6.89523406951,6.23512422783,6.25397094078,6.61478074968
Point0,H1,(5.43367123834 38),(5.35758582688 183),(5.17049586516 348),(5.43260999271 535),(6.71578205668 682),(4.68986040853 846),(4.40934285201 992),(7.47193768266 1160),(5.07468924309 1335),(5.20627944257 1502),(4.68504527587 1656),(3.52167128031 1857),(4.4171081379 2004),(4.24741368698 2122),(7.46782762899 2309),(4.60753917994 2486),(5.86658807336 2649),(6.12504227928 2784),(6.9808517401 2983),(6.82098930895 3162),(5.7085260009 3344),(5.47132544226 3495),(7.4459198379 3669),(5.11455193035 3814),(3.83266459797 4008),(3.36212294175 4132),(5.56807339699 4326),
Point0,H2,,,(4.79522284623 362),,(6.49802620325 696),(2.17649301026 894),(2.27661577218 1015),(6.43387120121 1176),,,(2.22066783991 1712),,(3.4004929647 2023),,,(3.61599679618 2502),(4.64253584378 2669),,,,,(4.127622537 3512),,,(1.34839711055 4041),,
Point0,H3,,,(4.79621919493 365),,(6.60958217166 707),(2.23274017176 904),(2.74892553846 1028),(6.65700837838 1186),,,(2.53723067639 1729),,(3.49635341299 2031),,,(4.32144409458 2518),(4.65078633007 2673),,,,,(4.50411189377 3524),,,(1.36158862901 4045),,
Point0,H4,,,(0.0 448),(1.9861295252 584),(3.03204847952 759),(1.33226762955e-15 940),,(5.45480952205 1208),(-4.4408920985e-15 1425),,(-7.44852504266e-05 1778),(-0.00140180812724 1948),,,,(0.423991475306 2570),,,,,(1.25561498569 3416),,,,(-1.33226762955e-15 4065),,
Point0,H5,,,(5.40772272173 495),(2.07467806136 593),(3.27924276356 770),(4.19830726262 970),,(5.48483396981 1214),(0.478063198904 1443),,(3.18655084167 1812),(4.15746637341 1977),,,,(0.549216696835 2582),,,,,(1.41026516006 3427),,,,(3.27431393609 4090),,
Point0,H6,(-0.000612642983028 143),(1.7763568394e-15 320),(0.0 448),(1.7763568394e-15 640),(-0.00986840356472 816),(1.33226762955e-15 940),(-0.00767338820718 1093),(1.33226762955e-15 1295),(-4.4408920985e-15 1425),(-0.00451776790408 1623),(-7.44852504266e-05 1778),(-0.00140180812724 1948),(0.0 2090),(3.99680288865e-15 2271),(-4.4408920985e-16 2455),(-4.4408920985e-16 2617),(0.0 2751),(0.0 2933),(-3.99680288865e-15 3134),(-3.10862446895e-15 3297),(-1.33226762955e-15 3467),(-0.00342042547965 3605),(-0.00159091890747 3782),(-5.3290705182e-15 3933),(-1.33226762955e-15 4065),(-3.10862446895e-15 4269),
Point1,H1,(8.97217258128 37),(8.966827655 183),(8.80570137877 347),(8.50492519623 487),(10.9408936087 678),(8.49349336074 844),(7.58037396499 972),(11.5903419352 1158),(9.35216186916 1333),(9.30363259526 1498),(8.88148919868 1656),(7.98229113404 1813),(9.14186123496 1978),(8.64048124321 2118),(12.0229374011 2309),(9.43423818022 2486),(9.92789161938 2647),(10.1113047873 2787),(11.6858613049 2982),(12.0444409045 3159),(11.0041544528 3338),(11.3868123312 3493),(12.0720745975 3668),(11.081583018 3814),(9.4894803429 3961),(8.49075892281 4089),(11.7307545187 4296),
Point1,H2,,,,(5.83500557921 530),,,(7.49356542627 979),(9.61549487328 1176),,,,(5.12849250744 1865),(8.71376937625 1989),,,,(8.38649959009 2666),,,,,(8.51466709159 3512),,,(8.84219730465 3973),,,
Point1,H3,,,,(5.88612314442 538),,,(7.56960705961 986),(9.67022686471 1182),,,,(5.12962983254 1867),(8.81731743393 1997),,,,(8.389597908 2668),,,,,(8.6714710882 3519),,,(8.97407487748 3981),,,
Point1,H4,,,,(1.53072847447 607),(2.49026565171 786),,,,(0.600673096383 1425),,(4.31498749596 1704),(1.45850044101 1923),,,(0.804669866795 2414),,,(0.378977704333 2915),,(1.92284319501 3264),(2.20377750474 3412),(0.234503435296 3599),,(1.34342306932 3906),,,,
Point1,H5,,,,(1.96225296197 620),(2.53027656716 792),,,,(1.47269178033 1439),,(4.52993858917 1716),(1.60734630649 1932),,,(1.08427753762 2428),,,(0.396783411252 2921),,(2.07778813443 3274),(2.68770885352 3425),(0.351015447813 3610),,(1.64882944215 3917),,,,
Point1,H6,(-0.00420118008644 1),(-0.00538999241448 143),(5.3290705182e-15 318),(4.88498130835e-15 446),(1.7763568394e-15 639),(7.9936057773e-15 814),(5.77315972805e-15 941),(-0.00282188648704 1108),(-0.00472629412205 1293),(8.881784197e-15 1455),(7.9936057773e-15 1623),(9.32587340685e-15 1775),(7.1054273576e-15 1949),(-0.00468326158775 2086),(5.3290705182e-15 2270),(-2.22044604925e-15 2453),(-0.00130034719504 2615),(-0.00305529099446 2750),(-2.6645352591e-15 2947),(-8.881784197e-16 3131),(5.3290705182e-15 3295),(8.881784197e-16 3463),(6.2172489379e-15 3625),(5.3290705182e-15 3777),(8.881784197e-16 3933),(8.881784197e-16 4059),(-2.6645352591e-15 4267),
