Cycle,0.784345238095
Average Width,5.50690263571
Width,,7.55873666505,5.77656309137,5.60681463856,5.30663233261,4.94195129581,5.15458367881,4.84962623488,5.19618795247,5.13544505812,5.58811275752,5.4286099528,5.16628563923,5.27105161779,5.9348182778,5.54915256603,5.50832345823,6.10358289011,5.84728403565,5.62173045068,5.50475181752,5.62648304707,5.42176580797
Point0,H1,(8.92921933218 86),(11.3794400461 221),(9.5844909094 393),(8.3866346228 574),(7.81316264442 731),(8.19565089622 888),(7.48963791801 1040),(8.80898386237 1227),(6.35993064531 1345),(10.4705979717 1546),(10.3715638957 1721),(9.08560936171 1882),(9.48968605456 2025),(10.4175925462 2213),(8.08852756576 2347),(11.683683391 2534),(10.572033424 2699),(11.3504733775 2872),(10.7209518667 3034),(9.38227680673 3194),(9.15557971013 3338),(9.85948699443 3514),
Point0,H2,(8.34419462852 111),(2.40461619308 310),(8.71160461988 409),(5.49467576957 600),,,(4.21103456885 1080),,,,,(4.84169646479 1926),(6.68010618733 2088),,(5.1294978058 2376),,(10.0715430859 2711),,,,,
Point0,H3,(8.73923722869 128),(2.61068973497 321),(8.7122609731 411),(5.59136148505 608),,,(4.55336807131 1096),,,,,(4.90759481761 1932),(6.8282219897 2099),,(5.24234918192 2385),,(10.0975660969 2716),,,,,
Point0,H4,,(0.948809266642 343),(0.764363263873 498),(1.18776347452 661),(4.86825581191 775),,,,,(1.61469613648 1653),,,(2.68562272771 2149),,(0.858148936913 2465),(0.804853898819 2643),(6.57397089072 2743),,(1.3631294147 3139),(0.374608791224 3283),,
Point0,H5,,(1.06016911384 350),(1.19540711068 511),(1.42893166444 671),(5.38220738461 792),,,,,(1.69731313377 1660),,,(2.70592576017 2154),,(1.26104471797 2478),(0.887084401319 2652),(6.8379090643 2753),,(1.64902607134 3150),(0.386660362217 3289),,
Point0,H6,(-3.5527136788e-15 180),(-0.00803879936246 365),(-2.6645352591e-15 527),(-6.2172489379e-15 690),(4.4408920985e-15 859),(7.9936057773e-15 1003),(8.881784197e-15 1182),(-4.4408920985e-16 1310),(-0.00581224159726 1499),(1.7763568394e-15 1678),(2.6645352591e-15 1848),(-0.000884230450505 1984),(-0.00554253971035 2176),(1.7763568394e-15 2302),(6.2172489379e-15 2497),(-0.000566239941286 2667),(-8.881784197e-16 2831),(-1.7763568394e-15 2998),(-5.3290705182e-15 3166),(-8.881784197e-16 3305),(-1.7763568394e-15 3484),
Point1,H1,(10.9729501798 47),(13.8033758501 220),(11.331234292 393),(10.0620465746 566),(9.78228649569 728),(9.90872967444 889),(9.20343210792 1035),(10.4874198891 1216),(8.10627962245 1345),(11.9723997391 1542),(12.0744270754 1714),(10.4634199252 1881),(11.1090069662 2026),(11.5082773833 2213),(9.19732439846 2345),(12.6464891033 2534),(11.0994419607 2699),(12.4894681172 2871),(12.0796883581 3033),(11.2720986139 3194),(10.2093627823 3339),(11.4403523776 3513),
Point1,H2,(8.42267277848 70),(2.91449180167 311),,,(5.8560482388 776),(3.49680603825 939),(4.8117197304 1081),,,,,(5.1591106379 1925),,,(5.7455772909 2379),,(10.6883500626 2711),,,,,
Point1,H3,(8.84499478027 84),(2.99094795841 319),,,(5.9633641704 786),(3.49787191051 941),(5.11019833895 1099),,,,,(5.444004788 1934),,,(5.74942418253 2382),,(10.6933990714 2714),,,,,
Point1,H4,(7.76520296961 114),(1.3609250753 341),(0.823389942504 498),(1.45925845927 659),,,(1.61235474522 1160),,,(1.83424935503 1651),(5.02985115646 1780),,,,(0.935361316083 2466),(0.810208489694 2644),(6.59747525118 2743),,(1.89692708897 3139),(0.174460008999 3276),,
