Cycle,0.657608695652
Average Width,0.0
Width,,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
Point0,H1,(12.0970806657 27),(12.8324095811 164),(12.649738204 304),(11.0090249386 448),(12.1964170125 586),(12.365924075 728),(12.5890130605 874),(11.8039524412 1020),(13.1362567226 1162),(12.6898707332 1298),(11.8819067439 1439),(11.957071919 1582),(12.6502161043 1724),(9.77436224683 1862),(12.8134381171 1998),(10.8015153835 2138),(14.3802930625 2278),(12.1104468365 2425),(11.9880839583 2564),(9.9800973131 2697),(11.5127314745 2817),(9.88876133904 2941),(11.6895700417 3065),(8.49447055883 3189),
Point0,H2,(4.56867255959 73),,,,,,(3.95773378876 922),,,,,,,,,,,,(-1.7763568394e-15 2593),,(4.93189896499 2848),(7.981847327 2966),,,
Point0,H3,(4.60305947818 79),,,,,,(4.08840973756 930),,,,,,,,,,,,(2.40888145328 2617),,(5.03907903159 2855),(8.13946788485 2977),,,
Point0,H4,(2.39346054036 103),(1.29923183204 243),,,(1.47125513284 662),(1.35879655114 820),(1.79919731394 964),,,,(2.47921977748 1526),(5.55737384511 1621),(2.33414976988 1797),(0.867867165423 1944),,(3.73431251544 2195),(5.47084337081 2324),(6.29800304243 2450),(0.393858056808 2642),(1.6308474329 2724),,,,,
Point0,H5,(2.50883028624 111),(1.73479788395 256),,,(1.58460478403 671),(2.14370292229 834),(2.2762256222 976),,,,(2.71168241786 1535),(6.4587642761 1634),(2.46390915144 1805),(1.26525367234 1954),,(3.86911642807 2210),(6.53494957981 2339),(7.6871208607 2474),(2.01221453563 2658),(4.67349681002 2745),,,,,
Point0,H6,(-2.04281036531e-14 130),(-4.4408920985e-15 272),(-4.4408920985e-15 417),(-6.2172489379e-15 551),(-7.9936057773e-15 695),(-1.24344978758e-14 849),(-2.6645352591e-15 993),(0.0 1125),(-1.7763568394e-15 1265),(-4.4408920985e-15 1408),(0.0 1554),(2.6645352591e-15 1690),(3.5527136788e-15 1827),(4.4408920985e-15 1968),(-0.00104874938489 2102),(-0.00119689221809 2241),(-2.6645352591e-15 2393),(-0.0212574082073 2533),(-1.7763568394e-15 2593),(-4.4408920985e-16 2673),(-8.881784197e-16 2783),(0.0 2906),(3.5527136788e-15 3029),(2.6645352591e-15 3157),
Point1,H1,(8.9381508429 30),(12.2024016585 165),(13.6128723045 305),(8.94823606555 448),(12.3655988541 587),(10.460587651 727),(11.9274041486 873),(10.9906440111 1020),(9.51303568841 1162),(12.813596103 1302),(13.5578589072 1441),(12.7522464149 1584),(14.1031017662 1724),(10.1084099037 1861),(16.1816583787 1998),(13.5092504323 2140),(13.6100083572 2279),(9.43216766457 2425),(10.8185816705 2565),(12.1550189091 2700),(12.0432231635 2820),(13.7712858291 2944),(12.0311339317 3071),(7.80211907111 3190),
Point1,H2,(0.150381904183 71),,,,,(0.636690229236 800),,,,,,(3.59810901061 1622),,(0.409589011981 1921),(15.2936926425 2010),,,(3.70868903821 2451),(0.871279449049 2593),(1.52866076345 2729),(4.99799158711 2845),(11.2776082391 2970),,,
Point1,H3,(0.929899342466 85),,,,,(0.639596862529 803),,,,,,(4.39303780137 1634),,(0.411548666899 1923),(15.3622106341 2016),,,(4.89070569627 2470),(1.55267410938 2606),(2.99658602521 2743),(6.30858270258 2863),(11.3318539022 2976),,,
Point1,H4,(0.10598461182 100),(0.753946917012 243),(2.74246263453 391),,,(0.297975452928 818),(0.43917142775 947),(4.31141576952 1067),,(1.11137918534 1382),(3.10408091571 1525),(0.0 1658),,(0.0202457029194 1938),,(3.14827441673 2204),(-0.0042938847709 2373),(0.237760484137 2499),(0.0225349585743 2638),,,,,,
Point1,H5,(1.05390180812 116),(1.33239629265 257),(2.79267626715 397),,,(1.63977433478 835),(2.83790012039 977),(4.34875361816 1072),,(1.78494849802 1394),(3.17840739946 1532),(0.730897142464 1672),,(1.26424838709 1954),,(3.37067663229 2217),(0.390635172854 2386),(1.12807541953 2516),(2.17949663754 2658),,,,,,
Point1,H6,(-0.0712653767079 2),(-0.0238847725343 130),(0.0 272),(-0.00898966803548 419),(-1.06581410364e-14 551),(-0.00814452753947 694),(3.5527136788e-15 848),(-6.2172489379e-15 994),(-0.00221765205488 1126),(-0.00773113452775 1259),(-1.15463194561e-14 1409),(-3.5527136788e-15 1554),(0.0 1658),(-0.00346726257051 1826),(7.1054273576e-15 1967),(-0.00130706633836 2097),(-0.000288595099864 2244),(-0.146655413199 2397),(5.77315972805e-15 2534),(7.9936057773e-15 2673),(-0.0062274691197 2767),(7.1054273576e-15 2903),(-0.0145072484102 3030),(-0.00312063006606 3159),
