Cycle,0.707287234043
Average Width,3.31024643624
Width,,3.3683392356,3.21246025757,3.12600224817,3.23961065093,3.39615386847,3.20431225043,3.35869878029,3.27716283548,3.39413632696,3.2450893876,3.18865411948,3.16411001728,3.18906338092,3.29517504546,3.21135672599,3.32317722919,3.26845094299,3.2907481431,3.21621944455,3.26582724452,3.38459629781,3.35034432987,3.35441889465,3.28983295492,3.18706182665,3.24187649582,3.36494309931,3.19747704093,3.46016519249,3.23741691593,3.22565215201,3.33450189244,3.38776061847,3.33891621228,3.31118613251,3.40501540938,3.36715984817,3.39333157908,3.38973648085,3.47290148406,3.50372291244,3.37519860022,3.21426477979,3.19869835711,3.36088281479,3.42156145709,3.52481604969,3.52167413196,3.20848499831,3.26971655378,3.40849985682,3.16918259036,3.34793614452,3.23265811503,3.27260024912,3.24337873379,3.27823042858,3.147926291,3.24353936572,3.07383248752,3.15389294491,3.51090310174,3.33315226622,3.63746883211,3.70406827851,3.50482700531,3.44702601973,3.68852292921,3.55799909418,3.42902868116,3.47594456535,3.71102113383,3.51693480217,3.50992257225,3.55658724583,3.41965250891,3.20111274006,3.18747670284,3.20872379303,3.23243997025,3.31923768642,3.15011636759,3.36501840163,3.3248314486,3.40008147339,3.27706338694,3.21208407987,3.23034062318,3.18356741985,3.29841832296,3.31319386176,3.28985329515,3.20413483647,3.15205097074,3.19226377662
Point0,H1,(16.5198188143 46),(15.6280062076 184),(14.0384166246 337),(14.2539521117 494),(14.5651226767 634),(15.631223329 769),(16.8761648842 909),(16.8876160845 1055),(16.6232065062 1209),(14.3214962 1359),(12.7658738643 1501),(13.8950607385 1632),(16.32266097 1772),(16.0031949402 1918),(14.5688445539 2062),(14.0081288 2207),(13.3016865621 2338),(15.4061276296 2475),(15.1031322217 2613),(15.8312113896 2764),(16.7498346404 2926),(14.6371704233 3072),(14.224292744 3209),(14.004143188 3336),(14.4009449159 3469),(14.5031971415 3599),(16.0353169546 3742),(13.3912521593 3879),(14.6123829428 4011),(14.023853759 4139),(14.2238201921 4278),(14.9393495162 4434),(16.1908909085 4594),(12.4592336786 4740),(14.3334377715 4872),(14.1686123123 4998),(15.4777850077 5132),(15.903900771 5276),(14.8829057393 5433),(14.9900280722 5590),(13.7288128466 5734),(13.7299701684 5868),(12.5995910785 5995),(12.635188439 6125),(14.6918617579 6272),(15.1144209735 6432),(14.8110725039 6591),(13.2967446317 6749),(10.085807446 6886),(11.1700860067 7022),(13.8413977782 7152),(11.1906933946 7292),(13.497740502 7439),(11.9972560512 7600),(11.1280132897 7747),(11.8672390313 7888),(11.9432365997 8018),(12.2004398557 8146),(11.9911891201 8275),(10.8267187945 8421),(12.0192207098 8585),(13.4123088078 8749),(12.157689034 8912),(13.2267817108 9067),(12.8913012208 9210),(11.9038116663 9340),(12.3888021037 9470),(11.9574982114 9607),(12.5109140937 9760),(12.1143748528 9920),(11.2994778018 10087),(12.9609583326 10241),(10.9369943412 10380),(11.591081261 10508),(11.6507854755 10626),(12.00019059 10747),(10.9469093611 10880),(11.3888713053 11026),(12.5635639403 11189),(12.1691009922 11347),(11.5828983878 11502),(12.7668892229 11646),(14.9659620163 11793),(12.27475782 11930),(14.0310321913 12063),(14.0071663169 12195),(13.7992254791 12335),(14.2419702099 12479),(12.9361891918 12633),(12.7244247077 12778),(11.5815792051 12911),(13.7274216258 13054),(11.9641719601 13193),(12.2890425597 13333),(12.9633749199 13482),
Point0,H2,(6.34321219448 77),(6.93678285053 216),(4.99355276452 372),(5.52093173301 525),(3.95908483748 666),(6.51926221657 806),(7.20194742627 937),(6.76515856723 1093),(8.31853022093 1238),(4.09929676138 1397),(5.59447129205 1529),(5.81962691219 1665),(6.90482139823 1800),(7.15962051877 1947),(5.62435132905 2107),(5.84345634161 2248),(4.78297608692 2375),(6.01578084109 2504),(6.70626745993 2646),(5.16390238207 2802),(7.62959166425 2954),,(4.83420771315 3242),(5.84865594024 3369),(6.57961215733 3499),(5.38702904365 3637),(6.63238802014 3789),(4.14863844409 3912),(7.12098801033 4041),(6.4706750429 4167),(8.51456588275 4314),(7.56621395309 4472),(6.2001843022 4629),(4.19387779637 4772),(5.30900301546 4904),(5.77678217648 5031),(6.2630240822 5165),(6.75443279504 5307),(6.33056665634 5465),(6.50252196004 5622),(4.69148792676 5767),(4.73423360819 5896),(4.18858605272 6027),,,(6.91219918262 6465),,(7.20873049722 6794),(2.5901262258 6919),(3.41711798259 7052),(6.90053880593 7196),,,(6.19799957155 7634),,,(5.96449029775 8056),(5.0301494386 8188),(6.22296440877 8312),,(7.08159774245 8613),,,,(5.48197903167 9241),(4.38945979819 9372),,(4.11153355539 9642),,(5.79466545452 9965),(5.83452498906 10117),(4.66477889537 10282),(5.43866354862 10405),(5.98163866383 10538),,(5.76800019281 10779),(5.93253881049 10909),(5.7929902648 11069),(7.27944635822 11230),,(3.7528367528 11531),,(6.21986213494 11832),,(6.45496456431 12092),(6.51784554601 12236),(5.16688658904 12377),,(4.77059275617 12665),,,,(5.25702887634 13224),,
Point0,H3,(7.07765456683 99),(7.92149432128 233),(6.63521923437 393),(6.9817134795 547),(5.14640915062 692),(8.07967330636 823),(7.25603789869 944),(7.69340562265 1110),(8.92092717145 1251),(5.06939227679 1414),(6.30580307731 1547),(7.07236809431 1685),(7.22211902192 1812),(7.733503865 1967),(5.82835606982 2117),(6.15036689914 2261),(6.07891488747 2393),(6.7054338219 2521),(7.61220890158 2662),(7.02275683472 2824),(8.2320625759 2973),,(6.38809400569 3259),(7.96323333767 3390),(7.20844116072 3522),(6.47133978171 3655),(6.64007193356 3793),(6.45287150881 3931),(8.72196764877 4060),(8.97110871358 4190),(9.68462285899 4334),(8.92691956806 4492),(8.00623500325 4648),(6.84524243809 4793),(6.90681451956 4923),(6.81462646434 5048),(6.94052219811 5184),(7.00238660658 5326),(7.16832753937 5487),(7.59733625882 5639),(6.12602915406 5784),(6.35398092041 5914),(4.87889947357 6041),,,(7.47068327352 6479),,(7.50158783987 6805),(4.54501326397 6938),(5.25209162835 7073),(7.1422696441 7206),,,(6.8517142339 7651),,,(6.42429591149 8070),(5.64940233115 8201),(6.40902150679 8323),,(7.68875302472 8627),,,,(6.97962110605 9257),(4.62419821906 9386),,(6.52315940773 9661),,(6.29832448983 9982),(6.35477460289 10131),(5.01178962307 10294),(6.76674182289 10424),(6.5515484136 10553),,(6.13541823806 10792),(6.6132233711 10925),(6.9439035629 11088),(8.2992459147 11251),,(5.92329166559 11553),,(7.24966315294 11848),,(7.71164516212 12114),(6.74614674993 12245),(6.11205267333 12392),,(6.86249995652 12683),,,,(6.04705534798 13243),,
Point0,H4,,(1.09182726786 285),,,(1.58782196264 722),,(7.22375492717 949),(2.69022847011 1150),,,,,,,,,,,,(1.93390050651 2860),,(4.90834049369 3110),,,,,,,,,,(1.66727590754 4536),,,,,,(1.8361263333 5374),(2.46892151024 5532),,,,,,(-0.0123953680767 6384),,(-1.86517468137e-14 6685),,,,,(-0.204997275845 7389),,(2.89078313918 7694),(4.82147152382 7786),(3.53537400367 7923),,(2.95201155605 8222),(1.25953245568 8370),(2.73850275776 8520),,,,,,,(4.38964036991 9517),,(1.2423982128 9871),(1.44341848578 10028),(1.11912677048 10189),,,,(3.45410917578 10683),,,(2.45094984051 11131),(1.81420972475 11292),,,,,(3.29743728202 11961),,,(-4.4408920985e-15 12433),(6.51797576855 12522),,(4.79054965335 12813),(3.17958884872 12947),(5.7123919691 13098),(2.35691827906 13275),,
Point0,H5,,(1.36314554255 295),,,(1.59200746922 724),,(7.54760348467 963),(2.71319457889 1155),,,,,,,,,,,,(1.93636571288 2862),,(7.25706138525 3130),,,,,,,,,,(2.71257231534 4551),,,,,,(2.31508182674 5384),(2.6601683683 5541),,,,,,(0.0648505125047 6392),,(0.704095987988 6703),,,,,(0.282902909628 7401),,(3.14261418661 7702),(6.40856388555 7808),(5.70845499305 7947),,(3.23585953046 8230),(1.28570949203 8374),(2.96182380851 8530),,,,,,,(4.52699291384 9527),,(1.37410272971 9879),(1.68372416835 10038),(1.66982572287 10200),,,,(3.56061055641 10691),,,(2.77274598256 11142),(2.02361542517 11302),,,,,(4.28650694896 11987),,,(0.304108622692 12444),(8.03204757578 12538),,(6.03901798628 12838),(5.33511828202 12968),(6.2060253602 13111),(2.99322146666 13287),,
Point0,H6,(-5.3290705182e-15 150),(-2.04281036531e-14 309),(-1.33226762955e-14 459),(-1.50990331349e-14 600),(-1.59872115546e-14 741),(-2.13162820728e-14 876),(-1.24344978758e-14 1026),(-1.42108547152e-14 1175),(-0.0136800779676 1332),(-0.00651670197221 1465),(-1.68753899743e-14 1605),(-1.06581410364e-14 1737),(-1.86517468137e-14 1884),(-2.6645352591e-15 2032),(-6.2172489379e-15 2177),(-0.00273603864434 2310),(1.42108547152e-14 2442),(-1.7763568394e-15 2582),(-5.3290705182e-15 2730),(-1.15463194561e-14 2891),(-1.7763568394e-15 3045),(-8.881784197e-16 3175),(-0.000734209960497 3303),(-1.24344978758e-14 3436),(-1.86517468137e-14 3569),(-8.881784197e-15 3711),(-1.7763568394e-15 3846),(-2.39808173319e-14 3978),(-2.22044604925e-14 4106),(-9.7699626167e-15 4248),(-1.33226762955e-14 4404),(-1.42108547152e-14 4567),(-9.7699626167e-15 4710),(-7.9936057773e-15 4840),(-9.7699626167e-15 4968),(-8.881784197e-15 5097),(-0.00107931203088 5242),(-8.881784197e-16 5400),(-4.4408920985e-15 5559),(-1.95399252334e-14 5704),(-4.35207425653e-14 5836),(-0.00365517738801 5963),(-2.22044604925e-14 6093),(-0.00456197129791 6244),(-0.0785372530969 6399),(-1.33226762955e-14 6561),(-1.86517468137e-14 6685),(-1.06581410364e-14 6857),(-0.0184540213744 6986),(-1.7763568394e-14 7116),(-1.42108547152e-14 7257),(-0.204997275845 7389),(-7.9936057773e-15 7567),(1.7763568394e-15 7720),(-1.06581410364e-14 7859),(3.5527136788e-15 7989),(-8.881784197e-15 8117),(-1.7763568394e-15 8248),(-1.42108547152e-14 8390),(-4.4408920985e-15 8552),(-7.1054273576e-15 8720),(-1.06581410364e-14 8885),(-1.15463194561e-14 9032),(-8.881784197e-15 9176),(8.881784197e-16 9307),(-6.2172489379e-15 9436),(8.881784197e-16 9575),(-7.9936057773e-15 9712),(6.2172489379e-15 9893),(-1.33226762955e-14 10055),(-5.3290705182e-15 10214),(-0.00574474004207 10343),(-3.5527136788e-15 10475),(7.1054273576e-15 10597),(-3.5527136788e-15 10714),(7.1054273576e-15 10846),(7.9936057773e-15 10996),(9.7699626167e-15 11160),(5.3290705182e-15 11319),(1.24344978758e-14 11465),(8.881784197e-15 11610),(-0.0154097286657 11751),(7.1054273576e-15 11897),(-3.5527136788e-15 12031),(8.881784197e-16 12166),(-2.6645352591e-15 12306),(-4.4408920985e-15 12433),(3.5527136788e-15 12597),(-0.00532696329963 12741),(-6.2172489379e-15 12883),(-6.2172489379e-15 13021),(-0.000601492760942 13161),(5.3290705182e-15 13305),(4.4408920985e-15 13446),
Point1,H1,(19.930124635 32),(20.9272077726 170),(19.5297249408 322),(18.4516542478 481),(17.7581032266 620),(20.1088055627 755),(20.6347458142 896),(20.8029182032 1042),(19.9365534853 1195),(18.138434284 1345),(16.5669733033 1487),(18.5797320189 1619),(21.6407171605 1759),(19.9771770483 1904),(19.0681393493 2050),(17.561094441 2194),(16.727747005 2325),(19.7979610526 2462),(20.1182987605 2600),(20.7041701589 2752),(21.3376771115 2913),(19.3753038381 3060),(19.23949616 3196),(19.0771526606 3323),(20.4844243209 3455),(20.3423853768 3586),(21.9850305183 3729),(20.036618788 3867),(20.2494200923 3998),(21.512120121 4127),(23.0450147545 4265),(23.5302519642 4420),(23.5419807697 4581),(18.8296126042 4727),(20.9115103809 4858),(20.7036796637 4983),(22.7689631254 5119),(23.8110109832 5263),(22.2225434834 5420),(21.4311071603 5577),(19.6972605227 5721),(20.6100809037 5855),(18.9977764174 5982),(20.8100754428 6113),(21.8007955773 6259),(22.4555689053 6418),(20.3451548169 6578),(18.4994575367 6734),(15.9821691716 6873),(17.8477180043 7007),(21.2361573766 7138),(20.0774620165 7278),(20.8487882811 7426),(19.3037324245 7585),(17.1720924581 7735),(17.4804986082 7875),(18.0819607736 8005),(19.0532982724 8132),(18.2629387298 8265),(20.1326444163 8407),(21.3701734646 8571),(19.5346949225 8735),(17.9872736121 8898),(17.8988076619 9054),(17.5274203153 9195),(17.2891055318 9326),(19.5697508454 9457),(18.7961519912 9593),(20.6149663145 9746),(21.3666111348 9906),(19.2754011648 10071),(18.6523271904 10228),(17.0742087817 10368),(17.7357267661 10494),(16.7416883111 10611),(17.9422176346 10735),(20.3601039426 10864),(20.4004320616 11013),(20.4742744738 11175),(19.9284302296 11336),(17.8858162962 11488),(22.9031491027 11633),(21.5002506754 11778),(18.2505588347 11918),(19.7732144476 12050),(21.3197129269 12182),(21.9263623825 12321),(21.8091428063 12466),(20.2680899893 12618),(18.0191281533 12764),(17.1347590051 12898),(20.0604026035 13040),(18.5330053478 13180),(19.3500778143 13318),(20.1238258421 13468),
Point1,H2,,(8.70683186468 204),,(6.98693532154 510),(5.29220491491 652),,,(8.20085985049 1083),(8.56167081748 1225),,(5.32551004397 1516),,(8.9324782563 1788),(7.91562095255 1943),(6.61351641283 2091),,(6.21493925314 2361),(7.78412090129 2491),(7.91488581502 2631),,(8.28125251998 2944),,(5.67917946194 3227),(6.93802104144 3354),,,,(5.60110918354 3900),(8.06762015317 4027),(8.76294505781 4155),(11.3574841765 4298),(10.0241677247 4457),(8.40676502364 4616),(5.50820404991 4758),(6.33439334063 4891),(7.13259092578 5019),(9.48873136253 5149),(9.66547032778 5294),(9.29750158193 5451),(8.18069985883 5610),(6.75720101363 5753),(6.88005621662 5883),,(7.65156974373 6151),(8.618331273 6302),,,(9.26238430404 6764),(5.16385021581 6905),,(9.06955934907 7184),,(9.42724048021 7466),(9.33867892295 7615),(6.31977606931 7769),,(7.33346684355 8043),,(7.7259715949 8299),(9.70813004983 8443),(10.1068066858 8605),,(5.76377351402 8931),(6.35770245236 9084),(5.89193868736 9225),(5.25139220955 9355),(8.14699025065 9493),(9.28173569166 9626),,(9.96980122681 9948),(8.20216469645 10105),(6.05728801914 10263),(5.07226206271 10397),(6.86625700459 10523),(4.86005932335 10648),(7.48629711631 10764),(9.36317797554 10906),(8.43294554491 11051),(9.45215348416 11206),(7.23866401809 11368),,(8.0263114281 11673),,(5.1678250896 11948),(6.50965423694 12080),(7.88604599928 12215),(8.52510320113 12352),(7.88345875616 12499),(8.10791079356 12649),(6.18065459091 12791),,(8.91289716564 13068),(7.77241166521 13210),,
Point1,H3,,(9.6764319122 223),,(9.23727248311 533),(6.61717477963 670),,,(9.05567220907 1097),(9.70107625632 1244),,(7.37851565758 1539),,(9.04469566146 1796),(8.30775001043 1957),(7.12897253667 2103),,(7.57204026079 2377),(8.48688429914 2507),(9.41791649724 2648),,(9.72658202809 2963),,(8.54936559213 3247),(8.91514103449 3373),,,,(8.8735687187 3919),(10.8930980135 4046),(11.3122787667 4177),(12.7591928501 4320),(11.8227201382 4476),(10.4155102302 4635),(8.79285558772 4779),(9.50429261603 4910),(9.19239655374 5036),(9.56130209307 5155),(10.2923948796 5314),(10.2820633167 5469),(10.0110744903 5628),(9.07470464464 5771),(8.82523280759 5903),,(8.37028671312 6166),(9.00627104118 6314),,,(9.56656283697 6774),(7.48268011478 6924),,(9.1068003244 7190),,(9.4796516301 7472),(9.70099123442 7630),(7.36935665572 7784),,(8.17226537746 8058),,(8.6529447182 8313),(10.2837862252 8459),(10.5671090634 8621),,(8.05952174053 8952),(8.16885347032 9104),(8.51538688001 9244),(7.25665973466 9374),(8.46146435732 9510),(9.84619869822 9639),,(10.206412989 9960),(10.2130751447 10123),(7.50034113241 10280),(7.74658090233 10421),(8.04822741089 10542),(5.36189888578 10662),(7.77768666945 10778),(9.45684210859 10914),(9.20611602495 11067),(10.7008259768 11222),(8.35985487621 11384),,(8.59079273717 11686),,(6.72128373705 11967),(8.73485250313 12103),(9.18764588194 12230),(9.10732599312 12371),(9.29650848327 12516),(9.69133098959 12668),(8.25999361053 12809),,(8.96475966124 13072),(9.0722894015 13228),,
Point1,H4,(7.34320071609 62),,(7.19261107716 361),,,(7.6376592967 793),,(2.25705261822 1135),,(5.5845965378 1385),,(7.04526088017 1655),(9.00910682369 1803),,,(6.17436533635 2228),,,(2.92517141233 2688),(6.01583833966 2790),,(6.06376731981 3093),,,(7.35961863727 3484),(6.00645964314 3625),(8.59390276293 3766),,,,(2.65674214409 4367),(2.17946486356 4524),(2.97942072012 4673),,,,(9.37094362008 5166),(3.14131404137 5361),(3.10784552434 5520),(4.17839795071 5665),,,,(1.17250747538 6211),(-0.0088540086154 6369),(9.34798704757 6460),(0.693218914496 6669),,,(6.00064576893 7038),,,,,,(5.37972551465 7907),,(7.30873092139 8171),(2.91125558567 8351),(3.07941904886 8510),(2.98014835386 8669),(7.72240331737 8766),(1.56729408868 8987),(3.2880951886 9136),,,,,(9.14873983036 9787),(3.52297497234 10014),,,,,,,(3.04274499525 10959),(2.48901043186 11119),,,(6.03282810248 11519),,(7.60478436275 11819),,,,,(3.01615965151 12558),,(1.76048705003 12849),(5.0023109205 12934),(8.49798900039 13086),,,
