Cycle,0.669506578947
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(5.35299521186 77),(6.94579649757 263),(6.25669584834 417),(4.84467630539 568),(5.46912278013 688),(6.2990644931 817),(6.93938424031 973),(6.32967187588 1115),(6.27484631121 1254),(8.09414119622 1382),(6.97671441937 1537),(5.82061139036 1681),(6.04955786425 1781),(6.36261478408 1962),(7.61950040724 2109),(5.39911197536 2224),(7.31361578455 2398),(5.89510823349 2544),(5.62589877507 2683),(8.85194060951 2791),
Point0,H2,(2.80867689366 104),(6.88442936173 270),(-1.33226762955e-15 452),,,(5.80902671014 830),(-1.7763568394e-15 1011),,,,(3.5527136788e-15 1569),,(3.85301253855 1808),(4.88498130835e-15 1999),,,,(3.99680288865e-15 2576),,,
Point0,H3,(4.3421599567 136),(6.93704595342 277),(2.13841047788 475),,,(6.2990097245 842),(3.34507009203 1059),,,,(2.84368410572 1590),,(5.31809874726 1829),(1.91225852764 2023),,,,(3.1634566129 2603),,,
Point0,H4,(0.0 170),,(1.02850348523 497),(4.4408920985e-15 601),(8.881784197e-16 737),,(3.31357792358 1066),,(6.66133814775e-15 1287),(4.4408920985e-15 1424),(2.46575406678 1602),(-2.6645352591e-15 1719),,(1.61581751234 2035),(-0.0018881397406 2138),,(1.33226762955e-15 2426),(3.16003519757 2605),(-0.0011808580577 2718),,
Point0,H5,(5.2185806775 219),,(4.36277848835 526),(3.08187393449 639),(1.92227323213 759),,(5.28582365058 1094),,(3.60243001362 1315),(3.7301117663 1455),(3.92246337033 1642),(4.05414080792 1750),,(6.01238897006 2076),(2.94451249963 2170),,(3.39554715097 2455),(3.68126129193 2622),(4.80912554137 2744),,
Point0,H6,(-0.005901198608 1),(0.0 170),(0.0 309),(-1.33226762955e-15 452),(4.4408920985e-15 601),(8.881784197e-16 737),(-2.22044604925e-15 869),(-1.7763568394e-15 1011),(3.5527136788e-15 1143),(6.66133814775e-15 1287),(4.4408920985e-15 1424),(3.5527136788e-15 1569),(-2.6645352591e-15 1719),(3.10862446895e-15 1859),(4.88498130835e-15 1999),(-0.0018881397406 2138),(0.0 2284),(1.33226762955e-15 2426),(3.99680288865e-15 2576),(-0.0011808580577 2718),
Point1,H1,(14.5143804263 28),(18.1018079718 181),(14.5887508463 333),(14.2181494057 477),(16.7841615839 620),(13.3234893421 762),(14.4429221464 894),(14.7493943257 1034),(14.2751543495 1168),(14.375174749 1307),(15.6493454003 1450),(17.0402121449 1596),(15.2335525652 1736),(15.5999261769 1879),(14.3542752195 2021),(13.969981909 2163),(15.9451583461 2308),(14.9340819255 2457),(17.0434955875 2601),(13.1928700465 2744),(10.7971681074 2876),
Point1,H2,(7.01649077603 58),,,,,,,,,,,,,,(6.50660963125 2053),,,,,,
Point1,H3,(7.41848911258 73),,,,,,,,,,,,,,(7.0450627664 2066),,,,,,
Point1,H4,(2.88741050974 125),(8.39092106083 216),,,,(1.66862972267 837),(0.494318910757 968),(2.44788056243 1112),,(1.54852960346 1383),(2.42906994927 1527),,(2.52502788437 1817),(2.50330572999 1958),(1.67406907723 2103),(2.6565038504 2243),(2.26184551888 2394),,(9.29620112742 2629),,
Point1,H5,(2.88978682404 127),(8.52598564178 224),,,,(1.82489785368 847),(0.7658797116 980),(2.65146938261 1121),,(2.52962636186 1397),(2.51022076174 1534),,(2.87756244545 1827),(2.83642908989 1969),(2.05733248437 2114),(3.03416709029 2255),(2.26911588587 2397),,(9.51614660981 2638),,
Point1,H6,(-2.6645352591e-15 148),(-0.0077711609247 304),(-0.000202630240075 442),(1.33226762955e-14 580),(1.33226762955e-14 728),(7.9936057773e-15 865),(-0.00325279254786 997),(6.2172489379e-15 1140),(7.9936057773e-15 1274),(-0.00190149215287 1415),(-8.881784197e-16 1561),(-6.2172489379e-15 1700),(4.4408920985e-15 1845),(3.5527136788e-15 1989),(1.7763568394e-15 2132),(-4.4408920985e-15 2276),(-5.3290705182e-15 2420),(-0.0011130204899 2555),(-0.00828084875253 2708),(-0.00752726543865 2849),
