Cycle,0.7108
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(11.5002552319 28),(7.26240893652 183),(11.0950911731 347),(11.5550305993 518),(11.4380382201 680),(13.1026820859 842),(12.0834197642 1010),(10.7358621279 1165),(8.34339231186 1313),(9.06548446267 1465),(10.9166389623 1629),(12.0894306542 1800),(11.1183781973 1956),(8.07373178395 2093),(10.3605566518 2233),(8.39171291961 2361),(7.54955820354 2506),(9.45721715842 2651),(8.28155929976 2794),(10.3796944248 2939),(10.1851714314 3083),(7.87600725843 3213),(7.66801611392 3349),(9.73003767959 3481),(8.15345949841 3609),(7.23808685278 3737),
Point0,H2,(5.88477804297 71),(3.05669453738 217),,(8.27989237768 542),(7.17372767465 706),(9.33917786512 862),,,(5.15083335203 1351),,,,,,,(5.31818082901 2377),(5.46524327351 2528),,,,,(2.63382951583 3255),,,,
Point0,H3,(5.96111676259 78),(4.21026558234 244),,(8.63665407109 554),(7.19378956734 710),(9.43031182962 869),,,(5.80089196919 1365),,,,,,,(6.70033259912 2391),(5.5100587156 2534),,,,,(3.51517108122 3268),,,,
Point0,H4,(1.30963736087 119),(1.90725406592 271),,(2.07330712983 611),(1.04361430917 797),(7.30576947315 893),,(1.65665538362 1253),(2.30385264578 1396),,(7.89915012855 1673),(2.32403624647 1892),(6.15870194971 1988),(3.73470559939 2134),,(3.8442640926 2412),,,,(1.30236027691 3032),(1.41661367711 3162),(1.02838754731 3289),,,,
Point0,H5,(1.58924948427 130),(1.95121639572 277),,(2.21586188709 620),(1.04699534371 799),(7.32680468682 897),,(2.29547448357 1266),(2.31321755885 1400),,(7.91929180722 1678),(2.87521647177 1905),(6.46348520704 2000),(4.37596418855 2148),,(4.00018109002 2420),,,,(1.38903305514 3040),(1.55783526674 3170),(1.42308646296 3300),,,,
Point0,H6,(-1.33226762955e-14 150),(-0.00699592086061 308),(-1.24344978758e-14 484),(-7.54951656745e-15 645),(-1.15463194561e-14 815),(-5.3290705182e-15 978),(2.6645352591e-15 1137),(-8.881784197e-16 1284),(-0.00558527603194 1437),(-0.00724564590772 1600),(4.4408920985e-15 1764),(7.1054273576e-15 1924),(0.0 2068),(4.4408920985e-16 2196),(8.881784197e-16 2336),(-0.00413973859167 2475),(-0.0028143858158 2613),(-0.00210452623512 2765),(-0.00602382857307 2910),(0.0 3056),(-0.000694192578223 3187),(-3.99680288865e-15 3316),(-1.7763568394e-15 3445),(3.5527136788e-15 3579),(-0.00101351360601 3709),
Point1,H1,(28.612852137 27),(26.1645136595 184),(29.6854266829 345),(29.3406021966 518),(28.3938848723 680),(30.6643557596 842),(28.5182439794 1009),(28.8311282076 1163),(25.3705337724 1311),(28.4994788956 1466),(30.3600385592 1628),(29.070592752 1800),(26.3180942709 1953),(24.5899598459 2094),(26.8827908133 2232),(25.4558881438 2364),(26.4090240346 2506),(28.3430831359 2650),(27.7049008415 2794),(28.5055358238 2938),(26.702836296 3083),(23.3464681317 3214),(25.9586526204 3349),(26.1727475002 3481),(24.571983786 3609),(25.6107533903 3738),
Point1,H2,,,(19.921711203 369),,,(21.5824286217 862),,,,,,,(14.9260645963 1992),,,,,,,,(10.9625747757 3131),(10.0294525308 3255),,,,
Point1,H3,,,(19.957608729 373),,,(21.8692741294 869),,,,,,,(15.0331524284 1998),,,,,,,,(11.0889380589 3136),(10.650335225 3265),,,,
Point1,H4,,(3.93480622629 275),(5.92308068819 456),,(3.10867133989 794),(6.1884730552 951),(4.78132881869 1114),(4.94337130996 1254),,(4.61240416221 1576),(16.45390966 1675),(5.37790944658 1893),(5.85014898533 2041),(12.3441901223 2138),(4.14179275188 2314),(11.0980036346 2411),,,,(3.13232936856 3030),(3.59129956804 3161),(3.78656703126 3290),,,,
Point1,H5,,(4.03733565179 282),(5.95919764744 460),,(3.23238253017 800),(6.41576953891 958),(4.87041358633 1119),(5.6577039518 1265),,(4.81944886323 1583),(16.6588760782 1682),(6.09622156989 1904),(5.94033379701 2046),(12.4286248923 2143),(4.27853097937 2320),(11.2908102757 2418),,,,(3.7519076443 3041),(4.19507644411 3170),(4.06872032347 3297),,,,
Point1,H6,(-5.3290705182e-15 148),(-0.0142286203573 310),(1.7763568394e-15 483),(-1.7763568394e-15 645),(-1.7763568394e-15 816),(-0.00791768837184 979),(2.84217094304e-14 1137),(1.95399252334e-14 1283),(7.1054273576e-15 1438),(1.59872115546e-14 1601),(3.5527136788e-15 1763),(2.30926389122e-14 1923),(1.24344978758e-14 2066),(1.06581410364e-14 2196),(1.7763568394e-15 2337),(1.7763568394e-15 2476),(1.42108547152e-14 2614),(2.48689957516e-14 2763),(1.42108547152e-14 2911),(1.95399252334e-14 3057),(1.59872115546e-14 3186),(7.1054273576e-15 3315),(7.1054273576e-15 3447),(1.42108547152e-14 3579),(3.5527136788e-15 3708),
