Cycle,0.903964076859
Average Width,10.6509125437
Width,,0.0,3.95028965536,23.8775362904,3.78843644978,7.40765729288,9.34785363515,21.1328313268,0.0,453.405268712,8.50356519381,17.6224600984,18.3032636459,6.88916822149,6.83209072523,0.0,0.0,0.0,9.11773676337,7.89773623338,0.0
Point0,H1,(8.21652261874 23),(4.41647190361 140),(10.6505143222 236),(4.00591569642 310),(10.9651334347 428),(13.9119476961 612),(13.2599786752 806),(14.5299129703 1022),(11.751945423 1203),(9.00303634546 1406),(9.84189743231 1591),(11.0366743308 1805),(10.2030890972 1990),(10.5790647236 2208),(13.4711818137 2390),(13.5413077268 2609),(11.039883025 2797),(10.5106102728 2983),(9.63026483775 3174),(11.9597045905 3389),(10.6834609285 3588),(8.37566351423 3750),
Point0,H2,,(-7.1054273576e-15 161),,(1.74575115378 347),(5.66217712177 471),,(2.37611482646 887),(9.20305798506 1047),(-0.00684540776976 1302),,,,(-0.0194585974282 2112),(4.96701389579 2238),,,(3.77937466832 2853),,,,,,
Point0,H3,,(4.21315756965 179),,(2.51273476661 364),(5.69475210954 476),,(3.82397640158 912),(9.75889974991 1060),(2.41545845614 1342),,,,(1.18927169441 2144),(7.41459924315 2262),,,(4.0141602328 2864),,,,,,
Point0,H4,,(2.73145590134 191),,,(-1.15463194561e-14 529),(1.21551343931 730),(-0.00320382449152 944),(1.07670604904 1139),(-0.00691072848762 1358),,,(1.83047863315 1885),(1.00082206194 2153),(-0.000122140542272 2302),,(1.02088673146 2722),(0.0963195387089 2910),(3.71606728145 3080),(0.914628760093 3312),(2.57631102722 3503),(1.14756874584 3697),,
Point0,H5,,(10.6256365248 216),,,(4.46607107196 569),(1.22609712192 735),(14.2948514063 1000),(1.49874369278 1150),(8.95487239587 1386),,,(2.28743245331 1901),(10.4880806472 2182),(3.770912831 2339),,(1.38972635178 2734),(0.787222451737 2926),(4.1137722041 3101),(1.27123918529 3325),(2.98184001277 3515),(1.81686083902 3710),,
Point0,H6,(-0.0328252246875 1),(-0.015865651065 97),(-7.1054273576e-15 161),(-0.0208185761583 275),(-0.0337511539781 382),(-1.15463194561e-14 529),(-0.0110961053229 759),(-0.00320382449152 944),(-0.0352403224677 1165),(-0.00684540776976 1302),(-0.00691072848762 1358),(-0.316952673064 1484),(6.2172489379e-15 1729),(-2.59919331991e-05 1954),(-0.0194585974282 2112),(-0.000122140542272 2302),(1.7763568394e-15 2555),(7.1054273576e-15 2749),(0.0 2941),(-2.6645352591e-15 3136),(-0.00137448271147 3340),(7.9936057773e-15 3535),(9.32587340685e-15 3725),(-0.00257015811578 3835),
Point1,H1,(12.3426503757 26),(17.6699233079 237),(14.5364057032 413),(18.080500327 614),(17.38681682 808),(18.8586292158 1001),(17.2440555754 1199),(12.9881217191 1404),(15.0682864199 1592),(14.1792279011 1792),(14.1373336705 1993),(14.5622067648 2185),(16.0367630018 2393),(17.006234328 2589),(14.9992846159 2792),(15.2972542133 2984),(14.2213999203 3176),(16.273579051 3372),(15.4254508604 3582),(12.6736982262 3754),
Point1,H2,,(6.63708792017 297),(14.1978397647 422),,(6.42703545529 858),(10.0099274519 1052),,,,(14.1218406071 1798),,,(9.10380408579 2436),(16.5160236678 2601),,,,(15.7882279653 3382),,,
Point1,H3,,(7.61372760102 317),(14.3341249054 430),,(6.48712399823 863),(10.0375185139 1056),,,,(14.1476743933 1803),,,(9.12991007231 2442),(16.5172747816 2603),,,,(16.0159622168 3390),,,
Point1,H4,,(3.09838819341 353),(-0.00160394305873 531),(-0.00626478235137 729),(2.58028526511 892),(1.46517635369 1139),(1.73916740965 1325),,(-4.4408920985e-15 1731),(0.530318068945 1925),(-0.00632292493528 2121),,,(0.771215095322 2724),(0.973775453263 2908),,(1.38609031721 3319),(2.69336232574 3506),(1.69954453639 3700),,
Point1,H5,,(3.52903345378 365),(3.48275815753 561),(0.536249152956 746),(3.21334227655 911),(2.17807583567 1151),(2.67847935399 1342),,(0.842031339784 1745),(0.62981862682 1935),(1.44138362772 2146),,,(1.46368668902 2736),(1.95102028392 2926),,(1.42857078636 3325),(3.64874401859 3519),(2.31116755751 3711),,
Point1,H6,(-0.0287864232199 1),(-0.00699210169831 101),(-0.00646033877698 162),(-7.9936057773e-15 384),(-0.00160394305873 531),(-0.157347503473 763),(-0.0173872280123 948),(-0.0074750271475 1167),(4.88498130835e-15 1360),(-0.0459698241274 1511),(-0.136982989076 1758),(-0.00845206244316 1954),(-0.00632292493528 2121),(-6.2172489379e-15 2305),(1.06581410364e-14 2555),(-2.6645352591e-15 2750),(-0.00449545633001 2943),(-9.7699626167e-15 3138),(-1.15463194561e-14 3341),(-8.881784197e-15 3537),(-3.5527136788e-15 3727),
Point2,H1,(17.9401004739 27),(20.332033864 235),(17.9962073929 414),(20.4629852701 616),(20.7139787607 809),(21.739381657 1002),(20.689682573 1199),(17.4261638983 1397),(18.3697355309 1593),(17.3175761687 1793),(17.7655687044 1994),(17.5193109407 2187),(18.6900729022 2392),(19.9725183035 2588),(18.6250631578 2784),(19.3860735084 2984),(18.9120844492 3177),(19.9550522799 3371),(18.7143341078 3579),(16.3732664908 3757),
Point2,H2,,(7.05344160622 303),(17.5435433267 424),,,(10.4817097219 1051),,,,,,,,,,,,,,,
Point2,H3,,(7.7355465232 318),(17.6152899412 429),,,(10.5845402975 1058),,,,,,,,,,,,,,,
Point2,H4,,(2.71958530608 354),(-8.881784197e-15 534),(-0.00726601383994 734),(1.99698019987 894),(1.97609281526 1140),(2.43497260767 1328),(-0.0230534821537 1522),(-0.00304001836788 1731),(0.378511949546 1926),(-0.000123544842441 2125),(-0.00419099561275 2306),(0.751503522874 2534),(1.10908778584 2724),(1.58925576086 2911),,(1.35717575856 3320),,(1.66677414552 3699),,
