Cycle,0.851064236111
Average Width,3.82474916087
Width,,3.57279026033,3.88606862595,3.51899761304,3.34319904141,4.05037262501,3.6986135882,3.89026397719,3.96450279752,3.67892793128,3.92823598483,3.99509746093,3.88018113662,4.05043485531,3.63645689267,3.82448922209,3.96423509126
Point0,H1,(3.04697022417 25),(8.89709506535 237),(3.24841216355 423),(1.27190530651 517),(8.44194131899 644),(6.60251634336 865),(8.72124844948 1019),(7.91197624331 1228),(8.70634311573 1423),(10.3544251073 1630),(10.0271051132 1818),(9.09026185276 2010),(8.01704473688 2208),(8.91897195448 2421),(10.9314033751 2598),(10.035387701 2793),(8.28179076991 2990),
Point0,H2,,,,(0.501267286883 535),,(1.35279096007 933),(7.96959262294 1034),,(5.81193174133 1467),,,(5.38336341132 2055),,,,,
Point0,H3,,,,(0.767099986152 547),,(1.61635935109 946),(8.04647857451 1042),,(5.89445753341 1476),,,(5.97751268731 2076),,,,,
Point0,H4,,,(-0.00519913225305 469),(0.089768614563 564),,(0.144334573167 968),(1.45291159079 1157),(1.32553830751 1366),(1.22410631447 1561),(6.95191473391 1693),(5.39519165954 1862),(4.29266807408 2106),,(7.25863612734 2463),,,
Point0,H5,,,(1.25725341129 488),(0.71298356358 578),,(0.332057354993 978),(2.00231479022 1169),(1.33172297195 1370),(1.2636476014 1567),(6.95406635796 1695),(5.98090954648 1876),(4.30607639915 2111),,(7.43630297408 2478),,,
Point0,H6,(-1.81337035299 85),(-0.175618461732 389),(-0.00519913225305 469),(-0.0110784755518 591),(-7.1054273576e-15 788),(-5.77315972805e-15 989),(-8.881784197e-16 1187),(-2.6645352591e-15 1391),(-2.6645352591e-15 1584),(8.881784197e-16 1779),(-6.2172489379e-15 1970),(3.5527136788e-15 2174),(-4.4408920985e-15 2368),(-1.33226762955e-14 2562),(1.7763568394e-15 2752),(3.5527136788e-15 2948),
Point1,H1,(19.341109986 30),(22.491677741 234),(19.4996407595 426),(21.4366585835 623),(19.5723039513 820),(22.3879743475 1019),(21.9057648864 1226),(20.8831230175 1420),(23.0003250558 1616),(23.1382174774 1817),(23.5447316683 2009),(21.524023875 2204),(20.8312358044 2396),(23.8604755198 2599),(25.259400895 2793),(22.394911967 2984),
Point1,H2,,,(8.52647987337 476),,,,,,(22.8352264497 1623),,,,(19.3283314617 2408),,,
Point1,H3,,,(8.63879604244 484),,,,,,(22.9639750328 1629),,,,(19.8053452125 2417),,,
Point1,H4,(2.32259775656 163),,(2.49059266839 563),(3.6656963717 758),,(3.51083046581 1157),(2.82431974049 1366),(2.84557339561 1557),,(10.2072196223 1866),(12.6034168623 2059),,(4.53536422595 2537),(2.9812803427 2725),,
Point1,H5,(3.13314986937 176),,(3.12715125993 575),(4.10245887482 767),,(3.84948139648 1166),(2.95820684296 1373),(3.32467968594 1567),,(10.4470117033 1875),(12.8394850726 2068),,(4.53567682731 2538),(3.07879400177 2732),,
Point1,H6,(-5.3290705182e-15 192),(-7.1054273576e-15 386),(8.881784197e-15 592),(-3.5527136788e-15 785),(-8.881784197e-16 985),(3.5527136788e-15 1185),(-5.3290705182e-15 1391),(-7.1054273576e-15 1584),(-1.06581410364e-14 1778),(-5.3290705182e-15 1970),(-8.881784197e-15 2173),(-1.7763568394e-14 2368),(-8.881784197e-15 2561),(-1.7763568394e-15 2752),(1.06581410364e-14 2947),
Point2,H1,(11.0825662587 30),(13.2491178869 229),(10.7037257005 427),(13.5560630589 622),(12.1460471628 819),(14.0072762953 1020),(15.4212987797 1225),(13.401726438 1422),(14.7430427471 1615),(15.4440982236 1818),(16.222647866 2011),(15.907270982 2204),(15.0670068018 2417),(17.7970213097 2599),(19.8997102283 2792),(18.4423034526 2985),
Point2,H2,,,,(9.24143396352 664),,(13.2872207465 1032),,(6.42998791483 1500),(14.4126861002 1626),,,,,,,
Point2,H3,,,,(9.48958548841 674),,(13.5142312685 1040),,(6.5282671256 1509),(14.4256845334 1630),,,,,,,
Point2,H4,(1.06074338208 162),(4.45280688385 330),(5.81506855248 473),(2.65234170261 757),(0.0603325120261 969),(2.40473882901 1157),,(2.01579218573 1560),,(7.88795307437 1868),(8.52070046047 2060),,(3.29816404776 2533),(2.76709837731 2726),,
Point2,H5,(1.58616558992 176),(4.48285689201 337),(6.27854825382 486),(3.06948306221 767),(0.149655564605 977),(2.64791075721 1167),,(2.08391115061 1566),,(7.9317677413 1873),(8.57301203646 2067),,(3.42106117713 2541),(2.88846163788 2733),,
Point2,H6,(-9.7699626167e-15 192),(-7.1054273576e-15 390),(-2.6645352591e-15 590),(-1.7763568394e-15 786),(-0.00518784104212 985),(1.7763568394e-15 1185),(-6.2172489379e-15 1392),(-1.7763568394e-15 1583),(-2.6645352591e-15 1778),(0.0 1970),(2.6645352591e-15 2173),(-4.4408920985e-15 2368),(-1.7763568394e-15 2561),(1.7763568394e-15 2753),(-1.7763568394e-15 2946),
Point3,H1,(6.68419847491 159),(6.4126291256 359),(5.72737401411 472),(6.18656661287 557),(6.70516641047 750),(6.79659339652 879),(7.42088045297 950),(7.69794566432 1152),(4.73400510638 1240),(6.65802076834 1358),(8.40083391332 1549),(6.95987770445 1746),(9.23758748393 1939),(5.3405428514 2023),(7.61210099971 2141),(8.56621187246 2335),(8.21796802086 2527),(9.50739027431 2718),(8.23606550432 2910),
Point3,H2,,,,(8.881784197e-16 602),,,(-1.7763568394e-15 985),,(4.10841097121 1259),,(-0.00465873567469 1595),,,(4.61844286864 2038),,
Point3,H3,,,,(3.38562771699 632),,,(6.69192745918 1087),,(4.172766956 1270),,(2.80730528851 1626),,,(5.15473116304 2061),,
Point3,H4,,,,(3.20191602078 643),,,(6.65937283333 1097),,(4.1638522959 1275),(7.9936057773e-15 1387),(2.5911056452 1639),(6.66133814775e-15 1804),,(5.0806356897 2074),,
Point3,H5,,,,(6.37867947648 722),,,(7.49464060301 1120),,(6.08618095547 1328),(7.7107507892 1523),(4.22009387295 1669),(3.47947859564 1833),,(6.85225132358 2113),,
Point3,H6,(4.4408920985e-15 194),(1.7763568394e-15 393),(8.881784197e-16 602),(-8.881784197e-16 798),(-1.7763568394e-15 985),(3.99680288865e-15 1194),(7.9936057773e-15 1387),(-0.00465873567469 1595),(6.66133814775e-15 1804),(6.2172489379e-15 1976),(4.4408920985e-15 2171),(-8.881784197e-16 2385),(0.0 2567),(2.6645352591e-15 2757),(0.0 2951),
