Cycle,0.964140625
Average Width,0.0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(18.931143268 104),(18.4347356641 296),(19.7218166735 489),(20.1478724582 682),(21.0031123474 873),(20.5629366962 1065),(21.4367741277 1267),(19.3768799356 1463),(20.1176293341 1664),(22.027961577 1864),(20.5398474479 2060),(20.9949934025 2264),(19.2569878815 2462),(20.6079418664 2666),(19.4201448229 2871),(18.0920053005 3077),(16.5229141571 3273),(19.4174447162 3479),(19.0720460065 3688),(19.2625702566 3882),(18.802227906 4088),(18.4517674067 4283),(18.8529439395 4487),(18.8975316443 4685),(19.8397502657 4887),(18.2026347063 5081),(19.9439640276 5284),(20.9031624655 5480),(20.458079602 5676),(20.1380340073 5870),(20.8417024694 6072),(22.0443211275 6266),(20.0080368145 6465),
Point0,H2,,(3.41737524731 387),,,(7.3326613094 923),(7.44344835243 1113),,,,(3.85871527389 1954),,,,,,(4.67376770003 3161),,,(2.56184614841 3800),,,(2.65757442778 4390),(7.92084138088 4538),,,(3.62334700122 5176),,(8.92501244876 5532),,,(2.34676507453 6191),(10.4839744879 6312),,
Point0,H3,,(3.74274410611 399),,,(7.33347981805 924),(8.03012912743 1124),,,,(4.11713374906 1967),,,,,,(4.79466978323 3170),,,(2.73141645222 3809),,,(3.00551961126 4402),(7.92813995929 4541),,,(3.64584222315 5183),,(8.9270548538 5534),,,(2.34769913862 6193),(10.9563493266 6322),,
Point0,H4,(2.7774265156 227),(1.64872379646 420),(5.30809719902 575),,(2.46605756351 988),(4.51480859582 1159),(0.846312221743 1396),,(2.84007815989 1790),(1.69881585854 2005),,,(2.05239013298 2594),,(5.37065961473 2961),(0.991227532387 3221),(3.85714385113 3381),(1.9976635454 3618),(0.893960221215 3830),(0.8500819574 4019),,(2.07558078762 4418),,,,(1.02745146807 5218),,(1.79248309007 5619),(1.91456900515 5809),,(1.61059846157 6213),(2.34862074488 6403),,
Point0,H5,(2.77899770777 229),(1.96169518769 430),(5.44068728278 586),,(2.4902504631 994),(4.57055680432 1167),(0.983658018829 1405),,(3.30284705555 1803),(1.71250010996 2009),,,(2.38351897042 2605),,(5.37357677373 2964),(1.20611642783 3230),(3.96791644979 3389),(2.22058311426 3628),(1.02924098152 3838),(1.25137191758 4031),,(2.50489415678 4429),,,,(1.58269137898 5231),,(1.98309548913 5628),(2.96586295352 5822),,(1.64118461996 6219),(2.96018794488 6414),,
Point0,H6,(2.6645352591e-15 68),(6.2172489379e-15 256),(-3.5527136788e-15 447),(-0.00192475290994 641),(-0.000319535260915 838),(-7.9936057773e-15 1031),(-3.5527136788e-15 1228),(-4.4408920985e-15 1424),(3.5527136788e-15 1628),(-5.3290705182e-15 1823),(-3.5527136788e-15 2027),(-6.2172489379e-15 2223),(-8.881784197e-15 2426),(-1.06581410364e-14 2625),(-7.9936057773e-15 2830),(-8.881784197e-15 3037),(-5.3290705182e-15 3243),(-4.4408920985e-15 3440),(-8.881784197e-15 3646),(1.95399252334e-14 3851),(1.06581410364e-14 4049),(5.3290705182e-15 4247),(1.7763568394e-15 4447),(-7.9936057773e-15 4649),(1.50990331349e-14 4847),(-2.6645352591e-15 5047),(-2.04281036531e-14 5245),(-2.39808173319e-14 5440),(-8.881784197e-15 5644),(3.5527136788e-15 5838),(-8.881784197e-16 6029),(-7.1054273576e-15 6235),(-1.42108547152e-14 6430),
Point1,H1,(11.4686684557 112),(8.51935697161 347),(11.3301619521 529),(10.5636910379 721),(10.9832486343 930),(11.2663696205 1120),(12.2169509983 1319),(12.015037022 1485),(9.82261898906 1720),(11.9760301205 1912),(11.5133400337 2117),(10.7116790718 2311),(11.0399630229 2514),(10.4625231834 2714),(9.6193547285 2919),(10.7722661199 3126),(8.52658346772 3332),(9.36807260975 3530),(9.95944219967 3731),(9.76862108585 3943),(11.1449563364 4140),(9.70983686269 4336),(9.83661813717 4536),(10.0102325473 4737),(9.77650666364 4941),(9.67219826379 5139),(11.1434377714 5335),(9.52313604343 5523),(10.4851332268 5732),(10.0881878972 5929),(11.2025658783 6119),(9.74064226404 6326),(8.26984282719 6519),
Point1,H2,,,(-2.39808173319e-14 577),,,,(-1.42108547152e-14 1356),,,,(-2.6645352591e-15 2150),,(3.5527136788e-15 2555),(-1.68753899743e-14 2753),,(9.7699626167e-15 3175),(1.33226762955e-14 3362),(-8.881784197e-16 3568),,,(-8.881784197e-16 4176),,,,,(1.24344978758e-14 5170),,,,,,,,
Point1,H3,,,(8.09024442201 634),,,,(7.2898376882 1425),,,,(5.17189885098 2194),,(5.54098278011 2607),(8.24017263241 2834),,(7.45779008085 3277),(6.42459056239 3440),(5.63548684776 3628),,,(7.98087441494 4262),,,,,(4.83602285034 5217),,,,,,,,
Point1,H4,,(1.15463194561e-14 384),(7.39502485406 650),(-0.00432911453914 770),(-7.1054273576e-15 965),,(7.28710225734 1427),,(-0.0037795333845 1760),(1.15463194561e-14 1956),(5.1420509288 2199),(9.7699626167e-15 2351),(5.52735289308 2612),(7.83910168834 2849),(-1.24344978758e-14 2959),(7.40665673186 3286),(6.31899777708 3450),(5.62844831138 3632),,(-0.00266248641423 3974),(7.27553642725 4280),,,,(-0.00384238157665 4977),(4.75907904717 5224),(1.06581410364e-14 5375),(8.881784197e-15 5568),(-5.3290705182e-15 5767),(1.06581410364e-14 5972),(9.7699626167e-15 6160),,,
