Cycle,0.617246376812
Average Width,4.65281957917
Width,,0,0,0,0,0,4.34987153658,0,4.71864090289,4.45778212952,0,0,0,4.51498435514,4.36720482856,4.62258975296,4.59737909969,4.36992342542,4.90039699772,4.51232763979,4.85638079142,4.5262306577,4.61449752857,0,0,0,0,0,0,0,0,0,0,0,0,4.94397635173,4.67345439875,4.15938300877,4.44634217707,4.45530734943,3.8965203062,3.72329999351,3.85470763728,3.79828927392,3.6325371317,4.48050404457,3.79448362296,4.60109468329,0,0,3.92362846252,4.17583339789,0,4.47390771127,4.41373271734,4.64008528251,4.61711886908,4.24997615874,0,0,4.42371187931,4.22193376816,4.38474439052,4.25783721274,4.50995967685,4.19105637925,4.27647463873,0,4.71413539559,0,4.61004027947
Point0,H1,(29.367108591 30),(32.363331 153),(33.6569049223 281),(31.6849409702 410),(32.2262572671 546),(24.9069141725 669),(33.2260058744 796),(30.4226350152 929),(29.0497791552 1059),(27.700691795 1189),(29.3671169459 1313),(29.1907563619 1440),(26.8643727826 1568),(25.9455411891 1692),(16.9350410335 1824),(22.6030623148 1944),(25.1133264398 2066),(24.8874273903 2180),(26.2520048996 2294),(30.6313306437 2410),(29.8854396448 2530),(27.8377430384 2648),(28.1300981187 2768),(30.0006730824 2889),(30.1466360159 3017),(25.0031769419 3145),(26.4595919584 3272),(28.4857941334 3401),(26.1058549345 3531),(27.2473543266 3660),(25.8269296355 3784),(28.6508061116 3912),(28.8741329101 4038),(27.349344263 4157),(27.7447852275 4274),(29.4750153522 4392),(28.3354188096 4516),(29.4056297779 4648),(26.4835599744 4787),(23.0770668295 4920),(26.0495398735 5058),(21.2246424398 5196),(20.3141314706 5332),(25.3032765846 5463),(28.5080086772 5596),(18.4135626538 5723),(21.8241297283 5843),(25.1433987376 5959),(26.6766427288 6072),(28.163185103 6182),(26.0941856524 6299),(27.4169616246 6421),(26.1614518741 6546),(31.581602589 6663),(30.5239385823 6779),(29.5669298899 6897),(30.293543381 7014),(29.6933309917 7139),(29.4912782772 7264),(27.3660312949 7394),(27.095168853 7525),(26.4382062262 7654),(28.4373056716 7783),(28.9189398776 7911),(27.2963946948 8039),(27.855982054 8167),(28.253702466 8287),(29.4950689353 8411),(31.7643630037 8537),(29.536219274 8671),
Point0,H2,(6.86893207746 61),(8.44491377237 186),(11.5790651272 316),(7.90835757999 448),(11.340517827 576),(-2.22044604925e-14 701),(12.9099262979 831),(9.67267692418 960),(8.55087535615 1089),(5.77824602627 1219),(9.94846271932 1343),(10.6730926673 1471),(9.84413016937 1597),(7.5306000377 1724),(-4.4408920985e-15 1848),(5.27821503328 1972),(5.50496835988 2091),(3.6459358661 2211),(3.29475246992 2326),(9.52847265624 2446),(9.65806498942 2561),(6.75297172975 2681),(7.63056978603 2799),(12.4726705502 2926),(12.2913755352 3049),(-0.0437571528907 3180),(5.51847601636 3302),(7.72804360313 3434),(5.67187701884 3566),(6.72465025659 3689),(6.33365774858 3814),(9.02191597524 3943),(6.79981846262 4069),(7.79674513625 4187),(7.15473338605 4305),(11.5424116171 4423),(10.1757986053 4547),(11.7891532635 4681),(7.84674650455 4818),(10.0484653576 4948),(10.9787061665 5086),(5.39323883291 5229),(9.26395297602 5358),(8.31340344382 5495),(14.273573382 5624),,(4.10355038725 5871),(5.14220499675 5995),(5.48877807858 6103),(8.78874668028 6212),(6.48077813846 6336),,(4.97354144052 6576),(9.77701077549 6694),(9.37005588179 6812),(8.79511737725 6928),(7.69508746004 7046),(9.36193146225 7168),(8.44790739756 7294),(6.86971322729 7422),(5.81060709091 7554),(4.41439597327 7683),(5.93560610232 7813),(7.27350781041 7941),(5.51995093053 8069),(6.68361007222 8197),(6.5182034076 8316),(9.06565945505 8442),(12.3745892155 8570),,
Point0,H3,(11.5484878115 82),(12.2762586107 206),(13.2392430509 331),(10.559987239 464),(15.8103689702 595),(4.52896805728 725),(16.154583397 848),(12.5860798461 977),(11.745933832 1107),(11.4158116596 1243),(14.256788147 1361),(13.5275210025 1489),(13.418226745 1617),(11.1014203291 1742),(12.9486953084 1875),(13.016378023 1992),(9.12326264183 2114),(9.01728761544 2231),(8.57789229695 2346),(10.8529800174 2461),(12.668251017 2578),(9.33803225673 2697),(11.595672609 2818),(13.0891281007 2938),(14.6104967963 3068),(5.12195772456 3202),(10.7802757686 3325),(10.8375214815 3453),(9.87255075568 3586),(14.1888857114 3712),(10.8766434995 3837),(11.9276414718 3961),(12.174144574 4089),(10.9740814322 4205),(10.8218823666 4324),(13.0785154078 4438),(11.7860070372 4562),(13.3138288726 4698),(9.17834436787 4833),(14.3706861063 4970),(11.5443464717 5096),(7.85080475513 5247),(11.7794796506 5379),(12.2677963307 5519),(16.0205546642 5638),,(8.84263728249 5895),(6.79753028353 6010),(8.94111027088 6118),(13.3483104848 6231),(10.0160844273 6358),,(10.0651339621 6597),(13.3695763964 6711),(11.5116337851 6829),(11.3237412444 6947),(9.38187844145 7062),(12.848002627 7187),(12.314232534 7313),(10.5770390706 7442),(10.5032996539 7574),(10.7446347077 7707),(10.2573939553 7833),(11.5378825491 7961),(8.90299823151 8088),(11.4961716155 8215),(11.3642049998 8337),(11.2449635056 8459),(14.4612825282 8587),,
Point0,H4,,,,,,(3.6704514994 740),,,,,,,,,,,,,,,,,,,,(1.98750317464 3220),,,,,,,,,,,,,(-3.5527136788e-15 4866),,,,,,,(7.1054273576e-15 5754),,,,,,,,,,,,,,,,,,,,,,,,,
Point0,H5,,,,,,(3.76755380875 747),,,,,,,,,,,,,,,,,,,,(2.77783216537 3231),,,,,,,,,,,,,(1.69254611875 4882),,,,,,,(5.20297416787 5787),,,,,,,,,,,,,,,,,,,,,,,,,
Point0,H6,(-3.90798504668e-14 124),(-5.3290705182e-15 252),(-0.016087581275 381),(-0.00745351588486 511),(-0.0250468322792 640),(-2.22044604925e-14 701),(-0.0308008263348 765),(-0.0259391386615 895),(3.90798504668e-14 1024),(-1.06581410364e-14 1157),(-2.84217094304e-14 1280),(-2.13162820728e-14 1407),(3.5527136788e-15 1535),(-0.0139028032475 1663),(1.06581410364e-14 1793),(-4.4408920985e-15 1848),(0.0 1914),(0.0 2031),(0.0 2147),(7.9936057773e-15 2266),(0.0 2382),(-0.00276305048308 2496),(-1.7763568394e-15 2621),(2.48689957516e-14 2735),(2.84217094304e-14 2861),(1.7763568394e-14 2986),(-0.0466328905706 3118),(-0.0437571528907 3180),(-0.0421388179673 3245),(1.95399252334e-14 3371),(3.01980662698e-14 3501),(-5.3290705182e-15 3628),(-1.7763568394e-15 3756),(7.1054273576e-15 3883),(2.84217094304e-14 4005),(2.30926389122e-14 4127),(2.84217094304e-14 4240),(1.95399252334e-14 4363),(3.19744231092e-14 4481),(1.7763568394e-15 4617),(-1.42108547152e-14 4747),(-3.5527136788e-15 4866),(-1.7763568394e-14 5024),(-0.00971196527169 5164),(-0.00189902341763 5280),(1.06581410364e-14 5433),(-7.1054273576e-15 5565),(-0.0116343686666 5695),(7.1054273576e-15 5754),(9.7699626167e-15 5811),(7.1054273576e-15 5930),(-2.6645352591e-14 6044),(-0.042750617455 6154),(5.3290705182e-15 6271),(-0.0164712780937 6391),(-1.95399252334e-14 6512),(-1.42108547152e-14 6635),(1.24344978758e-14 6750),(-1.06581410364e-14 6864),(-1.7763568394e-15 6982),(-1.7763568394e-14 7105),(-3.5527136788e-15 7231),(-7.1054273576e-15 7360),(-0.00303695928059 7490),(0.0 7622),(8.881784197e-15 7752),(1.06581410364e-14 7879),(0.0 8009),(0.0 8134),(-7.1054273576e-15 8256),(-1.7763568394e-15 8381),(-8.881784197e-15 8508),(1.7763568394e-15 8639),
Point1,H1,(21.0977164204 30),(24.5558445575 153),(25.9272086491 282),(25.7854892245 410),(23.402593329 545),(20.7245951882 670),(26.4115757715 796),(25.7298050643 929),(24.4981834215 1059),(22.6951779339 1189),(24.0777724165 1312),(23.8244226665 1439),(23.2320050399 1568),(23.6961062947 1692),(15.7141673838 1823),(20.2216838809 1944),(25.0936277839 2066),(25.2966814453 2180),(24.8351492147 2294),(26.0904721828 2410),(26.6446791212 2529),(24.8711315023 2647),(22.9411246707 2767),(22.7987032863 2889),(23.8336870353 3016),(19.6875013409 3145),(19.8193602353 3272),(22.0819790098 3402),(21.4369541392 3530),(21.0492669517 3660),(19.9137782402 3783),(22.6128849461 3912),(22.584629326 4038),(22.5222706879 4157),(23.367048127 4273),(24.9575898131 4392),(25.5833276074 4515),(25.951592121 4648),(22.2474010388 4788),(22.2499995785 4920),(26.6744598735 5059),(25.0691275087 5195),(24.4527955073 5332),(28.0292373568 5463),(25.2271511311 5596),(19.5453184926 5724),(20.072458603 5843),(20.712095859 5958),(17.6772814066 6072),(25.8904126913 6182),(22.6499643704 6297),(21.7023534307 6422),(21.3588641947 6546),(28.1475093037 6663),(25.7210820665 6779),(24.3719471218 6897),(25.5590386963 7013),(23.0926132385 7138),(24.0070133337 7264),(23.0756836713 7394),(24.0487501725 7525),(23.028319493 7654),(24.9992500418 7783),(25.3832848177 7911),(24.6871383174 8039),(24.2290918274 8167),(23.1525288999 8287),(24.2746157899 8411),(25.3709136148 8537),(24.3091162798 8670),
Point1,H2,(5.15789839241 61),(6.75282911582 187),(8.44313992336 316),(7.21126977986 448),(6.78402735575 577),(5.05058622978 702),(8.75539277417 830),(8.41485254199 960),(6.90474467568 1089),(5.0580375212 1219),(8.73049147235 1344),(9.48171538972 1471),(9.31862849114 1596),(7.19276186835 1723),(9.7699626167e-15 1848),(4.6247965779 1971),(4.28119915756 2091),(3.10901213864 2210),(3.60164027701 2325),(7.86622053889 2444),(7.85107187481 2561),(5.75336320622 2681),(5.89075554628 2799),(9.90482152306 2925),(9.9079937303 3049),(-0.0240818166848 3181),(4.0206833887 3303),(6.54717913168 3433),(4.89868472329 3566),(5.78402966352 3688),(5.56068029997 3814),(7.1620076376 3942),(5.06922438122 4068),(6.762584067 4186),(6.32470785341 4306),(9.41643637547 4422),(9.3211288648 4546),(9.85533742558 4679),(6.2844249126 4818),(9.07937674358 4948),(9.33288957578 5088),(6.64293978022 5228),(10.7476199873 5359),(8.06866346171 5495),(11.550887097 5625),(2.7716504452 5754),(2.96595793002 5871),(3.33231396811 5995),(3.66209224438 6102),(8.56698499912 6212),(5.22864730221 6336),(5.92916617043 6456),(5.33776830002 6576),(8.99443449393 6693),(8.01603949259 6812),(7.23026812271 6928),(7.07882735828 7045),(9.27801185309 7167),(8.28545448967 7295),(6.79766938103 7421),(5.46340482706 7554),(3.87152567795 7683),(4.8191614716 7812),(6.29153222045 7940),(5.7291328148 8069),(6.13576032869 8196),(6.15792370048 8316),(7.90844154992 8442),(10.8644341973 8571),,
Point1,H3,(8.28311328454 81),(9.85277024566 207),(9.90028232758 332),(9.96846914273 464),(9.92637217407 596),(7.95180184437 723),(11.8112301315 848),(10.8038545229 977),(10.0432552447 1107),(10.0176910063 1241),(12.1324349689 1362),(11.9025669978 1489),(12.2895776345 1616),(11.0373020433 1742),(12.0558674436 1875),(12.5166941844 1991),(8.0270999525 2113),(8.55477605808 2230),(7.91013303992 2345),(9.35163326327 2461),(11.1747187268 2579),(8.06930037153 2698),(9.22414964505 2818),(10.399459761 2938),(11.4774747175 3068),(3.71758192689 3203),(7.90509041658 3326),(9.50834273527 3453),(7.99996412817 3585),(10.9958651784 3712),(8.56584805046 3837),(9.70637232058 3960),(9.69430862703 4088),(9.75880926373 4205),(10.1583239743 4325),(11.4267525656 4438),(10.9750075261 4561),(11.8045434153 4697),(8.04419809197 4834),(13.2767607273 4969),(12.0910960602 5106),(9.16981002246 5244),(16.0339821786 5379),(12.0105727141 5518),(13.0778066269 5639),(6.70941424083 5781),(8.33687151264 5894),(4.88416062721 6012),(6.31646324758 6118),(12.2830435491 6230),(8.13898456623 6356),(6.17521355818 6465),(10.3378327851 6597),(12.7803646908 6711),(9.90239944043 6830),(9.71039111015 6948),(8.51548173907 7061),(12.7331023459 7187),(11.4709868453 7313),(9.70491993657 7441),(9.87979170217 7574),(10.0096118843 7706),(9.98069043259 7832),(10.5845326226 7960),(9.04754289387 8089),(10.8368346732 8215),(10.4103606688 8337),(9.80131461532 8459),(12.5378002224 8589),,
Point1,H4,,,,,,,,,,,,,,,,,,,,,,,,,,(1.62314559298 3221),,,,,,,,,,,,,(1.68753899743e-14 4866),,,,,,(1.19938025928 5671),,,,,,,,,,,,,,,,,,,,,,,,,,
