Cycle,0.797320772059
Average Width,6.12053606972
Width,,6.60444263913,5.67214514049,5.81182886607,5.98293984725,6.42023028595,5.96253367405,6.65668300543,6.91150306386,5.30170088227,5.82210688334,4.89643224123,7.09425173497,5.59468213772,7.39118681828,6.61528183156,6.56340604052,7.8711359215
Point0,H1,(6.32662743218 34),(6.22790022259 199),(7.48446652302 359),(7.49610785215 532),(8.23473117042 704),(7.89932277436 869),(9.29615526257 1047),(8.79453078764 1222),(5.82146594428 1400),(6.9537303422 1574),(7.67943210471 1747),(7.45379549728 1914),(7.75975937741 2085),(7.64150216698 2258),(8.09887913488 2436),(8.34161481619 2615),(7.49027601485 2788),
Point0,H2,(0.939288085879 83),,,(3.87084768148 555),(2.95735019577 737),(3.13172676277 914),,,(2.35210897356 1439),(3.27374878977 1599),(4.45564425722 1777),(2.70487158783 1954),(3.94240043266 2132),,(4.62422442022 2469),(2.33596102149 2655),,
Point0,H3,(1.43935282056 96),,,(4.10985491688 566),(4.47185355739 755),(3.41456365209 925),,,(2.3592393104 1444),(4.81736447401 1625),(4.74397136215 1792),(3.35305367199 1969),(4.30107138462 2146),,(4.67296364941 2479),(2.93494064134 2673),,
Point0,H4,(3.77475828373e-15 116),,(3.07897456322 401),(1.35277270108 630),(0.900541658639 800),(0.986047687895 950),(5.37849390373 1076),,(0.159824663517 1495),(1.83520480022 1670),(2.23881282166 1851),(-2.6645352591e-15 2016),(1.1816711599 2190),(4.73907968068 2287),(2.13001292183 2531),(0.228829542421 2720),,
Point0,H5,(1.63379122086 139),,(3.50152127266 416),(1.78781700627 645),(1.2836517095 815),(1.40808906427 963),(5.772038603 1090),,(1.23374952737 1522),(2.08591776899 1685),(2.26951449051 1859),(0.824612638327 2033),(1.27766017422 2199),(5.75617747073 2310),(2.66594491509 2548),(0.745811761887 2737),,
Point0,H6,(-0.00688642653256 1),(3.77475828373e-15 116),(0.0 173),(2.6645352591e-15 333),(-1.7763568394e-15 498),(5.77315972805e-15 669),(9.7699626167e-15 837),(-0.010451001611 1007),(-0.0103498959457 1197),(-0.00403589026009 1306),(4.66293670343e-15 1372),(-4.4408920985e-16 1546),(-3.99680288865e-15 1712),(-5.77315972805e-15 1885),(-2.6645352591e-15 2016),(-3.99680288865e-15 2222),(-3.10862446895e-15 2396),(0.0 2588),(-1.33226762955e-15 2756),(-0.0157535307077 2921),
Point1,H1,(7.56169962592 35),(7.57633794776 198),(9.19801779209 360),(8.8826000177 532),(9.28429980888 704),(9.82616055422 870),(10.1487619918 1047),(10.2594084757 1223),(7.14927929746 1400),(8.29614111645 1575),(8.80556552241 1747),(8.84554648924 1915),(9.07990878462 2086),(8.49582295929 2259),(9.71410175196 2437),(10.2749489202 2616),(8.89739845209 2789),
Point1,H2,(1.87635073483 83),,(3.63167856178 403),,(3.29654074861 738),(3.90746182463 917),(5.63428047015 1077),(3.67273460622 1270),(2.33077948748 1443),(3.958885981 1600),(5.17271488078 1775),(3.11806537305 1955),(4.30393750326 2134),(5.36872578569 2287),(5.59815586783 2470),(3.20073186545 2651),,
Point1,H3,(2.22542162896 95),,(4.40225699504 419),,(5.08655963371 757),(3.96624015572 924),(5.85424535485 1090),(3.86819890616 1279),(2.4544623728 1454),(5.84793490377 1625),(5.6752417527 1792),(4.24295921938 1971),(4.43520833255 2144),(6.31604997057 2308),(5.5990610085 2472),(3.87778498997 2669),,
Point1,H4,(1.06581410364e-14 117),,(1.60290802082 463),,(1.24491719701 794),(1.35413794535 954),(2.14176767299 1156),(1.41968109852 1321),(0.63969810649 1498),(2.38680295011 1678),(2.62665449808 1852),(0.19831191571 2017),(1.07121818893 2190),(0.756945629404 2373),(2.33411795552 2532),(0.762802494109 2718),,
Point1,H5,(2.25760334919 142),,(1.70103467675 473),,(1.70350424583 810),(1.45231415872 965),(2.14179718386 1157),(1.61186981707 1336),(1.2736832357 1520),(2.41261894135 1685),(2.65588288053 1860),(0.800067799679 2033),(1.35606160784 2204),(0.853133996959 2382),(3.35170598116 2550),(1.02766434265 2732),,
Point1,H6,(1.06581410364e-14 117),(8.43769498715e-15 172),(2.22044604925e-15 333),(-5.3290705182e-15 498),(-4.4408920985e-15 670),(-5.3290705182e-15 837),(-0.00269403101 1009),(0.0 1196),(-3.5527136788e-15 1373),(-3.99680288865e-15 1545),(-4.4408920985e-15 1713),(-0.00147409099428 1887),(-6.66133814775e-15 2049),(-7.1054273576e-15 2223),(-5.3290705182e-15 2399),(-5.77315972805e-15 2589),(-8.881784197e-16 2756),
Point2,H1,(9.44020124931 40),(8.51942024307 203),(10.1227622609 365),(10.710102197 536),(10.9055762695 709),(11.1137582254 875),(12.2196921631 1051),(10.3149279902 1227),(7.4793282548 1404),(8.7522498155 1578),(10.5786394259 1751),(10.4047845368 1920),(11.4777533778 2090),(11.453535639 2261),(11.3727030692 2440),(11.1116325037 2620),(9.00890153341 2792),
Point2,H2,(2.50523701799 71),(3.52552131134 240),(4.4223073608 410),(5.889076694 567),(4.39994098106 742),,,(2.51224295987 1270),(3.23410611253 1450),(4.44345184208 1600),(5.67642219131 1777),(4.09285022956 1960),,(6.49205223704 2292),(6.88282198836 2465),,,
Point2,H3,(4.02607399351 94),(5.48821203848 262),(4.58742305304 420),(5.89249358467 570),(5.55734421524 759),,,(2.85941495211 1281),(3.40774537641 1460),(5.62107144428 1636),(6.84684358229 1797),(5.09010237831 1976),,(8.39803005386 2311),(7.20362673716 2475),,,
Point2,H4,(1.33226762955e-15 121),(0.504781960438 312),(2.01733403606 462),(1.78600261242 637),(1.37616102813 798),(1.20748472603 983),(3.42257188568 1147),(8.21565038223e-15 1308),(-0.000928624624121 1512),(1.97318910932 1685),(3.70702905097 1841),(1.02028111087 2016),(1.72395485883 2193),(0.326429989448 2376),,(0.621381131377 2725),,
Point2,H5,(3.59929217204 148),(1.1260067734 325),(2.39243795529 477),(2.45790835847 655),(1.80800021323 814),(1.27505299769 991),(3.76973350801 1159),(1.06055652835 1342),(0.812403098211 1531),(2.19338615687 1696),(3.73572207446 1849),(1.4945656757 2031),(2.01414234642 2205),(0.969765298402 2390),,(1.22688931967 2741),,
