Cycle,0.728394736842
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(7.85226305165 27),(8.18393460658 185),(7.96927003571 331),(8.71298203326 490),(10.2734745545 650),(9.94229981208 810),(11.4958086562 984),(11.5475593398 1145),(12.0574553237 1296),(11.616990345 1449),(10.8277785885 1594),(10.2982217003 1741),(8.96354761412 1889),(7.35819904112 2026),(8.24852010279 2157),(7.9376576685 2297),(8.39883036014 2427),(8.29842974137 2577),(8.94699416025 2729),(10.6295038607 2884),(8.83695645779 3033),(10.2818453442 3179),(10.4860006851 3328),(9.2909300337 3474),(9.21041842855 3614),(9.637874318 3751),(10.0860265715 3879),(9.04669095832 4009),(8.11560477531 4137),(8.81906976915 4260),(7.99504743822 4384),(8.85004923213 4505),(8.98470848318 4635),(11.6152924716 4762),(10.1768449089 4902),(10.7882068085 5037),(13.0398864311 5177),(15.1841866694 5321),(16.2063250984 5473),(15.0409919883 5627),(15.190991958 5786),(13.3417192996 5945),(12.8703236117 6092),(12.7179538161 6248),(12.8483886246 6405),(12.48208646 6555),(11.30301349 6706),(11.4224698384 6857),(11.780921469 7009),(11.9969803657 7161),(12.2743593852 7308),(11.6246210992 7464),(12.1165107484 7615),(13.4970097668 7770),(10.4766066559 7932),(13.2647311436 8090),(12.3793655436 8235),(12.0102541432 8393),(12.2194618911 8550),(12.0293132166 8699),(10.5337418372 8841),(12.2879902426 8987),(12.0844822051 9140),(10.3884563239 9288),(9.71426791583 9433),(10.0473021146 9581),(12.0320895392 9723),(13.3646352792 9874),(12.5637673942 10025),(13.5350637312 10170),(14.7925176786 10327),(14.5832903414 10475),(14.6716419939 10631),(13.849451251 10775),(15.5647996089 10922),(14.8603091061 11066),(12.8907605364 11213),(12.1127176283 11355),(13.1160790121 11503),(11.954222128 11653),(10.3932548574 11797),(12.4093168166 11944),(13.1247047624 12094),(14.8381396428 12248),(13.1685784483 12395),(14.4685719158 12541),(15.5650860541 12695),(14.5586372877 12842),(14.7141571726 12985),(14.8563319853 13129),(14.4573045656 13275),(13.9015928996 13426),(12.893013779 13566),(14.5920910124 13720),(14.1335678047 13870),(13.4309620253 14024),
Point0,H2,(2.06079451546 75),,(3.2513893291 374),(3.85349244697 535),(7.3742170437 672),(4.55912878843 858),(4.91839948223 1036),(6.09652980406 1192),(6.53149930473 1338),(8.05975017646 1471),,(4.62175379197 1802),,(1.75365655671 2071),(3.55187033624 2203),,(3.38729152516 2471),,(4.84739562791 2774),(4.31454173846 2929),(4.13013591205 3078),(4.78548639896 3225),,,(4.21627766043 3655),,,(4.33763192075 4041),,,(4.63205961744 4419),(5.67600799046 4524),,,,(4.79566980705 5081),,(7.00183898185 5368),,(6.30469865606 5673),(6.94759939341 5833),(6.04813359179 5992),(5.82650687658 6136),(6.04299923466 6291),(7.18917679375 6439),(5.60560582188 6599),,(4.63025994656 6902),,,(4.52329425177 7356),,,,(5.12015562747 7977),(6.00161192954 8135),(4.9428928736 8280),(5.8097306775 8439),,(4.83202150978 8744),(3.9470447838 8886),(4.91383808827 9032),,(4.64203529347 9330),,(3.66866920914 9622),(5.71052550337 9766),,(4.48590346313 10076),(5.87644182334 10221),,(6.97639925996 10519),(6.96330514943 10666),(6.70899568978 10823),(7.02383571817 10969),,,(4.34645393106 11399),,(7.29953928118 11687),,(5.42044752041 11994),(5.79427957649 12137),,(5.98629370076 12440),(6.41158259877 12585),(7.34430741821 12744),(4.34764755291 12888),(5.38145912135 13032),(7.45799321628 13173),(6.31193019557 13318),(6.97368839119 13464),(6.26078378917 13607),,,
Point0,H3,(2.41118959748 88),,(4.34246581936 390),(4.19864567157 547),(7.37988402031 675),(4.76171058053 868),(4.92317734327 1039),(6.27192605563 1201),(6.6512886914 1347),(8.10790579316 1476),,(4.62178765473 1803),,(2.63224783072 2087),(3.6368974231 2211),,(4.10707441894 2485),,(4.92055655498 2782),(4.38592811518 2939),(4.39892940525 3089),(4.88378850999 3232),,,(4.93295454779 3668),,,(4.45783144823 4054),,,(4.94262520275 4437),(5.85502503089 4532),,,,(5.37028329007 5093),,(7.24157368038 5377),,(6.81828372035 5685),(7.19969465592 5843),(6.11654928914 5998),(6.16502847785 6148),(6.50703761385 6306),(7.76312241687 6457),(6.32710816143 6613),,(5.54996374492 6917),,,(4.85541840884 7369),,,,(5.39154614359 7988),(6.58573163417 8146),(5.3169263477 8292),(6.19777845313 8450),,(5.17945800924 8755),(4.5894364443 8900),(5.5095865035 9045),,(4.94713148176 9343),,(4.4380006377 9636),(6.26984875016 9779),,(4.49046806998 10078),(5.88024722403 10223),,(7.4067203858 10532),(7.28571988993 10686),(6.77368684401 10830),(7.10691286653 10976),,,(5.23478292358 11413),,(7.30443789865 11690),,(5.51194976295 12002),(6.15466628827 12148),,(6.17964905528 12449),(6.64055594041 12597),(7.37896442182 12750),(4.59525265706 12898),(6.04172245032 13043),(7.80746675225 13184),(7.21925793815 13332),(7.31742015762 13476),(6.76256332801 13620),,,
Point0,H4,(1.06248829294 117),,(1.98742275412 415),(2.23516012905 571),(0.000524101551838 757),(2.01503330585 917),,,,,(1.42148630141 1685),(1.56053431801 1834),,(1.44983408529 2106),,(0.998020585365 2376),(1.82092435493 2516),,(1.78525975609 2820),,,(0.903112906703 3268),(5.75930586042 3366),(1.63544336576 3560),,,(3.38171567031 3929),,(1.66200904307 4199),(1.95939028369 4325),,(2.37392631349 4554),(-0.00160976146035 4719),,(0.486573697297 4984),,,,(0.821403942246 5582),,,(1.93276284283 6040),,(2.1390542015 6344),,,(0.771295669327 6794),(1.50609009658 6950),,(0.634875542806 7256),,,(0.190542922118 7726),,(1.17432207309 8023),,,(2.38789083018 8487),,,,,,,,,,,(1.16025124908 10124),(1.97827275452 10265),,,,,,,(2.01474465077 11309),(1.39178432417 11447),(2.9844851595 11591),,(1.84833675964 11879),,(2.87929041072 12179),(1.25750753771 12346),,(2.78085535254 12633),,,,,(2.12330609558 13368),(2.91586116162 13513),,,,
Point0,H5,(1.42723444264 130),,(2.00415770277 420),(2.61337855353 583),(0.785861014347 772),(2.22309038549 927),,,,,(1.80628278604 1697),(1.8254482408 1843),,(1.49595160722 2112),,(1.09157502601 2384),(1.98946627394 2527),,(2.33981168212 2834),,,(1.62193647657 3283),(6.32040190615 3391),(1.81723867814 3569),,,(3.87856115327 3941),,(1.6760283268 4204),(2.23787274946 4336),,(3.28161766935 4567),(0.0161752308177 4724),,(1.06638346866 4996),,,,(0.823491009354 5584),,,(2.06464191661 6048),,(2.38085496761 6353),,,(1.04638090651 6804),(1.95096297716 6962),,(1.09921102337 7267),,,(0.196871112244 7729),,(1.35051952006 8035),,,(2.4175132534 8493),,,,,,,,,,,(1.17554103941 10128),(2.0358980097 10272),,,,,,,(2.01896194463 11311),(1.70231765655 11458),(3.05093441972 11597),,(1.97289790087 11887),,(2.95195354229 12186),(1.32049189553 12353),,(2.94809581115 12641),,,,,(2.28130296048 13377),(3.04373777193 13520),,,,
Point0,H6,(-2.6645352591e-15 148),(-0.00259822368149 304),(-8.881784197e-16 459),(6.2172489379e-15 622),(8.881784197e-16 784),(7.9936057773e-15 948),(-0.00513051471732 1103),(7.9936057773e-15 1265),(-9.7699626167e-15 1414),(4.4408920985e-15 1568),(7.1054273576e-15 1714),(4.88498130835e-15 1859),(-2.6645352591e-15 1998),(-0.00398213023096 2130),(5.77315972805e-15 2260),(-5.3290705182e-15 2400),(-2.6645352591e-15 2547),(4.88498130835e-15 2690),(-8.881784197e-16 2852),(-1.11022302463e-14 3005),(3.5527136788e-15 3149),(-1.7763568394e-15 3298),(1.06581410364e-14 3443),(9.7699626167e-15 3586),(1.68753899743e-14 3716),(2.22044604925e-14 3842),(1.7763568394e-15 3973),(2.6645352591e-15 4105),(-1.7763568394e-15 4227),(-0.00863235885903 4355),(2.30926389122e-14 4478),(2.6645352591e-15 4607),(-0.00601353888386 4729),(-0.00427387254672 4865),(1.59872115546e-14 5009),(4.4408920985e-15 5143),(-9.7699626167e-15 5279),(1.24344978758e-14 5441),(5.3290705182e-15 5598),(1.06581410364e-14 5756),(-5.3290705182e-15 5908),(1.24344978758e-14 6065),(-2.6645352591e-15 6215),(-1.33226762955e-14 6371),(-7.9936057773e-15 6529),(-8.881784197e-16 6674),(-1.7763568394e-15 6821),(-0.00549778940766 6978),(-0.00413460127137 7129),(-7.1054273576e-15 7280),(-1.59872115546e-14 7431),(-7.1054273576e-15 7587),(-0.01244328694 7739),(-0.00272950901167 7900),(-0.00276224228966 8057),(9.7699626167e-15 8209),(1.15463194561e-14 8357),(1.24344978758e-14 8515),(-0.00634012881651 8670),(-1.15463194561e-14 8809),(-1.33226762955e-14 8959),(-2.6645352591e-15 9106),(-7.1054273576e-15 9253),(-1.7763568394e-15 9406),(-5.19578647751e-05 9553),(-0.0103267513497 9693),(8.881784197e-16 9841),(-1.7763568394e-15 9991),(-1.33226762955e-14 10143),(-7.1054273576e-15 10290),(-1.7763568394e-15 10448),(-7.1054273576e-15 10595),(-3.5527136788e-15 10740),(-1.7763568394e-15 10886),(4.4408920985e-15 11039),(6.2172489379e-15 11186),(8.881784197e-16 11329),(1.24344978758e-14 11473),(-4.4408920985e-15 11619),(-9.7699626167e-15 11765),(-1.24344978758e-14 11910),(-6.2172489379e-15 12066),(0.0 12215),(-8.881784197e-16 12368),(-2.6645352591e-15 12512),(2.6645352591e-15 12660),(-3.5527136788e-15 12813),(-1.68753899743e-14 12955),(-1.33226762955e-14 13092),(-4.4408920985e-15 13248),(-5.3290705182e-15 13394),(-1.42108547152e-14 13539),(-0.0101375649347 13682),(-1.33226762955e-14 13841),(-0.0169317711066 13989),
Point1,H1,(9.38044606701 27),(10.0944033248 185),(9.87571488033 332),(10.1110042239 489),(12.0591660725 650),(12.584200292 811),(13.3349185333 983),(13.3350781217 1145),(13.2434087234 1296),(13.2630279592 1449),(12.7938499232 1595),(12.578392639 1742),(10.6811415453 1890),(8.99128734669 2026),(9.87167633821 2156),(9.48629354272 2297),(9.85472709149 2428),(9.49547822316 2575),(10.8391205501 2729),(12.4726871461 2884),(10.1678851539 3034),(11.2058669115 3179),(11.765023461 3327),(10.1508936561 3473),(10.788290575 3614),(10.2553025643 3751),(10.5780966364 3879),(9.81624469172 4009),(9.0164004356 4138),(8.81278999512 4261),(8.13731499409 4384),(9.19613304984 4506),(10.0163190214 4635),(12.6926625909 4762),(11.0476189503 4903),(11.9325743745 5036),(13.8620316263 5177),(16.1985327927 5320),(17.7007247678 5472),(16.2026024644 5627),(16.3575854267 5786),(14.8856484382 5944),(13.3888764021 6092),(13.7376795259 6248),(13.460892692 6404),(12.7401526172 6555),(12.594944992 6706),(12.0035876353 6857),(11.9785555111 7009),(10.9765496438 7161),(11.8141492098 7308),(11.0079481525 7464),(11.7894210828 7614),(13.5763891465 7771),(10.0950320387 7932),(12.5919843724 8089),(11.4904383218 8236),(11.1592778972 8393),(11.5673106859 8551),(11.2207083269 8699),(9.99068282137 8841),(11.7073521368 8988),(10.9717203194 9141),(8.84424001807 9288),(8.32893806732 9433),(8.61013693756 9582),(11.6764926697 9723),(12.4306112665 9875),(11.2355831029 10024),(12.8130553148 10171),(14.8424451436 10326),(14.4579685933 10475),(14.3105170714 10632),(13.4686291346 10776),(15.8881808456 10922),(14.0637885614 11066),(12.3792867593 11213),(11.7753395372 11355),(12.8232884057 11503),(11.9068289117 11652),(9.81305826823 11798),(12.0055845917 11945),(12.4005750865 12094),(14.0643992493 12249),(11.9880147866 12396),(13.1247727456 12541),(14.8253495188 12695),(13.4755412401 12842),(13.0789116363 12986),(13.5739099013 13130),(13.2349455778 13275),(12.0891310907 13427),(10.8203428967 13566),(12.51216655 13720),(13.0305397949 13870),(12.9125953136 14025),
Point1,H2,(2.68796112578 74),,(4.38406567603 374),(5.06578479801 534),,,,(6.63322425385 1193),(7.25160434368 1342),(6.37192798361 1497),,,,(2.1379590761 2072),(4.25187382659 2204),,(3.96746742331 2471),(3.37261542503 2619),(5.78473022549 2776),(5.45978069527 2926),(4.58268064113 3082),(5.14426209859 3222),(6.51321681653 3366),,(4.87251971968 3655),,(3.9665117215 3930),,,,(4.30477058145 4423),(2.71248461521 4554),,,,(5.27323760284 5082),,(9.89025705191 5345),,(7.12945329214 5674),(7.8329837339 5833),,(6.19277077695 6136),(6.02979726162 6295),(7.34618216012 6439),(5.92579056392 6598),,(5.59965729752 6902),,,(4.94055096237 7356),,,,(5.44874841753 7976),(5.80969926354 8136),(4.49712238761 8279),(5.41043042634 8439),,(4.86352328222 8742),(4.19125986329 8886),(5.21550958057 9033),,(4.10397614468 9332),,(3.61156630223 9622),(5.83962643206 9768),,,(6.06554820946 10218),(7.8813193756 10377),(6.66337452218 10519),(6.63050171373 10671),(6.9554993896 10818),(7.3661441 10967),,(5.39273983256 11259),(4.23303699611 11399),,(7.54001409707 11682),,(5.57037522339 11992),(5.65475976103 12140),(5.60234598618 12296),(5.90088210298 12438),(6.10933535221 12587),(6.73949133455 12744),(4.24471550467 12888),(5.40552059867 13033),(7.44190975464 13172),(6.14506880959 13318),(5.95071413566 13465),(5.80255322019 13606),,,
Point1,H3,(2.91162369556 85),,(5.51281160629 390),(5.48042075302 547),,,,(6.70139427982 1200),(7.25193456278 1343),(6.51481161122 1505),,,,(2.81056432946 2086),(4.30028801642 2210),,(4.75963017177 2485),(3.48246292485 2628),(5.8197855106 2782),(5.50694023935 2935),(4.60090351797 3087),(6.03858475391 3236),(6.67836280644 3379),,(5.46775269564 3668),,(4.36092018998 3941),,,,(4.96679729207 4445),(3.19398110065 4565),,,,(5.78222809587 5093),,(9.89841950504 5348),,(7.33524317622 5683),(8.13298409868 5844),,(6.66752566852 6150),(6.25921008029 6306),(7.73313373995 6454),(6.54900847313 6613),,(5.85103686484 6913),,,(5.18819342306 7367),,,,(5.87418051916 7988),(6.1926775252 8146),(5.13467415161 8293),(5.67725581658 8450),,(5.12482503444 8752),(4.55593439854 8898),(5.46552636291 9044),,(4.48154744014 9346),,(4.25697408428 9636),(6.16668053582 9779),,,(6.24349820853 10227),(7.92474059065 10382),(7.28202848946 10533),(6.85285732125 10686),(7.02464236895 10827),(7.65951707757 10977),,(5.43523498898 11267),(5.18537343815 11413),,(7.57735203091 11687),,(5.80283495897 12003),(5.71571964637 12147),(5.78980411065 12305),(6.13461793824 12448),(6.28145861232 12598),(6.8651327884 12752),(4.64717040378 12900),(5.66224536152 13042),(7.78594032321 13184),(6.99237121985 13332),(6.01652565707 13474),(5.98814039882 13617),,,
Point1,H4,(1.27314685197 116),,,(3.16120838415 575),,(2.78247404211 917),,(2.16885369939 1242),,(0.993746977197 1548),(1.9126489614 1686),(2.04275925089 1834),,(1.30093250009 2108),,,(1.87642598509 2519),,(2.01408749616 2822),,,(1.40350663769 3269),(2.77689575754 3419),,,,,,,(2.03029517585 4327),,,,,(0.740332708022 4984),,,,,,,,,(2.41559149502 6346),(1.83145407886 6504),,(0.974490984154 6796),(1.69030415438 6952),,(1.0086629789 7257),,,,,,,,,,,,,(2.37738773258 9225),,,(0.607662870908 9675),,,,(1.88311746827 10266),,,,,,,(1.64124699321 11309),(0.994727675618 11448),(3.26625471162 11592),,(1.65574315781 11881),,(2.63964562776 12182),,(1.51678087941 12488),(2.28331856279 12635),,,,,,,,,,
Point1,H5,(1.86529248125 130),,,(3.19226704393 580),,(2.85132854758 924),,(2.25648424755 1248),,(1.06444835087 1554),(2.16744202233 1696),(2.2337966252 1842),,(1.30731883122 2111),,,(1.91447666806 2526),,(2.63679322554 2834),,,(1.69782278269 3281),(2.83101158515 3424),,,,,,,(2.19852355639 4336),,,,,(1.32377825866 4996),,,,,,,,,(2.44665636527 6351),(2.03910156919 6513),,(1.00825092366 6801),(1.85467100931 6961),,(1.20720574683 7266),,,,,,,,,,,,,(2.58660866875 9234),,,(0.647831621239 9681),,,,(1.99029379904 10273),,,,,,,(1.6536163356 11312),(1.25302857957 11458),(3.26722691452 11594),,(1.71172823982 11887),,(2.72141269289 12189),,(1.69743911621 12497),(2.30021825283 12639),,,,,,,,,,
