Cycle,0.779952380952
Average Width,5.86852239454
Width,,4.8518537252,6.82761614329,0,0,0,5.08446445606,5.87814820439,0,0,0,5.27636858781,0,6.03491819408,5.15765878409,0,6.40812965635,5.80521688256,5.39178412494,4.62326781768,5.83905131875,5.24921438516,4.96033438048,0,5.48140320315,5.7751880197,4.27774008761,4.80011044957,5.28642686483,4.97565217977,5.08713016085,6.14194883513,6.16973555402,0,5.39825094622,0,6.00453095209
Point0,H1,(11.3991833781 37),(10.8021067665 201),(10.4505896837 363),(10.9313583631 524),(11.1626438837 683),(11.6055765363 844),(13.1952999248 1007),(13.4222206403 1176),(12.0549995342 1337),(9.84146164101 1500),(10.8786590114 1663),(11.4566313519 1830),(12.830371766 1996),(12.0436697553 2158),(12.8046186401 2318),(13.9844870007 2480),(13.180683233 2641),(13.0225399133 2800),(10.8698719673 2958),(11.8697173383 3119),(10.8916758073 3290),(12.0255066825 3456),(11.5562244353 3625),(11.2826558703 3786),(12.1062882896 3943),(9.84957230676 4094),(11.2424307402 4251),(11.9795320358 4398),(10.4379598388 4556),(11.3970706134 4713),(13.0084173876 4878),(12.1048004741 5036),(13.0568534397 5192),(11.0848026548 5348),(11.0153112178 5506),(9.87504886909 5661),
Point0,H2,,(0.509753581941 276),,(4.95684541732 565),,(1.41883056966 928),,,(7.14200226247 1365),,,,(2.44074267531 2077),,,,(9.1179139818 2680),(1.86494852702 2882),(0.718185150076 3040),(0.746690261661 3202),(1.98827678101 3369),(6.18425369371 3498),(2.82695918772 3696),(1.30353795088 3858),,,,,,,,(8.74347290258 5066),,,,,
Point0,H3,,(0.516333474251 280),,(4.9666984154 569),,(1.42676135952 932),,,(7.38300552939 1376),,,,(2.6542946106 2087),,,,(9.25608831204 2689),(1.99595466533 2890),(0.784623640801 3048),(0.747870927126 3204),(2.79367890606 3386),(6.33827470302 3507),(2.99757138494 3705),(1.36011924329 3864),,,,,,,,(8.82999929865 5075),,,,,
Point0,H4,(0.476506388525 108),(-0.000250341248848 315),,,(-0.0238679151895 779),(1.03571441035 949),(0.318468793897 1109),(3.43518687712 1271),,,(8.881784197e-16 1768),(1.0433095456 1909),(1.32925806704 2105),(5.3290705182e-15 2263),(0.938065191287 2425),(1.14617543024 2591),(1.97385810353 2746),(1.53932685708 2906),(0.34785463698 3063),(0.102389986916 3222),(2.00459487078 3403),,(2.52332934976 3721),(0.988714057174 3878),,(0.415750342251 4180),(0.294980147123 4348),(1.3737204556 4488),(0.266387554209 4649),,(2.60487968366 4966),,(-0.00838976756454 5284),(-3.5527136788e-15 5428),(0.223431293282 5608),,
Point0,H5,(0.730169069387 119),(0.156488039416 326),,,(2.06347466186 807),(1.82650432275 964),(1.71301491432 1126),(3.5098966916 1278),,,(1.07605680056 1784),(1.07480434136 1917),(1.8840471926 2117),(1.32305055513 2279),(1.19450536998 2435),(1.15565836478 2594),(2.10177040374 2754),(1.64506596696 2914),(0.843357129895 3077),(1.05496215444 3238),(2.04287052232 3409),,(2.60851802761 3728),(1.50379835109 3892),,(1.15158555474 4197),(0.376295537306 4356),(1.96249576902 4501),(0.921179087337 4662),,(2.64309036268 4972),,(1.3296975609 5302),(1.92919654474 5460),(0.678005143961 5621),,
Point0,H6,(-0.0147321907557 1),(-0.00276524130093 138),(-0.000250341248848 315),(3.5527136788e-15 499),(-0.0010645401427 617),(-0.0238679151895 779),(7.9936057773e-15 979),(2.6645352591e-15 1141),(-3.5527136788e-15 1303),(-0.0094318644243 1470),(-1.7763568394e-15 1636),(8.881784197e-16 1768),(-0.00768959710126 1944),(-0.00232181185724 2132),(5.3290705182e-15 2263),(8.881784197e-15 2450),(0.0 2610),(-4.4408920985e-15 2771),(5.77315972805e-15 2931),(9.7699626167e-15 3090),(7.9936057773e-15 3254),(-8.881784197e-16 3427),(-1.7763568394e-15 3589),(1.68753899743e-14 3751),(1.42108547152e-14 3908),(3.5527136788e-15 4068),(-0.00107198459259 4216),(-1.7763568394e-15 4367),(-0.00414746318117 4521),(-3.5527136788e-15 4676),(-4.4408920985e-15 4832),(-4.4408920985e-15 4998),(-0.00390032108464 5155),(-0.00838976756454 5284),(-3.5527136788e-15 5428),(0.0 5633),
Point1,H1,(11.2621437757 36),(10.0348803758 200),(9.38518870567 362),(9.45008891705 523),(10.200484796 683),(10.9758740329 843),(12.10852202 1006),(12.0608607332 1175),(10.6323419062 1336),(8.8163533264 1499),(10.6248754493 1662),(10.6384451468 1827),(11.6716017971 1995),(11.3762113233 2158),(11.2984813389 2318),(12.9677360366 2479),(12.3282897018 2639),(11.9770922697 2799),(11.2268792179 2956),(11.4543812857 3118),(10.5455788985 3290),(12.0025134612 3454),(10.4806915873 3623),(10.4860620204 3785),(11.6216985439 3942),(10.4948950107 4093),(11.0405512503 4250),(11.6527577142 4397),(10.8130917662 4554),(11.3542099251 4711),(11.9489109248 4874),(11.3914269679 5034),(11.4082821732 5192),(10.8407496511 5346),(9.95610245693 5504),(9.34916062784 5660),
Point1,H2,,,,(3.98996891296 550),,(1.30370682286 925),,,(6.22824256063 1364),(5.41057240291 1519),(1.18254409766 1744),(5.62217774532 1860),(2.58246674308 2074),,,,(8.08523522524 2680),(7.05852108785 2837),(0.593194818994 3041),,(1.87211752882 3372),(5.32363163799 3498),,(1.17952780179 3859),(5.77438786893 3976),(3.59674727003 4131),,,,,,(7.15137114416 5063),,,,,
Point1,H3,,,,(4.01853025146 556),,(1.35282405828 933),,,(6.32785171988 1371),(5.81542093945 1531),(1.19629498427 1748),(5.63790820207 1864),(2.76483715993 2085),,,,(8.12501196276 2686),(7.06166482142 2840),(0.641765975603 3048),,(2.38842056632 3389),(5.54749801923 3508),,(1.23273767092 3867),(6.04950127142 3988),(3.70943025847 4140),,,,,,(7.39984587964 5077),,,,,
Point1,H4,(0.268673864812 106),(-3.10862446895e-15 271),,(-1.7763568394e-14 615),(-0.0158263481474 771),(0.706559248482 950),(0.460095343198 1109),(2.9789962115 1272),(-0.102981819487 1453),(1.0585456837 1607),(-0.00156421110594 1768),(0.189198671013 1910),(1.4849303916 2104),(-0.00403297854811 2261),(0.710748906987 2421),(1.23478531755 2587),(1.91390207239 2746),(1.40642033422 2906),(0.39891449829 3061),(0.0423122108079 3221),(2.21932588133 3399),(1.84940224397 3559),,(1.09153978872 3878),(3.25874893443 4014),(0.207589068226 4178),(0.436343966156 4345),(0.882349640609 4486),(0.965941726435 4648),,,,(0.483385587719 5285),(3.5527136788e-15 5428),(-0.00550035566366 5606),,
Point1,H5,(0.992612592609 123),(0.514377277639 303),,(0.837777531633 634),(1.68398101157 805),(1.63137601893 965),(1.65134835656 1126),(3.02011184829 1278),(0.0537920570914 1463),(1.54684640414 1620),(1.01140521323 1783),(0.765257434849 1928),(2.05964746703 2116),(1.07157920675 2278),(1.40510621401 2436),(1.35625218885 2595),(2.09760264157 2754),(1.49424514493 2914),(1.09173965781 3077),(0.915549595861 3238),(2.42697840631 3409),(1.87112926233 3565),,(1.30357799682 3890),(3.55786546522 4025),(1.15066355337 4197),(0.598843332683 4355),(1.68960280921 4501),(1.48046518537 4660),,,,(1.58742721339 5301),(1.48317692793 5461),(0.496441756205 5621),,
