Cycle,0.761730769231
Average Width,16.2156197435
Width,,0.0,0.0,15.6995908392,14.841951373,13.7344168556,14.1810083675,17.7357687085,0,0,15.5289529081,15.4225149051,14.7519221151,13.926700129,15.6556078942,0,0,0,0.0,138.510988204,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14.1837330269,18.5382140647,14.76927718,14.9047274299,17.0102330277,14.851874346,13.2345581843,12.4770912684,12.1328641841,16.2851332396,61.7488410056,14.7559859759,12.8994217793,12.2691953936,10.650787915,10.4685786962,9.26979198853,10.7922299843,11.1925564362,10.4522275297,12.8102918381,11.1763961138,12.7735141593,12.4110963626
Point0,H1,(19.8646568612 32),(18.1363893773 203),(18.054621107 375),(18.2155607684 550),(16.6511915213 724),(17.1727342023 888),(17.4926324905 1053),(17.6296864652 1215),(18.103080116 1366),(19.2112741704 1526),(18.73768189 1695),(16.8335981063 1855),(19.8288351848 2020),(19.8357815678 2189),(20.7272418164 2342),(20.1667636495 2500),(18.3647866373 2653),(18.0329508516 2791),(19.1045115135 2932),(17.0357194931 3061),(18.5024807814 3194),(16.9960826178 3324),(21.2821949111 3466),(17.854443753 3619),(17.945371418 3765),(21.1372405507 3920),(21.2048350286 4070),(19.3110451171 4213),(16.8614346036 4356),(18.1253333956 4502),(15.9782215968 4652),(17.7093422834 4804),(18.9803999252 4964),(18.1118555343 5123),(13.9866226143 5273),(15.7562924014 5431),(13.3520617933 5587),(9.27916507398 5730),(10.4415112031 5862),(9.92673734373 6004),(11.940235108 6151),(11.5618006896 6305),(12.0243560231 6467),(11.3493622923 6639),(11.3555586367 6802),(11.3579519576 6964),(13.1014410742 7136),(10.9822497808 7302),(9.05747557561 7464),(9.50788041232 7634),(9.31528687443 7798),(10.1278381224 7962),(11.3930877463 8129),
Point0,H2,(12.0638913328 59),(10.9537887467 239),,,(7.64158684423 749),,,(9.58881198176 1241),,,(11.4105964904 1729),(9.18169757098 1890),,(11.4084442409 2222),,,(8.22627759126 2684),(8.35369599678 2817),(8.38637130744 2957),(9.76657184536 3087),,,,,,,,,(7.1202542274 4380),(8.73365014352 4540),,(8.03143297657 4830),(9.44104102517 4988),,,,(7.47594900904 5621),(6.39271654319 5761),,(8.13661802568 6025),,(7.07653883091 6338),(6.91950584223 6494),(7.57214901449 6670),(6.1219640211 6834),,,(2.87118216802 7378),(7.82301169731 7479),,,,
Point0,H3,(12.7228605794 71),(11.1169012139 247),,,(8.16142947779 763),,,(10.2865217645 1253),,,(11.4476494823 1734),(9.20280591719 1894),,(11.411555679 2224),,,(8.91268771081 2696),(10.8148784577 2835),(8.88015255933 2967),(9.83751700362 3093),,,,,,,,,(7.41907989851 4388),(8.75303868778 4544),,(8.08891742408 4835),(9.58645527517 4995),,,,(7.5533614558 5628),(6.55733492497 5769),,(8.24088801807 6032),,(7.22872032675 6347),(7.0697206586 6503),(8.51348306709 6686),(6.16426983597 6842),,,(3.21225353244 7391),(7.95003189443 7487),,,,
Point0,H4,(3.8935360989 147),(2.03282633668 323),,,(1.58992177069 833),(3.02092330643 996),,,,,(3.73981738707 1795),,(2.05243238057 2130),(2.34640431559 2291),(2.84030393744 2428),(4.20792912033 2589),(2.47137159828 2738),,,(4.21254952088 3136),(3.05868389305 3267),(4.53446732013 3405),(5.61710247977 3553),(1.64719908238 3697),,,,(0.796281587633 4309),(1.5803532057 4447),(2.18572269408 4592),,,(2.8269980257 5053),(1.30040841981 5221),(1.47049262113 5377),(2.24976177081 5520),(3.5071286987 5662),(2.33960902187 5807),(0.963763863655 5935),,(3.68245314007 6240),(4.51801020163 6374),(3.3442370496 6538),(5.39102760899 6711),,(1.15969458909 7069),,(1.67739287536 7412),(1.84078345118 7569),,,,
Point0,H5,(3.92836340298 151),(2.27525181232 332),,,(2.32563786905 845),(3.09847289372 1002),,,,,(3.79206707732 1801),,(2.40731587983 2140),(2.95785711386 2301),(2.87315230249 2433),(5.5811298204 2604),(2.78186015601 2747),,,(4.53842502218 3145),(3.4960871824 3277),(4.95638711093 3416),(5.6690995153 3558),(1.6481030559 3699),,,,(1.08088518607 4317),(2.86097393288 4461),(3.41601171459 4605),,,(2.90517465289 5060),(1.33303828364 5227),(1.65536272265 5387),(2.40631466428 5529),(3.71649188559 5672),(3.16070257163 5820),(1.86586879356 5950),,(3.79059094724 6247),(4.64991120982 6383),(3.45045033038 6547),(5.52648977111 6718),,(1.83563696142 7084),,(1.81138233516 7420),(2.05013290795 7579),,,,
Point0,H6,(-0.0395521650008 173),(1.42108547152e-14 347),(1.7763568394e-15 521),(-8.881784197e-16 696),(-8.881784197e-16 860),(3.5527136788e-15 1021),(1.68753899743e-14 1183),(7.9936057773e-15 1338),(-8.881784197e-16 1498),(1.06581410364e-14 1661),(1.95399252334e-14 1822),(-2.6645352591e-15 1984),(-0.0104649546377 2156),(1.7763568394e-14 2316),(-1.86517468137e-14 2470),(-1.24344978758e-14 2623),(1.06581410364e-14 2763),(-6.2172489379e-15 2903),(-0.00515050510647 3029),(0.0 3165),(-2.6645352591e-15 3294),(-1.06581410364e-14 3437),(-0.0129216747685 3586),(-0.00378993309138 3728),(-3.5527136788e-15 3887),(-3.5527136788e-15 4043),(-0.00445996689471 4187),(-0.00421574818113 4330),(7.9936057773e-15 4476),(4.4408920985e-15 4622),(6.2172489379e-15 4777),(-8.881784197e-16 4936),(7.1054273576e-15 5094),(9.7699626167e-15 5243),(4.4408920985e-15 5403),(1.7763568394e-15 5550),(1.24344978758e-14 5696),(-1.7763568394e-15 5838),(1.15463194561e-14 5969),(9.7699626167e-15 6113),(7.9936057773e-15 6271),(-8.881784197e-16 6429),(2.6645352591e-15 6604),(6.2172489379e-15 6768),(-0.00264007761273 6933),(3.5527136788e-15 7102),(-1.7763568394e-15 7273),(7.9936057773e-15 7437),(7.1054273576e-15 7599),(1.50990331349e-14 7774),(8.43769498715e-15 7906),(5.3290705182e-15 8095),
Point1,H1,(26.6474111053 32),(26.5454610971 202),(28.7937271883 375),(28.8426491596 549),(26.810223356 724),(29.61673825 886),(27.2081162774 1052),(24.8534867255 1215),(27.127302459 1365),(29.4214861427 1526),(26.844059673 1693),(25.0596437448 1854),(28.5510671397 2020),(27.414995528 2188),(27.482739755 2342),(27.1006687958 2500),(25.0789062042 2652),(22.9530433385 2790),(24.2923851024 2932),(24.1206950792 3061),(26.2553371995 3193),(23.1001696641 3322),(29.0544057567 3466),(23.4313487655 3619),(25.9298185253 3764),(29.3392279446 3919),(28.6515443218 4069),(27.9264566933 4213),(26.6682932758 4356),(28.8724836854 4501),(26.0957447867 4651),(28.830832375 4804),(30.3806220861 4964),(28.6113673322 5123),(26.3361736666 5272),(30.4555344126 5430),(28.0312117997 5582),(23.5153977265 5725),(23.6461637582 5862),(23.8938745679 6001),(28.8392347585 6147),(26.9495435344 6302),(28.0624824124 6466),(28.2110726951 6635),(26.0879980903 6800),(28.6241436129 6964),(28.3136056306 7133),(27.1934633788 7300),(27.9641434928 7462),(25.9516254461 7628),(26.454126994 7797),(26.1233454988 7959),(28.5562198321 8125),
Point1,H2,(15.4271768509 60),(15.324005422 240),,(16.3389344751 574),(12.8282402008 747),,(14.4362554666 1089),(12.8717448518 1241),,,(15.8939932956 1729),(13.4218402333 1890),(15.881359207 2045),,,(15.7331773488 2524),(11.7658899369 2684),(10.2107711031 2817),(10.6793202936 2958),(13.5108301224 3088),,,,,,,,,(11.7552763604 4381),,(11.0065628832 4683),(13.7462397442 4829),(15.3802258869 4988),(12.7367756144 5148),(5.35350799464 5355),,(14.8667182354 5616),(12.8386961314 5761),,(15.9225844627 6024),(17.231290062 6174),(14.6893409562 6336),(14.9872165634 6492),(15.9115117678 6669),(13.0268609844 6829),(15.9559397992 6989),(14.7411185097 7168),,,(7.90376231818 7719),(15.5925121146 7821),,
Point1,H3,(16.3421858996 72),(15.6322702814 249),,(16.3482763632 576),(13.7997325551 759),,(14.8249648705 1099),(13.9371748303 1253),,,(15.9501591553 1734),(13.4584253691 1895),(15.9289408494 2049),,,(15.9114318896 2530),(12.5098857882 2695),(13.6726686595 2835),(11.0909386175 2967),(13.5212222529 3091),,,,,,,,,(12.104880308 4389),,(11.7594743188 4694),(14.0133965985 4836),(15.6373652016 4995),(13.1684956103 5156),(5.39592713123 5360),,(15.1688792024 5625),(13.0531234497 5768),,(16.5514545183 6033),(17.2333026289 6176),(14.9328720373 6344),(16.249321721 6506),(16.8406587712 6682),(13.759018478 6842),(16.0763824865 6994),(15.0003020356 7176),,,(7.94094695357 7724),(15.6025691617 7824),,
Point1,H4,(4.92714533487 145),(3.32351419371 325),(2.80826545454 501),,(4.00165192416 835),(4.96277719845 995),(5.85610303765 1155),,,(4.91838468197 1634),(5.72576040987 1796),,(3.88229808331 2129),(3.55353521423 2290),(3.79219143458 2428),(6.72586302174 2590),(3.13336647725 2737),,,(5.25852018051 3135),(4.69417123568 3267),(5.62379977512 3407),(7.60375758984 3554),,,(3.84878725705 4023),(3.3887072595 4163),,(2.95744435456 4447),(4.54855509058 4592),(1.30864144276 4756),,,(3.50037900311 5217),(3.49925155481 5379),(5.64146603903 5521),(5.94071800724 5662),(4.38892941492 5808),(3.1505883354 5935),(3.5969294368 6079),(6.08063276336 6240),,(5.50587763032 6576),(9.55475360807 6710),,(5.05239709327 7070),,,(6.01221887253 7570),(3.5041036401 7751),(3.37534108985 7907),,
