Cycle,0.748630952381
Average Width,4.01306200815
Width,,3.99003920053,4.02599083682,3.85797532736,3.97704383053,3.97691127917,3.99239600756,4.10113006543,3.99278537063,4.05486783157,3.93806780082,3.70194166587,3.91715797071,3.85836992425,3.91153175968,3.89572504326,3.93610284241,4.03445866017,4.03752898405,4.1136018839,4.1217590988,4.22378778748,4.16223283023,4.09517964616,4.06272127031,3.97184502873,4.12363849444,4.04700561705,4.00524082629,3.96351316716,3.83185478425,3.95892355626,4.04328717609,4.030078577,4.08483285804,4.01042881018,3.98012060684,4.04510789743,4.08507378427,4.16389691957,4.12490156744,4.07585663629,4.16735604186,4.01204934901
Point0,H1,(5.33454416714 37),(8.25105644102 181),(8.8017611143 324),(11.2093956704 467),(10.51153869 610),(10.1305157697 747),(10.9394971298 885),(8.64208272246 1020),(11.4922122659 1157),(10.0077500271 1287),(8.12573771413 1415),(12.9377768035 1562),(10.4042654454 1711),(11.0328602876 1849),(11.6250061517 1995),(11.7282874343 2152),(11.372277018 2310),(12.0774142826 2471),(12.9724986331 2637),(12.4689811007 2805),(12.4406369561 2963),(13.1146682398 3126),(12.8102089584 3287),(10.6205865345 3445),(11.9599534364 3607),(12.6676671979 3773),(11.938202806 3940),(10.9024887361 4103),(10.5237341302 4264),(8.10047986538 4420),(8.65290390849 4576),(9.98141497308 4726),(9.83877684144 4870),(10.962200744 5014),(10.3389803573 5162),(10.523260531 5310),(11.5607552564 5467),(11.6742209269 5636),(11.4622054857 5805),(11.7963783155 5973),(10.9516978636 6138),(11.2993590483 6308),(10.3580912955 6470),
Point0,H2,(3.36848442194 71),(4.60453913999 203),(3.83371596017 351),(5.34085844209 494),(5.2542385862 633),(4.84765546605 777),(4.89422297279 912),(3.88604633465 1051),(6.09397008737 1183),,,,,(5.80577407777 1881),(3.46283115222 2076),,,,(7.38416336762 2677),,(6.35459212705 2989),,,(5.79073730963 3470),,(6.70235935571 3813),(6.94804287617 3963),,(6.44372416776 4291),,(5.12804409629 4603),,,,,(6.44504678788 5347),(6.66151992911 5510),,,(6.25933584775 6000),,,
Point0,H3,(4.53958033366 96),(4.79887108363 212),(4.22926474039 366),(5.50659177629 502),(6.1401684677 646),(5.29584941892 789),(5.00162787392 919),(4.12379684953 1062),(6.26433211696 1192),,,,,(5.97522004346 1891),(3.4651971774 2079),,,,(7.43975652793 2684),,(6.58182392901 2999),,,(6.00872137885 3482),,(6.81202549825 3821),(7.14793937315 3972),,(7.32830141098 4311),,(5.485491202 4616),,,,,(6.81397824102 5362),(6.69210450902 5515),,,(6.28749829183 6005),,,
Point0,H4,,(4.18272403308 230),(1.8591465264 397),(1.44805597423 546),(1.66742373768 690),(0.673531905581 838),(0.995424998204 960),,(2.68400514267 1236),(-0.00749681463815 1361),,,(2.06905330962 1795),(1.8516985233 1941),(2.15508275603 2102),,,(2.5437650882 2578),,,,(1.8149543281 3236),,(2.72973020817 3529),(2.41685838746 3714),,(0.675388981788 4053),,,,,,(1.77756621626 4944),,(2.33090557459 5248),(2.1627527646 5414),,,,(2.04713029549 6082),,,
Point0,H5,,(4.19115936464 233),(1.96777305051 406),(1.66666494095 556),(1.82606516282 699),(0.683451914718 842),(1.89028411103 974),,(2.70340988952 1240),(0.873370692257 1376),,,(2.09558978634 1800),(1.94728183747 1948),(2.19441750814 2107),,,(2.76274831631 2588),,,,(1.87394972797 3243),,(2.76689964965 3535),(2.52478095953 3722),,(0.79967502493 4061),,,,,,(1.86529147715 4953),,(2.48846872203 5258),(2.31554574452 5421),,,,(2.18278016962 6091),,,
Point0,H6,(-8.881784197e-15 155),(-5.77315972805e-15 290),(-0.00517941585855 432),(-6.2172489379e-15 576),(-3.5527136788e-15 717),(6.66133814775e-15 857),(5.3290705182e-15 991),(-0.00177157136252 1122),(-0.00710126062981 1262),(-0.00749681463815 1361),(7.1054273576e-15 1534),(-1.7763568394e-15 1679),(3.5527136788e-15 1821),(-8.881784197e-15 1965),(-4.4408920985e-15 2125),(-4.4408920985e-15 2282),(-0.00309328668742 2439),(-5.3290705182e-15 2607),(-0.00406289168874 2771),(4.4408920985e-15 2927),(4.4408920985e-15 3092),(-3.5527136788e-15 3260),(7.9936057773e-15 3417),(-5.3290705182e-15 3579),(-6.2172489379e-15 3742),(-0.00624243237015 3907),(4.4408920985e-15 4075),(1.15463194561e-14 4236),(-0.00372801029177 4385),(-0.000846147174388 4542),(-2.6645352591e-15 4697),(4.88498130835e-15 4841),(8.881784197e-15 4985),(7.9936057773e-15 5133),(1.06581410364e-14 5278),(-8.881784197e-16 5438),(4.4408920985e-15 5600),(-8.881784197e-16 5774),(-1.7763568394e-15 5945),(-2.6645352591e-15 6110),(-3.10862446895e-15 6273),(-2.6645352591e-15 6442),
Point1,H1,(15.9459599958 29),(18.0464315727 183),(17.531281888 325),(20.2680355795 468),(19.7017676869 611),(19.3414778208 748),(19.5344664292 887),(15.7664452174 1021),(20.2447381569 1158),(17.7596130762 1289),(18.1100240364 1416),(23.8335736164 1563),(20.5465254608 1710),(20.951407298 1850),(21.7655165317 1995),(21.5509743428 2154),(20.0995814416 2311),(21.8925636344 2472),(21.7150900323 2638),(21.4094423451 2806),(20.3899190122 2964),(21.5261827154 3127),(22.2725441846 3288),(19.6295425696 3447),(22.3527578345 3608),(22.0417190569 3773),(21.1409895055 3942),(21.0173779794 4104),(20.1628251699 4265),(17.2654607655 4421),(18.3076918503 4576),(18.8252885757 4727),(18.5795166694 4871),(20.6156097171 5015),(20.3639663261 5162),(20.3972526244 5310),(21.8258077788 5467),(21.3929003941 5637),(20.0928995495 5805),(21.1267288364 5974),(20.720883091 6139),(20.5192886967 6309),(20.8729975012 6471),
Point1,H2,,(8.95004759535 208),(7.03382267467 352),(9.08226243597 495),(8.62648319171 636),(7.71137626479 779),(7.06316787622 912),(5.80958805206 1051),(9.80613042677 1185),,,,(8.89896867166 1750),,,,(8.81691568111 2340),,,(9.86929664293 2835),(9.02720990589 2992),(10.1934143364 3154),,(8.59950695328 3472),(6.33582241829 3689),,(11.3687862579 3964),,,,(9.51997924218 4604),(7.99104703798 4752),(7.16633631369 4897),(10.5623119457 5041),,(11.6320052229 5342),,(10.4796060914 5665),,,,,
Point1,H3,,(9.00032359183 213),(7.62805309938 364),(9.73058233477 506),(10.3815555461 650),(8.51818166004 791),(7.63476238261 923),(6.5758891934 1064),(9.96843974719 1192),,,,(9.16651537798 1758),,,,(8.86438452095 2345),,,(9.96444566997 2841),(9.27791402642 3001),(10.3200318279 3162),,(9.35679509459 3487),(6.37558238639 3695),,(12.0319046613 3974),,,,(10.1675023055 4615),(8.09397901714 4758),(7.51699749317 4909),(10.5642318564 5042),,(12.0967172274 5355),,(10.9064596401 5675),,,,,
Point1,H4,(8.59653462811 73),(3.06015260139 262),(2.82751780685 398),(2.98042074709 545),(3.25160663921 690),,(2.10011531364 960),(1.68204029088 1093),(4.03211893645 1236),(-0.00757699444401 1362),,(5.04034001233 1651),(2.90317524645 1794),(3.56122962437 1941),(3.28886563416 2102),,,(3.52581448677 2580),,,,(2.66444516414 3242),,(1.83506338522 3561),(3.61293005072 3718),,,(3.02641131526 4213),(10.059417457 4290),,,(3.10103065811 4803),(2.2163357168 4945),(3.66925010254 5109),(3.47133522982 5251),(3.44250622592 5414),(10.6286328958 5511),(3.34724451774 5747),,,,,
