Cycle,0.842401709402
Average Width,0
Width,,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
Point0,H1,(17.3710822578 138),(16.6402495181 327),(14.511608519 536),(16.3829954424 725),(18.4551594459 914),(19.1291841845 1104),(19.3486402468 1260),(18.0223253408 1477),(19.2471900591 1663),(20.8506946603 1839),(20.2740145203 2033),(17.8108564397 2214),(20.1647624715 2403),(18.1169175096 2585),
Point0,H2,,(14.8947924575 345),,,(3.5527136788e-15 944),,,,(-1.42108547152e-14 1693),(-0.00609879503198 1884),,,(0.0 2431),,
Point0,H3,,(15.1909730939 353),,,(1.35021387116 957),,,,(11.6067469232 1744),(13.8825393783 1933),,,(13.7089679759 2526),,
Point0,H4,,,(0.0 572),,(1.19673000095 963),,,(-0.000273553840588 1522),(11.5637330052 1748),(13.3911787941 1944),(-0.00786885748191 2066),(-1.7763568394e-15 2252),(13.6902140736 2530),,
Point0,H5,,,(13.5104811126 696),,(15.0108039446 1058),,,(6.32693705829 1551),(19.3782028844 1795),(18.9654333944 2012),(15.3912770332 2171),(14.6846340479 2347),(15.6528354727 2554),,
Point0,H6,(1.06581410364e-14 189),(3.5527136788e-15 384),(0.0 572),(-5.3290705182e-15 768),(3.5527136788e-15 944),(3.5527136788e-15 1134),(-1.59872115546e-14 1324),(-0.000273553840588 1522),(-1.42108547152e-14 1693),(-0.00609879503198 1884),(-0.00786885748191 2066),(-1.7763568394e-15 2252),(0.0 2431),(-5.3290705182e-15 2621),
Point1,H1,(15.1087661632 135),(14.1219498271 327),(11.4604838979 535),(13.4644093011 724),(15.3872053748 913),(16.525622621 1105),(16.8934976095 1258),(16.2527903676 1478),(15.7319842564 1663),(18.0738520943 1838),(17.9364164282 2031),(14.8821325131 2214),(17.0583679192 2403),(15.9649535018 2584),
Point1,H2,(13.8845290348 153),(-0.00425891161537 384),,,(-3.5527136788e-15 943),(-1.7763568394e-15 1133),,,(0.0 1693),(3.5527136788e-15 1884),,,,,
Point1,H3,(13.9364289693 158),(9.03695079261 458),,,(1.40776238614 957),(3.16154477519 1152),,,(10.042887383 1742),(12.0875423621 1932),,,,,
Point1,H4,(-7.1054273576e-15 190),(8.62373774929 472),(-5.3290705182e-15 573),(-0.00202923326458 768),(1.26234282715 963),,,(-9.7699626167e-15 1521),(9.89883327086 1749),(11.5545279463 1943),(3.5527136788e-15 2065),(3.5527136788e-15 2253),,,
Point1,H5,(1.43191475141 203),(9.49925445683 496),(10.8614942962 696),(14.0837234991 892),(13.2454979324 1058),,,(4.63819418889 1551),(16.7934552013 1794),(17.5988120267 2012),(12.9767309021 2166),(11.9332866245 2347),,,
Point1,H6,(-7.1054273576e-15 190),(-0.00425891161537 384),(-5.3290705182e-15 573),(-0.00202923326458 768),(-3.5527136788e-15 943),(-1.7763568394e-15 1133),(1.7763568394e-15 1324),(-9.7699626167e-15 1521),(0.0 1693),(3.5527136788e-15 1884),(3.5527136788e-15 2065),(3.5527136788e-15 2253),(5.3290705182e-15 2431),(-7.1054273576e-15 2620),
Point2,H1,(12.4113334597 136),(11.8350973394 326),(8.13150039044 460),(9.36831882989 533),(11.6277440439 723),(12.5824769378 913),(13.0583005937 1103),(14.2416967521 1254),(13.7806940915 1478),(12.9044256785 1659),(14.2286142709 1810),(14.3288915175 2009),(11.1786593747 2215),(13.9933905786 2401),(13.0939938567 2579),(9.79176637214 2698),
Point2,H2,(11.6806382756 151),,,,(-0.00545711815368 760),(3.5527136788e-15 940),,,(0.548444698186 1508),,(13.9617264253 1827),,,,
Point2,H3,(11.7928004232 158),,,,(10.3259906689 846),(2.19813758229 955),,,(0.554537080606 1511),,(14.1907965108 1838),,,,
Point2,H4,(6.2172489379e-15 190),,,(-1.7763568394e-15 571),(10.3242159323 848),(1.76828170551 964),(-5.3290705182e-15 1132),,(-7.1054273576e-15 1524),(-0.0220953350823 1691),(-0.00342251270766 1882),,,,
Point2,H5,(0.941523437392 203),,,(8.13602822483 650),(11.6540012707 875),(7.62730469653 994),(7.82929181208 1180),,(3.0137735763 1550),(8.95430952991 1740),(9.82547029069 1933),,,,
Point2,H6,(6.2172489379e-15 190),(1.7763568394e-15 384),(-1.7763568394e-15 571),(-0.00545711815368 760),(3.5527136788e-15 940),(-5.3290705182e-15 1132),(-0.00196733112125 1323),(-7.1054273576e-15 1524),(-0.0220953350823 1691),(-0.00342251270766 1882),(-1.7763568394e-15 2063),(-0.00204622377511 2253),(-8.881784197e-16 2431),(-6.2172489379e-15 2619),
