Cycle,0.872192934783
Average Width,0
Width,,0,0,0,43.7642017734,65.0409295799,0,0,68.4948438182,21.3107423787,0,0,0,0.0,0,0,0,0,0,0,0,0,9.62218249834,0,0
Point0,H1,(31.732776622 134),(29.4312604505 321),(30.9258980679 458),(29.7239776777 694),(30.3208794361 884),(35.1250998533 1067),(37.0682049229 1250),(45.8350927533 1436),(28.8739215708 1627),(31.8748389927 1812),(40.4963363209 2000),(40.2923844012 2187),(30.8455419248 2368),(39.2827224849 2548),(33.8101791298 2740),(38.9343334033 2929),(41.0067466344 3118),(40.0436066488 3300),(46.87920281 3491),(38.5608393195 3682),(40.2019259563 3870),(45.1547807539 4055),(38.7684526079 4243),(42.32812998 4430),
Point0,H2,(7.1054273576e-15 171),,,(3.5527136788e-15 731),,,,,(5.3290705182e-15 1660),,(2.15471429786 2030),,,,,(-1.06581410364e-14 2957),,,,(-6.03961325396e-14 3709),(-2.84217094304e-14 3900),(-2.13162820728e-14 4092),,,
Point0,H3,(15.0556949426 221),,,(14.5322383688 777),,,,,(13.9634991351 1705),,(3.26638973089 2039),,,,,(3.41467788705 2969),,,,(2.58695064265 3721),(6.21195666639 3917),(33.128781043 4186),,,
Point0,H4,(14.9600371295 227),,,(13.5497397467 788),(-3.5527136788e-15 930),(-3.5527136788e-15 1101),,(1.06581410364e-14 1483),(12.6971151068 1717),,,,,,(-3.5527136788e-15 2779),(1.78424895531 2980),,,(-0.00495416537229 3534),(1.08409373659 3731),(6.19985271021 3919),(32.9603131983 4194),,,
Point0,H5,(19.425333109 249),,,(22.8326111508 853),(13.9909143028 958),(20.2205666211 1151),,(24.9841789686 1563),(22.003252896 1752),,,,,,(34.9530386602 2901),(40.8709145954 3096),,,(37.5974033001 3653),(29.291495514 3796),(25.3653971104 3947),(35.6332541451 4213),,,
Point0,H6,(7.1054273576e-15 171),(2.84217094304e-14 368),(7.1054273576e-15 559),(3.5527136788e-15 731),(-3.5527136788e-15 930),(-3.5527136788e-15 1101),(1.42108547152e-14 1290),(1.06581410364e-14 1483),(5.3290705182e-15 1660),(-1.42108547152e-14 1850),(3.5527136788e-15 2052),(-2.84217094304e-14 2221),(-5.3290705182e-14 2404),(-0.00301355662373 2587),(-3.5527136788e-15 2779),(-1.06581410364e-14 2957),(-2.84217094304e-14 3149),(-0.0232298979989 3339),(-0.00495416537229 3534),(-6.03961325396e-14 3709),(-2.84217094304e-14 3900),(-2.13162820728e-14 4092),(-2.84217094304e-14 4289),(-3.90798504668e-14 4462),
Point1,H1,(24.1200587935 135),(22.1802694788 321),(24.6290557314 460),(21.8778947491 693),(22.4905076949 884),(26.9845677645 1068),(29.3942552928 1249),(34.4246630263 1435),(20.9984630592 1625),(24.5627177294 1813),(32.9552348997 2000),(33.2986543431 2186),(21.8608150288 2368),(31.4857790601 2547),(27.7709799948 2740),(31.1318052413 2929),(32.8439004825 3096),(32.2149724372 3300),(37.136610669 3490),(30.9134211254 3682),(32.8650218928 3870),(35.0807034395 4055),(30.6490080374 4242),(33.8966871209 4430),
Point1,H2,,,,(0.0 731),,,,,(-7.1054273576e-15 1660),,(1.54630370997 2031),,,(2.13162820728e-14 2587),,(1.7763568394e-14 2957),,,,(-0.000952231332285 3710),(1.59872115546e-14 3900),(1.06581410364e-14 4091),(0.820830115705 4276),,
Point1,H3,,,,(10.3495618037 777),,,,,(10.7017605518 1704),,(2.28923000674 2039),,,(14.6082782971 2634),,(3.06349448785 2970),,,,(2.23578823621 3721),(4.40588402488 3915),(26.1835585832 4185),(0.823725781371 4277),,
Point1,H4,,,,(9.63127926156 788),(1.24344978758e-14 930),(0.0 1101),,(-1.06581410364e-14 1482),(8.70462045006 1719),(2.13162820728e-14 1850),,,,(12.8979610775 2647),(-0.00322751841879 2781),,,,(-0.0300332407037 3535),(1.53738518158 3730),(4.26705328542 3920),(26.0173053974 4194),(-0.00160728249844 4291),,
