Cycle,0.890760869565
Average Width,0.0
Width,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(47.8016940581 77),(24.3275199668 266),(19.8810920721 444),(23.4495573687 636),(23.3484224651 832),(24.3907246939 1009),(29.1855690991 1197),(28.3127080932 1384),(28.4994203801 1565),(28.8313720639 1756),(28.5234540558 1949),(27.2812500524 2143),(27.4573583302 2316),(27.6695993772 2504),(27.3646009984 2686),(28.2817295735 2876),(29.1026470483 3054),(27.1039480631 3244),(26.4739150156 3423),(27.9109800924 3614),(29.3683584468 3806),(28.4597745652 3993),(30.6473644587 4173),(30.0844600015 4364),
Point0,H2,,,(17.5169989279 458),,,,,,,(5.94580323262 1847),,(12.4469054702 2177),,,,(12.7226436463 2926),(4.15654921447 3147),,(25.5820806025 3432),(12.6632352246 3663),,,,
Point0,H3,,,(18.1014816064 467),,,,,,,(6.18972612983 1857),,(12.4850441074 2181),,,,(12.7379455797 2929),(4.36296920529 3156),,(26.3123782851 3442),(12.8079198707 3669),,,,
Point0,H4,,,(9.1616508557 497),(3.41076871679 761),,(3.78883945608 1117),(3.11040636889 1322),,,(1.09223234139 1880),(0.878150848835 2074),,(3.09493778743 2439),(5.46942844424 2588),(4.27772517367 2808),(2.58360620247 3000),(2.50313249547 3176),,,,(3.49895300047 3928),,,
Point0,H5,,,(9.1677429205 499),(3.42088717659 764),,(3.9114720037 1126),(3.11180474136 1323),,,(2.62344296937 1892),(1.22896886917 2083),,(3.20531380833 2446),(5.75521618786 2597),(4.29163760227 2811),(2.76551122061 3008),(2.70075283849 3184),,,,(3.60663182982 3935),,,
Point0,H6,(-8.881784197e-15 223),(-2.6645352591e-14 414),(-8.881784197e-15 595),(-0.00342355378882 786),(-5.3290705182e-15 974),(3.5527136788e-15 1160),(4.08562073062e-14 1345),(3.19744231092e-14 1530),(3.73034936274e-14 1714),(5.3290705182e-15 1906),(1.7763568394e-15 2095),(-0.00503645401668 2275),(1.95399252334e-14 2465),(-3.5527136788e-15 2649),(5.3290705182e-15 2836),(2.84217094304e-14 3024),(2.30926389122e-14 3202),(1.95399252334e-14 3392),(1.59872115546e-14 3579),(-3.5527136788e-15 3762),(-1.7763568394e-15 3954),(-3.5527136788e-15 4141),(-3.5527136788e-15 4329),
Point1,H1,(29.0505581116 97),(23.0510692555 288),(31.0413598595 465),(37.1759426193 655),(36.464452985 848),(32.8746792252 1028),(32.3050700347 1216),(29.157818026 1405),(32.1047502485 1585),(35.2607574202 1776),(34.9677935344 1967),(29.1182322324 2151),(30.1555853165 2336),(33.540416383 2528),(35.0251228626 2704),(36.0339971112 2896),(28.8144269324 3073),(35.9245500155 3264),(35.4262430529 3459),(34.8315714477 3633),(35.522849236 3823),(32.0690850425 4012),(35.8018456467 4193),(35.6787086198 4385),
Point1,H2,(6.21988279982 177),,(29.0440524263 478),(14.4114856421 705),,,,,(12.2643040599 1635),(13.2570697368 1825),,,,,,,(11.5838663361 3122),(3.17024162585 3387),,,,,,
Point1,H3,(6.23327379503 181),,(29.1141031161 482),(14.5319584594 710),,,,,(12.2645193022 1636),(13.3236437777 1830),,,,,,,(11.6376449777 3126),(3.35500608129 3395),,,,,,
Point1,H4,(3.58918331187 217),(1.50149338748 412),(3.52520515948 586),(3.48479248045 778),(2.0701767946 974),,(2.66264763547 1338),,(2.67597428221 1706),(3.45107597654 1897),(3.85496665563 2090),,(2.7586605174 2459),,(13.4449851831 2753),(1.64594024473 3019),(3.04878926975 3195),(1.24344978758e-14 3411),,(13.2094250066 3684),(2.99804132761 3947),(1.28993792844 4141),,
Point1,H5,(3.6813098794 225),(1.58625641266 419),(3.61627539827 592),(4.15045608471 788),(2.08249688679 978),,(2.9180488706 1347),,(2.84682555111 1714),(4.0460962 1908),(4.02238007577 2098),,(3.04845416583 2468),,(13.6052751341 2758),(2.05320318328 3029),(3.12370957838 3201),(35.2349246334 3444),,(13.2142321035 3686),(3.18446642745 3955),(1.40565665748 4148),,
Point1,H6,(-1.06581410364e-14 245),(-3.5527136788e-15 433),(-0.000469753473034 613),(1.24344978758e-14 805),(-1.7763568394e-15 994),(0.0 1181),(-7.1054273576e-15 1365),(1.7763568394e-14 1551),(2.84217094304e-14 1733),(2.48689957516e-14 1925),(1.59872115546e-14 2116),(2.48689957516e-14 2294),(8.881784197e-15 2484),(-0.00195224139445 2667),(1.95399252334e-14 2853),(2.13162820728e-14 3042),(1.59872115546e-14 3221),(1.24344978758e-14 3411),(1.7763568394e-14 3597),(2.6645352591e-14 3783),(1.95399252334e-14 3972),(7.1054273576e-15 4161),(-3.5527136788e-15 4348),
