Cycle,0.619479166667
Average Width,5.91856191267
Width,,6.10160812958,5.18695674882,7.75339316748,8.15586012393,5.50870169202,6.81055267881,5.42803404604,5.72699892346,5.40761597756,5.22063809806,8.197568387,6.08875150606,4.94083520032,5.45374574368,5.66602776712,5.97649758678,5.81140008715,6.66956789928,7.04697246905,6.1834917501,5.97258837356,5.39844949073,5.18040391079,5.67913426967,5.65699716172
Point0,H1,(13.7999070075 100),(11.1124819696 231),(16.6320442397 364),(19.2028029157 433),(10.481930094 612),(12.2177555975 719),(10.7898415855 842),(10.7357216482 991),(12.3008230396 1092),(13.6595020616 1254),(11.2825398232 1355),(12.2000068483 1527),(10.2229086915 1652),(12.9488516413 1768),(10.5642986076 1879),(10.6107432566 1991),(11.5152004961 2103),(12.0576119669 2233),(11.36801648 2378),(11.6479234462 2518),(9.93195612145 2648),(8.29384842104 2776),(10.7574578656 2920),(11.5771513943 3063),(11.7846309694 3206),
Point0,H2,(4.4408920985e-15 126),,,(-1.59872115546e-14 522),(-0.0079761651208 640),(11.7696633052 730),,(1.7763568394e-14 1020),(6.2172489379e-15 1148),,,(1.24344978758e-14 1552),(-9.7699626167e-15 1677),(-8.881784197e-15 1795),(4.4408920985e-15 1914),(-0.00403611920563 2022),(-9.7699626167e-15 2135),(-1.68753899743e-14 2264),(-1.59872115546e-14 2410),(-1.50990331349e-14 2543),(-3.5527136788e-15 2672),(-0.00578042753659 2809),(-7.1054273576e-15 2943),(-7.1054273576e-15 3088),,
Point0,H3,(6.36004787282 146),,,(8.64029443759 543),(6.59139631168 668),(12.0715677081 738),,(7.1145717973 1043),(7.12779365295 1172),,,(6.88371043837 1578),(6.99050713359 1698),(7.38184911622 1824),(5.49394817783 1937),(7.0050870883 2051),(6.53132557734 2160),(6.31665454606 2289),(6.2469324512 2433),(7.0397930305 2569),(4.99400162978 2696),(5.01032929632 2836),(6.51891585371 2982),(6.42633704942 3114),,
Point0,H4,(4.75719005712 161),(-0.00675670850614 257),,(4.17841082111 562),,(1.33226762955e-14 766),(-7.1054273576e-15 892),,(6.23285874896 1185),(1.06581410364e-14 1281),,,,,,,(4.94698334509 2176),(4.40925798606 2305),(4.37424070384 2449),(5.90398708848 2589),(3.05393548429 2720),(4.08091206191 2851),(5.48976247306 2997),(5.21702509899 3132),,
Point0,H5,(10.4913585882 199),(16.5373247801 336),,(10.4794615617 593),,(6.58947833391 788),(7.90876446882 918),,(12.0175866855 1228),(9.56565727326 1323),,,,,,,(10.0626265008 2206),(10.645844149 2343),(10.1061552554 2489),(9.28540908069 2617),(7.38288489051 2753),(9.18855131835 2890),(9.687095669 3030),(10.2383888112 3175),,
Point0,H6,(4.4408920985e-15 126),(-0.00675670850614 257),(8.881784197e-15 400),(-1.59872115546e-14 522),(-0.0079761651208 640),(1.33226762955e-14 766),(-7.1054273576e-15 892),(1.7763568394e-14 1020),(6.2172489379e-15 1148),(1.06581410364e-14 1281),(-0.0037816803371 1420),(1.24344978758e-14 1552),(-9.7699626167e-15 1677),(-8.881784197e-15 1795),(4.4408920985e-15 1914),(-0.00403611920563 2022),(-9.7699626167e-15 2135),(-1.68753899743e-14 2264),(-1.59872115546e-14 2410),(-1.50990331349e-14 2543),(-3.5527136788e-15 2672),(-0.00578042753659 2809),(-7.1054273576e-15 2943),(-7.1054273576e-15 3088),(-7.1054273576e-15 3229),
Point1,H1,(19.7196445123 100),(17.5823784748 232),(22.7138654462 338),(27.3973921175 432),(17.0603427313 614),(17.3594240651 721),(17.7042744341 843),(15.8327055219 989),(17.6621654431 1092),(19.5011731443 1254),(13.8157503866 1358),(17.8181885371 1528),(15.5461687049 1651),(18.2419350621 1768),(16.0392542061 1878),(14.9577155028 1992),(16.9845056039 2104),(16.509356778 2233),(15.3920953305 2378),(16.3018962805 2518),(14.823060364 2647),(14.5086781109 2778),(17.2583411723 2919),(17.1347269631 3063),(15.5746286349 3206),
Point1,H2,(2.13162820728e-14 126),,(21.9946372217 354),,,(17.0796595127 730),(8.881784197e-15 892),,,,,(-7.1054273576e-15 1552),(-1.42108547152e-14 1677),,,,(-5.3290705182e-15 2136),(-8.881784197e-15 2264),(-0.00189570429614 2410),(-2.48689957516e-14 2543),,(-1.95399252334e-14 2810),(-2.13162820728e-14 2944),(-1.24344978758e-14 3088),,
Point1,H3,(9.83320948264 149),,(22.3276800864 365),,,(17.3088357764 737),(10.046512313 917),,,,,(9.02561878564 1575),(10.6223594098 1702),,,,(9.34215999218 2165),(8.48217002573 2287),(9.13878280288 2434),(8.58741701645 2569),,(10.6558962052 2835),(8.99801949975 2971),(7.89272092732 3114),,
Point1,H4,(9.34180781274 158),,,,(1.24344978758e-14 641),(8.881784197e-15 765),(8.65284162431 933),(1.42108547152e-14 1020),(1.06581410364e-14 1148),(1.24344978758e-14 1281),,,(7.3981679115 1721),(-7.1054273576e-15 1795),(3.5527136788e-15 1914),(-3.5527136788e-15 2021),(7.52311613984 2182),(5.47520913798 2303),(7.17558551269 2450),(7.69155475794 2590),(-3.01980662698e-14 2673),(9.17955414319 2849),(7.52578022816 2991),(6.25861895834 3133),,
Point1,H5,(15.5370406925 202),,,,(9.38242530006 669),(11.0904926971 789),(11.8939125601 957),(8.32424549598 1046),(8.48366349872 1170),(9.09031413819 1322),,,(14.5670899997 1746),(11.4287685229 1825),(7.36509976055 1939),(8.67411286664 2053),(13.917805178 2208),(13.8980244375 2346),(14.7614823367 2489),(12.3604693447 2619),(7.80063643938 2701),(15.8924723497 2889),(14.2940838333 3030),(14.2280273205 3176),,
Point1,H6,(2.13162820728e-14 126),(1.7763568394e-15 259),(1.42108547152e-14 401),(2.84217094304e-14 522),(1.24344978758e-14 641),(8.881784197e-15 765),(8.881784197e-15 892),(1.42108547152e-14 1020),(1.06581410364e-14 1148),(1.24344978758e-14 1281),(-1.7763568394e-15 1420),(-7.1054273576e-15 1552),(-1.42108547152e-14 1677),(-7.1054273576e-15 1795),(3.5527136788e-15 1914),(-3.5527136788e-15 2021),(-5.3290705182e-15 2136),(-8.881784197e-15 2264),(-0.00189570429614 2410),(-2.48689957516e-14 2543),(-3.01980662698e-14 2673),(-1.95399252334e-14 2810),(-2.13162820728e-14 2944),(-1.24344978758e-14 3088),(-0.000412518926096 3229),
