Cycle,0.675641025641
Average Width,4.42105366734
Width,,8.79594613453,4.93199513649,5.04465584687,4.47688939507,4.4103790249,4.40079532142,4.08451358854,4.36568688337,4.00614755487,4.08542702774,4.03984440047,4.31530053624,4.0429575316,4.05915705481,5.1029640926,6.31588064093,5.3929315354,4.65918839718,4.56671646621,3.76916160764,3.64097048069,3.65118432492,3.62935171022,5.10703976195,3.763831047,4.36374105471,4.60314658763,4.20069354983,4.76162432222,4.69862087779,4.75411871865,4.73244697552,4.7372926651,4.90247715759,4.49333720698,3.81897697204,4.27178759132,4.73634786962,4.3810022665,5.08348528626
Point0,H1,(31.380323329 30),(22.4754756929 174),(23.7935141738 318),(25.0279873888 465),(24.3844946198 620),(21.991517348 774),(18.5299274929 925),(17.5492730681 1063),(16.5506717266 1196),(15.3898859409 1326),(14.9969999019 1456),(17.9299024423 1598),(14.4274819461 1742),(11.4305482067 1872),(13.727336157 2002),(11.3719344359 2141),(14.8027057081 2272),(14.3710457783 2402),(14.0777748738 2530),(13.165281424 2654),(14.6059651754 2774),(14.5861263487 2902),(17.1030402149 3039),(25.9940232275 3202),(14.5547757633 3407),(20.4736909226 3513),(20.6352301472 3649),(18.0043559443 3781),(23.5385681375 3916),(26.1814837279 4049),(27.7827166952 4207),(24.688179397 4364),(24.6709171828 4512),(21.9854038816 4654),(21.4315713259 4790),(18.1751193233 4922),(20.3643178502 5043),(21.1243413078 5179),(23.5003381017 5311),(21.8058108892 5443),
Point0,H2,(11.9237010193 54),(9.97027341416 196),(12.2430464585 340),,(15.3386250978 647),,(8.9896490883 947),(7.6923259233 1090),(8.28774051725 1219),(7.92980977765 1352),(10.2342156831 1477),(12.2769107001 1621),(8.49295148382 1763),(6.01528845011 1895),(8.78082611009 2029),(7.19815319473 2163),(10.4178346751 2292),,,(6.97830843146 2675),(9.06017343599 2803),,,(20.7667748232 3220),(10.5461040123 3426),(12.0150859472 3538),(6.56337587799 3675),(7.26250136635 3809),(11.8933796813 3940),,(15.8310697039 4228),(14.4385268676 4387),(13.3106266745 4537),(9.55887621148 4677),,(10.5719897675 4953),,(11.2640548536 5207),,
Point0,H3,(13.1851630469 64),(12.8978890479 214),(14.0741968292 355),,(16.2721011281 662),,(11.2648635788 962),(10.1993386525 1108),(9.77458630579 1234),(8.58738085261 1364),(10.6966921649 1487),(12.7237208456 1631),(10.1721501229 1780),(6.5800217609 1908),(8.85993453379 2041),(7.9214959362 2176),(10.8339531279 2301),,,(8.61458504023 2691),(9.52290166829 2815),,,(21.0824251783 3228),(11.4111871388 3439),(14.6795712705 3555),(11.3497773797 3698),(10.2647725118 3827),(14.9893557976 3956),,(16.9439203417 4238),(15.86444077 4400),(13.5354683231 4546),(12.4515717869 4694),,(11.4207299319 4966),,(12.4062472628 5220),,
Point0,H4,(1.01314712586 108),(3.64637793743 250),(3.68408128885 414),(6.3459792658 554),(6.18513611915 717),(3.85682948563 859),(2.7833770009 1002),(1.39587974291 1138),,,(3.1261895562 1532),,,(1.33576895725 1949),(1.40883675469 2077),(1.28115902731 2220),(2.3406576209 2352),(2.39423627822 2478),(7.27894553483 2557),(2.51762401413 2724),(2.83988591555 2846),(9.51842578959 2941),,(-5.3290705182e-15 3336),(10.4666994151 3453),(4.57084257852 3591),(2.46209054224 3725),(1.08935712983 3857),(4.33774422828 3995),(4.43807500911 4132),(5.40791295051 4297),(4.74509184091 4462),,(3.05228123452 4730),(11.1776955377 4826),(3.71957549984 4992),(2.9770081448 5119),(2.00468322368 5262),,
Point0,H5,(1.67175764329 123),(4.13779413991 260),(3.93427745852 422),(6.65344941495 563),(6.30017080879 723),(4.06840440064 867),(3.8140146462 1015),(1.68248849214 1146),,,(3.84460539607 1544),,,(1.94280509874 1960),(2.205926195 2090),(1.42857033761 2229),(2.48141509421 2358),(2.62228641261 2487),(8.10286665038 2572),(2.52180685449 2726),(3.42211999753 2857),(9.59870526991 2946),,(13.9511350611 3360),(10.5200044269 3457),(5.45522361252 3603),(3.68470130358 3737),(1.39891125591 3867),(5.27196888515 4006),(5.02842333483 4143),(5.91783667534 4308),(4.89126044135 4469),,(4.45037738238 4743),(11.5812028184 4836),(4.06729407683 5000),(3.37292519957 5128),(2.00931843341 5264),,
Point0,H6,(5.3290705182e-15 146),(-0.0125590791071 288),(-1.7763568394e-15 439),(1.59872115546e-14 586),(-1.7763568394e-15 745),(-1.95399252334e-14 894),(-1.86517468137e-14 1033),(-1.50990331349e-14 1163),(7.9936057773e-15 1293),(-8.881784197e-16 1425),(-0.00139167496637 1564),(-0.0176769337903 1713),(5.3290705182e-15 1847),(-4.4408920985e-15 1975),(7.9936057773e-15 2109),(-9.7699626167e-15 2245),(-8.881784197e-15 2375),(-7.9936057773e-15 2503),(-0.0074517822121 2614),(9.7699626167e-15 2744),(-1.7763568394e-15 2874),(1.06581410364e-14 3012),(-1.7763568394e-15 3173),(-5.3290705182e-15 3336),(-0.0117670025109 3483),(1.24344978758e-14 3623),(3.46389583683e-14 3753),(-0.0520691634793 3882),(2.48689957516e-14 4023),(1.7763568394e-15 4179),(1.7763568394e-14 4331),(2.13162820728e-14 4487),(1.33226762955e-14 4625),(7.1054273576e-15 4761),(5.3290705182e-15 4889),(-0.000519140344894 5017),(7.1054273576e-15 5146),(1.06581410364e-14 5283),(1.59872115546e-14 5417),
Point1,H1,(32.4186077824 29),(22.607774108 174),(23.9611154858 318),(28.9189356333 465),(28.4241275039 619),(25.7318408102 774),(25.8560838764 925),(23.8585551831 1062),(22.8481093513 1196),(23.8974720759 1325),(24.6162523713 1455),(27.1560678307 1597),(25.0031329052 1742),(22.330851348 1872),(23.0116839935 2001),(20.7409469682 2141),(24.4790433778 2272),(24.0177245349 2401),(22.0796327837 2529),(20.7099347012 2653),(22.9470992422 2772),(21.963961712 2899),(25.6563832985 3039),(35.0654955221 3200),(24.3132388438 3359),(25.6840223776 3512),(23.7237861052 3649),(21.7679215667 3781),(26.3502257567 3916),(31.0221200314 4049),(33.250321517 4207),(29.8264743055 4364),(30.096105136 4512),(26.7022827743 4654),(26.6069614551 4790),(23.8166700828 4920),(25.338585901 5042),(25.569425397 5178),(26.3560029112 5311),(22.3454210909 5443),
Point1,H2,(11.4289982104 53),(10.2065679046 196),(12.8185765344 340),,(17.5343198288 647),,(11.876328469 947),(9.75815279956 1089),(9.75947897206 1220),(11.0405241841 1349),(13.291822542 1479),(15.9831634201 1621),(12.3324094914 1764),(9.92770273767 1896),(12.8369500056 2026),(10.3587204884 2166),(13.9931756257 2294),,,(8.4994485911 2675),(12.7147928746 2807),,,(23.5356243783 3220),,(11.888069715 3539),(8.61221098647 3675),(9.1171051698 3809),(13.2870580908 3940),,(17.7594673268 4228),(16.5348102661 4388),,(10.6041179458 4676),(13.71730872 4825),(12.3618953872 4952),(12.8573831407 5084),(12.285142625 5207),,
Point1,H3,(13.4398819052 65),(13.2610347947 213),(14.5001572983 354),,(18.4793275864 659),,(15.1448148109 963),(13.1470739982 1106),(12.4834939599 1236),(12.6961525479 1362),(13.9130315991 1488),(16.9318030283 1632),(14.456220515 1777),(10.9689812666 1909),(12.8821246161 2030),(11.3284186456 2177),(14.463017098 2302),,,(11.9811926961 2694),(12.8751057695 2815),,,(24.304514078 3229),,(15.9435399209 3556),(12.8532934361 3696),(12.3126361597 3827),(16.7546098003 3957),,(18.9618034442 4239),(18.2706892202 4401),,(14.9826423027 4694),(14.1799927614 4835),(13.3887192681 4965),(12.9671709876 5090),(13.4783971259 5218),,
Point1,H4,(1.35677669415 106),(3.57306021366 251),(4.57781018271 412),(6.31713590835 552),(6.82429238745 717),(5.30648253642 858),(4.0611676436 1002),(1.87148653521 1140),,,(3.72066140892 1532),(5.50656656066 1675),(3.95254298087 1821),(1.98312114503 1947),(2.49005011882 2077),(1.76046601656 2220),(3.1710975063 2350),(2.93576629188 2478),(9.34696152233 2556),(3.20130193514 2723),(4.07337436518 2846),(12.21245986 2942),,,,(4.30692812082 3592),(2.26110422929 3724),(1.83091263439 3855),(4.35395117825 3994),(5.3157054228 4132),(5.7496414945 4297),(5.34715483451 4462),(14.1610326259 4537),(3.36121289957 4729),(4.71735089555 4864),(3.83141019532 4992),(3.30102976273 5120),(2.21698755519 5260),,
