Cycle,0.775142857143
Average Width,18.3051612089
Width,,6.25208536086,6.72928991252,6.96527447116,6.18443153968,6.4766486998,6.3595494559,6.48085199207,6.66275510598,6.39526923618,6.65168547797,6.70443951646,6.64463282826,6.18050430166,6.64783276306,7.05790155888,6.63794895181,6.72964626048,6.30767153275,6.24626708274,6.73900103783,5.90177069021,5.88288626768,6.12273439021,6.23777971884,6.35018344277,5.98947638588,6.33947671767,5.90767107056,6.36252958298
Point0,H1,(9.78546096452 28),(10.6691495468 203),(8.28614608591 365),(8.49830666615 537),(9.25734574508 703),(7.98508715881 872),(9.04351127849 1022),(8.92632761507 1205),(8.58774354591 1350),(8.2999249777 1506),(9.49437941454 1663),(10.1082470242 1834),(7.73926973468 2000),(8.56475296353 2175),(9.41666420575 2340),(9.53308367826 2494),(10.8317548269 2649),(9.17320286185 2796),(7.27155573544 2953),(11.385487169 3120),(6.38428038852 3258),(6.95593172935 3417),(6.9798971688 3580),(8.15788675146 3738),(8.68849439919 3898),(7.51114843316 4061),(8.84112302257 4219),(7.86749359603 4379),(10.483012147 4547),
Point0,H2,(8.54235786683 44),,,,,,,,,(4.90079315851 1546),,(5.97115090286 1885),,,(6.6013271388 2377),,(9.2129416867 2666),,,,(5.15100278082 3274),(1.58015292544 3465),,,,,(7.85506155682 4232),,
Point0,H3,(8.5739007243 48),,,,,,,,,(4.95424718245 1553),,(6.19774188863 1897),,,(6.66219458446 2384),,(9.43255150663 2676),,,,(5.29234779411 3283),(1.96893031776 3477),,,,,(8.57880493404 4245),,
Point0,H4,(1.52067283407 121),(0.164212129868 291),,(5.60420312792 595),,,,(1.7859681488 1283),(1.39947919187 1430),(0.764854713453 1609),(3.29918034216 1764),(2.18623039962 1941),(4.69905962476 2062),(1.72599184743 2261),(1.49261971858 2443),,,(3.89912071059 2836),(-0.00983434277713 3042),,(0.852026450855 3345),(0.0717089827606 3504),(1.54888671218 3661),,,,,,
Point0,H5,(1.89381442645 136),(1.02136145913 317),,(5.71584822807 605),,,,(1.99806868835 1294),(1.65425252159 1445),(0.87010252362 1617),(3.30435212729 1767),(2.61813382369 1952),(4.85461602342 2074),(2.51634275607 2286),(1.50031060452 2446),,,(4.24040945013 2855),(11.2227127529 3104),,(0.962982742521 3357),(1.20108665117 3524),(1.75036921179 3672),,,,,,
Point0,H6,(-0.00225860537157 167),(3.5527136788e-15 334),(-0.00238592930549 501),(-2.6645352591e-15 673),(8.881784197e-16 834),(-0.000367339960351 992),(1.7763568394e-15 1154),(5.3290705182e-15 1315),(-0.00146518093841 1470),(-3.5527136788e-15 1631),(-1.7763568394e-15 1797),(-3.5527136788e-15 1971),(-4.4408920985e-15 2143),(-2.6645352591e-15 2306),(-5.3290705182e-15 2464),(-2.6645352591e-15 2609),(-0.00329597980792 2769),(1.7763568394e-15 2917),(-0.00983434277713 3042),(-0.00487878550362 3228),(8.881784197e-16 3389),(2.6645352591e-15 3542),(4.4408920985e-15 3701),(4.4408920985e-15 3867),(4.88498130835e-15 4033),(5.3290705182e-15 4190),(0.0 4352),(-2.6645352591e-15 4512),
Point1,H1,(12.7867017194 28),(12.4885434633 205),(10.657796706 366),(10.9766707102 539),(11.538178677 703),(9.45855254213 871),(11.2541708625 1023),(10.6462367239 1183),(10.7496584481 1352),(10.2281388941 1507),(12.217697261 1664),(12.268863097 1834),(10.5851026746 2004),(10.8088839364 2174),(10.9018998234 2340),(11.7140775187 2494),(12.4936279776 2651),(11.186675294 2797),(9.00333854059 2954),(13.3785094548 3103),(8.55908492797 3259),(9.34361617644 3417),(8.95303524502 3581),(10.4321443283 3738),(11.1811103859 3899),(10.0084857353 4062),(10.6829559747 4220),(10.687858236 4380),(12.1877254348 4545),
Point1,H2,,,(4.898998734 445),(7.77259338576 572),,(6.74155483711 901),,(10.2235609334 1194),,,,(6.55222067744 1887),,,(6.98167716458 2378),(6.45874701892 2539),,,,(13.0764458714 3112),(7.27249107884 3276),(2.40336246042 3466),,,,,(9.40290062064 4234),,
Point1,H3,,,(4.90506664445 448),(7.78215040484 576),,(6.7515526163 906),,(10.3389970925 1201),,,,(6.72169127798 1897),,,(7.16702046396 2387),(6.47698060409 2543),,,,(13.2664360904 3121),(7.31320996659 3281),(2.70168602415 3477),,,,,(9.96493518314 4245),,
Point1,H4,(1.85830876976 120),(0.28690618608 292),(3.06517353965 473),,,,(1.03585389212 1129),(2.38351366851 1285),(1.08398898339 1448),(1.51335792952 1607),(2.95350835363 1765),(2.53967919149 1942),,(1.63876756768 2268),,,,(4.29343896554 2839),,,(1.24013514084 3347),(0.428661793756 3505),(1.86692658414 3662),,,(0.434763447429 4170),,,
