Cycle,0.825397727273
Average Width,4.64528347669
Width,,4.75912834757,4.7448870173,4.60292323843,4.70555122303,4.86577374923,5.04463208261,4.66039404129,4.66510778546,4.60796875616,4.58334906508,4.68901235316,4.50842785374,4.77768012859,4.77954503163,4.51446906583,4.65712535725,4.52849183617,4.80553580594,4.870028939,4.69398306437,4.20972923372,4.50507203738,4.22417028099
Point0,H1,(10.0263128383 30),(10.1501146068 202),(10.2392064551 378),(11.6683953668 557),(12.5426666687 729),(12.0382403291 907),(9.30881185056 1082),(9.05812339487 1263),(9.35928647796 1436),(10.2009298624 1612),(9.0468714679 1783),(9.64421001107 1966),(8.42533512923 2125),(10.1194813337 2301),(9.13878421228 2473),(9.72933504944 2635),(8.92123057969 2813),(9.40893684298 2981),(9.03515225757 3152),(6.32487619819 3349),(6.12858666933 3494),(5.2108146618 3684),(6.28976098406 3836),
Point0,H2,,,,(11.0393472617 572),,(10.8016635386 922),,,,,,,,,,,,(1.91439159531 3066),,(5.27316190454 3367),,,,
Point0,H3,,,,(11.0425603507 574),,(10.9126769047 930),,,,,,,,,,,,(2.58955007518 3083),,(5.4196867465 3375),,,,
Point0,H4,(6.65420473573 70),(8.98267181176 215),(5.96956316375 420),,,(9.09947399047 951),(7.94954136822 1098),(7.72385048696 1286),(1.33858704232 1542),(4.49328097422 1688),,(6.60477747601 1992),(-0.00367402733546 2189),(1.5476160824 2404),(1.15930238498 2582),,(6.4124171196 2858),(2.56231444749 3089),,(1.9934109034 3403),(2.17076150809 3587),(4.45585519942 3703),,
Point0,H5,(7.13458460896 84),(9.74856829693 228),(7.27366052484 437),,,(9.33620419621 960),(8.23423690061 1109),(8.31090304009 1306),(1.62964639371 1553),(4.70656282161 1697),,(7.00769261369 2004),(1.65942402903 2234),(1.54807720238 2405),(1.24768084272 2590),,(6.4748544586 2865),(2.68617591932 3099),,(2.71559230076 3425),(2.40751281873 3602),(4.59118024586 3714),,
Point0,H6,(-3.5527136788e-15 171),(1.7763568394e-15 348),(-7.9936057773e-15 526),(-1.50990331349e-14 697),(-1.7763568394e-15 872),(2.6645352591e-15 1050),(-3.5527136788e-15 1217),(-2.6645352591e-15 1395),(-2.6645352591e-15 1572),(-0.00212057481069 1746),(8.881784197e-16 1921),(-0.016190933908 2093),(-0.00367402733546 2189),(-0.0050333081127 2259),(8.881784197e-16 2435),(4.4408920985e-15 2607),(0.0 2774),(3.5527136788e-15 2944),(3.5527136788e-15 3121),(1.7763568394e-15 3287),(6.2172489379e-15 3458),(3.5527136788e-15 3632),(-1.33226762955e-15 3795),
Point1,H1,(14.5742203124 29),(13.8653641401 202),(15.6162202421 378),(16.3095651312 557),(17.5699585398 730),(17.1021241028 907),(13.3298349181 1082),(13.7168101332 1259),(14.0958611533 1437),(15.5896224527 1611),(14.5731875251 1785),(13.8067701025 1955),(13.8063283016 2124),(15.0943396598 2300),(14.4180069089 2474),(14.3184345098 2637),(13.8409144779 2811),(13.6804997906 2984),(13.9751236696 3151),(10.2704282262 3323),(9.73258703733 3498),(8.71534690754 3678),(10.0848156022 3836),
Point1,H2,,(12.3362881553 216),,,,(10.8124478538 953),,(10.1390021344 1301),,,(5.25968013767 1868),(8.29974748959 1993),(2.52696856143 2194),,,,,,,(9.33037167527 3340),,,,
Point1,H3,,(12.6837787456 225),,,,(10.9300746665 960),,(10.2759423907 1310),,,(5.26608755014 1871),(8.55221965316 2002),(3.79856786961 2215),,,,,,,(9.33679805669 3343),,,,
Point1,H4,(3.81626593777 126),(7.00613668396 251),(8.14688118843 421),,,,(6.12502865356 1148),,(2.23430055787 1542),(2.55764535592 1718),(3.40500130027 1896),,(3.29451211049 2231),(2.22993480724 2403),,,(8.03209631718 2858),(3.37985326282 3067),(1.58830466573 3255),(2.75577936991 3409),(2.51846256878 3579),,,
Point1,H5,(3.82109663893 129),(7.10128411484 258),(9.20748163668 435),,,,(6.14525954057 1153),,(2.34484316608 1550),(2.92800975889 1728),(3.41757419346 1900),,(3.29649803035 2233),(2.23144448307 2405),,,(8.14394840137 2865),(4.37017571602 3094),(1.91920172722 3266),(2.75761321016 3412),(2.68745487538 3592),,,
Point1,H6,(1.7763568394e-15 172),(7.9936057773e-15 348),(3.5527136788e-15 526),(5.3290705182e-15 697),(1.7763568394e-15 872),(-4.4408920985e-15 1049),(-3.5527136788e-15 1219),(-2.6645352591e-15 1393),(-4.4408920985e-15 1571),(8.881784197e-15 1747),(8.881784197e-16 1921),(1.7763568394e-15 2092),(2.52696856143 2194),(6.2172489379e-15 2260),(9.7699626167e-15 2434),(6.2172489379e-15 2605),(6.2172489379e-15 2774),(3.5527136788e-15 2944),(-8.881784197e-16 3120),(-3.5527136788e-15 3287),(-8.881784197e-15 3457),(-6.2172489379e-15 3632),(1.7763568394e-15 3794),
Point2,H1,(14.5421003539 28),(15.2286762551 202),(15.5755922648 378),(15.5187735596 556),(18.0249071948 730),(17.5909789325 907),(14.0592234086 1081),(14.3026386941 1258),(14.4049631404 1436),(15.9047154817 1610),(15.0853809466 1787),(14.1661622197 1963),(12.4466398227 2124),(14.8858421107 2298),(13.7012262996 2474),(13.3232025726 2637),(13.5742191595 2810),(12.8563672527 2984),(14.2178177024 3152),(10.7392113474 3324),(10.369396225 3496),(8.77904408376 3679),(10.0808161047 3833),
Point2,H2,,,,,,,(11.4730488466 1099),,,,,(8.1134176437 1993),(-1.33226762955e-14 2192),,,,,(2.36605725298 3062),,,,(6.19295030076 3705),,
Point2,H3,,,,,,,(11.5204214368 1104),,,,,(8.63840143852 2005),(1.77650964398 2214),,,,,(3.72912570236 3078),,,,(6.24297681418 3711),,
Point2,H4,(3.85018988171 125),(7.12885888803 250),(7.5577969393 422),(10.4475788591 602),(4.15918138084 810),,(7.10484831655 1131),,(2.38712788345 1542),,,(6.0181261912 2041),(1.39477689883 2228),(2.40949338046 2404),,(2.41040545478 2738),(7.99212481134 2857),(2.55731278184 3093),(1.25204103364 3255),,,(2.18224945516 3766),,
