Cycle,0.785
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(6.53286864065 36),(5.883172761 198),(8.79307948341 376),(8.82366195833 533),(8.45085787059 699),(7.02212946652 872),(6.70241659442 1028),(9.52540033759 1190),(7.84931921712 1351),(7.32947576995 1528),(9.36609951899 1687),(10.2300484153 1870),(9.19790689919 2021),(8.24948486745 2182),(10.2711767436 2358),(9.8180562059 2530),(11.0566729141 2710),(10.8825988342 2867),
Point0,H2,(5.84654512799 52),(5.39632673683 213),,,,(1.1572052561 928),,,(1.38104312977 1426),,(3.40511176011 1735),,,(5.10767669373 2225),,,,
Point0,H3,(5.94503764086 61),(5.41991150204 218),,,,(1.50953597334 941),,,(1.75829381484 1439),,(3.55068278005 1745),,,(5.452979664 2236),,,,
Point0,H4,(1.02140518266e-14 114),(-0.0688768173994 300),,(8.881784197e-16 623),(-0.00151374199282 795),(0.207005429134 967),,(1.37510119894 1265),(1.11850409268 1454),(1.50803704869 1611),(-0.000822766831517 1815),(1.53368355661 1950),(0.411020413231 2115),(0.793248418849 2271),(0.774703040856 2434),,,
Point0,H5,(1.9126089875 154),(0.778554720123 317),,(1.14681803542 644),(1.0633887181 812),(0.209499488993 970),,(1.7034918723 1279),(1.45737657509 1466),(1.76674368141 1624),(8.48054124742 1847),(1.9609001113 1962),(0.576125659968 2129),(1.99380560901 2290),(1.02566490407 2445),,,
Point0,H6,(1.02140518266e-14 114),(-0.0688768173994 300),(4.88498130835e-15 456),(8.881784197e-16 623),(-0.00151374199282 795),(-3.5527136788e-15 983),(4.4408920985e-16 1140),(1.33226762955e-15 1315),(-8.881784197e-16 1483),(1.7763568394e-15 1646),(-0.000822766831517 1815),(2.6645352591e-15 1980),(1.7763568394e-15 2148),(8.881784197e-16 2318),(3.99680288865e-15 2463),(-0.000189286832736 2633),(0.0 2797),
Point1,H1,(8.59803562917 39),(8.50009408253 201),(10.5813372223 377),(11.0602695302 537),(11.1992162745 700),(9.32379622264 873),(9.83514184949 1032),(11.5804706557 1190),(10.5974194443 1353),(10.3884698307 1530),(11.5660870451 1687),(10.6462453686 1849),(10.7394691974 2026),(10.6817985124 2184),(12.3494027041 2360),(11.8931463384 2533),(12.8929209469 2710),(12.4534867641 2870),
Point1,H2,,,,,,,,,,,,(10.3118106094 1859),,,,,,
Point1,H3,,,,,,,,,,,,(10.5360479638 1869),,,,,,
Point1,H4,(0.591129255784 126),(0.394948677363 300),(-3.5527136788e-15 460),(0.453236101278 625),(0.292249077879 797),(1.90365265524 935),(0.918033263439 1125),(-2.6645352591e-15 1304),(2.07454472353 1458),(1.87373165935 1613),(2.0608103443 1766),(1.33491614469 1956),,,(0.0 2465),(-3.5527136788e-15 2636),,
Point1,H5,(1.34927785433 152),(1.03739232215 317),(0.992418911725 483),(1.12896143036 643),(0.810201064757 813),(1.92283381211 941),(0.91927183987 1127),(0.0253449689882 1310),(2.08250711762 1462),(1.9477601787 1621),(2.34844087885 1777),(1.35407041555 1961),,,(0.775937657981 2482),(0.992817110805 2656),,
Point1,H6,(-1.33226762955e-15 171),(2.6645352591e-15 332),(-3.5527136788e-15 460),(-0.000284882616522 664),(-1.33226762955e-15 827),(-8.881784197e-16 984),(2.6645352591e-15 1147),(-2.6645352591e-15 1304),(-6.2172489379e-15 1484),(4.4408920985e-15 1646),(1.7763568394e-15 1814),(-2.6645352591e-15 1980),(-3.5527136788e-15 2151),(-8.881784197e-16 2318),(0.0 2465),(-3.5527136788e-15 2636),(-0.000849154148137 2825),
