Cycle,0.718257575758
Average Width,4.6776911852
Width,,10.2842979504,51.291087773,0.0,3.38678649994,4.07647734426,0,0,0,0,0,0,0,4.67344967877,4.22023941472,3.83683176216,4.12266580155,3.60647894844,3.6803480064,4.25048992444,4.38864400706,4.37371307483,4.23856233491,3.37785831218
Point0,H1,(7.5943947936 35),(6.21487846668 181),(8.1758551989 338),(8.60732313283 488),(15.4850952011 643),(19.6712146305 799),(19.8377743792 952),(18.5216937365 1108),(19.1874406483 1256),(18.4312274213 1407),(16.9901632504 1550),(16.7626556309 1695),(15.7059066332 1834),(15.6772576904 1978),(12.9728294095 2127),(14.8878337237 2279),(11.5263969588 2429),(12.819265062 2583),(14.6556557174 2741),(14.3679858703 2893),(14.4485019658 3046),(11.1246242449 3197),(7.49507235207 3341),
Point0,H2,,(3.84015396406 202),,(4.77768426402 527),(7.67409402316 671),(10.5785744047 835),,(9.22231831295 1134),(9.64368881151 1290),,,(8.62838604473 1726),,,,,,,,,,,,
Point0,H3,,(4.41473484582 221),,(5.54402148842 543),(7.78618858296 679),(10.6859007504 844),,(9.41432749938 1143),(10.6382184076 1305),,,(9.6216709263 1741),,,,,,,,,,,,
Point0,H4,(4.69643071995 64),(1.23769608751 272),(5.52366591061 374),(2.68699314565 575),(2.15764913195 737),(3.31779784191 901),(9.69783040443 990),(2.88009121612 1204),(3.70419294806 1346),(9.24125465763 1442),(9.54264822087 1586),(3.75163789696 1780),(8.52942921629 1872),(8.81036241651 2018),,(2.24515438497 2372),(7.75126336782 2467),(3.36222512767 2672),(3.1399032044 2835),(8.45722650272 2928),(7.34219323817 3079),(3.54739429739 3286),,
Point0,H5,(4.81730696852 76),(1.37108830641 283),(5.68608031819 389),(2.73077460148 581),(3.10973295041 750),(3.42234491471 908),(9.99102314944 1000),(3.08217395097 1212),(4.00782488178 1355),(9.49969791358 1452),(9.78318723194 1595),(3.80692892229 1785),(8.97571596928 1884),(9.34520113528 2030),,(2.69526472466 2382),(7.77076933179 2472),(3.3626652578 2674),(3.32930973415 2843),(9.04735157475 2942),(7.5576433747 3092),(3.56280107261 3290),,
Point0,H6,(-1.37667655054e-14 151),(4.88498130835e-15 302),(1.50990331349e-14 462),(-4.4408920985e-15 608),(-5.3290705182e-15 767),(-1.7763568394e-15 925),(-7.1054273576e-15 1076),(-2.13162820728e-14 1229),(-2.6645352591e-14 1375),(-1.95399252334e-14 1518),(-5.3290705182e-15 1662),(-1.7763568394e-15 1806),(4.4408920985e-15 1949),(1.7763568394e-15 2095),(-1.7763568394e-15 2247),(-3.5527136788e-15 2399),(-5.3290705182e-15 2553),(-0.00709552418966 2704),(5.3290705182e-15 2863),(-0.00573570037163 3011),(-3.5527136788e-15 3163),(-0.0506197639236 3313),(-0.361438182587 3398),
Point1,H1,(11.9144817105 35),(11.4250676972 181),(11.2408791398 330),(9.5596677539 486),(14.0434604917 643),(17.0508978589 798),(16.7432465467 952),(15.5237725937 1108),(15.4153254795 1256),(15.5286012931 1406),(14.3164065736 1550),(13.4212476285 1693),(13.0120053903 1834),(13.656146376 1977),(12.4140328504 2126),(14.1270422698 2278),(12.5205102791 2427),(14.030672473 2582),(14.5385641665 2740),(14.1146679173 2892),(13.4061828624 3045),(13.008755648 3192),(12.0041670799 3343),
Point1,H2,(6.28500582526 64),(7.07359428522 206),(5.43619442482 371),(2.91266715199 524),(7.22900944188 671),,,(8.11327020622 1134),,,,(7.13950727521 1725),(6.88875083681 1870),(7.03055154812 2019),,,,,,,(6.81627245126 3072),,,
Point1,H3,(6.8373437931 80),(7.48845584252 227),(5.66183808114 383),(3.75827539597 543),(7.33238230555 678),,,(8.30094251565 1142),,,,(7.70926870758 1738),(7.46322335452 1883),(7.40909605808 2030),,,,,,,(7.42776051566 3089),,,
Point1,H4,(2.56542973262 117),(3.14654441136 273),(0.544777683347 437),(1.89469013593 576),(2.72847017136 737),(9.29341003226 834),(8.27076360774 993),(2.28703186967 1207),(8.26948853879 1289),(8.46250728933 1441),(8.16010610921 1584),(3.08247992932 1779),(2.70808079085 1923),(2.82234358332 2067),,(1.35193675291 2372),(7.23933175873 2469),(2.72425594858 2676),(3.17514490331 2835),(7.72965268838 2929),(0.873915925304 3142),(1.98274521983 3281),,
Point1,H5,(2.57673705287 121),(3.24433749273 281),(0.632207385754 445),(2.12238888359 586),(3.37939895345 749),(9.48008595664 844),(8.66140001243 1004),(2.29012037909 1210),(9.41738620763 1306),(8.80304156704 1452),(8.57765337704 1596),(3.19217137811 1786),(2.83081378955 1931),(2.91569599774 2074),,(1.91114238826 2383),(7.2714699025 2475),(2.73759737007 2680),(3.34543157482 2843),(8.08138057469 2941),(1.04697480383 3150),(2.60913143182 3294),,
Point1,H6,(-0.026326712993 1),(-3.5527136788e-15 148),(-0.00504514147344 303),(9.7699626167e-15 458),(-4.4408920985e-15 608),(-1.24344978758e-14 767),(-9.7699626167e-15 925),(-1.24344978758e-14 1074),(-5.3290705182e-15 1229),(-2.6645352591e-15 1374),(1.06581410364e-14 1518),(3.5527136788e-15 1663),(7.1054273576e-15 1806),(1.06581410364e-14 1950),(2.6645352591e-15 2095),(2.6645352591e-15 2245),(1.7763568394e-15 2398),(5.3290705182e-15 2551),(7.1054273576e-15 2704),(3.5527136788e-15 2863),(-0.00635603733157 3012),(7.1054273576e-15 3164),(2.6645352591e-15 3311),
Point2,H1,(14.9395062032 33),(16.4181987968 179),(15.4823440859 330),(3.52206817125 484),(4.96922646546 647),(10.3240763924 799),(9.85107545766 951),(7.78961660635 1109),(7.72613523697 1257),(8.26175701857 1407),(6.89255028982 1548),(5.7821509201 1692),(4.56425675177 1832),(4.51863612711 1980),(4.44222863912 2121),(6.09099329391 2277),(5.462565813 2425),(6.62658236985 2582),(7.57860690481 2740),(7.61981026618 2890),(6.17934437536 3046),(9.05938825274 3190),(8.09289398992 3338),
Point2,H2,(6.54034332268 63),(9.31873256982 204),(5.32946315493 368),(-0.00240974123417 516),(3.04776951738 681),(7.22927333535 838),,(5.4560029222 1138),,(6.18000921747 1439),,,(3.84808801142 1849),(3.8928611395 2011),,(3.09191956605 2316),(4.96663780211 2440),(5.24543912669 2600),(5.48321772853 2767),,,(7.17643284816 3207),,
Point2,H3,(6.8393859671 74),(10.4714186356 225),(5.68662979061 380),(2.18950478447 562),(3.44998038661 698),(7.30385239194 847),,(5.47178133331 1146),,(6.20730971831 1445),,,(3.88497989236 1856),(3.92755378955 2020),,(3.71537777617 2333),(4.97356532555 2443),(5.3121682961 2607),(5.56338455649 2782),,,(7.47702329639 3217),,
Point2,H4,,(3.99812927889 275),(-0.0371761456977 440),(1.71836451286 577),(1.53229781507 731),,,(0.966090585078 1204),(5.7107686136 1293),,,(3.74755230097 1730),,,,(1.06285627368 2371),(3.86614023111 2466),(1.84661152866 2670),,(5.33691819613 2930),(0.299404494126 3142),(2.92880115665 3282),,
Point2,H5,,(4.03412167882 280),(-0.0248646227309 445),(2.08520912814 589),(1.9349881405 746),,,(1.15274942631 1213),(6.18666467142 1308),,,(4.12505541084 1744),,,,(1.07855053108 2377),(4.0459161837 2477),(2.13246684074 2683),,(5.49671805658 2941),(0.429266318281 3150),(2.97595810818 3288),,
