Cycle,0.757261904762
Average Width,5.21089754545
Width,,4.79243391385,5.02988221771,4.73486380939,4.59907205576,5.04500736379,5.29112257484,5.64956748209,5.74311180715,5.28549684069,5.39603210783,5.26618898081,5.53654449741,5.17515179754,5.06490727004,5.61067058247,5.14660284904,5.52913277571,5.74364985029,5.36905713122,4.77767839537,5.08361643365,4.95331774983
Point0,H1,(10.2083227154 39),(11.1513263358 190),(10.2297452696 347),(10.4722079631 512),(12.0535691055 672),(14.5682595214 833),(15.3153105742 994),(14.64115223 1151),(13.7527890415 1303),(14.3743453361 1453),(14.1086215376 1605),(13.9128428976 1758),(13.6406509108 1916),(12.8740489942 2077),(15.4486659627 2243),(15.3920941946 2408),(15.1772148542 2578),(15.5819688171 2741),(14.5566160949 2900),(12.0554043709 3056),(12.592021307 3218),(11.5201258359 3375),
Point0,H2,,,,(7.77693313304 546),(7.42039531832 704),,,(7.75790196582 1183),(7.545245884 1337),,,(9.15099364171 1796),,(8.0046472448 2112),,,,,,,,
Point0,H3,,,,(8.28109835784 559),(7.83820846903 718),,,(8.0096772492 1193),(8.59601381909 1354),,,(9.25727663133 1806),,(9.06135628739 2129),,,,,,,,
Point0,H4,(6.24944337941 67),(8.15258339732 230),(8.03345920839 385),(2.15071335822 609),(2.34811378848 771),(9.37673094699 861),(3.08662793669 1092),(1.3045332059 1253),(2.92797052631 1393),,(2.8740359922 1699),(3.09845037367 1856),(3.18740252637 2018),(3.64027679854 2179),(9.88048467607 2274),(9.28155827679 2449),(8.68972671232 2606),(9.09661784761 2770),,(8.70834152058 3084),,
Point0,H5,(6.96997236262 82),(8.16207265836 234),(8.26571689651 397),(2.99243005536 622),(2.52833940022 779),(9.43341711222 867),(3.14830243836 1098),(1.42358702291 1260),(3.1676135705 1403),,(2.92431343682 1705),(3.41861106569 1866),(3.23496259119 2024),(3.6414498706 2181),(10.2127115754 2287),(9.60045963283 2460),(9.53047682383 2621),(9.47714572081 2785),,(8.80582915542 3093),,
Point0,H6,(1.24344978758e-14 156),(4.4408920985e-15 317),(4.4408920985e-15 478),(1.7763568394e-15 639),(-7.1054273576e-15 798),(7.9936057773e-15 958),(7.9936057773e-15 1118),(7.9936057773e-15 1275),(-5.3290705182e-15 1422),(-3.5527136788e-15 1570),(7.9936057773e-15 1725),(1.24344978758e-14 1886),(-2.6645352591e-15 2046),(-8.881784197e-16 2207),(4.4408920985e-15 2380),(5.3290705182e-15 2542),(8.881784197e-15 2705),(4.4408920985e-15 2863),(-8.881784197e-16 3022),(5.3290705182e-15 3183),(2.6645352591e-15 3343),
Point1,H1,(13.3487001497 36),(13.9633423266 187),(13.5740776051 345),(14.8217617378 510),(15.0639589204 671),(18.2428267164 832),(17.5611296226 993),(17.0818822558 1151),(17.0857406373 1303),(17.1077106544 1451),(16.5058469416 1605),(16.1191303171 1757),(16.1446093077 1915),(16.1208347614 2076),(17.6294530918 2244),(18.7347265765 2408),(17.1112606828 2578),(17.2969813752 2740),(17.3755542692 2900),(16.5607746696 3056),(15.5107569071 3218),(14.4960589881 3376),
Point1,H2,,(8.43209127171 224),(8.1444262533 387),(8.43168565433 541),(9.15272527982 703),(10.5149684691 865),(8.98262304864 1025),(8.08115820311 1181),(8.19951025217 1333),,(8.50768871682 1642),(9.89608078133 1794),(9.35930586297 1954),,,,,,(9.88501491525 2926),,,
Point1,H3,,(9.17411634907 239),(8.61190235762 400),(9.49987415914 558),(10.4421165269 721),(10.6614232556 874),(9.56221823203 1041),(9.50587217409 1199),(9.84756922998 1353),,(8.64053924215 1652),(10.1071804547 1804),(9.5391406925 1964),,,,,,(10.2522786866 2939),,,
Point1,H4,(7.66890099758 63),(1.8159636053 292),(2.89758555036 451),(2.6457265669 612),(4.04125207424 773),(2.37038090622 932),(3.68110712906 1090),(0.965134864464 1256),(3.52197404267 1396),(8.66221854246 1489),(2.86595732444 1696),(3.08589580588 1861),(3.91027090484 2015),(9.10129811049 2111),(11.3302893044 2272),(10.1554903325 2451),(9.42235521743 2606),(8.96733931682 2769),(3.18996835892 2995),(9.33451939417 3089),,
Point1,H5,(9.06838908098 82),(2.0679699253 301),(3.07899012846 459),(2.98164738074 621),(4.0432776059 775),(2.54539377569 940),(4.08980658842 1100),(1.01676525174 1261),(3.674027707 1403),(9.04062578683 1501),(3.41733950746 1708),(3.16868394272 1867),(4.11504004444 2025),(10.4360719926 2128),(11.550901184 2283),(10.3567638389 2460),(10.2082724372 2622),(10.0994632965 2787),(3.32947675235 3003),(9.53112954396 3100),,
Point1,H6,(-1.59872115546e-14 158),(8.881784197e-16 317),(6.2172489379e-15 479),(5.3290705182e-15 639),(1.7763568394e-15 799),(2.6645352591e-15 959),(-0.0011709198684 1120),(-1.7763568394e-15 1274),(-5.3290705182e-15 1422),(-0.00172375881056 1570),(-1.59872115546e-14 1727),(4.4408920985e-15 1886),(-6.2172489379e-15 2046),(0.0 2208),(3.5527136788e-15 2380),(1.7763568394e-15 2543),(5.3290705182e-15 2705),(-4.4408920985e-15 2864),(-6.2172489379e-15 3023),(-7.9936057773e-15 3183),(-8.881784197e-16 3343),
Point2,H1,(9.75496926129 39),(10.1178662911 189),(9.78714722764 348),(10.4849512752 514),(11.1737510759 675),(13.7792662268 835),(13.2510890352 996),(13.6690871926 1153),(13.4997719317 1306),(12.6872790058 1455),(11.7240663975 1608),(11.5250235949 1761),(12.3363513724 1917),(11.9559864675 2078),(13.6304054928 2246),(14.3424371674 2411),(13.1145995052 2581),(13.8959446587 2743),(13.5445474402 2904),(11.4419649449 3058),(11.1103796896 3219),(9.35612740976 3379),
Point2,H2,(6.92212784727 65),(6.95997923945 225),,(6.56936579374 547),(7.39748862542 705),(9.03744171098 873),(8.13809475329 1029),,(7.36387347287 1335),,,,(7.6482879289 1957),,,,(7.862008613 2610),,,(7.48764569143 3096),,
Point2,H3,(7.30206056679 82),(7.70325984163 242),,(6.88771797544 561),(7.92138398041 724),(9.09787217287 881),(8.30080307345 1042),,(8.27020789281 1355),,,,(7.99393682864 1969),,,,(8.56333280935 2627),,,(7.52083635061 3104),,
Point2,H4,(2.41350686859 137),(1.55430970294 294),(6.3500253764 390),(1.81707929861 614),(3.03757960235 773),(1.91136677445 935),(4.01522865635 1096),(7.43595164436 1184),(2.7735400371 1400),(7.47774531744 1491),(2.43210673822 1701),(7.76848676032 1794),(2.24221413306 2022),(7.67706257992 2114),(9.52662066575 2275),(8.54914901638 2454),(2.80555065355 2678),(7.64661159858 2770),(2.01144670251 2999),(2.88033171922 3161),,
Point2,H5,(2.41827585169 140),(1.70804570418 303),(6.60793449037 402),(1.98088117397 623),(3.17516458143 781),(2.1928316265 944),(4.05105210269 1101),(8.54989304134 1201),(2.85974239898 1407),(8.03002330314 1504),(2.54898081162 1709),(8.03854294351 1807),(2.77275159844 2033),(8.83035063055 2131),(9.59966146091 2283),(8.86447773465 2465),(3.07008590194 2687),(8.950339748 2793),(2.33840111472 3009),(2.89810615188 3165),,
Point2,H6,(-4.4408920985e-15 161),(8.881784197e-16 320),(-7.1054273576e-15 482),(-0.000763013597452 641),(6.2172489379e-15 802),(6.2172489379e-15 962),(1.33226762955e-14 1123),(1.86517468137e-14 1278),(8.881784197e-16 1426),(-3.5527136788e-15 1572),(-4.4408920985e-15 1729),(-7.1054273576e-15 1889),(-1.7763568394e-15 2050),(-3.5527136788e-15 2211),(-6.2172489379e-15 2383),(7.1054273576e-15 2547),(1.68753899743e-14 2709),(6.2172489379e-15 2867),(3.5527136788e-15 3026),(-8.881784197e-16 3187),(4.4408920985e-15 3346),
Point3,H1,(4.08259696382 63),(4.56313097421 236),(3.99226679949 398),(4.40091508051 537),(5.16231258897 677),(7.57606194733 835),(7.00302342912 995),(8.08600553376 1150),(7.42749402971 1301),(6.4384504578 1449),(4.99662357239 1607),(5.6992056155 1774),(5.47183116663 1934),(5.63759254607 2092),(7.09794173892 2248),(6.7766339246 2406),(6.29097157299 2580),(7.33137659226 2741),(7.04524993745 2908),(5.23571165577 3087),(4.92543870276 3229),(3.5724365531 3394),
Point3,H2,,,,,,,,,,,,,(4.72520206666 1952),,,(6.35125562597 2417),(5.03627637636 2606),(5.29452037015 2766),,,,
Point3,H3,,,,,,,,,,,,,(5.02513077753 1964),,,(6.73717142679 2430),(5.41167039448 2621),(6.83436722351 2789),,,,
Point3,H4,,(1.7763568394e-15 313),,(0.43835494693 606),(4.54466230187 705),(6.02774853706 865),,(5.23036982694 1177),(5.39157225373 1340),(5.22523530017 1487),,(5.33689245489 1790),(1.10150409865 2016),(5.01515658402 2110),(6.22531577058 2282),(5.79997913311 2449),(2.18595492646 2670),(1.3051293588 2833),(1.18077012035 2996),(4.19847022107 3121),,
