Cycle,0.614456521739
Average Width,5.82242976711
Width,,5.78416709414,6.31272449569,6.41373547817,5.42381692134,5.52477696421,5.92794584597,5.7600386536,6.49047072062,6.3811555262,5.79874652369,5.4832242287,6.04594603784,5.92105621819,5.92919480222,6.44113504216,5.83781059739,5.68851015035,5.85731703441,5.349603336,5.7345063543,5.7346628945,5.5177425548,6.12280008591,5.31823944401
Point0,H1,(11.4228815144 30),(13.6161812387 161),(10.3352941309 299),(9.9026968994 427),(11.6826064097 560),(10.6240087126 700),(9.98677037308 841),(9.79083964433 976),(8.93374392146 1112),(8.56069520392 1237),(7.83872232702 1370),(8.04432971627 1501),(9.84757771747 1630),(10.267816664 1758),(10.3541941519 1885),(10.7999159527 2013),(8.53054716858 2138),(8.75928045508 2254),(6.52154257963 2372),(6.53078350575 2492),(6.2694689646 2610),(5.94379039993 2732),(7.28335971581 2859),(6.4387467218 2990),
Point0,H2,,,,(3.8816606022 452),,(6.80070798782 726),(6.07060200017 868),,(5.35606225611 1138),,(3.20489068991 1396),,(4.54579035797 1656),,,,,,,(2.24729317246 2522),,,,
Point0,H3,,,,(4.97355037977 468),,(7.32055373039 740),(6.27958868431 877),,(5.7597266443 1151),,(4.45472160514 1412),,(5.75870648246 1674),,,,,,,(2.69000199657 2536),,,,
Point0,H4,,,(5.31927210334 324),(1.55969450758 502),(6.79798433065 602),(2.91115624161 779),(0.622721715363 921),(5.56511294631 1008),(0.914537646017 1185),(4.34503185242 1271),(0.201371993413 1440),(4.14671466849 1525),(2.12427278842 1707),(4.59927198375 1783),(4.86081642585 1913),(5.87344592377 2040),(4.28135001903 2169),(3.24716679402 2282),,(0.750602289421 2557),(3.51200670205 2640),(1.9538734793 2753),,
Point0,H5,,,(6.19315048003 339),(1.98208364452 515),(6.96485040807 611),(2.92057029202 783),(1.00689170584 933),(5.7821492645 1022),(0.948910265584 1190),(4.68191516964 1284),(0.664802168902 1453),(4.41332337117 1536),(2.17180471968 1713),(6.15357395231 1802),(5.5736784981 1930),(6.64157547314 2058),(4.90507009613 2185),(4.51924584511 2300),,(1.19736210255 2568),(3.53976682525 2646),(3.59757440446 2775),,
Point0,H6,(4.4408920985e-15 131),(2.6645352591e-15 265),(4.4408920985e-16 395),(7.9936057773e-15 533),(8.881784197e-15 666),(-8.881784197e-16 808),(-7.9936057773e-15 948),(-4.4408920985e-15 1076),(1.7763568394e-15 1206),(0.0 1337),(-1.33226762955e-15 1469),(3.10862446895e-15 1602),(1.7763568394e-15 1733),(0.0 1854),(-0.000594484144688 1979),(8.881784197e-16 2105),(3.5527136788e-15 2229),(-8.881784197e-16 2342),(-8.881784197e-16 2461),(2.22044604925e-15 2583),(3.99680288865e-15 2708),(-0.00341222708697 2817),(-0.0209893603661 2950),
Point1,H1,(11.8504065176 30),(13.5526035125 161),(10.6430289332 299),(11.0420651615 428),(12.9783238033 561),(11.6549199045 700),(10.7529123371 840),(10.7347046755 976),(9.03740233793 1110),(9.82580610051 1236),(8.8818002551 1368),(9.58657428977 1500),(10.2703172946 1631),(11.0672968454 1758),(10.9138651155 1886),(11.4197744286 2012),(9.72175311553 2137),(9.7156889334 2254),(8.50230735264 2371),(8.36648872768 2492),(7.61162059322 2609),(7.43225932458 2733),(8.7935529839 2861),(8.6303750605 2988),
Point1,H2,,,,(3.89785505832 453),,(6.78875378724 726),(5.85742236244 869),,(5.14452493223 1139),,,,(4.28364472812 1658),,,,,(3.69915535416 2280),,(2.83360617091 2520),,,,
Point1,H3,,,,(5.58021944266 471),,(7.21897401776 738),(6.53696540282 883),,(6.01168939302 1156),,,,(5.33989793977 1675),,,,,(4.82896348844 2299),,(3.71015529561 2536),,,,
Point1,H4,(1.10425228075 110),(7.82801048236 195),(4.72185326572 327),(1.68713123966 503),(7.22356499668 600),(2.83343240047 779),(1.21938786516 924),(5.62388941667 1005),(1.22853916869 1185),(4.84112880849 1270),(3.97385416712 1396),(4.61579493589 1524),(1.30312727925 1710),(4.55239113709 1782),(5.1398328283 1912),(5.57355481626 2038),(4.16398809187 2167),(2.30892826446 2323),(4.05033277771 2407),(0.576119147275 2558),(2.93419376023 2637),(2.39716823502 2755),,
Point1,H5,(1.24506142395 118),(7.91392070659 204),(5.91890706452 343),(2.1609650319 516),(7.26776110507 607),(2.99898912489 787),(1.32721514372 932),(5.87262681791 1021),(1.29903450119 1191),(5.40200190734 1284),(5.2427854819 1414),(5.22962031535 1537),(1.3605905134 1717),(6.25863398047 1802),(5.77256524676 1928),(7.52898158321 2058),(5.26808162049 2185),(2.31253275817 2325),(4.22962183926 2420),(1.19348140071 2570),(3.58313530284 2651),(3.57869225628 2774),,
Point1,H6,(-0.00327009665613 132),(-8.881784197e-16 265),(-3.10862446895e-15 396),(-0.00231573287465 533),(-1.24344978758e-14 666),(-2.6645352591e-15 809),(0.0 949),(-2.6645352591e-15 1077),(-2.6645352591e-15 1207),(7.1054273576e-15 1336),(-0.000337995141325 1467),(-1.7763568394e-15 1604),(3.5527136788e-15 1733),(4.4408920985e-15 1854),(1.7763568394e-15 1979),(1.7763568394e-15 2105),(4.4408920985e-15 2229),(3.5527136788e-15 2344),(-2.6645352591e-15 2460),(2.22044604925e-15 2583),(7.9936057773e-15 2705),(4.4408920985e-15 2818),(-0.00357988372805 2952),
Point2,H1,(10.8163266893 31),(13.4713717165 161),(10.5945424331 298),(10.5384789195 429),(13.1097730335 562),(12.7521337623 700),(13.0469162589 841),(13.1012332455 977),(10.3004442518 1110),(12.0409428633 1236),(11.3139593051 1369),(11.5125002445 1500),(11.5533867117 1630),(11.7555130382 1758),(12.1980663593 1885),(12.7126046109 2013),(10.66352519 2139),(11.8713531158 2255),(11.3281031258 2373),(10.5616801167 2492),(10.3511628069 2608),(10.0083904453 2734),(11.3549037402 2860),(11.2309395963 2987),
Point2,H2,,,,(3.56308155798 455),(7.17327964949 601),(7.16282193924 727),(6.78153031348 867),,(5.8489578941 1136),,,(4.58448774805 1524),(4.34081894414 1655),,,,,,,,(4.46823874296 2641),,,
Point2,H3,,,,(5.24844664719 474),(7.34932258786 610),(7.61051044903 740),(7.86370514272 882),,(6.93111877537 1153),,,(5.642482697 1539),(5.99884457626 1675),,,,,,,,(4.68572854126 2654),,,
Point2,H4,,(7.61647414059 190),(5.09736133681 324),(1.70294797031 504),(2.70923136898 638),(2.7949879169 779),(1.74136935149 923),(6.34573227032 1007),(1.62956448326 1183),(5.57783406595 1273),(5.13292307794 1396),(1.26701065768 1581),(0.749179571985 1711),(4.95561690668 1782),(5.14945992982 1911),(5.52043504218 2038),(4.23318603947 2165),(4.66339482632 2282),(4.5768161994 2410),(3.2497067178 2519),(0.92780040359 2690),(3.29282771703 2760),,
Point2,H5,,(8.0738785389 204),(5.98081773234 339),(2.06300804822 515),(2.88847054222 646),(3.5542205482 791),(1.98038690403 933),(6.86919072936 1021),(1.84868518692 1191),(6.10336082014 1286),(6.22619943544 1412),(1.42618402632 1589),(0.871588416961 1718),(6.02034524923 1800),(6.10991459378 1928),(7.09285766252 2057),(5.55986212645 2184),(6.07137025704 2299),(4.58073003833 2413),(4.92479897963 2539),(0.937767929745 2693),(4.88220804732 2778),,
Point2,H6,(-9.7699626167e-15 132),(0.0 265),(-0.000989336930532 396),(-0.0059676311765 533),(0.0 666),(-7.9936057773e-15 810),(-5.3290705182e-15 949),(-8.881784197e-16 1078),(8.881784197e-16 1207),(-0.00483464497166 1336),(-1.7763568394e-15 1463),(-7.1054273576e-15 1604),(-9.7699626167e-15 1731),(-3.5527136788e-15 1854),(8.881784197e-16 1980),(-2.6645352591e-15 2106),(-7.1054273576e-15 2230),(-1.7763568394e-15 2343),(1.7763568394e-15 2461),(1.7763568394e-15 2580),(0.0 2708),(-0.00282179835837 2828),(0.0 2953),
Point3,H1,(5.34671177309 26),(7.61039043183 158),(6.55002946485 292),(5.4278699041 423),(7.20305726442 557),(8.02737807416 695),(7.88248136247 838),(9.40721685073 972),(6.4707529888 1105),(7.94404615795 1230),(6.79792383624 1365),(8.30030482415 1494),(6.79375352204 1625),(7.14407270721 1752),(8.16711762245 1879),(7.43272998995 2008),(6.63219057467 2134),(7.64162860175 2249),(7.53038493858 2370),(7.61698794187 2487),(7.15444301008 2603),(6.73065028704 2728),(8.41276555828 2854),(7.56320116807 2982),
Point3,H2,,(5.40352464211 182),(3.78976298659 322),(1.8944363196 449),,(4.91537359285 721),(5.07382930146 866),,(4.29024519747 1127),,,(3.57062411015 1518),(3.04678873497 1650),,,,,,,,(3.20613727034 2634),,,
