Cycle,0.8125
Average Width,27.1695073033
Width,,17.5353438312,20.7428137923,13.3019958606,17.6641858119,19.1480385656,21.7362392321,34.5569640384,29.9247207738,17.2304615597,13.4914082106,25.3018692555,36.7856942996,176.87620476,30.6081119454,27.6036803099,28.5507202165,0,0,124.524775199
Point0,H1,(9.04560894907 90),(8.92127763515 262),(6.6864563509 432),(9.68666820754 602),(8.27536221152 777),(9.00913360586 954),(6.91868406025 1134),(6.07837672848 1306),(7.51443749131 1476),(5.88158417711 1638),(8.21562425092 1813),(7.08896165909 1988),(7.18463781646 2155),(6.86740654455 2325),(6.73586350905 2492),(5.88684592752 2669),(5.58996765418 2838),(5.87123988175 3011),(4.5355254479 3186),
Point0,H2,(0.184705925582 177),(2.08919819591 294),(1.46032718978 466),(1.91801696583 642),(1.53310451412 821),(2.3807066912 997),(1.48710978181 1170),(1.44609699177 1346),,,,(-0.0246642245819 2039),(0.96008393589 2198),(-6.66133814775e-15 2398),(0.468904918307 2561),(0.83946670902 2706),,(-0.00694427166178 3093),,
Point0,H3,(0.831111724577 192),(2.52839602568 307),(2.12521833656 485),(2.3223355712 656),(2.16805676613 838),(2.62791515671 1008),(1.86441889373 1184),(1.64268053007 1357),,,,(-0.00838235843532 2049),(1.30142053879 2213),(0.398147084553 2418),(0.937412084648 2576),(1.4692640504 2720),,(0.024605229404 3104),,
Point0,H4,(-0.000665303078861 208),(0.108040023722 349),(0.302557119681 541),,(0.345793005436 865),,(-0.00106516919062 1216),(-0.000173913075191 1380),,,,(-0.00897868084952 2051),(0.137426464212 2241),(0.269717433626 2429),(0.0721301800813 2596),(-6.2418096312e-05 2740),(0.0895344369488 2899),(0.0195692752294 3111),,
Point0,H5,(1.10333492746 224),(1.53059796958 377),(1.03373925486 557),,(1.62735084329 885),,(1.08845194312 1257),(1.10347635986 1418),,,,(0.76988745553 2088),(0.905675081055 2262),(0.905839678633 2445),(0.66347636328 2616),(0.513144552613 2755),(0.370677444622 2914),(0.234908519429 3133),,
Point0,H6,(-0.000665303078861 208),(5.10702591328e-15 399),(1.46032718978 466),(3.5527136788e-15 571),(4.4408920985e-15 740),(0.345793005436 865),(-1.7763568394e-15 921),(0.0 1067),(-0.00106516919062 1216),(-0.000173913075191 1380),(-1.7763568394e-15 1437),(1.11022302463e-15 1551),(-1.99840144433e-15 1612),(-3.5527136788e-15 1732),(-0.00334448979856 1889),(-0.0246642245819 2039),(0.0 2120),(8.881784197e-16 2284),(-6.66133814775e-15 2398),(-4.21884749358e-15 2460),(-0.000665333138153 2635),(-6.2418096312e-05 2740),(1.55431223448e-15 2930),(-0.00694427166178 3093),(-0.0470484708991 3149),(1.22124532709e-15 3218),
Point1,H1,(12.8032422304 30),(13.3354630012 204),(11.7697338032 374),(14.869458758 544),(13.4779213712 718),(13.915462246 897),(11.5209100874 1076),(11.991212479 1247),(13.6379377383 1418),(11.8522829307 1581),(14.3691101996 1757),(13.3695422311 1931),(13.7088546763 2096),(13.6748436709 2267),(13.3638759581 2436),(12.5456306211 2612),(11.2394960268 2780),(12.0114643984 2954),(11.7378366531 3130),
Point1,H2,,(3.758525538 241),(3.70715717739 411),,(3.56405696421 766),,,,,,,,(3.85467433471 2139),(1.43652615181 2349),(4.08334262797 2475),(2.83046090193 2651),,,
Point1,H3,,(3.82805217302 247),(3.84584062167 421),,(3.6846351644 775),,,,,,,,(4.09958249638 2150),(1.45363761341 2354),(4.38868161671 2485),(3.2626316857 2663),,,
Point1,H4,,(0.680314718404 294),(0.985306921478 485),(0.158313185262 661),(1.51356091777 808),,,,,,,(1.28392370296 2009),(0.85500208206 2195),(0.674929237848 2374),(0.481448489243 2549),(0.595779025672 2706),(0.210072555559 2873),,
Point1,H5,,(1.78410514171 318),(1.43960982821 498),(0.745058913244 675),(2.38109622024 825),,,,,,,(1.6549163355 2025),(1.56424323006 2210),(1.11631099838 2387),(1.31176348276 2564),(0.798898632198 2720),(0.511869295682 2891),,
