Cycle,0.812777777778
Average Width,11.740032619
Width,,0.0,11.3719256167,11.8383489373,20.3020032716,8.78248863079,14.2284783044,12.7729352681,11.8680847684,10.984080004,14.6726597706,11.2033432096,15.2242268222,9.45640981604,12.5775047232,10.1532288935,9.41317905608,8.81228334114,7.5226126877,9.06330759105
Point0,H1,(18.5253594106 143),(12.7260961209 317),(12.1190644325 488),(17.2719894965 659),(13.9042913631 832),(15.281585642 1017),(11.2082132915 1191),(11.3274150384 1362),(14.0394494217 1531),(8.26261329947 1692),(12.3518546675 1867),(12.401679097 2043),(12.8979440991 2214),(11.7382741748 2379),(11.807979046 2550),(10.6323977662 2728),(9.45809464512 2891),(10.4067602223 3065),(11.5559870092 3243),
Point0,H2,(7.20656882506 187),(1.73671768538 394),(5.08023342077 528),,,(6.56165218927 1053),(3.49922961724 1227),(5.43662786681 1401),(1.28785870857e-14 1608),,(1.07982742933 1915),(3.37553575919 2087),(4.16866727434 2250),(0.648839108256 2461),(5.06719320323 2583),(3.25393427601 2762),,,,
Point0,H3,(7.31699072662 195),(1.86602603032 403),(5.55993147763 549),,,(6.63751581297 1059),(3.73320569048 1237),(5.49718376016 1408),(0.752939696969 1624),,(1.47231948521 1926),(4.08833611243 2101),(4.62311077164 2262),(0.773551929743 2472),(5.61386385212 2596),(3.77059141537 2774),,,,
Point0,H4,(1.44112061546 259),(1.38818019021 418),(2.26411851775 599),(0.958291238906 772),(1.62615219853 932),(-0.020392730326 1118),(1.36976753231 1283),(1.80728486392 1450),(0.54074908196 1634),,(-6.66133814775e-15 1955),(2.56114912672 2121),(1.39108477958 2308),(0.656007073838 2484),(0.59896048539 2660),,(0.134037559632 2984),(2.47016763926 3143),,
Point0,H5,(1.69464464792 271),(2.18625754898 434),(2.3405185853 606),(1.2211211471 784),(2.06320006707 955),(0.164226443271 1133),(2.51548354758 1311),(2.00469877624 1464),(1.82568334628 1651),,(1.50567367541 1984),(3.07958355734 2136),(1.82151879922 2321),(0.736141504 2493),(1.19421534572 2675),,(0.470955142308 3002),(2.47019768154 3144),,
Point0,H6,(-7.1054273576e-15 287),(-0.000801872689778 453),(4.4408920985e-15 625),(-1.7763568394e-15 799),(-2.6645352591e-15 976),(-0.020392730326 1118),(-1.7763568394e-15 1330),(-0.00843746141089 1494),(1.28785870857e-14 1608),(-0.0155674590966 1666),(-6.57035615781e-05 1841),(-6.66133814775e-15 1955),(-0.00885478246277 2012),(5.3290705182e-15 2177),(1.7763568394e-15 2342),(6.2172489379e-15 2511),(6.66133814775e-15 2691),(4.88498130835e-15 2859),(5.3290705182e-15 3031),(-0.0053260398596 3207),
Point1,H1,(18.7503365474 147),(19.0000976685 321),(18.4611126165 492),(23.1263231389 663),(21.2757907966 838),(22.0559036462 1020),(19.1360077016 1196),(19.5324437135 1367),(21.9983851702 1535),(15.3451197631 1698),(20.6283996914 1873),(20.9816929756 2048),(23.2249969543 2217),(21.3250408711 2384),(22.2623461528 2557),(21.2444452528 2732),(19.5826287352 2897),(21.9808437054 3070),(22.8690384299 3247),
Point1,H2,,(6.51687481189 366),,,(8.5651624947 882),,(7.43099648806 1233),(7.98384593265 1404),(1.51340040379 1617),(6.59074139019 1742),(5.05796491075 1920),,(8.8002913522 2259),,(9.84788405737 2592),(7.66133867148 2770),,(6.78101282844 3119),,
Point1,H3,,(6.56819040283 372),,,(8.66201568694 888),,(7.55489191689 1240),(8.66600427578 1416),(1.59998058402 1624),(7.27987415125 1754),(5.44677467447 1929),,(8.80058727655 2261),,(10.0900672537 2600),(7.77939652441 2777),,(6.83831458765 3125),,
Point1,H4,,(2.30309602084 421),(7.64241557336 531),(2.51868083304 779),(2.73580869421 954),(1.87252545899 1127),(3.4544669728 1279),(2.74886099058 1457),(0.722232584047 1640),(2.43595617427 1816),(2.08575932873 1971),,(2.23195620627 2315),(1.66410156299 2489),(2.78509677399 2664),(1.56521214736 2840),,(2.99366112333 3165),,
