Cycle,0.85125
Average Width,0.0
Width,,0.0,0.0,0,0.0,0.0,0.0,0,15.17689474,22.319930327,0,15.0647655347,7.75981296457,0,0.0,10.3921943448,0.0,0.0
Point0,H1,(23.397044691 83),(23.0366350904 267),(18.2948869629 447),(17.7886047764 627),(18.4463967278 807),(18.2009109993 984),(18.5963712508 1169),(19.0873930309 1350),(20.5415492804 1524),(17.6948667233 1704),(18.2614129723 1891),(15.8446716358 2060),(13.9678403806 2241),(16.5133935523 2422),(16.7152217005 2596),(16.4342675378 2782),(23.4475820148 3001),
Point0,H2,,,,(1.95399252334e-14 700),,,,(8.10750067999 1392),,(6.44016383826 1746),,(5.50259724328 2103),(7.12985889795 2275),,(4.86422721509 2641),(8.90529576672 2819),,
Point0,H3,,,,(1.62613156927 729),,,,(8.40256647942 1403),,(6.70765030141 1755),,(5.5343139992 2110),(7.44094736494 2286),,(4.94646733113 2649),(9.08921255834 2829),,
Point0,H4,(1.95399252334e-14 156),(1.5696431901 378),,(0.748280391964 746),(1.83824311847 901),(1.02861913516 1093),(4.94201653435 1215),(4.6729082005 1439),(0.884257433801 1638),,,,(2.60431869525 2323),(1.89492960419 2512),(2.44930935998 2713),,,
Point0,H5,(5.06794930624 212),(1.87619120008 390),,(1.29886670024 759),(1.88699080521 909),(2.0904520618 1111),(5.69661836985 1229),(5.35914682593 1455),(1.10394735884 1651),,,,(3.32782873941 2343),(2.12448420962 2523),(2.66041776684 2723),,,
Point0,H6,(1.95399252334e-14 156),(2.93785529139 230),(4.4408920985e-15 408),(6.2172489379e-15 591),(1.95399252334e-14 700),(1.7763568394e-14 773),(1.59872115546e-14 947),(6.2172489379e-15 1131),(-0.00754214140151 1310),(1.95399252334e-14 1488),(9.7699626167e-15 1667),(-0.00258534760618 1846),(1.7763568394e-15 2024),(-7.9936057773e-15 2201),(-7.9936057773e-15 2389),(-8.881784197e-16 2563),(-4.37821339725e-05 2743),(-0.00293301942776 2920),
Point1,H1,(22.0506530997 84),(22.9321538414 267),(17.0403181544 447),(16.4329380478 628),(16.6287648161 807),(16.6409554611 984),(17.6386237221 1169),(19.1116280888 1350),(20.7169285282 1524),(17.4119857861 1705),(18.4241730825 1891),(18.529354051 2059),(17.1224899907 2242),(17.8246444404 2422),(18.4274194554 2597),(17.7085070384 2780),(21.0299875322 2965),
Point1,H2,,,(2.20525449245 525),(-1.50990331349e-14 700),,(5.64288284689 1027),,,,,,,,,,,,
Point1,H3,,,(2.27477491462 533),(1.80780485852 729),,(5.6575350282 1031),,,,,,,,,,,,
Point1,H4,(7.1054273576e-15 158),(1.14423153454 378),(-1.59872115546e-14 561),(0.657010095098 748),(1.14425578951 907),(0.835878413502 1090),(4.049091196 1218),(4.43401030985 1440),(-0.00514704146268 1638),(4.2250400732 1777),(3.32492200492 1999),,,,(1.70211036682 2715),(1.41047898776 2896),,
Point1,H5,(4.12506168778 215),(1.68733645817 392),(0.386298762283 577),(1.18064273979 761),(1.30437008975 926),(2.08355525016 1111),(4.29648160002 1229),(5.27957259686 1457),(0.777781138159 1656),(4.44636346213 1791),(3.33035762174 2001),,,,(1.93325387259 2725),(1.41120554054 2898),,
