Cycle,0.865222222222
Average Width,5.19039642624
Width,,4.45735639521,4.70946122912,4.67797167872,4.65380763295,5.37692461319,5.26091687598,4.60316554516,6.1098455682,6.07509314916,5.66362385762,5.79532772104,6.14882009999,5.03531533111,5.34934939115,5.51634406628,6.26473827531
Point0,H1,(9.12718991986 32),(10.3409516654 221),(11.7309968895 412),(10.6160509371 597),(11.1995336592 795),(10.1447052581 985),(11.5640611939 1165),(14.3519321717 1355),(14.4791474062 1536),(13.8270583885 1715),(13.113485815 1900),(14.1403736671 2090),(13.5040866773 2267),(12.3850992951 2455),(12.7439259022 2636),(13.6671046108 2815),
Point0,H2,,(5.74448153964 263),(7.53515508989 454),(7.10187664419 642),(6.68486035144 839),,(7.04526250252 1211),,(8.91314284942 1578),,(7.15202017073 1946),,,,(7.37338019843 2680),,
Point0,H3,,(6.70305817589 281),(7.64974309706 464),(7.90076278382 661),(7.26069977766 853),,(7.15417943886 1219),,(9.05668148638 1587),,(7.36664282772 1956),,,,(7.99887150698 2693),,
Point0,H4,,(1.49141741676 342),(1.96704205999 537),(3.79854618042 697),(1.16517759284 919),,(0.695667999521 1285),(2.11992064135 1473),(1.7628696286 1655),,(2.1603061843 2019),,(7.82568590499 2313),(0.16802688319 2587),(1.43773024506 2757),,
Point0,H5,,(1.79130101727 354),(1.99486054133 542),(4.11275064045 709),(1.39773409949 930),,(0.780831305407 1294),(2.17074144992 1482),(1.95945045724 1664),,(2.51532005182 2031),,(8.1340472187 2323),(0.247931903737 2594),(1.61992699846 2768),,
Point0,H6,(-0.0147131006443 1),(-0.00546553851155 180),(-4.4408920985e-15 375),(-7.1054273576e-15 563),(-2.6645352591e-15 756),(-7.9936057773e-15 947),(-1.06581410364e-14 1132),(-1.06581410364e-14 1313),(-2.6645352591e-15 1504),(-0.00874661921018 1682),(-1.59872115546e-14 1869),(-1.50990331349e-14 2051),(-1.59872115546e-14 2230),(-0.00103079851385 2418),(-1.15463194561e-14 2604),(-0.00411981347591 2784),
Point1,H1,(14.9808023033 33),(15.834485601 221),(16.2471912695 413),(16.2989451122 598),(15.5696191775 795),(14.22625136 986),(14.5555778988 1166),(15.2206683609 1357),(14.5407669581 1537),(13.6921001398 1717),(13.2652687062 1902),(14.8737883399 2091),(15.0757551288 2269),(13.7458531946 2456),(14.2109534328 2638),(14.7749896553 2816),
Point1,H2,,(8.13397906568 264),,,(8.79459087743 843),,,,(9.09554642932 1579),,,,,,(8.193176788 2678),,
Point1,H3,,(9.01631143566 279),,,(8.94900083914 852),,,,(9.16532432808 1586),,,,,,(9.09016550592 2693),,
Point1,H4,(9.00739314101 75),(1.98126222481 341),(2.75789675528 536),(9.74571857098 644),(2.0276197718 916),,,(2.0973078974 1475),(1.95823810778 1656),(7.83638080491 1755),(2.20476571529 2022),,,(0.946221666241 2584),(1.72423165959 2758),,
Point1,H5,(9.1519001276 85),(2.15958417847 352),(2.77239742758 540),(10.1142275541 658),(2.62544836586 930),,,(2.28761181741 1486),(2.15513800344 1665),(7.83676103357 1756),(2.40314920539 2032),,,(1.01107317028 2592),(1.88771945409 2768),,
Point1,H6,(-0.031339035129 1),(-0.00202444137533 181),(-8.881784197e-16 376),(-7.9936057773e-15 563),(-0.00509690325001 757),(2.6645352591e-15 949),(8.881784197e-15 1133),(-1.59872115546e-14 1312),(-7.1054273576e-15 1506),(-2.6645352591e-15 1683),(-1.7763568394e-15 1871),(-1.7763568394e-15 2052),(1.7763568394e-15 2232),(3.5527136788e-15 2420),(-4.4408920985e-15 2607),(0.0 2786),
Point2,H1,(14.5649088514 32),(15.4196686376 218),(14.7543310599 411),(15.7644911145 597),(15.488518921 793),(14.0648891914 983),(12.0495830884 1164),(12.8081023924 1354),(11.3694474827 1541),(10.014377437 1716),(10.1781133585 1902),(12.4357428382 2089),(11.8685371862 2267),(11.2520621806 2457),(11.9362199757 2636),(12.8657543943 2816),
Point2,H2,(9.04698923894 72),,(8.53905675716 455),(9.63899192301 639),,,,,,,(6.25296203946 1946),,(6.3616919752 2313),,,,
Point2,H3,(9.26152911255 82),,(9.27388023418 468),(9.64855608903 643),,,,,,,(6.2968053786 1953),,(6.48119599046 2321),,,,
Point2,H4,(2.76965346863 149),(7.90102514114 266),(2.04083381647 534),(2.59611805617 727),,(7.46992495637 1033),(-8.881784197e-15 1283),(0.982036503548 1475),,,(1.86983513938 2021),,(2.61347927905 2388),(6.64463480185 2496),,,
Point2,H5,(2.82646883959 156),(8.06577913765 274),(2.41443948909 545),(2.59638352913 728),,(7.51875778288 1039),(0.332560030265 1299),(1.7050658267 1489),,,(2.05359195936 2030),,(2.89710478901 2399),(6.88269351736 2511),,,
Point2,H6,(-0.0238815399473 1),(-9.7699626167e-15 186),(-1.24344978758e-14 374),(-9.7699626167e-15 562),(-6.2172489379e-15 755),(0.0 947),(-9.7699626167e-15 1133),(-8.881784197e-15 1283),(-1.42108547152e-14 1506),(-1.06581410364e-14 1682),(-7.9936057773e-15 1871),(-8.881784197e-16 2051),(3.5527136788e-15 2232),(5.3290705182e-15 2419),(1.7763568394e-15 2607),(2.6645352591e-15 2785),
