Cycle,0.833229166667
Average Width,0
Width,,5.81659154298,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
Point0,H1,(22.15336718 30),(19.5675218101 223),(17.8492120895 409),(16.6777686192 590),(16.5839216192 777),(16.026988225 953),(15.3651633 1131),(13.9674525532 1305),(16.391759971 1474),(16.8607589539 1646),(17.9202541434 1818),(17.9586718466 1988),(19.2721389674 2166),(18.7528578479 2345),(18.2808380434 2521),(19.7713001705 2703),(19.5682836493 2890),
Point0,H2,(12.7169596926 70),,(6.89265475534 451),,(5.69233761033 824),,(5.27376861476 1177),,,,(7.30627004592 1865),(10.4115403916 2025),(10.0920826999 2213),,(9.34684478043 2563),,
Point0,H3,(13.7656650518 84),,(7.47533370628 465),,(6.12949488194 836),,(5.63855355722 1188),,,,(7.60027422434 1874),(10.4963965256 2033),(10.1263957938 2219),,(10.065994034 2576),,
Point0,H4,(3.19375875417 163),(9.10418656412 265),(1.72487304145 528),(0.932021656618 730),(1.08113020383 880),(0.926742328507 1077),(0.28427071428 1258),(5.66803753925 1354),(1.23621299219 1588),,(1.65603563922 1923),(2.08417787133 2100),(3.26591608904 2276),(8.72094948919 2388),(2.82469531234 2641),,
Point0,H5,(3.57043517339 173),(9.26099068955 274),(2.49134063829 543),(0.938301008163 733),(1.40554088984 893),(1.1318943778 1087),(0.312974899608 1263),(5.73027983774 1361),(1.74796642358 1600),,(2.44466466045 1936),(2.3758477487 2110),(3.27049513291 2279),(8.91379063932 2398),(3.24293744447 2653),,
Point0,H6,(1.7763568394e-15 192),(-4.4408920985e-15 374),(4.4408920985e-15 559),(0.0 748),(-0.000491353644936 917),(8.881784197e-15 1101),(5.3290705182e-15 1274),(-0.00455708816271 1438),(-0.00173312327234 1615),(-1.06581410364e-14 1787),(-0.000603943381906 1952),(-1.42108547152e-14 2128),(-7.9936057773e-15 2313),(-0.0012805723964 2482),(-0.00299488303992 2671),(-3.5527136788e-15 2861),
Point1,H1,(21.6920628835 30),(17.5780712442 224),(16.0036607841 409),(14.1158989593 591),(13.909083139 778),(13.9812006758 955),(13.2639488306 1131),(11.198228002 1305),(13.7437670726 1475),(13.6639200593 1646),(14.1932902765 1818),(14.6094683044 1990),(15.2681364698 2167),(14.8889332767 2346),(14.4752126502 2521),(16.0894621764 2705),(15.0941187288 2891),
Point1,H2,(11.7956616761 71),,(6.52359987973 450),,(4.99538953219 826),,,,,,(6.37258613873 1863),(8.64505749581 2027),(8.35623779533 2214),,(8.06792602467 2564),,
Point1,H3,(12.1320443551 83),,(7.35018182846 465),,(5.25378212744 838),,,,,,(6.68100581308 1874),(8.69378108848 2034),(8.51858617067 2224),,(8.33513208737 2575),,
Point1,H4,(2.35916074144 163),(8.38256257766 264),(1.21388055265 530),(0.573089311772 732),(1.29391486769 883),(1.07466406742 1078),,(4.96156471737 1356),(1.04334015998 1587),,(1.82406595644 1926),(1.88888685631 2101),(2.62735581707 2276),,(2.58054089972 2643),,
Point1,H5,(2.93639915806 175),(8.62776848212 274),(1.97398252375 544),(0.573131042704 733),(1.5315687881 895),(1.27724442576 1087),,(4.97081874241 1360),(1.46757151067 1600),,(2.03572429428 1935),(2.00063428639 2109),(2.63438695593 2280),,(2.93014822256 2654),,
Point1,H6,(-1.42108547152e-14 192),(-0.00151399123422 374),(-1.06581410364e-14 560),(-9.7699626167e-15 747),(-6.2172489379e-15 917),(-1.7763568394e-15 1102),(-3.5527136788e-15 1274),(1.7763568394e-15 1439),(2.6645352591e-15 1615),(-8.881784197e-16 1788),(-3.5527136788e-15 1953),(0.0 2128),(6.2172489379e-15 2314),(-0.00247871129936 2475),(8.881784197e-16 2672),(-2.6645352591e-15 2861),
Point2,H1,(15.8842373126 28),(13.4066957194 224),(11.4756240169 409),(10.1204908641 591),(9.38769433064 777),(10.7774743816 957),(9.7227298251 1130),(8.83225967299 1305),(9.63484131313 1474),(9.63741429016 1644),(9.00024110237 1818),(9.99942565746 1991),(10.4783497235 2168),(10.2221488009 2348),(10.1735983993 2521),(10.5753463329 2713),(10.5916621558 2889),
Point2,H2,(8.61017863067 70),,,(3.71830989794 632),(3.89681528283 828),,,,(5.42071060747 1516),(5.27853534304 1687),(3.93226382847 1870),(5.80578511775 2025),,,,,
Point2,H3,(9.2555565988 82),,,(4.02637925339 643),(3.8970407132 830),,,,(5.44117821556 1522),(5.35218735202 1695),(3.93424441217 1873),(5.86045353041 2032),,,,,
Point2,H4,(1.96191913235 164),(7.37845745138 264),(1.20548309501 526),(0.931919050909 694),(1.25855245464 872),(1.22319164982 1050),(4.76896166606 1178),(0.918809360874 1410),(2.21521871438 1562),(0.290101606541 1769),(1.05473931752 1912),(0.49999848996 2099),,,,,
Point2,H5,(2.1479125246 173),(7.46307118924 272),(1.69832283746 542),(1.54668942514 711),(1.45363841136 884),(1.45953654937 1062),(4.78638781242 1183),(1.55108739747 1424),(2.32276290042 1570),(0.307041758804 1774),(1.48885778465 1928),(1.28721803751 2113),,,,,
Point2,H6,(-1.7763568394e-15 191),(-0.00326576130512 374),(8.881784197e-16 559),(-7.9936057773e-15 746),(-0.000705898449112 913),(-6.2172489379e-15 1099),(-3.5527136788e-15 1274),(2.6645352591e-15 1440),(4.4408920985e-15 1611),(3.5527136788e-15 1786),(-4.4408920985e-15 1950),(-5.3290705182e-15 2129),(-2.6645352591e-15 2311),(2.6645352591e-15 2484),(-8.881784197e-16 2671),(-2.6645352591e-15 2861),
