Cycle,0.672111111111
Average Width,3.88092315446
Width,,3.48236876299,3.72259646876,3.74730115111,4.05450682622,3.83083315183,3.93977000239,3.6130345002,3.83546228303,3.8681816391,3.95873231671,3.82099792436,3.93442726921,3.75629172715,3.87082505713,3.58078923049,3.90332930278,4.26699816841,4.0936158947,3.8049748743,3.90664348381,3.836861109,3.79899338654,4.06436935511,3.77185157479,3.63773397777,3.97273667906,3.75713478744,4.1433756269,3.96045024864,4.45126106308,4.11452175204
Point0,H1,(7.45381878446 32),(7.81213189301 161),(7.97113466185 292),(9.91786917123 431),(9.53722222179 571),(9.58340462517 710),(7.92433479168 846),(9.58643742669 989),(11.8155590584 1133),(10.2026045826 1270),(10.8629867491 1410),(12.2248174466 1554),(10.6130915155 1700),(11.634299855 1845),(10.2609439884 1987),(11.1798285896 2127),(11.2129097166 2270),(11.7095278713 2413),(11.2015750444 2544),(9.39898732334 2677),(8.14439965006 2811),(9.92238381869 2941),(8.73026069408 3072),(9.29080121675 3207),(9.60824414925 3346),(10.436825859 3488),(9.80658249113 3630),(12.7864166352 3775),(12.0696590088 3916),(12.039270209 4055),(11.9945135085 4194),
Point0,H2,,(5.67208089873 182),,,(6.78544356251 598),,,,(6.48775924677 1158),,(6.77812107851 1451),(6.71783555028 1598),(5.75026565233 1742),,,,,(6.32695905618 2440),,,(4.31537445508 2840),,,,(8.28065164785 3362),(6.96603525154 3510),(5.34556348609 3654),,(7.03630885964 3942),(6.39678749527 4089),,
Point0,H3,,(5.80864340251 192),,,(6.82256439079 603),,,,(6.60051415232 1165),,(6.87434876211 1459),(6.72264656322 1601),(5.89593461935 1751),,,,,(6.45707782977 2449),,,(4.37051752954 2847),,,,(8.35193277404 3368),(6.96934266069 3512),(5.37233460408 3658),,(7.20351342688 3950),(6.3997106717 4091),,
Point0,H4,(3.11264576897 75),(5.7674128269 199),(3.18442533964 333),,(2.72178538999 655),,(1.27679266752 921),(3.52190996668 1038),,(5.42848271425 1303),(1.91949692209 1502),(2.94216389681 1644),(2.91242955565 1790),(1.87585064518 1937),,,,,(5.38406116832 2585),(4.54636257308 2720),,,(4.48476405234 3115),,,,(4.2412777305 3678),(6.86008356207 3815),,(1.51558494721 4142),,
Point0,H5,(3.69923323652 90),(6.16283468574 214),(3.43211102838 344),,(2.75613138357 660),,(1.64178811404 934),(3.71390881218 1047),,(5.88300523951 1316),(2.0492939635 1510),(3.17093133118 1653),(2.91943333379 1793),(1.91132819519 1942),,,,,(5.55082356225 2597),(4.60064391302 2726),,,(5.46283221992 3130),,,,(4.31318714862 3685),(7.16766037486 3827),,(1.64833131605 4150),,
Point0,H6,(-0.131350243224 3),(-7.9936057773e-15 133),(5.3290705182e-15 265),(-9.32587340685e-15 391),(4.4408920985e-15 537),(3.5527136788e-15 680),(5.77315972805e-15 818),(5.3290705182e-15 955),(-7.9936057773e-15 1099),(-1.15463194561e-14 1240),(-5.3290705182e-15 1381),(5.3290705182e-15 1527),(2.6645352591e-15 1673),(-8.881784197e-16 1816),(-3.5527136788e-15 1959),(-7.9936057773e-15 2102),(-0.00429897827299 2242),(-0.00180630342527 2376),(-0.0068093215248 2513),(3.5527136788e-15 2647),(-0.00707364689119 2777),(-2.6645352591e-15 2906),(-8.881784197e-15 3043),(-1.42108547152e-14 3177),(-1.06581410364e-14 3319),(-1.33226762955e-14 3462),(-7.9936057773e-15 3604),(-0.00209366718326 3743),(-8.881784197e-15 3881),(-6.2172489379e-15 4023),(-4.4408920985e-15 4166),
Point1,H1,(10.135686787 29),(10.0505961506 158),(10.0596159618 288),(11.973637375 427),(11.3169240682 568),(12.1071478081 706),(10.5872643802 842),(12.0845477222 985),(14.3728172994 1130),(12.1658060824 1267),(13.8869398771 1406),(14.7560869899 1551),(13.0795896175 1695),(14.0579362253 1842),(13.6150831442 1983),(12.9640408618 2125),(12.6621081351 2267),(14.0778549127 2410),(13.6244234012 2540),(11.2263970924 2673),(10.0707959044 2807),(12.7413841352 2937),(10.6036733777 3068),(12.0829165696 3203),(13.1003627436 3343),(12.5218239344 3485),(12.6636313462 3627),(14.4431588964 3772),(14.7545128793 3914),(13.0449782189 4051),(14.9353162897 4190),
Point1,H2,,,,,,,(4.75124016232 864),,,(5.62878398349 1302),(7.13977067477 1449),,(5.11449463421 1757),,,,(7.48720644307 2289),(7.18707739447 2436),,,(5.4822982847 2839),(6.863420887 2965),(4.3161410674 3115),,(11.6795236931 3359),(9.48006645593 3504),,(7.62209315273 3799),(8.287144202 3941),(6.23966966814 4090),,
Point1,H3,,,,,,,(4.96726575753 872),,,(6.07600504367 1315),(7.37136501706 1459),,(5.22989080169 1765),,,,(7.56490303631 2295),(7.40747038729 2445),,,(5.65220690803 2850),(6.87022147515 2967),(4.6598234587 3126),,(11.6995316319 3363),(9.52120106777 3509),,(7.6331232115 3803),(8.33657305736 3946),(6.29018135821 4096),,
Point1,H4,(4.08857799868 67),(6.20615074309 182),(3.97063120906 331),(5.91151764359 476),(2.1349041768 651),,(2.97882093883 892),,,(0.970241646007 1354),(2.64790998327 1499),(3.59129213964 1643),(2.73016866871 1787),(3.3640083367 1931),(9.23247494732 2022),(-0.000320412051718 2221),,,(3.28534416241 2619),,,(0.612248314773 3023),(2.98732869448 3148),,,,(0.0199946030501 3723),(7.57873647575 3811),,(1.95283251163 4141),,
Point1,H5,(5.3866636425 87),(7.86375170922 210),(4.06139863136 339),(6.01324067829 483),(2.29301602586 659),,(3.38131260813 903),,,(1.31449550028 1364),(2.86165720811 1507),(3.66702462882 1649),(2.88997608322 1795),(3.45066133302 1937),(9.6359591519 2033),(0.261813961705 2230),,,(3.30611242604 2624),,,(0.632852287951 3027),(2.99101274297 3151),,,,(0.412249065228 3734),(7.70938317922 3821),,(1.95693314719 4144),,
Point1,H6,(-0.0356742639109 2),(2.6645352591e-15 129),(-6.2172489379e-15 261),(-1.06581410364e-14 385),(-1.15463194561e-14 534),(1.7763568394e-15 676),(3.5527136788e-15 815),(-0.0020776677067 948),(-0.00997119156939 1094),(-8.881784197e-15 1237),(-7.1054273576e-15 1378),(-8.881784197e-16 1524),(5.3290705182e-15 1669),(-0.0010658447078 1812),(-2.6645352591e-15 1957),(-0.0131247599526 2100),(-0.000320412051718 2221),(-0.000300838364358 2366),(7.9936057773e-15 2511),(3.5527136788e-15 2645),(3.10862446895e-15 2773),(-8.881784197e-16 2903),(1.7763568394e-15 3040),(-4.4408920985e-15 3173),(-1.33226762955e-14 3316),(-8.881784197e-15 3459),(0.0 3601),(-8.881784197e-15 3743),(-1.42108547152e-14 3878),(-9.7699626167e-15 4020),(-8.881784197e-15 4162),
Point2,H1,(6.10890138678 33),(6.46439453997 161),(6.38599327693 292),(8.17078005517 430),(6.84854270885 571),(8.37579157992 709),(6.74555036026 845),(7.98440773569 988),(9.18585100566 1133),(7.86287469062 1270),(9.27910942371 1410),(9.60356596175 1555),(8.0688023037 1698),(8.9102315139 1845),(8.44423605972 1986),(7.83496785987 2128),(8.47471002449 2270),(9.68947705411 2412),(8.45000625825 2544),(7.11142701611 2678),(6.49075900193 2810),(8.47727593951 2940),(7.3184653244 3071),(8.06510245815 3205),(8.66423805032 3346),(8.21058762126 3489),(8.32213085391 3630),(9.26372230783 3775),(9.87338746886 3916),(8.67748388868 4054),(10.8065876086 4194),
