Cycle,0.930680555556
Average Width,3.23595504289
Width,,4.01905432994,3.05805735805,4.09236190967,3.00921986418,3.44541959196,3.24210462552,2.95596925732,3.35920269414,3.24970266181,3.26961998528,3.13434110803,3.11912535701,3.10309597936,3.22876469303,3.21130128279,3.1585886055
Point0,H1,(22.8983025562 35),(21.8029511136 99),(37.4254109265 232),(24.1562026693 438),(29.9768971488 645),(25.4850728002 839),(20.4917567492 1046),(22.8090582427 1262),(18.5632738294 1446),(19.136115115 1640),(18.1549929863 1844),(18.5540555855 2039),(19.5532448861 2253),(20.3682041404 2446),(20.3034644606 2630),(20.7825033725 2824),(22.3863738828 3041),
Point0,H2,,,,,,(22.2145224161 853),,,(16.2061961095 1462),,,(16.7836444924 2052),,,,
Point0,H3,,,,,,(23.1932538061 863),,,(16.3447200658 1468),,,(17.7539972024 2063),,,,
Point0,H4,,(5.14140811758 172),(34.1220177639 244),,(15.0238041353 697),(3.11633745875 975),(2.53134298497 1185),(4.92965832315 1376),(8.24435061314 1499),(17.6280667862 1652),(9.489295753 1897),(11.5086686941 2087),,(4.13636403395 2560),,
Point0,H5,,(6.18662474093 186),(35.4875114732 254),,(15.1699749218 703),(3.29271953018 984),(2.6554495301 1193),(4.95011490379 1380),(8.25911072568 1502),(18.7438949664 1664),(9.53661706393 1902),(11.9454744767 2098),,(4.79025579737 2571),,
Point0,H6,(-2.13162820728e-14 204),(-0.0189162933003 409),(-0.0102949698595 606),(-8.881784197e-15 810),(-9.7699626167e-15 1007),(-2.13162820728e-14 1212),(-0.00801273242366 1412),(-5.3290705182e-15 1609),(-7.1054273576e-15 1807),(-7.1054273576e-15 2005),(-5.3290705182e-15 2205),(0.0 2397),(-7.1054273576e-15 2592),(6.2172489379e-15 2789),(-0.00606884033628 2987),
Point1,H1,(44.4293032857 39),(42.6663229995 233),(39.1281316163 439),(44.6916997773 647),(38.9712416678 840),(39.6500421145 1047),(41.6812098449 1262),(37.4587589929 1447),(41.9120607235 1641),(40.2950553988 1847),(43.7678141866 2040),(42.9084745917 2252),(44.9661056221 2446),(42.4936280459 2632),(43.0176529416 2825),(46.7185763694 3041),
Point1,H2,,(40.0754167307 244),,,,(15.7942490186 1097),,,,(14.7939532014 1897),,,,,,
Point1,H3,,(42.4528662168 256),,,,(16.2082575064 1105),,,,(15.1356823517 1904),,,,,,
Point1,H4,(-0.0887689815245 157),(12.7956061247 330),,(18.5074116296 700),,(4.28248476784 1186),(6.52279467012 1377),,(39.3075726385 1653),(3.24423826718 1968),,(6.27940784415 2371),(7.81370031539 2560),,,
Point1,H5,(4.44511872365 190),(12.9217278537 337),,(18.5332150268 703),,(4.43864022154 1194),(6.72154225302 1384),,(40.9393888688 1663),(3.28585534795 1973),,(6.59562795727 2379),(8.88377567609 2572),,,
Point1,H6,(-0.0887689815245 157),(-2.6645352591e-14 410),(-4.26325641456e-14 607),(7.1054273576e-15 811),(3.5527136788e-15 1008),(-3.19744231092e-14 1212),(-1.7763568394e-14 1413),(-0.0244326704622 1611),(-7.1054273576e-15 1808),(-0.00897532203747 2007),(-2.13162820728e-14 2206),(-2.48689957516e-14 2398),(-3.5527136788e-15 2592),(1.06581410364e-14 2789),(1.06581410364e-14 2989),
Point2,H1,(42.8841840009 45),(26.9529068829 231),(21.3477060337 439),(25.7373082662 647),(21.4722637518 839),(23.6268849537 1049),(24.6567669971 1262),(25.5273186239 1446),(32.9086633119 1642),(30.8780414841 1847),(33.1116099603 2040),(31.4982053087 2250),(32.5565903235 2446),(31.640218564 2632),(31.969538028 2824),(34.6824305442 3041),
Point2,H2,,(23.7952792409 246),,(6.41790280496 728),(18.3429993957 854),,,(21.0676395454 1462),(31.2215260393 1653),,,,,,,
Point2,H3,,(24.5450743853 256),,(7.24044230123 743),(19.392758734 864),,,(21.9570493394 1471),(32.3048225439 1663),,,,,,,
Point2,H4,(-0.00997426383991 152),,,(2.36144716438 786),(1.78656120762 974),,(3.30463280928 1367),(1.25308501305 1586),(5.30098612126 1780),(2.05872376924 1962),,(4.71420148676 2371),(6.43568446077 2561),,,
Point2,H5,(10.6604580922 190),,,(2.38887272973 792),(2.24986878145 987),,(4.08158711846 1381),(2.0716815247 1598),(5.37423259998 1786),(2.45835531218 1975),,(5.09452939846 2380),(6.73805185161 2570),,,
Point2,H6,(-0.00997426383991 152),(8.881784197e-15 411),(3.5527136788e-15 606),(2.13162820728e-14 811),(2.39808173319e-14 1008),(-1.06581410364e-14 1213),(-1.7763568394e-14 1413),(-0.0223150529246 1611),(-3.5527136788e-14 1808),(-1.06581410364e-14 2006),(-1.24344978758e-14 2207),(-1.42108547152e-14 2398),(-2.48689957516e-14 2592),(-0.00176511784974 2788),(-0.0290590786521 2989),
