Cycle,0.986559139785
Average Width,3.14380056729
Width,,3.65672481695,2.92375822164,3.10800137476,3.28087321108,3.25364420297,3.20195305967,3.17371633696,3.21736743691,3.27137256914,3.27975430504,3.2216471785,3.24506158839,3.29746611091,3.22186100315,3.21895399288,3.17147532161,3.23773349394,3.25660332918,3.20783269967,3.2593770031,3.25559537164,3.25782271437,3.180798322,3.20050735973,3.18517041288,3.23931107228,3.14750499929,3.15633650278,3.19455947452,3.24521533904,3.20289094754,3.21862915901,3.25494650398,3.3121435421,3.15080349228,3.17089854009,3.19029455391,3.25161867232,3.18859533107,3.17741992198,3.21902528819,3.28120069342,3.01853524428,3.1314771711,3.20111825383,3.16263804982,3.0311318714,3.07838930275,3.19312724814,3.1968895272,3.20497814189,3.06140183648,3.09197363422,3.06347078741,3.11625464443,3.1858540912,3.20582955458,3.18330872423,3.34207423391,3.28680500847,3.05167378655,3.12699425657,3.19499583823,3.23859404277,3.20031122256,3.2098951871,3.14668306877,3.27611145336,3.1905093403,3.21083551347,3.19170935819,3.19781402037,3.11393172193,3.15058919964,3.17093085204,3.19863080785,3.1699161836,3.18257084659,3.16185232537,3.16101022553,3.17078244055,3.167049421,3.23834515349,3.1829333226,3.19998740063,3.16008236221,3.00407612608,3.08571726747,2.76728765744,2.88977178766,2.81640775051,2.82770240429,2.88659504303,2.86895138741
Point0,H1,(41.2052715842 34),(32.425626823 246),(34.985804447 438),(38.4560112425 626),(36.3472961259 818),(36.5890521744 1033),(36.48496516 1218),(33.4479000857 1425),(26.3055346638 1617),(27.3212023295 1825),(28.4321243282 2034),(29.3579346113 2224),(32.9049438049 2434),(30.9476566722 2645),(27.7437613092 2856),(29.0994545351 3043),(29.3592495779 3257),(23.3127566728 3465),(23.8075948091 3648),(24.4645109919 3866),(24.0019820318 4050),(25.1107164994 4257),(25.0857412784 4448),(27.5613498333 4657),(27.5372454632 4866),(25.5500102411 5058),(26.3486373813 5273),(25.17736494 5458),(25.0453346638 5664),(23.4653238931 5858),(27.7087033661 6066),(27.1357573513 6279),(23.8819994021 6465),(24.002761907 6673),(24.9122581362 6885),(23.4269887107 7097),(20.4313102026 7280),(19.1175669166 7492),(21.4759806754 7705),(23.5772532791 7888),(23.0803933297 8098),(20.680395257 8291),(18.6513048365 8496),(15.5023645666 8714),(13.3825107229 8918),(9.64310338309 9113),(9.13516169272 9280),(10.172433416 9476),(10.1811465886 9666),(10.5738099345 9856),(12.065994387 10050),(14.8493371471 10260),(12.1034280313 10449),(15.864120856 10641),(16.0326352797 10855),(14.1006204148 11042),(14.6589668724 11236),(14.4727685128 11444),(12.724468206 11632),(10.7607892943 11849),(14.4142838962 12034),(16.3252198684 12226),(16.2201892571 12441),(17.2472956228 12634),(17.2076959795 12801),(18.0058122654 13018),(18.960604223 13207),(18.4756643971 13378),(18.5588434673 13572),(19.4796591188 13771),(15.6793026476 13996),(17.9119383981 14178),(19.8308229977 14369),(21.3882981626 14585),(19.8930194311 14774),(21.4228451296 14961),(20.6051959109 15170),(22.9959867861 15379),(22.7454924901 15568),(25.1935179279 15786),(27.074329172 15994),(27.3940751218 16178),(24.7451389546 16394),(29.7569820539 16580),(30.7043489639 16786),(28.1202355535 16977),(26.8525132555 17193),(28.5457917374 17378),(27.6754195654 17584),(23.6046747633 17777),(21.4321339574 17983),(21.050677697 18193),(25.7370484873 18405),(25.2775844317 18593),
Point0,H2,,,,(17.092990584 674),,,(33.8043330168 1230),(15.1874769034 1477),,,,,,(2.39325688517 2781),,,,,,,(22.3943128764 4062),(22.8215346455 4273),,,,(23.7973093533 5070),,(23.4678120372 5469),,(21.5588874398 5870),,,(21.7399142839 6478),,(3.70179791085 7020),,,,,(20.9707467018 7902),,(19.3667998778 8303),(9.78637003103 8549),,,(2.31962571355 9203),(7.9978600204 9294),,(9.28514825395 9678),(8.79092777551 9870),(11.1140169989 10063),,(10.9644956207 10462),(14.434594368 10653),,(13.0302429542 11055),(14.2574627312 11245),,,,,,(1.62185960661 12555),,,,,(17.1132211276 13389),(17.888354108 13582),(0.66716348545 13916),,,,,,,,,,,,,,,,,,(26.1316976097 17390),,(21.476893022 17789),,(11.1623704886 18242),,
Point0,H3,,,,(17.3471988725 681),,,(35.1685029484 1240),(15.212698474 1480),,,,,,(2.44346259394 2787),,,,,,,(23.3567699375 4073),(22.8374891458 4276),,,,(24.9392480864 5081),,(25.0649661038 5481),,(22.5246414606 5880),,,(22.9715299222 6489),,(3.96656128948 7029),,,,,(22.486809091 7914),,(19.7169620152 8311),(9.84930673732 8554),,,(2.34812624346 9211),(8.54793343273 9306),,(9.699354905 9689),(9.45858148989 9882),(11.420624405 10073),,(11.4119218467 10473),(15.4434165589 10666),,(13.2951481619 11064),(14.6344260611 11255),,,,,,(1.70375466071 12564),,,,,(18.1712159975 13401),(18.3421089016 13591),(0.997743050945 13927),,,,,,,,,,,,,,,,,,(27.6367653528 17402),,(22.9264723321 17801),,(11.4091511982 18251),,
Point0,H4,,(5.83489146581 362),(4.80094569532 555),,,,(4.64294597423 1350),,,(4.80542438627 1959),,,,(2.84217094304e-14 2804),(3.80893009657 2969),(3.967013205 3176),(-1.06581410364e-14 3413),,,,,(12.4892219019 4307),,,,(3.94547387668 5195),,(4.83299050005 5591),,(3.06861497865 5994),(4.04331134888 6204),,(3.34733011541 6603),(2.84008325704 6812),(-3.5527136788e-15 7047),,,(2.6645352591e-14 7654),,(4.30820087247 8026),,(3.97942107248 8429),(-0.00546442086798 8663),(1.06581410364e-14 8857),,,(2.31794207462 9390),,,(6.06006095087 9904),,,(8.02414679648 10496),(3.3057311555 10778),,,(2.20348711978 11370),,,,(2.06903931831 12154),,(4.26325641456e-14 12581),,,(2.70164284458 13135),,(2.2215983437 13518),(2.52847515622 13707),(-2.93098878501e-14 13940),(3.83032408459 14107),(3.14796129692 14298),(7.1054273576e-15 14533),(3.32481087723 14701),,,(4.96758870157 15307),(4.05335985775 15500),,(-2.48689957516e-14 15936),,,(4.57173370149 16506),(4.87125194328 16713),,,(2.55642777358 17325),(2.2792563116 17510),,(3.04132184008 17916),,(2.30649925871 18328),,
Point0,H5,,(6.26702764212 372),(5.05450262483 564),,,,(5.12875697696 1362),,,(5.41726900679 1971),,,,(27.5652584273 2836),(4.52721628505 2981),(4.60026525224 3188),(22.3404349349 3444),,,,,(12.6438996705 4313),,,,(4.22908251435 5205),,(5.25756903099 5602),,(3.4918969756 6005),(4.08981003007 6209),,(3.60554434147 6612),(3.39650515946 6822),(22.3310178293 7079),,,(20.7413454766 7685),,(4.50955412778 8034),,(4.02729023126 8434),(15.0442044212 8691),(13.2666007064 8902),,,(2.47886550652 9401),,,(6.3205630979 9913),,,(8.1530005895 10504),(3.3816153662 10785),,,(2.47993577966 11381),,,,(2.19479016649 12164),,(16.7836856291 12610),,,(2.78910364919 13141),,(2.35413456458 13526),(2.7222526607 13716),(14.3704118518 13971),(3.89632696359 14113),(3.41110948244 14308),(21.0159651333 14563),(3.4019525293 14708),,,(5.17083819808 15315),(4.09675497325 15505),,(25.6450160723 15970),,,(5.00054343468 16516),(5.48696758879 16724),,,(2.87146770289 17334),(2.42800649667 17519),,(3.19992641374 17924),,(3.24920882614 18342),,
Point0,H6,(3.5527136788e-14 200),(-7.1054273576e-15 391),(-6.03961325396e-14 585),(-1.59872115546e-14 785),(1.7763568394e-14 981),(2.13162820728e-14 1183),(2.84217094304e-14 1385),(-0.00697880118451 1583),(-3.01980662698e-14 1785),(-1.06581410364e-14 1993),(5.3290705182e-15 2191),(-0.0129802336484 2391),(1.59872115546e-14 2599),(2.84217094304e-14 2804),(1.42108547152e-14 3000),(-3.01980662698e-14 3207),(-1.06581410364e-14 3413),(7.1054273576e-15 3610),(-2.6645352591e-14 3815),(-7.1054273576e-15 4020),(-7.1054273576e-15 4218),(-3.5527136788e-15 4416),(5.3290705182e-15 4617),(-3.01980662698e-14 4824),(-1.59872115546e-14 5027),(-2.30926389122e-14 5223),(-8.881784197e-15 5428),(-1.42108547152e-14 5624),(-2.13162820728e-14 5826),(1.7763568394e-15 6024),(2.48689957516e-14 6230),(-0.00657113835253 6436),(1.24344978758e-14 6632),(3.5527136788e-15 6839),(-3.5527136788e-15 7047),(-0.00325406254384 7247),(1.24344978758e-14 7447),(2.6645352591e-14 7654),(3.19744231092e-14 7854),(1.7763568394e-15 8057),(4.26325641456e-14 8260),(3.01980662698e-14 8457),(-0.00546442086798 8663),(1.06581410364e-14 8857),(1.50990331349e-14 9050),(-0.000852715887301 9246),(8.881784197e-16 9442),(-7.1054273576e-15 9637),(-9.7699626167e-15 9825),(-0.0102539324764 10018),(7.1054273576e-15 10216),(2.84217094304e-14 10415),(1.33226762955e-14 10609),(7.1054273576e-15 10807),(-3.5527136788e-15 11010),(-8.881784197e-15 11204),(-2.6645352591e-15 11399),(2.6645352591e-15 11601),(6.2172489379e-15 11800),(-0.000476027329135 11993),(3.10862446895e-14 12195),(5.3290705182e-14 12390),(4.26325641456e-14 12581),(2.57571741713e-14 12770),(1.59872115546e-14 12965),(3.90798504668e-14 13159),(4.26325641456e-14 13348),(1.59872115546e-14 13542),(-2.6645352591e-15 13735),(-2.93098878501e-14 13940),(-1.95399252334e-14 14136),(-1.59872115546e-14 14328),(7.1054273576e-15 14533),(1.42108547152e-14 14728),(1.42108547152e-14 14922),(1.95399252334e-14 15127),(1.06581410364e-14 15336),(1.42108547152e-14 15531),(0.0 15735),(-2.48689957516e-14 15936),(-1.06581410364e-14 16136),(-8.881784197e-15 16338),(1.06581410364e-14 16538),(2.13162820728e-14 16744),(2.30926389122e-14 16939),(1.24344978758e-14 17143),(1.42108547152e-14 17349),(1.95399252334e-14 17547),(7.1054273576e-15 17746),(1.59872115546e-14 17945),(1.95399252334e-14 18153),(2.30926389122e-14 18360),(2.6645352591e-14 18564),
Point1,H1,(43.4679540747 33),(41.3126342933 247),(41.3979620345 439),(40.64657393 627),(40.5746477746 841),(42.5676110394 1034),(43.222305625 1219),(48.2468094277 1427),(45.9586595923 1618),(49.7414296363 1826),(50.5125377232 2034),(48.328443955 2225),(52.6862477858 2435),(51.3937999518 2646),(47.8262537668 2857),(51.8085889005 3044),(52.3312877955 3257),(47.0906117825 3465),(48.5870574936 3649),(50.1717163053 3866),(47.8049913533 4051),(49.6442875977 4258),(47.7144142966 4450),(51.9080686153 4658),(51.4593725428 4868),(47.984680852 5059),(50.8352932668 5271),(49.5726318293 5459),(50.561829972 5666),(47.3535213608 5858),(53.9453030881 6068),(52.2637154118 6280),(48.582861465 6467),(51.306246172 6675),(53.3894497825 6887),(50.668761803 7097),(47.3289809589 7282),(49.5042629155 7495),(50.570669505 7705),(51.0695917748 7890),(51.8514974782 8099),(47.6186244898 8291),(49.9295021818 8498),(47.6342036311 8714),(46.2131479721 8898),(43.6042838178 9091),(43.7259666409 9282),(43.2081011196 9475),(41.9060399184 9667),(44.1196135734 9858),(45.9024926349 10074),(47.6301082441 10260),(43.7211089659 10450),(46.9824193316 10642),(49.3074244814 10854),(45.4998313833 11043),(46.6634040147 11236),(47.9739285304 11448),(45.0783059024 11634),(45.892710356 11846),(47.4958174239 12034),(47.4170699024 12226),(48.5699107008 12441),(46.6619724885 12634),(47.9298822665 12802),(49.3782598558 13018),(50.5506917209 13207),(47.0707832823 13402),(49.7923568933 13593),(50.6561234882 13779),(48.1057259473 13994),(50.4210793924 14182),(50.6820773691 14373),(51.6535399126 14586),(49.893000984 14775),(51.6468833639 14962),(53.0221555765 15175),(52.7896795698 15382),(50.6584815693 15571),(53.1861677106 15785),(51.2806924009 15994),(53.5908504948 16180),(51.2598060827 16371),(54.9800781822 16579),(54.7812171505 16790),(51.0990332799 16979),(53.2090413187 17194),(50.3525229509 17380),(45.0831691169 17585),(45.6531654028 17778),(47.9786935839 17986),(47.965517179 18194),(49.6737261365 18404),(45.368126347 18595),
Point1,H2,(37.8675328128 48),,,(18.2854546397 676),(20.5870577688 869),,(40.0368704776 1231),(23.3598343383 1477),,(25.6476650764 1878),,,(26.7841240614 2485),(3.95854734 2785),,,(5.18979268345 3393),,,,(44.8451016972 4063),(23.886136696 4308),,(26.1497890505 4709),,(44.6425290353 5070),,,,(43.3456469288 5871),,,(45.0776935791 6478),,(7.00205001549 7020),,(42.4245005073 7295),(6.80031806225 7630),,,,,,,(42.5891604825 8914),(22.1107637543 9140),(39.7696910717 9295),(40.2400929434 9487),(38.8504519132 9678),(39.8823019445 9871),,,(39.2484157507 10464),(43.0568514191 10654),,(42.4590360889 11055),(44.2589562455 11246),,,,,,(4.91069338792 12562),,,,,(5.38299729542 13521),,,,,,,,,,,,,,(26.0291845355 16229),(47.6259402615 16382),(29.210494361 16629),,,,(47.3341104786 17391),(38.9414013109 17603),(42.1649142445 17790),(23.5526615086 18037),,,
Point1,H3,(38.9264449197 57),,,(18.4315064081 681),(20.7455837406 874),,(41.351135992 1241),(23.3685667397 1479),,(25.6599428317 1880),,,(26.8057185877 2488),(3.97743002205 2788),,,(5.23927960965 3397),,,,(46.8243671882 4073),(23.9900480623 4313),,(26.2487672663 4713),,(47.4587412705 5082),,,,(45.3240557293 5881),,,(48.0860200715 6490),,(7.88809233768 7030),,(44.2470089113 7305),(6.99320296939 7637),,,,,,,(42.6309360716 8917),(22.2394251095 9145),(40.8014753436 9304),(41.6619949878 9497),(41.6471397336 9690),(41.1306346739 9881),,,(39.7346612732 10471),(46.1399347692 10666),,(44.2183047916 11065),(46.5376567254 11258),,,,,,(4.91116514052 12564),,,,,(5.39582975311 13524),,,,,,,,,,,,,,(26.051852309 16232),(50.9231172682 16394),(29.3671565971 16634),,,,(49.442270692 17402),(39.0017263316 17606),(45.3967585067 17802),(23.642349371 18041),,,
Point1,H4,(5.9591893669 170),(6.20494702656 364),,(3.5527136788e-15 787),(-7.1054273576e-15 982),,(6.68292787832 1353),,,(7.13874318958 1962),,,(7.27869303249 2571),(-1.7763568394e-14 2805),(6.50471297152 2970),(6.93136963569 3178),(-5.68434188608e-14 3414),(5.37863667073 3580),,(2.86521413539 3999),(6.01675970283 4188),,,(7.73829470295 4795),,(7.44988088264 5195),,,,(6.03504769304 5995),(7.27786920206 6204),,(6.24970762155 6603),(6.23364369719 6812),(4.97379915032e-14 7048),,(6.52684629995 7419),(4.26325641456e-14 7655),,,,,,(5.69852575088 8828),(6.52478144008 9021),,,,,(-1.06581410364e-14 10021),(7.2286188292 10187),,(21.4972586844 10499),(7.18068592673 10779),,(4.41351542778 11184),(6.60783154558 11371),,,(7.14671236013 11965),,,(-2.84217094304e-14 12582),,,(7.57725516552 13133),(-8.881784197e-14 13349),(-9.59232693276e-14 13542),(7.18457263838 13708),(-6.75015598972e-14 13942),(7.41682911726 14108),(7.72094460478 14300),(-9.23705556488e-14 14534),(8.06085044964 14701),(7.25940342181 14891),,(8.92631626144 15308),(6.73567176637 15502),,(-7.1054273576e-15 15938),(7.57863731491 16106),,(7.26271502586 16508),(8.55678405376 16716),,,(4.9995355877 17327),,(20.9965844157 17634),(6.08500306607 17915),(5.79477553746 18120),(6.47705847638 18330),,
