Cycle,0.751375
Average Width,0.0
Width,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(19.5674075495 36),(21.52693858 195),(18.2703669074 353),(17.363709883 505),(18.3951538281 663),(20.4020628648 821),(18.712234577 981),(23.6496802839 1140),(23.4169736347 1299),(22.6397864563 1459),(23.839275622 1614),(24.5124130328 1771),(22.85739749 1932),(23.6711822285 2085),(25.9019287283 2245),(25.2393078625 2405),(23.3368664541 2565),(24.167307717 2721),(25.8716343406 2883),(23.9207476122 3043),(19.1203294017 3200),
Point0,H2,,,,,,,(9.78691135461 1015),,(11.9775309994 1333),(10.8689462232 1496),,,,,,,,(11.591930374 2759),(14.5974514 2919),,
Point0,H3,,,,,,,(10.8024241647 1030),,(12.1090743968 1340),(10.9971785776 1503),,,,,,,,(11.6749637555 2765),(14.6048658348 2922),,
Point0,H4,(2.42484285786 125),(2.22212278136 279),(2.06040853254 444),,(1.60836218513 770),,(2.216818774 1070),,(3.13260650758 1391),(2.0492529505 1549),(3.95004678478 1706),(4.05099515806 1871),,(3.89650881551 2174),(3.93532426178 2330),,(3.35467456225 2657),(3.19177865695 2815),(4.0131012442 2975),,
Point0,H5,(2.76675946673 136),(3.40158576832 296),(2.56054837423 456),,(1.60843448767 771),,(2.45898105146 1080),,(3.19267382443 1396),(3.89155743884 1563),(4.19509978301 1716),(4.05643439315 1873),,(4.1144890867 2183),(3.93559439956 2331),,(3.35871554282 2659),(3.58044141809 2825),(4.37742137624 2985),,
Point0,H6,(-1.59872115546e-14 156),(5.3290705182e-15 316),(5.3290705182e-15 473),(-7.9936057773e-15 632),(7.1054273576e-15 790),(-8.881784197e-15 946),(-0.010514240213 1099),(-3.01980662698e-14 1261),(-8.881784197e-15 1421),(-7.1054273576e-15 1579),(1.06581410364e-14 1737),(3.5527136788e-15 1897),(2.48689957516e-14 2051),(7.1054273576e-15 2206),(8.881784197e-15 2367),(-5.3290705182e-15 2531),(-3.5527136788e-15 2684),(0.0 2844),(-3.5527136788e-15 3005),(3.5527136788e-15 3165),
Point1,H1,(14.7469021989 35),(16.2372066877 192),(16.3724872031 352),(15.4519220208 503),(18.8221327684 661),(20.4862558893 821),(19.3783977485 979),(17.4550851289 1138),(16.5023003022 1297),(16.1968630487 1457),(16.0548477446 1613),(14.94592691 1771),(15.3881278904 1931),(15.6749013123 2084),(16.0434235466 2242),(16.4207746088 2404),(17.949890156 2563),(15.7810202407 2721),(16.8227252624 2882),(17.43197151 3042),(14.5916663331 3198),
Point1,H2,(5.28379232348 73),,(8.08494068574 387),,,,,,,,(7.80032043113 1649),,,,,,,,,,
Point1,H3,(5.63429975398 84),,(8.18530993983 394),,,,,,,,(8.00969008083 1658),,,,,,,,,,
Point1,H4,(1.24870110864 120),(2.07021887336 281),(2.20024019192 443),(1.57222560531 605),,,(2.24427075239 1070),(3.49779413203 1226),(1.08954001813 1387),(2.74952092578 1545),(1.4619332389 1708),(2.21864281509 1868),(2.31576233041 2012),(1.85512901688 2167),(0.883745856736 2337),(8.65636426695 2449),(2.32779036405 2652),(7.85924038276 2757),,,
Point1,H5,(1.76918697455 134),(2.80767473258 295),(3.1513818869 456),(1.72996391238 614),,,(2.66921105489 1081),(3.82793388864 1237),(1.86840150423 1401),(3.18595718092 1557),(1.81387323532 1719),(2.57713861017 1878),(3.15534380234 2027),(2.2937430941 2180),(0.987713139521 2346),(8.6985064479 2454),(2.95545274694 2664),(7.87310880719 2761),,,
Point1,H6,(2.6645352591e-15 154),(-8.881784197e-15 315),(-7.1054273576e-15 473),(5.3290705182e-15 630),(3.5527136788e-15 788),(3.5527136788e-15 944),(7.1054273576e-15 1099),(1.15463194561e-14 1260),(8.881784197e-16 1420),(-7.9936057773e-15 1577),(-7.9936057773e-15 1735),(8.881784197e-16 1896),(0.0 2051),(-1.24344978758e-14 2206),(-0.00546703511014 2366),(-3.5527136788e-15 2530),(-6.2172489379e-15 2683),(-8.881784197e-16 2840),(-1.7763568394e-15 3000),(8.881784197e-15 3163),
