Cycle,0.85429197995
Average Width,0
Width,,5.0468659304,5.42634337191,5.27086403769,5.53307596413,7.16793517498,6.18389832463,0,6.39732462795,6.68228321667,0,0,0,0,0,0,0,0.0,0,0,0
Point0,H1,(23.3156804017 36),(21.856184498 226),(22.5585282707 419),(23.6121799906 608),(22.4048847661 802),(18.2883254275 984),(20.2366771277 1174),(22.4560451972 1365),(21.1882527313 1557),(22.1284596195 1743),(20.3146176458 1934),(19.3332646377 2116),(19.2034053588 2300),(19.0845823933 2487),(16.5611213685 2663),(18.8952516821 2852),(17.3267629316 3039),(17.4261599919 3221),(18.5492302614 3398),(19.1345989599 3590),
Point0,H2,(8.26121467323 89),(3.89054555989 329),,,,(1.73138945064 1075),,,,,,(9.91083631036 2166),(3.45595816367 2410),(4.79380635608 2565),,(6.6535444137 2935),,(5.0851311658 3270),,
Point0,H3,(8.26338266316 91),(3.94741542472 335),,,,(1.988539819 1086),,,,,,(10.0695329803 2174),(3.46051331751 2413),(4.80454817172 2569),,(6.68959878313 2941),,(5.33572102594 3278),,
Point0,H4,(2.40921368543 159),(2.88169899205 352),(2.77455549227 545),(3.20501554785 737),(1.8541249719 926),(0.0753458494501 1118),(4.6934814758 1269),(1.80649877031 1489),(3.25386781705 1682),(4.14057885161 1875),,(3.52462876376 2242),(1.74568497188 2439),(0.829803792156 2610),(2.38962073706 2753),(3.47679664647 2978),(4.45583367473 3124),(3.24281708122 3299),,
Point0,H5,(3.86585738262 173),(3.47644273129 364),(3.25614871342 556),(3.72373055754 748),(3.35402473461 942),(0.507573863598 1133),(4.80511434792 1278),(2.3085978471 1501),(3.62002313975 1691),(4.45509555208 1884),,(3.82365455073 2251),(1.75181932718 2442),(1.60756710354 2622),(3.57712718395 2771),(3.55148035046 2985),(4.6066544832 3132),(3.70249875282 3311),,
Point0,H6,(-7.1054273576e-15 190),(-1.7763568394e-15 382),(1.59872115546e-14 573),(-3.5527136788e-15 766),(-8.881784197e-15 957),(-0.00791671185466 1143),(1.24344978758e-14 1326),(0.0 1519),(-7.1054273576e-15 1709),(-1.7763568394e-14 1902),(-8.881784197e-15 2078),(-8.881784197e-15 2269),(-1.7763568394e-15 2458),(1.7763568394e-15 2635),(0.0 2811),(-1.7763568394e-15 3006),(1.7763568394e-15 3190),(0.0 3368),(-4.4408920985e-15 3553),
Point1,H1,(30.3640622159 36),(28.2999842577 226),(29.0679045783 420),(28.5599031149 608),(26.1297153759 802),(21.1493361947 985),(20.5527229562 1175),(25.1689231641 1365),(23.8449960908 1557),(23.5403835868 1745),(21.7000839251 1936),(21.5119023177 2117),(20.4698150266 2302),(19.1934871422 2488),(19.3630306209 2665),(19.2421681754 2853),(18.11343947 3041),(18.1800656382 3221),(19.8701986171 3398),(20.3357512203 3590),
Point1,H2,,(4.20275630776 327),,,(3.05686294152 905),(1.77795741585 1075),,,,,,,,,,,,(5.64939848616 3272),,
Point1,H3,,(4.34088921565 334),,,(3.08239779342 909),(2.01263404808 1086),,,,,,,,,,,,(5.67075726663 3276),,
Point1,H4,(2.59813929449 158),(2.57797576354 352),(3.37047679311 545),(2.95443113362 737),(1.94477019762 926),(0.740898272136 1115),,(1.44337751508 1489),(2.70365419673 1679),(3.36874252248 1874),,(3.30587995543 2242),(1.67321804732 2434),(1.59716045692 2608),(2.92201332234 2751),(3.15337499463 2978),,(0.725141598417 3348),,
