Cycle,0.892385
Average Width,5.64032660424
Width,,5.23768922013,5.48638520341,4.99502112933,5.16738649261,5.62049592374,5.28090012609,5.58207366664,5.4716728974,5.2791716864,5.61294450981,5.69285623488,5.47676183402,5.99122686845,5.84499620313,5.64275625318,5.69020602199,5.74560633275,5.74976181665,5.75446500005,6.04366392824,6.16621315004,5.72842530851,5.91981266624,6.2903149579,6.12847190222
Point0,H1,(9.69321238995 112),(7.86277514012 304),(11.8736073541 495),(11.3727295785 684),(11.2974124328 869),(12.3709252635 1055),(16.7085429616 1248),(18.1493311879 1435),(23.4708827352 1617),(24.4444406852 1810),(22.1043730769 2001),(21.6233700683 2194),(23.3010535643 2384),(24.404021 2573),(22.5546449159 2759),(19.9434051092 2950),(21.1768981026 3137),(21.0205064115 3330),(27.0451408711 3508),(25.2024064606 3696),(21.2210125633 3886),(26.7718077287 4064),(31.0288959403 4244),(27.6214529049 4432),(25.5364334832 4619),
Point0,H2,,,,(8.881784197e-15 757),(2.57815047188 913),,(3.16408470254 1313),,,,,,(1.83237954597 2479),(-0.00630463454389 2651),(2.53168653427 2861),(1.98341176466 3055),,,,,,(3.56854775987 4144),(12.5645233036 4289),,,
Point0,H3,,,,(2.42727742551 795),(3.30947581097 929),,(3.68474682691 1329),,,,,,(1.97363964529 2489),(3.04078471997 2681),(3.02938067146 2873),(3.02961276337 3071),,,,,,(5.24981137307 4169),(12.6965957758 4295),,,
Point0,H4,,(-0.00654224514002 351),,(1.33445821272 809),(0.548326170629 979),,(2.83091974882 1365),,,,,,(1.65275446813 2501),(1.77660846696 2697),(0.990268299728 2890),(2.59488387709 3082),,,,(-0.0113217596326 3783),(3.36383241251 3957),(2.81206993032 4188),(2.23325272566 4378),,,
Point0,H5,,(3.62517128397 416),,(3.62089160635 825),(1.80484723961 1004),,(4.62076776609 1383),,,,,,(3.92819167533 2520),(3.73538315379 2712),(3.60381643544 2905),(3.18876619522 3094),,,,(2.03415612772 3830),(4.04804507638 3972),(3.37803836478 4198),(3.39517969569 4391),,,
Point0,H6,(-0.053357054095 90),(-0.0604396951938 158),(-6.66133814775e-15 280),(-0.00654224514002 351),(-0.00936149846245 459),(7.9936057773e-15 650),(8.881784197e-15 757),(5.3290705182e-15 842),(3.5527136788e-15 1027),(-0.00524025695185 1126),(-1.06581410364e-14 1209),(-4.4408920985e-15 1401),(-0.0019403540741 1527),(-1.15463194561e-14 1590),(-8.881784197e-15 1782),(1.7763568394e-15 1974),(6.2172489379e-15 2167),(6.2172489379e-15 2331),(3.5527136788e-15 2537),(-0.00630463454389 2651),(-3.5527136788e-15 2728),(1.06581410364e-14 2920),(2.30926389122e-14 3110),(-0.00720697776904 3222),(-0.0269510439053 3302),(-1.7763568394e-15 3479),(-1.42108547152e-14 3668),(-0.0113217596326 3783),(-0.0157626518277 4000),(5.3290705182e-15 4214),(-0.00626460998271 4406),(1.24344978758e-14 4583),
Point1,H1,(20.5445252688 114),(15.4271320156 305),(23.461013312 491),(24.008536639 681),(22.2669285617 868),(27.5115326903 1058),(28.7151691333 1244),(33.935332379 1434),(42.421146593 1620),(41.9018114451 1812),(37.0348534191 2003),(36.3165223906 2196),(36.5618879606 2386),(36.8103348631 2576),(35.0587494636 2759),(33.0121995764 2951),(33.9045997206 3139),(32.5280480282 3332),(41.9392803494 3511),(37.4087920501 3699),(29.8541361009 3888),(40.5631344663 4066),(44.3847638107 4246),(39.2699246366 4435),(37.3749651912 4621),
Point1,H2,,(-0.410448126443 352),(2.16602238294 568),(-0.00140725917067 760),,(1.99277197318 1128),(-0.00725413014018 1317),(-0.00651153295846 1536),,,,(5.05513155977 2245),(1.61780891966 2482),(3.49971263496 2655),(2.16961992909 2863),(2.26330583265 3058),,,(4.14774077077 3620),(-0.00598752743284 3784),,(4.42392659203 4152),(15.0970937828 4293),,,
Point1,H3,,(3.56830914121 416),(3.10160452469 590),(2.2282750051 797),,(3.51774670878 1158),(1.01411179619 1336),(1.39006091315 1553),,,,(5.17450548998 2250),(1.74118517543 2490),(5.39910907069 2684),(3.04500936176 2877),(3.09919805334 3073),,,(4.28992258231 3628),(1.21978435161 3805),,(5.85368405823 4173),(15.1876215992 4298),,,
Point1,H4,,(2.74209036335 429),(1.29534881582 619),(1.20323044109 812),,(1.87443058594 1179),(0.935231094798 1343),(0.650036335139 1564),,,,(-0.0083882609485 2284),(0.937094513111 2505),(3.35892788007 2701),(1.02852866824 2892),(2.3285063876 3086),,,(1.82911491189 3649),(0.812551943769 3817),(3.02795133607 3960),(3.45894977188 4190),(2.20895666042 4381),,,
