Cycle,0.907637873754
Average Width,8.58384114097
Width,,0.0,0.0,0,0.0,770.972662521,11.4204978507,9.82881293763,12.8918069993,0,18.4740757965,13.9630220054,14.9197652214,22.3135705195,16.3713051368,12.0397301572,10.5283639032,10.4546333257,10.5582415814,9.51246223888,9.43079791334,8.92316615854,9.33587560071,8.38248905146,7.34016919035,6.58199458698,6.68537314486,6.68703119958,6.87243518398,5.96587924032,5.71128817876,6.21459043448,6.43539517064,6.57631725314,6.51936711919,6.04351812422,6.26163286102,6.10946708031,6.3658896016,5.90828381258,6.20404041023,6.1529381083,6.06053302104,6.48896670422
Point0,H1,(8.93936928939 79),(3.32216366148 211),(3.32121816415 406),(10.0467542025 582),(8.26224062991 784),(8.05250651412 965),(8.32481561202 1153),(5.19737100838 1342),(10.2136040005 1495),(2.869557069 1664),(2.90994546851 1728),(6.73264520088 1868),(9.61642783427 2072),(5.74677712604 2263),(6.13196467586 2463),(7.4919150681 2644),(8.21771110573 2840),(7.60089906166 3035),(8.88323246188 3214),(8.00604537338 3412),(7.85260692078 3603),(8.16904340426 3793),(6.59371214282 3985),(9.493887316 4160),(5.49751950051 4355),(4.83171763804 4575),(5.68336669053 4740),(7.635117025 4926),(7.13907227092 5122),(5.27853642256 5330),(8.29814068133 5494),(7.48673437087 5657),(9.17614565927 5873),(8.90399956247 6038),(7.93636237311 6259),(8.46366357678 6449),(7.27854978444 6625),(9.90588209786 6801),(7.20867971389 6977),(7.78133124926 7195),(9.82587545564 7349),(7.996383792 7535),(8.51466130636 7739),(9.59988349602 7906),
Point0,H2,,(-0.00984988061032 276),,,(3.75927690504 828),,,,(7.47105186256 1521),(-3.76324214937e-05 1683),,(5.1518718696 1889),(2.84275505082 2152),(3.98814456906 2308),(1.92712624922 2504),(5.32989796306 2679),,,(3.9559434683 3269),(7.59701319463 3427),(2.45308053673 3665),,,,,(0.400905235097 4645),,,,(2.47182096648 5368),,,,,(5.37455641224 6305),(3.21185729677 6499),,,,(2.24483062673 7236),,(2.71151802129 7606),,,
Point0,H3,,(2.7227006362 324),,,(4.21782085386 846),,,,(8.13691530287 1535),(1.57032906492 1703),,(5.53145112125 1901),(2.93145752478 2159),(4.03631712628 2315),(3.35264022733 2528),(5.64435380544 2694),,,(4.00685095203 3276),(7.61374600328 3432),(2.51518892558 3675),,,,,(0.404889643407 4649),,,,(2.51634784661 5375),,,,,(5.59800334075 6316),(3.3547785741 6509),,,,(2.34871154147 7246),,(2.71259594737 7608),,,
Point0,H4,,(2.54618329598 338),,,,(3.45858574782 1044),(1.52707682469 1226),(-0.00964328931628 1392),(-0.0436774916657 1598),,,(1.65288111912 1930),(-0.00172406126993 2206),(-1.7763568394e-15 2380),(-4.4408920985e-16 2587),(2.83830212952 2724),(2.88110150726 2926),,(2.08408823198 3309),(6.2172489379e-15 3547),,,(0.88963844604 4056),(0.619888893022 4271),,(4.4408920985e-15 4672),,,,(2.22417455887 5396),,,(1.58750965949 5961),,,(-0.0119461353066 6561),(0.1709550042 6717),(2.2780180866 6871),(-0.00568672933401 7114),,,(0.867041664209 7634),,,
Point0,H5,,(2.98819881006 358),,,,(3.52666736344 1054),(2.30959859956 1244),(4.95866115807 1459),(1.4179878135 1627),,,(1.73123540364 1938),(2.87638382391 2232),(4.42369117753 2404),(6.54401158604 2619),(3.06448045584 2734),(3.54108498613 2943),,(2.08555862513 3312),(6.6703874194 3578),,,(1.81974207271 4079),(0.654873572271 4280),,(4.39886149641 4707),,,,(2.22491185232 5399),,,(1.70107932563 5972),,,(6.61493803738 6598),(1.26344709549 6734),(4.50092707121 6902),(7.47980830391 7176),,,(1.45011668901 7647),,,
Point0,H6,(-0.0369103809973 167),(-0.00984988061032 276),(1.33226762955e-15 384),(-0.0131979120634 480),(-0.0107909852473 661),(-0.00201379028624 903),(-0.00211455188746 1096),(-0.00566916972802 1269),(-0.00964328931628 1392),(-0.0436774916657 1598),(-3.76324214937e-05 1683),(-0.0508489821485 1787),(-0.00290534712037 1975),(-0.00172406126993 2206),(-1.7763568394e-15 2380),(-4.4408920985e-16 2587),(-0.000671387423008 2767),(-8.881784197e-16 2976),(1.46549439251e-14 3164),(1.68753899743e-14 3353),(6.2172489379e-15 3547),(-0.000204074534023 3723),(-4.4408920985e-16 3919),(8.881784197e-16 4106),(-0.000562595493648 4300),(6.66133814775e-15 4478),(4.4408920985e-15 4672),(1.33226762955e-15 4840),(0.0 5061),(4.88498130835e-15 5247),(-0.0063394174859 5437),(-1.15463194561e-14 5626),(0.0 5818),(-0.00416278223811 6003),(1.33226762955e-15 6197),(-1.33226762955e-14 6381),(-0.0119461353066 6561),(-0.0083673918295 6749),(-8.881784197e-16 6927),(-0.00568672933401 7114),(-0.00660230374656 7294),(8.881784197e-15 7484),(7.9936057773e-15 7663),(-0.00870017328533 7850),
Point1,H1,(5.14978963188 76),(3.58490295376 251),(3.53466366634 439),(12.0952386177 617),(9.22568508747 817),(12.1137738401 996),(12.4294852904 1187),(8.10619405987 1338),(11.9749482484 1534),(7.99561239061 1701),(6.86971176485 1762),(11.1956572088 1908),(13.5191169046 2106),(9.08301589066 2292),(10.041943785 2499),(13.009173186 2675),(13.4796545979 2867),(12.5486207924 3050),(14.1343693136 3248),(12.4775485654 3442),(12.5375532822 3610),(13.5049713675 3801),(11.8554174398 3985),(13.7939933214 4193),(11.7355417709 4364),(10.0583448817 4552),(12.2081267837 4744),(14.4372960373 4937),(13.1721097966 5128),(10.2000332974 5321),(15.8004022146 5516),(16.0784675814 5689),(16.7164119951 5881),(17.8092355056 6072),(16.000093439 6264),(13.6250792646 6442),(15.2444526397 6632),(15.9394043034 6820),(13.4679027734 6998),(12.4095044789 7203),(17.8092710104 7368),(15.1471427753 7550),(13.1925225849 7734),(14.7253559989 7916),
Point1,H2,(4.22573839479 102),,,(6.92286775085 660),,,,,(8.91172126825 1557),(4.64156453807 1718),(1.58535668225 1800),,(8.14914825656 2154),,,,,(12.0401069244 3064),,(10.1753435391 3464),(11.5250363084 3622),(12.5634780836 3815),(2.72381102639 4095),(9.56672081582 4218),,,(10.2276218088 4762),(12.8890170684 4954),,(4.1147538258 5416),,,(14.5945229462 5896),(7.23845311808 6148),,,(12.7798986164 6653),,(0.905964002432 7128),(10.1283626414 7221),,,,
Point1,H3,(4.23766889131 107),,,(7.1791769645 669),,,,,(9.72372670705 1570),(6.45368753353 1734),(1.6342802365 1806),,(8.15221440269 2156),,,,,(12.1249354957 3073),,(10.2364809722 3470),(12.4518089367 3635),(12.8762154453 3826),(2.7298118138 4099),(9.59932244145 4223),,,(10.2963624834 4768),(12.9812279793 4960),,(4.12883084866 5422),,,(15.016421772 5905),(7.26308598725 6154),,,(12.7830264401 6655),,(0.93345088915 7133),(10.8322467292 7233),,,,
Point1,H4,,,,(-0.125088746003 698),(4.55819765023 859),,(3.76275707831 1246),,(-0.00117367279747 1647),,(-0.142029611856 1830),(0.177722320992 2007),(1.92197777165 2213),,,,,,(2.04281036531e-14 3387),,,(1.96313139564 3923),(-1.15463194561e-14 4142),,,,(8.33331624609 4790),,,(3.01093410811 5444),,,(2.27309421134 5997),(2.21062171046 6195),,,(1.73644570428 6755),(4.61567075114 6908),(-8.881784197e-15 7148),,(1.63934063585 7492),(1.5592834449 7668),,
Point1,H5,,,,(0.721468547259 713),(4.85266562026 874),,(3.76390214291 1248),,(1.39784104834 1666),,(0.872000497104 1850),(0.846867467486 2028),(2.15952712914 2222),,,,,,(12.3058358552 3419),,,(2.56513409386 3935),(13.2226911455 4171),,,,(8.480394524 4798),,,(3.16487562492 5452),,,(2.43406517599 6007),(2.29212016104 6203),,,(2.4284722089 6767),(5.22890337147 6936),(12.4036945027 7177),,(2.3996329385 7504),(1.84683428652 7678),,
Point1,H6,(7.9936057773e-15 203),(-0.00745033243708 305),(2.22044604925e-15 377),(-0.00400951922952 527),(-0.125088746003 698),(-0.000289355638619 941),(4.4408920985e-15 1129),(1.68753899743e-14 1307),(5.3290705182e-15 1429),(-0.00117367279747 1647),(-0.142029611856 1830),(5.3290705182e-15 2053),(3.5527136788e-15 2241),(7.9936057773e-15 2414),(2.6645352591e-15 2622),(0.0 2814),(1.24344978758e-14 3009),(1.68753899743e-14 3199),(2.04281036531e-14 3387),(2.6645352591e-15 3580),(-0.00412393548788 3761),(0.0 3952),(-1.15463194561e-14 4142),(-1.15463194561e-14 4333),(3.5527136788e-15 4517),(-0.0022843493362 4707),(-0.0036727055173 4895),(8.881784197e-16 5093),(1.7763568394e-15 5282),(1.24344978758e-14 5472),(1.06581410364e-14 5660),(2.93098878501e-14 5853),(1.7763568394e-14 6035),(4.4408920985e-15 6228),(-3.5527136788e-15 6414),(-9.7699626167e-15 6594),(-0.00666416265313 6783),(-0.0011811961882 6962),(-8.881784197e-15 7148),(-0.00941681896769 7329),(0.0 7519),(-3.5527136788e-15 7695),(2.6645352591e-15 7886),
Point2,H1,(8.17288908881 37),(8.38636101598 222),(12.0188037076 402),(18.4102918983 614),(19.0938790033 769),(25.1517305704 966),(24.3699131279 1156),(21.1528612018 1332),(19.5085529878 1532),(18.0195452121 1699),(25.1738504938 1905),(22.8643471729 2099),(19.1134826076 2274),(20.2925406499 2443),(24.7115998902 2647),(23.7085485867 2850),(23.8608749065 3041),(23.649808943 3224),(24.7943992673 3412),(25.147681418 3604),(25.8830753712 3794),(24.6276002908 3980),(26.0564370022 4165),(28.4876673175 4357),(27.6124759129 4547),(28.458412038 4739),(28.4406125591 4931),(27.826380029 5123),(27.1717685826 5314),(31.640504777 5500),(32.270351233 5684),(31.0723859932 5876),(30.852127486 6066),(30.261542886 6258),(31.6855002862 6437),(30.3438680519 6626),(28.7359020856 6812),(30.5761623989 6992),(30.4790082277 7172),(31.3375392023 7362),(28.569675907 7545),(32.1380652247 7727),(29.3480786151 7911),
Point2,H2,,,,,(6.63871170844 857),(10.8785204608 1013),,(8.881784197e-16 1422),,,,(8.40052664103 2148),,,,,,,(11.4423939574 3458),(10.680120982 3654),,,(11.1811625307 4212),(10.8949912975 4405),(8.43703064895 4595),(9.05441162915 4788),,(9.36672386379 5172),(4.70193002831 5406),,(11.4575513275 5732),(11.8180498822 5924),(9.12385637046 6116),(12.2233480539 6306),(11.5710054874 6484),,,,(11.9101824113 7219),,,,,
Point2,H3,,,,,(7.02181538243 871),(11.0780834779 1020),,(0.915934703101 1441),,,,(8.51791139702 2154),,,,,,,(12.0396311425 3468),(10.7040309928 3657),,,(11.4712736735 4220),(10.9625800738 4410),(9.26602446871 4606),(9.4040633309 4796),,(9.46659985312 5177),(4.88128563753 5419),,(11.7818527372 5740),(11.9449086216 5930),(9.68586621747 6126),(12.5784542639 6314),(11.7918399659 6491),,,,(12.1719014736 7227),,,,,
Point2,H4,,,,(0.136337103643 698),(3.43199795277 913),,(4.09495193613 1239),(0.222051926763 1463),(-0.0962618840347 1641),,,(2.27043003418 2206),,,(2.95981749704 2785),,(3.74914615215 3166),(2.07494635743 3361),,(2.87225397621 3726),(3.15263452479 3916),(2.67125108238 4110),(2.69927757223 4304),,(1.43240616404 4670),(3.86489381596 4832),,(2.88470539456 5242),(3.51988425931 5436),(2.85066816453 5632),(2.6503081643 5822),(2.75585646306 5995),(3.40928653058 6191),(2.98096892823 6383),,(2.86753154692 6747),(5.61544493585 6923),(1.83212619438 7118),,(2.93492713301 7485),(2.5798143879 7659),(3.34056742569 7854),,
Point2,H5,,,,(1.20743032387 714),(3.51725515242 919),,(4.09639865791 1241),(1.9653938277 1483),(1.98731111325 1660),,,(3.11614545744 2218),,,(3.0627470155 2792),,(4.40848511963 3177),(2.1604920558 3368),,(2.92408574073 3732),(4.71050265693 3930),(3.27034055077 4121),(3.14971161357 4313),,(1.44849791561 4674),(3.94465878873 4840),,(4.15127439868 5257),(4.69455119343 5449),(3.31360902564 5641),(2.90685066626 5832),(2.85916327404 6002),(3.46009054654 6196),(3.70323411992 6394),,(4.37990891986 6761),(5.87568940445 6932),(2.96521394476 7130),,(4.09353754773 7498),(3.44905635763 7672),(4.05650445211 7865),,
