Cycle,0.913125
Average Width,4.27852172114
Width,,4.93813028705,6.34116447906,4.62581990578,4.61698711866,4.52404161362,4.2133221864,5.48680574441,4.28737342046,4.86036023823,4.35837992967,4.44936607305,4.23861837325,4.45005525131,4.12421745105,4.29012573933,4.31593255643,4.27313355879,4.26734064682,4.20311674352,4.31774341893,4.4283124285,4.20860262911,4.2911878457,4.03088729272,4.32966895288,4.19314524615,4.15496468652,3.99758057318,4.07669617767,4.28649951769,4.17710615549,3.8605826177,3.85122103667,4.0520357909,3.91728010975,4.30380770622,3.94698615584,4.00983365924,4.13241942507,4.03908808705,4.13240549495
Point0,H1,(9.36748070912 26),(12.717673278 233),(10.8226747496 388),(12.6173869538 587),(11.5379986301 778),(8.88096779977 954),(11.6555307543 1152),(8.72754304668 1321),(11.1762596475 1526),(9.92377031561 1721),(7.7354426989 1892),(7.84090463886 2060),(9.90696103299 2270),(8.58937562938 2470),(9.21623713072 2664),(9.86897852547 2845),(9.82818361547 3035),(9.23334296543 3228),(9.98596345046 3417),(8.84434876373 3599),(10.5439495463 3789),(10.2453516324 3980),(10.0350144607 4169),(10.0621580969 4361),(10.5970238992 4554),(9.98631804663 4745),(8.57818720135 4938),(9.85074354383 5118),(11.3497939378 5307),(12.4845878108 5499),(12.6120066684 5689),(10.5978299935 5881),(10.9560828163 6060),(10.7772140127 6249),(10.0884235638 6431),(11.900295736 6616),(9.84597007643 6795),(12.0724873272 6986),(10.5949196559 7166),(9.75150074751 7350),(11.0642129597 7533),
Point0,H2,,(5.29241265218 276),,(4.63585082616 636),,(-0.00815554034862 1049),,,,(3.65664398848 1768),(3.66335670262 1932),,(4.0341380359 2329),,,(4.57022640705 2895),(4.11957140034 3080),,,,,,(2.82096776278 4218),(3.08273324987 4408),,(3.84527505546 4794),,(4.72658730204 5162),(3.71962895711 5352),,,,(4.15724496429 6104),,,,(4.30914171478 6842),,(3.7519861426 7210),,,
Point0,H3,,(5.63744390174 287),,(4.94027943185 647),,(0.349695335463 1063),,,,(3.86390769409 1778),(3.82501361372 1943),,(4.03507167324 2332),,,(4.5710266634 2896),(4.44305364315 3092),,,,,,(3.22919985755 4230),(4.02426386651 4422),,(3.99553603644 4804),,(5.0393963097 5172),(4.34455918794 5365),,,,(4.71112931609 6116),,,,(4.49436454715 6851),,(3.8962859028 7219),,,
Point0,H4,,(-5.3290705182e-15 317),,,,(0.0147234797986 1080),(-0.00199813879868 1249),,(-8.881784197e-16 1612),(2.13039179968 1805),(3.4041382505 1961),,(0.987978657646 2408),(2.86574552273 2581),(1.90820987232 2788),,,,(1.13926648043 3540),(0.992803992627 3715),,(1.82309943379 4064),(0.0376458320048 4295),(1.64661552817 4446),(2.31432567959 4640),(1.90928069652 4863),,(2.78524708318 5203),(1.9292377918 5393),(1.50430112288 5622),,,(1.6777196833 6143),(0.352579383811 6372),(1.82346212092 6525),,(0.816554440929 6895),(1.57251425984 7111),(0.167462695768 7284),(1.09130323139 7477),,
Point0,H5,,(1.45970552455 336),,,,(2.22257095033 1108),(1.83053613045 1282),,(0.65561558801 1657),(2.17552592093 1813),(3.42683833623 1967),,(1.16107627195 2418),(2.87922921229 2589),(2.06095091535 2799),,,,(1.57891203033 3554),(1.67254417921 3738),,(2.53341948087 4084),(0.314062830724 4309),(2.05796489125 4463),(2.31754110327 4644),(2.93970299675 4882),,(2.79830000991 5208),(2.25773829273 5410),(1.50637315528 5625),,,(2.17878352051 6161),(1.48360629476 6388),(3.31241710388 6556),,(0.824514058564 6900),(1.58419991272 7116),(1.04861033074 7300),(1.51927044479 7490),,
Point0,H6,(-0.0144823286675 148),(-5.3290705182e-15 317),(0.0 559),(3.99680288865e-15 744),(-0.00715289566523 926),(-0.00815554034862 1049),(-0.00199813879868 1249),(-0.00275670826194 1451),(-8.881784197e-16 1612),(-1.1990408666e-14 1689),(5.3290705182e-15 1858),(3.99680288865e-15 2033),(1.19056526021 2158),(-1.7763568394e-15 2241),(4.4408920985e-16 2434),(6.2172489379e-15 2628),(4.4408920985e-15 2818),(-0.00158712784463 3007),(1.33226762955e-15 3198),(1.7763568394e-15 3381),(3.10862446895e-15 3570),(8.881784197e-16 3760),(2.22044604925e-15 3952),(1.7763568394e-15 4131),(1.33226762955e-15 4324),(-8.85475075068e-05 4497),(-4.4408920985e-16 4710),(-3.5527136788e-15 4902),(0.0 5090),(-1.33226762955e-15 5277),(-4.10707287877e-05 5469),(-0.00419188780137 5652),(-4.4408920985e-16 5846),(4.4408920985e-15 6033),(3.99680288865e-15 6212),(-0.0105581674848 6402),(6.2172489379e-15 6579),(6.2172489379e-15 6767),(-0.00230071805609 6943),(1.33226762955e-15 7136),(5.77315972805e-15 7315),(8.881784197e-15 7505),
Point1,H1,(15.3475870473 27),(17.2445284244 228),(15.9918148336 389),(17.1076760994 588),(15.4706191608 779),(13.7837761255 956),(15.7133337251 1155),(15.1009117512 1324),(16.7789461251 1528),(16.3190441384 1723),(13.7607784989 1892),(13.2275937274 2063),(15.592870202 2272),(14.8805614869 2472),(14.7747196804 2665),(15.2391103719 2848),(14.9912917981 3036),(14.8638330244 3228),(15.6302214277 3419),(14.6745776062 3602),(15.8554411895 3789),(15.0180885603 3981),(14.432306996 4171),(15.1512007154 4362),(15.0077227987 4555),(14.9368966555 4747),(12.050376369 4937),(14.1809142327 5121),(16.4346053508 5308),(17.2641109905 5500),(17.8336479121 5690),(16.8777778739 5883),(16.6738310068 6061),(15.8827110675 6251),(15.1782053389 6434),(16.7989472959 6616),(14.8536952831 6797),(17.3697135794 6986),(14.5033219367 7168),(15.3726130261 7350),(15.727776399 7534),
Point1,H2,,,(3.72664458676 485),(6.09501322177 635),(5.1619898929 829),(-0.0118385077972 1050),(0.259231344207 1249),(6.26911421332 1369),,,(6.01222830253 1934),,,(3.51838477892 2569),,,(6.06241266559 3083),(5.18038976227 3275),,,(4.89965597268 3836),,(4.53115418511 4223),(4.87913055711 4413),,,,,(5.79707215697 5359),(6.07966472743 5549),,,(5.76660130506 6107),,(6.67852211867 6476),,(5.96777764028 6842),,,,,
Point1,H3,,,(4.17765788526 499),(6.68463144341 647),(5.21225105608 834),(1.08786542238 1077),(0.268014680008 1253),(6.79986113061 1381),,,(6.1413085636 1942),,,(3.84327275002 2583),,,(6.37435440785 3093),(5.67482459125 3286),,,(5.67031792718 3848),,(4.54794779407 4227),(5.03392151358 4420),,,,,(5.80030952736 5361),(6.17720173727 5556),,,(6.13078308167 6117),,(6.9010998483 6485),,(6.33824204122 6853),,,,,
Point1,H4,,(0.617365483902 320),(1.39565421109 535),,(2.34039540007 859),(0.647128774112 1092),(-0.0108416204587 1266),(1.10171338212 1453),(1.14650037115 1621),,,,(1.97494654124 2408),(3.12998433988 2601),(2.30649939383 2792),(1.05465587508 2988),(1.03202948097 3182),,,(1.8363748398 3711),(0.942336345221 3928),(2.57285083724 4071),(1.22896341174 4289),,,,,(1.23953370374 5259),(2.10760500745 5402),(1.27427001311 5622),,,(2.55660793138 6149),(0.969815093319 6375),(3.06530057894 6530),(0.570867937451 6740),(1.37518733145 6920),(1.43354583426 7111),(1.01836275108 7286),(1.68568790278 7479),,
