Cycle,0.659666666667
Average Width,7.47254524989
Width,,7.93461418879,8.54088246722,7.33450646966,6.11554814569,8.99984641913,6.90716040093,6.36936865674,5.24000984439,6.95709757785,7.51306664344,6.65778463968,7.20193926443,7.1402270124,9.67324796571,7.24170460236,6.748249015,6.92134241995,11.4955382571,18.1470960756,9.28904596039,0.0
Point0,H1,(7.56934422119 28),(10.3561745994 172),(9.6473633381 313),(8.39855964823 454),(9.23127969031 591),(9.62319403691 728),(10.0877869127 872),(9.62565846896 1014),(10.1733296244 1157),(9.27908651716 1294),(8.14232480397 1432),(10.3178671906 1571),(9.5043300573 1713),(8.22521549973 1855),(7.51337298082 1992),(8.21806488452 2125),(7.96692390536 2263),(8.34191207718 2404),(7.64849905254 2545),(7.35740941426 2679),(7.51110774432 2810),
Point0,H2,(1.45636351916 65),,,(2.9214763312 482),,,,,,(3.43992180699 1329),(3.43366021091 1465),(5.05244873286 1601),(3.50400402292 1757),(1.96301624348 1884),(3.59743426312 2022),,,(3.36093735003 2436),,,
Point0,H3,(2.29252064144 82),,,(3.18224804174 494),,,,,,(3.47986146301 1335),(3.52260968862 1474),(5.22352379659 1612),(3.81006528884 1774),(2.28502613577 1894),(3.70456148857 2034),,,(3.36636000924 2439),,,
Point0,H4,(0.607752125196 111),,,(0.38475894028 527),(4.13332241791 623),,(0.593274347189 967),,(3.72214034868 1186),(0.950700313973 1366),(2.26092777308 1503),(1.70240402477 1653),(1.62066972919 1798),(1.40313553456 1913),(2.28470197048 2066),(2.92720994944 2161),,(0.146914369988 2484),,,
Point0,H5,(1.19847771123 126),,,(1.03613199648 543),(4.37386294469 634),,(0.596140606485 971),,(3.9301341328 1198),(1.13479719733 1378),(2.33652331524 1511),(1.9960293105 1663),(1.73870626144 1806),(1.53985685565 1923),(2.30605116989 2071),(3.45736839249 2175),,(0.679130471149 2498),,,
Point0,H6,(6.2172489379e-15 142),(2.6645352591e-15 284),(-0.000448607111174 423),(-0.00610637289007 558),(-8.881784197e-16 698),(-3.99680288865e-15 827),(0.0 986),(-4.4408920985e-16 1114),(-2.6645352591e-15 1261),(-3.99680288865e-15 1398),(2.6645352591e-15 1536),(4.4408920985e-15 1681),(3.10862446895e-15 1824),(1.7763568394e-15 1963),(4.88498130835e-15 2095),(-4.4408920985e-16 2230),(2.22044604925e-15 2367),(0.0 2511),(-4.4408920985e-16 2645),(0.0 2780),
Point1,H1,(8.57001788305 28),(10.6156654189 170),(10.159828923 312),(10.0200385621 453),(9.46452760364 589),(10.3619722703 728),(11.0628009944 871),(11.4651852617 1015),(10.1185301363 1157),(9.67253493813 1292),(9.13838310506 1430),(10.7007925668 1572),(10.0474295396 1712),(8.30364135753 1854),(8.503983209 1990),(9.86091471583 2123),(9.74514553705 2263),(9.50112192758 2404),(8.6770549539 2542),(8.12368738666 2678),(8.22103394401 2809),
Point1,H2,(2.1248372357 67),,,(3.36401686835 483),,,,,,,,,(4.02456695643 1747),(2.08343538002 1889),(3.92420532261 2016),,,,,,
Point1,H3,(2.23409424306 77),,,(3.39980157242 489),,,,,,,,,(4.11780249127 1756),(2.19659314106 1898),(4.31774415562 2030),,,,,,
Point1,H4,(0.885306200267 112),(0.964586027762 260),(3.70727254603 353),(0.790064422749 529),(3.82412686889 624),,(0.612571477962 963),,(1.25038665797 1236),(3.39357975876 1327),(1.37006461071 1507),,(1.0510883368 1794),(0.936364428713 1925),(1.55292556356 2067),(4.1460779166 2160),(0.58153487651 2339),(1.20016521096 2481),,,
