Cycle,0.797020833333
Average Width,6.46459694039
Width,,6.80967946827,6.47341570204,6.3478871397,6.92300236726,6.47103894979,6.60609567333,6.13092014647,6.53233139148,5.67052314425,7.87576460586,6.07286553813,6.59030231004,5.39969213557,5.83132688178,7.33484955142,6.61665611979,7.04631882753,5.63397146853,12.5704832807,0.0,4.95671086664
Point0,H1,(9.90555490855 29),(10.4031719586 201),(7.94299358076 375),(6.27861526152 528),(6.93491019865 706),(9.6678391679 856),(9.24735677359 1032),(8.3907863344 1190),(5.32325028511 1256),(5.96381215169 1358),(6.03028639466 1512),(6.34797687957 1684),(5.94966985323 1851),(6.574472726 2039),(8.30418714455 2213),(9.19259538785 2386),(8.59003294295 2572),(7.13565759832 2760),(9.74973773887 2936),(7.21730607564 3122),(3.93631743554 3255),(6.37471476325 3428),
Point0,H2,,(4.00176371584 249),(4.10090849282 418),(4.14414152748 579),,,,(4.96554575734 1210),(3.31378664645 1294),(3.32256063918 1402),(5.17348933212 1526),,(1.18370691999 1916),(4.21769793774 2082),(7.85261871963 2231),(7.79824930512 2407),(3.24979112069 2645),(3.59421529777 2800),,,
Point0,H3,,(4.11958373518 257),(4.27541540941 428),(5.01080957132 596),,,,(5.20102656409 1219),(3.32382020011 1299),(3.59567853718 1421),(5.78154568806 1541),,(1.89279787801 1936),(5.04085517492 2099),(7.92669369626 2241),(8.14141482641 2420),(3.30732732656 2653),(4.29846129918 2815),,,
Point0,H4,(-3.10862446895e-15 122),(0.706711462808 304),(0.843754761443 463),(0.95198295892 635),(3.72750108951 743),,(5.59727220201 1076),,,(0.569696958192 1467),,,(-0.00029527704343 1965),(0.777954618572 2145),,(6.77893622418 2443),(0.800190175749 2685),(-0.00298660162075 2842),,,
Point0,H5,(2.9413280225 159),(1.12311931878 319),(2.04494297008 480),(0.955909652144 638),(4.09335712661 756),,(5.86446266377 1088),,,(0.572966591199 1469),,,(0.754376406442 1985),(1.15834317904 2158),,(6.79374758694 2447),(0.901699015061 2695),(3.20625751828 2892),,,
Point0,H6,(-3.10862446895e-15 122),(-6.2172489379e-15 338),(-3.99680288865e-15 498),(-0.000729258827686 655),(0.0 822),(8.881784197e-16 994),(3.99680288865e-15 1162),(4.88498130835e-15 1329),(-1.7763568394e-15 1485),(-8.881784197e-16 1644),(-0.00880480066711 1825),(-0.00029527704343 1965),(-0.00762881888569 2175),(1.7763568394e-15 2353),(2.6645352591e-15 2541),(-0.000414461459873 2720),(-0.00298660162075 2842),(0.0 3074),(-0.00144805767706 3228),(-0.169804881504 3352),
Point1,H1,(12.9806454914 29),(14.1768533082 202),(11.058582383 373),(8.65670573489 525),(9.93228475373 706),(12.7211579158 856),(13.161931278 1028),(11.5202134276 1190),(8.72101327801 1353),(8.79234366868 1513),(10.1141491593 1682),(8.68342835071 1852),(10.0073614777 2038),(11.2769014587 2209),(11.9927872216 2385),(12.749459579 2571),(11.0636713532 2759),(12.0018303538 2935),(9.30687044394 3116),(6.70369385002 3254),(9.34913467816 3429),
Point1,H2,(1.33226762955e-14 120),,(5.87791034379 417),,,,,,(4.30122494245 1396),(8.06413545578 1526),(6.86836260248 1734),(3.36430857717 1910),(5.79593370496 2085),,(11.0830183618 2407),,,,,,,
Point1,H3,(0.918592889693 134),,(6.23331874197 429),,,,,,(5.41501555592 1412),(8.76747488157 1539),(7.13631763442 1746),(3.84971556155 1924),(6.30580135026 2099),,(11.1872282292 2417),,,,,,,
Point1,H4,(0.634752981265 143),(0.991487661808 306),(0.856588568723 463),,(1.49655217486 791),,(0.94902096818 1146),,(0.214111709193 1467),(2.10531633352 1622),(1.01654527862 1796),(0.593295139304 1970),(1.78178067241 2147),,,(1.8963117254 2687),,,,,,
Point1,H5,(3.12356442017 161),(1.7912150904 320),(2.27550228377 480),,(1.5752655042 799),,(0.94933251884 1147),,(0.255013102983 1472),(2.11061866707 1626),(1.66177230566 1808),(1.47912536977 1985),(2.0587578204 2158),,,(2.12066405213 2698),,,,,,
Point1,H6,(-0.0728793711668 1),(1.33226762955e-14 120),(4.4408920985e-15 176),(2.6645352591e-15 337),(4.4408920985e-15 497),(-0.00195645861559 654),(-7.9936057773e-15 820),(-0.0016290208816 994),(-8.881784197e-15 1163),(7.9936057773e-15 1328),(-8.31301720847e-05 1482),(6.2172489379e-15 1648),(-0.0122853299441 1824),(-3.10862446895e-15 2003),(-0.00703749364088 2175),(-8.881784197e-16 2352),(-5.3290705182e-15 2542),(-0.000977188090183 2722),(6.2172489379e-15 2844),(1.7763568394e-15 3073),(-2.6645352591e-15 3223),(-0.0102577159062 3372),
Point2,H1,(14.4164159753 30),(14.8382951229 202),(12.8648603983 372),(10.4825085187 525),(10.4600844131 705),(14.060629188 856),(14.6782381093 1029),(12.8312204706 1190),(9.50343161586 1353),(9.36550212217 1512),(11.0010728974 1682),(10.8181929468 1850),(11.1460633218 2037),(12.0213105752 2207),(13.8625090299 2385),(13.8009474865 2570),(12.7335824957 2758),(12.3666569117 2935),(10.8898946596 3100),(7.78028951887 3254),(10.5097421067 3427),
Point2,H2,,(6.29697215076 254),(6.66498023727 417),,,,,,(3.5566553826 1397),(7.9645360514 1526),(7.45509820635 1732),(4.5390346542 1914),(6.59569791026 2082),,(12.2074882878 2410),,,(7.01642425243 2978),(10.4208524396 3110),,,
Point2,H3,,(6.32188062236 259),(7.06268640294 429),,,,,,(5.35361727053 1414),(9.02840496532 1541),(8.235283636 1747),(4.69982759797 1923),(7.2188675901 2097),,(12.2965107114 2418),,,(7.04865100288 2986),(10.6612931839 3120),,,
Point2,H4,(5.3290705182e-15 121),(0.907724616346 303),(1.29237915497 465),,,,,,(0.0686728243264 1462),,(1.55673427654 1796),(1.04399580611 1970),(1.82831656672 2148),,,(2.0533712767 2688),,(1.36012593449 3039),,,,
