Cycle,0.830600790514
Average Width,6.17527979794
Width,,5.563412391,6.04641643508,7.13509307354,6.45549172001,6.25741039476,6.64625501476,7.09885890172,6.15118274225,6.30823630525,5.93577606533,6.72094881771,6.3038799506,5.83815962477,5.98515161368,6.48434076844,6.10902975484,6.33866329324,5.91807157687,6.22743893019,5.81376054422,6.01308624635,5.89802249195,6.00959567713
Point0,H1,(10.6465610061 143),(12.6535938262 318),(14.4210966824 493),(13.2814755721 671),(13.8802541002 847),(14.574080897 1024),(14.1888920547 1198),(13.7042411623 1372),(13.7088872342 1549),(12.3617487635 1727),(15.6919114738 1891),(12.3120158129 2053),(12.7261312491 2222),(13.5227001499 2394),(14.1534049457 2568),(14.1812098901 2745),(14.9679857429 2919),(14.5794865209 3092),(14.4180540555 3267),(12.588963503 3444),(12.9558423843 3627),(13.6855509552 3795),(13.080213539 3973),
Point0,H2,,(0.0 346),,,(5.3290705182e-15 886),,,(-1.7763568394e-15 1404),(-0.00827872848146 1582),,,(1.95399252334e-14 2087),(7.1054273576e-15 2254),,,,,,,,(-0.00117006167341 3657),,,
Point0,H3,,(10.156981645 400),,,(8.28813380018 934),,,(8.15509310487 1451),(0.305947851055 1593),,,(8.10177182602 2141),(9.53531918127 2312),,,,,,,,(10.5860972435 3736),,,
Point0,H4,(-0.00609017320728 174),(9.0511524746 419),(-0.00179198093413 525),(1.7763568394e-15 705),(8.12820434686 944),(1.7763568394e-15 1060),(1.7763568394e-15 1229),(8.14523027292 1454),(0.300847710791 1595),(-8.881784197e-16 1759),(1.24344978758e-14 1928),(8.08391389996 2146),(9.52063707189 2318),(1.7763568394e-15 2424),(1.7763568394e-15 2601),,(-0.00240770105987 2954),(0.0 3127),,(8.881784197e-15 3479),(10.5713407522 3740),(1.7763568394e-15 3830),,
Point0,H5,(10.8529003544 290),(13.8474765668 467),(11.1638585449 642),(8.86001304301 754),(13.2536757271 995),(12.2702221032 1172),(12.8789721622 1345),(12.2506694973 1523),(10.9975294203 1700),(13.6123688683 1862),(11.7358212458 2017),(12.2655077923 2188),(12.9989784764 2375),(12.4045697804 2524),(13.9736823223 2719),,(12.3503081905 3059),(11.9736641102 3233),,(12.472967878 3606),(11.9428186903 3762),(9.64005076288 3880),,
Point0,H6,(-0.00609017320728 174),(0.0 346),(-0.00179198093413 525),(1.7763568394e-15 705),(5.3290705182e-15 886),(1.7763568394e-15 1060),(1.7763568394e-15 1229),(-1.7763568394e-15 1404),(-0.00827872848146 1582),(-8.881784197e-16 1759),(1.24344978758e-14 1928),(1.95399252334e-14 2087),(7.1054273576e-15 2254),(1.7763568394e-15 2424),(1.7763568394e-15 2601),(0.0 2778),(-0.00240770105987 2954),(0.0 3127),(1.42108547152e-14 3303),(8.881784197e-15 3479),(-0.00117006167341 3657),(1.7763568394e-15 3830),(-0.00349036392769 4008),
Point1,H1,(6.20110157978 141),(7.66734158866 319),(8.78505790175 493),(8.64974567573 671),(8.95171655617 849),(9.64590963515 1024),(9.08998685475 1198),(8.90105584763 1371),(9.14392464251 1549),(7.2943379898 1727),(11.3150718514 1890),(9.84526600489 2055),(9.01773937475 2186),(9.27842182347 2395),(9.6222101783 2568),(9.95878408494 2719),(9.52173185438 2919),(10.0568614848 3093),(10.4442481842 3266),(8.685776192 3413),(9.38258420615 3627),(9.47044404605 3794),(9.02768087796 3972),
Point1,H2,(-6.2172489379e-15 175),,,,(-8.881784197e-16 886),(8.881784197e-15 1059),,(1.15463194561e-14 1403),,,,,,,(-3.5527136788e-15 2601),(9.7217958529 2735),,,(-6.2172489379e-15 3303),(8.21265578131 3428),,(-7.1054273576e-15 3830),,
Point1,H3,(6.23624581886 269),,,,(5.48303449623 934),(6.08513366068 1110),,(5.67918586878 1450),,,,,,,(6.66641344172 2649),(9.85950442184 2744),,,(5.7019983162 3348),(8.49040615968 3443),,(6.81773165947 3884),,
Point1,H4,(6.2350596383 272),,(1.15463194561e-14 527),,(5.45508394701 941),(5.94677462704 1121),(2.6645352591e-15 1229),(5.64095492598 1456),(-0.0072924864637 1583),,,(-0.00292076428384 2088),,(3.5527136788e-15 2424),(6.60819395678 2656),(-0.0018886232677 2782),(-8.881784197e-16 2954),(-2.6645352591e-15 3127),(5.23258149896 3361),(0.0 3479),(0.0 3657),(6.81655724821 3887),,
Point1,H5,(6.68015394759 290),,(7.76993252702 645),,(8.37472749763 993),(8.18119410201 1172),(8.58759411603 1346),(8.41717525171 1504),(6.80482573173 1701),,,(6.57446946635 2136),,(8.72119404773 2523),(7.53497645731 2680),(7.61069833012 2874),(8.65650496075 3058),(8.04364398032 3207),(7.32326849354 3385),(9.28426713812 3604),(8.26844507976 3760),(7.30712836335 3909),,
Point1,H6,(-0.0188122861031 1),(-6.2172489379e-15 175),(-9.7699626167e-15 347),(1.15463194561e-14 527),(1.7763568394e-15 706),(-8.881784197e-16 886),(8.881784197e-15 1059),(2.6645352591e-15 1229),(1.15463194561e-14 1403),(-0.0072924864637 1583),(0.0 1760),(4.4408920985e-15 1928),(-0.00292076428384 2088),(4.4408920985e-15 2254),(3.5527136788e-15 2424),(-3.5527136788e-15 2601),(-0.0018886232677 2782),(-8.881784197e-16 2954),(-2.6645352591e-15 3127),(-6.2172489379e-15 3303),(0.0 3479),(0.0 3657),(-7.1054273576e-15 3830),(-5.3290705182e-15 4008),
Point2,H1,(25.8576162824 33),(25.372346244 213),(25.0118385995 380),(25.4695942568 558),(24.5837840102 741),(25.2466573361 919),(23.6104496361 1094),(23.7283708159 1263),(23.7684629925 1436),(23.7619320902 1617),(23.4758136214 1794),(19.6708024918 1960),(20.2754456027 2121),(22.891720386 2291),(22.7819816621 2458),(23.2485049685 2633),(22.6953140726 2811),(23.7781720957 2986),(23.0085519755 3160),(22.9425615989 3336),(22.3078126534 3512),(22.4008390884 3690),(22.1411567193 3864),(25.0590562135 4040),
Point2,H2,,,(4.93449157283 474),,,,,,,,,,(5.3931718608 2170),,,,,(4.83387954582 3065),,,,(6.29498283743 3738),,
Point2,H3,,,(5.19092139848 483),,,,,,,,,,(6.02358434605 2183),,,,,(4.87559659125 3070),,,,(6.55063558608 3746),,
Point2,H4,(2.92243472131 148),(2.10267307885 324),(3.38721988759 500),,,(2.06096516391 1025),,(2.29170379188 1382),(2.02863130749 1555),(2.49202232518 1731),,(0.496670579138 2047),(2.54295317805 2227),,(2.54338616941 2559),(1.17934942997 2752),(3.98679342998 2908),(2.16978745574 3093),,(4.04479373468 3416),(0.612901920692 3637),,,
Point2,H5,(3.1794292007 157),(2.44841265075 334),(4.24325694482 511),,,(2.56637612866 1037),,(2.36758642167 1389),(3.15524611271 1568),(2.94615505439 1742),,(0.89220986865 2061),(2.91811050258 2238),,(2.59337030387 2565),(1.3247772906 2763),(4.01495267725 2913),(2.80627444139 3105),,(4.10473501692 3422),(1.03760315976 3648),,,
Point2,H6,(1.06581410364e-14 176),(-1.95399252334e-14 350),(-2.48689957516e-14 528),(-1.7763568394e-14 703),(-1.06581410364e-14 881),(-3.5527136788e-15 1058),(1.7763568394e-15 1232),(-0.000349438093394 1406),(1.42108547152e-14 1584),(1.95399252334e-14 1759),(1.50990331349e-14 1922),(6.2172489379e-15 2085),(-0.00857966721251 2255),(1.24344978758e-14 2427),(1.24344978758e-14 2603),(3.5527136788e-15 2779),(7.1054273576e-15 2956),(-0.00408194753579 3124),(1.15463194561e-14 3300),(8.881784197e-16 3475),(4.4408920985e-15 3660),(4.4408920985e-15 3826),(5.3290705182e-15 4003),
Point3,H1,(14.4883270233 37),(14.1235621098 214),(12.9781026538 382),(13.7329477556 560),(14.3035104849 743),(16.0508116485 921),(12.8390911165 1097),(14.7859801478 1265),(16.8303263049 1436),(15.5000105071 1619),(16.2980466743 1796),(16.3165501726 1963),(19.4130296811 2121),(18.8392486083 2291),(16.542767468 2459),(16.7875784841 2634),(17.8249068338 2812),(18.3383215414 2988),(18.2965772103 3161),(18.0478752308 3337),(18.6468672713 3514),(18.7435288272 3691),(17.4692102646 3865),(17.9854054714 4041),
Point3,H2,(3.50782723102 121),,,,(2.90190313677 817),(3.71235217906 972),,,(3.49193149839 1531),,,,,,(5.97927302342 2509),(2.46825853488 2729),,,,(5.22050936124 3391),,(5.55862146917 3740),,
Point3,H3,(3.66276290153 130),,,,(3.31991577729 832),(3.83652435553 980),,,(3.53887098797 1537),,,,,,(6.04509083788 2515),(2.90677885365 2741),,,,(5.22387525078 3394),,(5.63801718591 3746),,
Point3,H4,(1.80282666241 152),(1.48584203628 314),,(1.7426620878 671),(1.99629727711 852),(0.930863009012 1028),(0.786279583454 1203),(1.67003982563 1386),(1.69457637756 1560),(2.22489378558 1733),,(1.7085520397 2049),(7.07120932186 2175),,(1.36689842583 2562),(1.31309681222 2763),,(2.19552853299 3094),(2.18603564648 3259),,,,,
