Cycle,0.8125
Average Width,0
Width,,8.91377316798,4.62270054984,6.19674918897,6.05383930927,9.4826854933,0.0,12.3718653415,9.55467349725,5.37128990561,0.0,9.05836588288,0.0,6.61228176487,0.0,11.8512977353,8.13252613777,8.55504869473,6.5722202808,5.44388109799,5.42636987349,5.650371564,6.105482568,5.72642033306
Point0,H1,(8.43387730594 39),(6.53219561066 216),(6.54841881704 402),(5.4783948209 569),(5.42578466543 724),(6.76640305839 916),(6.36302622535 1096),(6.4178181853 1261),(6.10776261695 1422),(6.32335576924 1572),(5.48465982587 1746),(6.7062515249 1918),(4.40414862592 2066),(7.11415182132 2250),(7.52159703577 2386),(6.17701055075 2581),(6.95791142362 2740),(6.91756453884 2927),(5.24977520068 3111),(5.52562823864 3262),(6.91904650304 3442),(5.84510954529 3632),(7.16097404815 3782),
Point0,H2,(7.66634660081 53),,,,,,,(2.66682479184 1290),,,,,,,(5.38241472379 2407),,(6.23189169563 2763),,,(4.9506664582 3280),(1.61559850069 3506),,,
Point0,H3,(7.90280513328 63),,,,,,,(2.96939183766 1303),,,,,,,(5.77757292582 2420),,(6.25106332099 2769),,,(5.24647685645 3292),(2.22033419449 3521),,,
Point0,H4,,(1.22466904546 290),,,,(1.68753899743e-14 996),(-0.00378543484045 1184),(-3.5527136788e-15 1332),(3.51184459338 1455),(-4.4408920985e-15 1679),(2.6645352591e-15 1847),,(-9.32587340685e-15 2177),,(3.67517111043 2469),,(9.7699626167e-15 2853),(-0.000891746229626 3026),,,(-1.28785870857e-14 3550),,,
Point0,H5,,(1.97977373683 308),,,,(0.435882514867 1013),(5.81350123226 1233),(6.07849670528 1384),(4.68541724516 1473),(5.32616815164 1721),(6.35065970922 1893),,(5.38630343821 2216),,(3.68032046579 2473),,(6.75920989847 2904),(4.3885036069 3077),,,(5.77427226789 3603),,,
Point0,H6,(-0.269628980695 4),(-0.00580179920123 161),(-0.00555843456488 338),(-0.00567832256358 499),(-0.00143132834853 676),(-2.6645352591e-15 854),(1.68753899743e-14 996),(-0.00378543484045 1184),(-3.5527136788e-15 1332),(-2.6645352591e-15 1518),(-4.4408920985e-15 1679),(2.6645352591e-15 1847),(4.4408920985e-15 2015),(-9.32587340685e-15 2177),(-3.5527136788e-15 2349),(-8.881784197e-16 2520),(-0.000417994968557 2683),(9.7699626167e-15 2853),(-0.000891746229626 3026),(-1.06581410364e-14 3202),(-0.000943722420672 3377),(-1.28785870857e-14 3550),(-6.66133814775e-15 3713),
Point1,H1,(12.4705733803 68),(12.4942838209 220),(10.6144126014 403),(10.6366176202 580),(8.67482744013 740),(9.74132144372 946),(9.69710008541 1090),(9.8125886779 1255),(11.9331040955 1408),(8.99981438265 1598),(10.2912988979 1740),(7.67048585692 1915),(8.48708235353 2079),(7.91834859521 2277),(10.4983359452 2418),(9.42222515129 2606),(10.1217075764 2761),(10.9443944904 2931),(11.3203518525 3092),(11.3663190678 3269),(10.8363433659 3444),(10.039315114 3627),(12.6643669391 3801),
Point1,H2,,(0.141047693175 323),(9.17024010658 421),,(0.448660885046 839),(2.85619919726 992),(8.86519418725 1108),,,,,(7.17823573616 1934),,,(2.8740777948 2499),,,,,,,,,
Point1,H3,,(0.665367015718 336),(9.33640780945 430),,(0.70488348202 848),(2.97165572477 1000),(9.26087479649 1122),,,,,(7.31399527107 1946),,,(3.1187994685 2508),,,,,,,,,
Point1,H4,,(3.5527136788e-15 348),(5.3290705182e-15 516),(1.82273808031 660),(-1.06581410364e-14 862),,,(3.08206765217 1329),,(-8.881784197e-15 1679),(-1.7763568394e-15 1847),,(8.881784197e-16 2190),,(1.7763568394e-15 2528),(7.9936057773e-15 2701),,(1.65848186268 3012),,,,(-0.00859660678396 3735),,
Point1,H5,,(8.99308372623 376),(9.83999954501 551),(1.98656787435 668),(7.93339696811 915),,,(3.36179859162 1339),,(8.30282585905 1708),(4.85904326482 1877),,(7.58453562304 2242),,(5.46876466956 2553),(6.92160727793 2730),,(1.73305752315 3019),,,,(10.9654520596 3771),,
Point1,H6,(-0.256689767364 3),(-0.00945769143482 176),(3.5527136788e-15 348),(5.3290705182e-15 516),(-1.24344978758e-14 687),(-1.06581410364e-14 862),(4.4408920985e-15 1023),(-1.50990331349e-14 1197),(-8.881784197e-16 1359),(-1.7763568394e-15 1520),(-8.881784197e-15 1679),(-1.7763568394e-15 1847),(1.24344978758e-14 2015),(8.881784197e-16 2190),(-9.7699626167e-15 2352),(1.7763568394e-15 2528),(7.9936057773e-15 2701),(-0.00185774520736 2866),(1.7763568394e-15 3037),(-8.881784197e-15 3213),(-1.7763568394e-15 3389),(-8.881784197e-15 3565),(-0.00859660678396 3735),
Point2,H1,(13.8068561055 70),(17.7406246744 216),(13.7104366728 376),(14.2014081342 552),(14.7680591989 734),(10.7921931981 910),(12.7382922806 1061),(11.5475715099 1226),(14.1117924525 1403),(12.2142951812 1572),(12.5797254765 1743),(11.3467748746 1908),(12.6414091378 2067),(12.4790436471 2240),(14.6365215034 2414),(13.7213613082 2578),(13.5043844331 2756),(14.3628166557 2929),(15.8623573448 3089),(15.4200821772 3267),(15.7648906116 3442),(15.0708034814 3618),(14.8681413796 3793),
Point2,H2,,,(12.5650438701 388),(13.246970585 565),,(8.73396586097 929),(10.5088448791 1105),,(3.4585018921 1491),(11.4136312585 1589),,,,(9.97932454437 2261),,(11.0762109128 2597),,,,,(1.04422744005 3544),,,
Point2,H3,,,(13.6431603019 402),(13.5755792892 576),,(10.6936087589 946),(11.0989280206 1119),,(3.61739483285 1499),(11.5737655714 1598),,,,(10.3875744921 2273),,(11.3710521427 2607),,,,,(1.07299645611 3548),,,
Point2,H4,,,(11.4037954733 423),(2.10945622114 659),(2.04281036531e-14 862),(3.33214770957 992),,,(-1.42108547152e-14 1519),,(-3.5527136788e-15 1850),,(6.2172489379e-15 2187),,,(2.6645352591e-15 2700),(1.59872115546e-14 2864),(3.30841377351 3011),,,(5.3290705182e-15 3562),(-8.881784197e-15 3736),,
Point2,H5,,,(11.4242719695 427),(2.27021409604 667),(10.204200069 892),(3.62520297233 1002),,,(10.3800134898 1547),,(9.19651017852 1880),,(11.3693648483 2220),,,(12.6117214701 2729),(14.073044836 2906),(3.37200551349 3017),,,(13.9199370039 3592),(14.3850218933 3769),,
Point2,H6,(-0.127520561517 2),(-1.06581410364e-14 175),(8.881784197e-16 348),(-8.881784197e-15 514),(-0.00342705895994 687),(2.04281036531e-14 862),(8.881784197e-16 1024),(7.9936057773e-15 1195),(-0.0029984267393 1357),(-1.42108547152e-14 1519),(-7.1054273576e-15 1679),(-3.5527136788e-15 1850),(9.7699626167e-15 2014),(6.2172489379e-15 2187),(-4.4408920985e-15 2351),(-7.1054273576e-15 2525),(2.6645352591e-15 2700),(1.59872115546e-14 2864),(0.0 3038),(3.5527136788e-15 3213),(0.0 3389),(5.3290705182e-15 3562),(-8.881784197e-15 3736),
Point3,H1,(14.8714941694 60),(11.5606305923 230),(12.2563562686 409),(13.2541082446 583),(15.1339581866 792),(15.0749709716 915),(14.4203670384 1091),(12.712051103 1256),(12.1514880481 1426),(16.1765953266 1584),(14.5304971087 1784),(15.1280882145 1918),(12.1528419645 2123),(14.428684019 2246),(15.6840323971 2433),(13.6072092157 2587),(13.646601922 2776),(13.2249497789 2921),(13.7271357256 3103),(13.213403423 3291),(12.4673491 3470),(13.1947436364 3636),(13.1587245134 3806),
Point3,H2,,(10.0650479343 273),,(10.0211383501 628),(13.9828666527 811),,,(10.282490414 1283),(11.4614655501 1447),,,(14.675737666 1933),(11.1048731073 2140),(13.8130040155 2265),,,,,(9.76957735763 3165),(8.86662306133 3341),(9.19690434798 3507),,,
Point3,H3,,(10.1194595456 280),,(11.1015605941 647),(14.287270918 820),,,(10.3457804576 1290),(11.4618324812 1448),,,(14.872650681 1944),(11.3292360244 2148),(13.9968161359 2279),,,,,(9.81319853373 3171),(8.97364724391 3349),(9.7896377535 3523),,,
Point3,H4,,(9.06909986608 300),(10.2179283739 455),(1.59872115546e-14 682),,,(11.3856819271 1147),,(11.195668146 1464),,,(-0.00916456618413 2015),,(7.1054273576e-15 2351),(12.9962624039 2478),,,,(-7.1054273576e-15 3210),(-0.00219611094609 3384),(-1.06581410364e-14 3556),,,
Point3,H5,,(9.48444561644 310),(10.4290021308 470),(14.9858997501 761),,,(11.581115947 1155),,(11.7642992279 1477),,,(11.8483709235 2086),,(13.717578887 2396),(13.1220411881 2485),,,,(12.7493948518 3265),(11.4192055841 3437),(11.9995631469 3604),,,
Point3,H6,(-0.194253956145 2),(3.19744231092e-14 171),(1.24344978758e-14 342),(1.24344978758e-14 512),(1.59872115546e-14 682),(1.42108547152e-14 851),(-1.95399252334e-14 1022),(-1.95399252334e-14 1186),(-1.86517468137e-14 1348),(0.0 1513),(1.7763568394e-15 1680),(-1.42108547152e-14 1844),(-0.00916456618413 2015),(3.5527136788e-14 2178),(7.1054273576e-15 2351),(-1.24344978758e-14 2521),(1.7763568394e-15 2691),(8.881784197e-15 2862),(3.5527136788e-15 3031),(-7.1054273576e-15 3210),(-0.00219611094609 3384),(-1.06581410364e-14 3556),(-3.5527136788e-15 3730),
