Cycle,0.788101851852
Average Width,6.10728588519
Width,,7.14293036081,6.59996528355,6.39976738062,7.16261141804,7.43541077827,7.63261966099,6.95483797769,7.15850789466,6.78783122691,6.1239678783,6.69322520771,6.73778569452,5.03649161096,5.31881648879,5.20322660227,5.83345552857,5.64304615642,5.5809838819,5.41071845797,5.4089423771,5.36736642034,5.87401269898,5.83834582121,6.2198594553,6.20818239829,6.3992695063,6.618001102,6.2399199658
Point0,H1,(19.2343168249 31),(17.2641993577 175),(23.2893046642 321),(24.1915238931 481),(23.9388735637 645),(24.5217749674 821),(23.5660118425 996),(22.8859397921 1174),(21.4965086089 1339),(22.3316411486 1505),(24.5002485075 1680),(22.6705504659 1854),(16.024054845 2013),(21.2158235021 2176),(18.3745340665 2337),(21.4340689462 2501),(20.0214329121 2669),(21.638810667 2831),(20.0935667236 2991),(20.6926128316 3159),(19.8622448878 3314),(21.1161003202 3485),(22.3472347299 3649),(21.6897959778 3811),(19.8373044075 3971),(18.3345996494 4125),(22.1312258853 4276),(19.7782078258 4431),
Point0,H2,(6.90851447112 55),(4.65582751332 201),,,,,,(10.134774391 1203),,(10.5051338371 1532),(10.9533082633 1703),(9.44799225947 1878),,(11.4526068012 2198),,(10.3579040642 2541),(8.31008641591 2693),(11.8821521074 2854),,,,(11.1565694038 3511),,,(9.20094125261 4006),,(10.6209054347 4311),,
Point0,H3,(9.71029726803 75),(8.94072186688 223),,,,,,(12.889573354 1222),,(11.356525231 1550),(12.5405192418 1718),(11.2016496988 1893),,(12.2500736285 2209),,(10.8610969696 2552),(10.2478443352 2708),(12.3652128603 2863),,,,(11.9818551787 3523),,,(9.73404333359 4018),,(11.0120739607 4321),,
Point0,H4,(2.23544491408 105),(1.9269485023 267),(2.35549068488 406),,,,,(3.77694121043 1272),,(3.11588985373 1606),(1.64830409875 1784),(3.33441855148 1934),,(6.09748960262 2256),,(3.36700415148 2590),(2.87749064277 2763),(2.70199111052 2920),,,,(3.85128359493 3567),,,(1.50965166479 4057),,(2.06881457863 4363),,
Point0,H5,(3.0379222807 119),(3.3200866037 281),(2.93627507015 419),,,,,(4.23313714649 1284),,(3.64192457249 1620),(2.3439014172 1799),(4.57000015025 1956),,(7.29680126926 2271),,(4.36184855705 2610),(2.98044935564 2771),(2.9149039822 2931),,,,(4.9361134338 3583),,,(2.26942603241 4071),,(2.64338032198 4376),,
Point0,H6,(-0.0616541103346 2),(3.5527136788e-14 148),(1.42108547152e-14 296),(1.95399252334e-14 452),(5.3290705182e-15 618),(1.42108547152e-14 793),(1.7763568394e-15 969),(3.01980662698e-14 1145),(2.30926389122e-14 1306),(8.881784197e-15 1479),(-0.00556492777082 1654),(1.7763568394e-15 1821),(-4.4408920985e-15 1981),(7.1054273576e-15 2152),(7.1054273576e-15 2313),(1.24344978758e-14 2473),(7.1054273576e-15 2636),(1.24344978758e-14 2797),(5.3290705182e-15 2957),(8.881784197e-15 3130),(2.13162820728e-14 3289),(1.59872115546e-14 3451),(2.13162820728e-14 3623),(1.95399252334e-14 3785),(-0.0142837346471 3946),(1.7763568394e-14 4091),(5.3290705182e-15 4249),(-0.00209024712947 4402),
Point1,H1,(21.5525941535 31),(20.120134444 176),(27.8928682802 322),(27.3420061233 482),(26.6378919858 646),(27.1814683261 822),(26.4577252798 997),(26.1966216853 1174),(26.4682075754 1340),(29.2469547699 1506),(29.8628834791 1680),(28.1492996146 1855),(25.2988261997 2014),(28.7421723476 2178),(26.1186668663 2338),(27.6126964587 2502),(26.6776022158 2670),(29.0242590443 2832),(27.8015496164 2992),(28.3850894094 3159),(27.209296358 3315),(27.2685257428 3486),(28.0980415041 3650),(25.8868186585 3812),(23.759525552 3972),(22.0599934584 4126),(25.7046131951 4277),(23.9471743662 4431),
Point1,H2,(6.24279778176 56),(5.39660479663 202),(10.3915282174 373),(4.01825841151 565),,,,(12.1032596532 1205),,(12.1350419233 1533),(11.9828323536 1703),(11.3137461885 1878),,,,(13.5501418307 2541),(10.3151726577 2694),(16.5826750864 2855),,,,(13.9078521165 3513),,,(10.8967926629 4005),,(12.3159029752 4313),,
Point1,H3,(10.5714880167 77),(10.1342278805 224),(10.3951555557 375),(4.56117648895 576),,,,(14.9562631511 1224),,(13.4096729359 1552),(14.5756227613 1720),(15.3545314735 1897),,,,(14.2933226854 2552),(13.3444385563 2711),(17.0195557818 2863),,,,(15.0367953169 3525),,,(11.9551390739 4019),,(12.8117691304 4324),,
Point1,H4,(1.27970437076 106),(1.56594112051 268),(3.04282359277 409),(4.17416971522 587),,,,(4.51083302604 1273),,(3.61250831527 1608),(2.32765459888 1783),(4.69666625418 1934),,,,(4.45614433375 2589),(3.90268889445 2764),(3.75381716965 2921),,,,(5.08285877368 3567),,,(1.63057538706 4058),,(3.10369220984 4363),,
