Cycle,0.734635416667
Average Width,5.51261813559
Width,,0,0,0,0,0,7.42338751429,7.09835569571,7.13223453785,6.36315151106,5.55223909436,5.23307021386,5.29957289316,5.61436532187,4.52416875798,5.12623395973,5.10890042031,5.08077429324,5.17549277458,5.28397522829,5.07322386888,5.06282410267,4.92443936152,5.15500280454,5.56855750695,5.00895094541
Point0,H1,(20.755925025 27),(19.5266871799 173),(22.9902250941 327),(21.2515874703 481),(20.547756972 633),(22.0908848156 786),(21.9253120963 939),(21.0763119602 1099),(20.9734958318 1254),(21.5009186504 1412),(19.0824590691 1573),(16.9204426918 1728),(19.3020773538 1879),(13.3135938504 2026),(17.0641390076 2183),(16.6650043188 2329),(17.465894552 2487),(17.504544613 2634),(17.9673982425 2792),(15.1388804231 2936),(16.6852110269 3093),(14.8829788172 3246),(15.6259929159 3397),(19.1383142345 3553),(15.3861033874 3706),
Point0,H2,(10.1411315778 63),(9.27886650718 208),(11.997723953 349),(11.9564729459 516),(9.4383777685 672),(12.0599143312 820),,(9.56898984369 1137),(7.16502222256 1281),(8.85493544341 1440),(8.16120573655 1597),,(8.99723643678 1902),(6.78409144194 2064),(7.00236013217 2208),(6.58782872762 2364),(9.26835710703 2509),(6.29679784388 2671),(7.01317655643 2829),,(4.86626764406 3118),,(6.38014912537 3419),,,
Point0,H3,(10.8958462632 75),(9.53779782526 217),(12.5439820434 357),(11.9605723597 519),(9.51879266456 678),(13.15191311 834),,(11.2587298773 1152),(7.46594169284 1290),(9.57527666409 1455),(9.68946992355 1617),,(9.75463009285 1913),(7.41557617976 2078),(9.10205563572 2233),(7.04487326034 2376),(10.0407832829 2521),(8.29177878618 2690),(7.38052663209 2841),,(6.58405108564 3144),,(8.9022486106 3439),,,
Point0,H4,(1.75499296216 113),(1.3215391718 252),(3.88997382549 416),(3.25214926648 579),(1.34808268805 719),(4.29392083483 882),(4.40732985917 1041),(1.09165552378 1183),(0.753641895643 1342),(1.83897356728 1503),(2.9525950864 1664),,(1.38957049572 1968),(1.64059089514 2110),(3.7474054836 2266),(0.761778255197 2412),(3.57004241278 2579),(2.25114202242 2739),(1.70296618542 2882),(-0.00359594511631 3025),(5.3290705182e-15 3186),(2.0359681046 3326),(1.5544895044 3486),(1.32432562844 3647),,
Point0,H5,(4.14209956115 129),(2.64544510688 267),(4.68408595922 430),(3.73102614843 590),(4.26296268428 737),(5.72369175753 895),(5.2804299453 1054),(2.35130295679 1199),(3.15504908162 1361),(3.27214389512 1520),(4.51115262658 1680),,(3.2491256561 1985),(2.39429330296 2126),(4.50992545248 2284),(1.77679070217 2428),(3.7783130505 2588),(2.88280461249 2751),(2.90486297988 2896),(1.13348840976 3042),(1.51043837763 3204),(2.92471962962 3341),(5.58932744916 3506),(3.29252418004 3665),,
Point0,H6,(-1.33226762955e-14 145),(-1.24344978758e-14 298),(-3.5527136788e-15 449),(2.6645352591e-15 607),(-0.0112828162487 753),(-3.5527136788e-15 913),(-1.06581410364e-14 1073),(-8.881784197e-16 1223),(3.5527136788e-15 1379),(-4.4408920985e-15 1540),(-4.4408920985e-15 1698),(3.5527136788e-15 1851),(8.881784197e-16 2001),(5.3290705182e-15 2156),(3.5527136788e-15 2304),(-4.4408920985e-15 2456),(3.5527136788e-15 2607),(-1.7763568394e-15 2767),(0.0 2912),(-0.00359594511631 3025),(5.3290705182e-15 3186),(6.2172489379e-15 3366),(1.7763568394e-15 3523),(2.6645352591e-15 3680),(6.2172489379e-15 3783),
Point1,H1,(20.9034962804 27),(19.6948384451 174),(22.5096203833 327),(20.1046335274 482),(20.6878657712 633),(22.0357217764 787),(22.1802814521 940),(21.7078965222 1099),(23.1517122097 1254),(27.1429200671 1413),(26.5254572757 1573),(24.0731642983 1728),(27.2702399658 1879),(25.4416780618 2026),(26.9682380739 2183),(25.987529446 2330),(27.9401611151 2486),(26.9461418247 2635),(28.302423151 2792),(24.7827244171 2937),(26.8117566829 3093),(25.1375334859 3246),(25.1643459096 3397),(28.915585269 3553),(25.5746881818 3706),
Point1,H2,(10.4678746806 64),(9.61574518484 209),(12.6926450991 349),(11.8969297212 515),(9.42931308675 672),(12.2253472044 820),,(10.198822151 1137),(8.87192164939 1281),(11.6641199227 1441),(11.7024149547 1598),(8.64442202322 1758),(12.8146082043 1903),(11.3668261424 2065),(11.1495386237 2207),(10.3867120665 2362),(13.5953224558 2510),,(11.5398188711 2825),(10.9187813564 2978),(10.6761643932 3118),(12.7598278914 3282),(9.41783104247 3420),,
Point1,H3,(11.3852128406 76),(9.93467668827 218),(12.9755022331 356),(11.9104917348 518),(9.44952868484 675),(13.2014042998 834),,(11.7247825552 1151),(9.24145142617 1292),(13.2529737682 1457),(13.9428205299 1619),(12.7596894054 1777),(13.3079081315 1912),(12.5652085685 2078),(13.0554660199 2232),(11.6014567009 2376),(14.4007186042 2520),,(12.5837236412 2841),(11.0158122429 2984),(11.650071866 3131),(13.1170460313 3291),(13.1335709324 3440),,
Point1,H4,(2.16873855821 112),(1.95790115617 253),(2.75890500937 418),(3.77942459446 566),(1.18149448402 718),(3.75483914582 881),(4.71253892372 1039),(0.990837338968 1183),(1.55526886691 1343),(3.06930822174 1503),(4.21112891246 1664),(1.52783525126 1808),(2.39747758284 1968),(2.89057357222 2111),(4.79044395643 2270),(1.36553529455 2414),(4.49962020245 2579),,(2.43901611175 2881),(1.08753690285 3024),(1.0151145495 3185),(2.57256979289 3327),(1.89428541952 3488),,
