Cycle,0.889610576923
Average Width,5.31552005368
Width,,5.19471421953,5.48686609652,5.17303341057,5.32581778326,5.40165047186,5.44287992319,5.5322422887,5.49671941432,5.30381187466,5.38289437395,5.65088105542,5.39566368105,4.91710587166,5.26309443094
Point0,H1,(6.48432643329 26),(10.9815265508 236),(7.39855816485 432),(7.74619275372 624),(8.33151907323 829),(7.50798552193 1018),(8.92096584377 1231),(7.49659879864 1421),(6.90011429598 1609),(6.75095158379 1805),(8.62088119897 2016),(5.56563626859 2201),(1.65090564468 2323),(5.47079716472 2415),(3.51324900761 2492),(6.04207599611 2610),(5.50934461984 2791),
Point0,H2,,,,,,,,(-0.00437239308283 1519),,,,(0.882930824515 2249),,,,,
Point0,H3,,,,,,,,(0.00387783895891 1523),,,,(1.64159881564 2262),,,,,
Point0,H4,,(1.01090728382 350),,,,,,(-0.0763909787963 1534),,,(-0.0103730051296 2133),(-7.77156117238e-15 2281),(-0.319925365339 2344),,(1.82169930594 2531),,
Point0,H5,,(1.66095238327 371),,,,,,(1.38314327465 1557),,,(1.41097452219 2150),(1.19009746828 2300),(0.49940959434 2359),,(2.16769397898 2544),,
Point0,H6,(-1.38242522658 110),(-0.018472035739 398),(-4.4408920985e-16 505),(-0.00774493050163 588),(5.77315972805e-15 789),(2.22044604925e-15 969),(-1.68753899743e-14 1185),(-1.02140518266e-14 1380),(-0.0763909787963 1534),(-1.1990408666e-14 1778),(-1.06581410364e-14 1908),(-0.399619418208 2168),(-7.77156117238e-15 2281),(-0.319925365339 2344),(-7.9936057773e-15 2565),(-0.00539185715182 2747),
Point1,H1,(12.1093499915 30),(16.2798061357 238),(14.7451638238 434),(12.5264304279 625),(14.7178224076 830),(13.1578986511 1022),(15.521990562 1232),(13.3822930142 1423),(13.5785249959 1613),(13.2410467859 1808),(14.5454323335 2016),(13.6314813586 2206),(12.5793709193 2402),(14.456102517 2611),
Point1,H2,,,,,,,(4.00525739027 1321),,(5.71876559772 1659),,,,,,
Point1,H3,,,,,,,(4.27897622502 1332),,(6.76014082604 1674),,,,,,
Point1,H4,,(1.74987370147 359),,(1.35036341381 762),,,(1.66329011636 1357),(0.362870555608 1534),(1.46867598039 1750),,(0.912974883157 2136),,,,
Point1,H5,,(1.79809725371 367),,(1.53853449419 771),,,(1.73671570999 1363),(0.870620290149 1552),(1.52164652445 1759),,(1.47696622309 2150),,,,
Point1,H6,(-0.0236935865236 1),(-0.000577599006863 196),(-2.6645352591e-15 401),(-4.4408920985e-15 594),(1.7763568394e-15 789),(-1.7763568394e-15 993),(1.50990331349e-14 1188),(1.15463194561e-14 1381),(8.881784197e-15 1575),(6.2172489379e-15 1778),(1.24344978758e-14 1975),(-2.6645352591e-15 2169),(8.881784197e-16 2371),(-0.0119658699461 2565),
Point2,H1,(15.7112983095 32),(20.3218266588 239),(21.1038382959 433),(18.5092009997 624),(20.7979313365 835),(18.9345787046 1024),(23.6459200522 1231),(20.6776945924 1422),(20.2818181262 1617),(19.8603466386 1828),(22.3523250225 2015),(20.1031101039 2207),(21.2695617531 2399),(22.83486011 2608),
Point2,H2,,,(20.2256136142 446),,,,,,,(10.3381080818 1856),,(8.6271194702 2257),,,
Point2,H3,,,(20.2264040914 447),,,,,,,(10.3930275566 1861),,(8.65888820263 2262),,,
Point2,H4,,,(10.1614435469 480),,(13.5409225523 864),,,(3.24867870408 1503),,(2.09446104402 1944),,(4.08948843731 2295),,,
