Cycle,0.972962962963
Average Width,5.48641690094
Width,,5.69906853169,5.60956799785,5.87155651688,5.69941454395,5.77309737575,5.46798243331,6.03458352291,5.67781888613,5.79866866185,5.7012479283,5.77778183311,5.79401653518,5.66934380178,5.558307118,5.57899536089,5.61869106643,5.51588647434,5.3556406816,5.36817790609,5.32006913298,5.32666929453,5.20803244217,5.23868247017,5.15321623914,5.19950048913,4.98314139323,5.15256804542,4.87079424575
Point0,H1,(11.9000093662 54),(15.0965032069 268),(15.7407344289 474),(12.4193901841 666),(13.526897977 870),(11.0918031487 1081),(12.339960251 1289),(11.1226553401 1484),(14.2772161673 1691),(9.89563876485 1890),(10.7541251445 2089),(12.1637789188 2300),(11.0037296704 2508),(10.3496504218 2695),(11.5815569642 2909),(11.7124461842 3095),(11.6854694923 3304),(10.1750996405 3509),(9.3144510772 3725),(10.2381338259 3923),(9.88018060289 4119),(8.57168321716 4311),(10.1370712641 4525),(10.2413926934 4709),(11.082284963 4921),(8.45617764467 5135),(10.3658228987 5325),(6.58404586655 5551),
Point0,H2,,,,(6.95499387167 711),(4.31254283772 944),,(3.16986690631 1362),(6.46158457227 1525),,(-0.0068549877949 1978),(2.27904827741 2199),(2.42078106223 2376),(6.84310727828 2540),(5.25045429078 2741),,,,,,,,,(6.5581883502 4549),,,(7.29818104801 5155),(-0.0393971639665 5391),,
Point0,H3,,,,(7.14284945097 720),(4.94063624666 958),,(3.56804418521 1375),(6.67803864837 1534),,(1.69976058213 2018),(2.30442898262 2204),(2.7355165708 2388),(7.10978122712 2554),(5.31670212536 2748),,,,,,,,,(6.73007078345 4558),,,(7.43423686207 5164),(2.15345098108 5412),,
Point0,H4,,(2.41135160545 396),(1.66392017624 608),(1.6985712408 802),(0.721665277195 1007),,(-0.000414635754703 1425),(3.41288162131 1584),(4.10424874278 1793),(1.15402346031 2032),(1.16061285403 2224),(0.580190002814 2431),(-0.00452190378716 2619),(1.41284475146 2812),(6.07385906872 2953),,(3.04097804438 3405),,(2.64389314547 3792),(2.79289703666 3998),,(-1.7763568394e-15 4473),(3.72273376706 4588),,,(3.71062749511 5200),(-0.387484212557 5455),,
Point0,H5,,(2.86303834708 410),(2.18407673575 620),(1.70088992354 804),(1.09487456773 1020),,(0.28208280932 1439),(3.96574426534 1598),(4.55409041325 1806),(1.51687466351 2044),(1.83886629988 2237),(1.5531035211 2446),(1.02535021402 2641),(2.0065868827 2832),(6.19014674523 2967),,(3.10863640908 3419),,(3.10982957235 3809),(3.68511821473 4026),,(9.50285072334 4507),(3.7364269717 4593),,,(4.93476376673 5218),(0.300650264262 5472),,
Point0,H6,(-0.193523073307 7),(-0.48018397381 136),(8.881784197e-15 221),(-6.2172489379e-15 429),(-1.7763568394e-15 636),(1.7763568394e-15 831),(-2.6645352591e-15 1036),(1.7763568394e-15 1242),(-0.000414635754703 1425),(2.6645352591e-15 1645),(-0.00468048248303 1854),(-0.0068549877949 1978),(-0.00414536375545 2059),(-4.4408920985e-15 2254),(1.7763568394e-15 2461),(-0.11880993775 2662),(-6.07658702911e-05 2858),(7.1054273576e-15 3066),(1.7763568394e-15 3267),(4.4408920985e-15 3469),(8.881784197e-15 3674),(8.881784197e-15 3866),(5.3290705182e-15 4077),(0.0 4272),(-1.7763568394e-15 4473),(-3.5527136788e-15 4659),(2.6645352591e-15 4834),(-0.0118953647423 5071),(-0.0221327389767 5275),(-0.0393971639665 5391),(-0.387484212557 5455),
Point1,H1,(33.1827519266 40),(34.438890539 249),(33.4627723732 456),(31.8167546933 651),(33.6085205049 857),(33.1060056713 1063),(30.6271085666 1270),(31.6604735689 1465),(33.2948883172 1674),(30.2380389069 1878),(29.3185041005 2074),(31.7938812393 2279),(30.5551418654 2491),(29.5972249049 2681),(32.0762189897 2887),(29.6704845299 3082),(32.8592854457 3290),(30.7373569323 3498),(28.1881807253 3691),(32.1625133591 3897),(30.3988582328 4104),(30.5413962329 4296),(30.1326654018 4491),(30.6432496144 4696),(31.1600342907 4904),(27.4941830435 5097),(30.7458758286 5308),(23.0471041145 5496),
Point1,H2,,,,,(6.41522477408 947),(6.65295681277 1151),,,(6.40374526667 1782),,(13.2671356993 2119),(15.907408524 2316),,(14.9385725779 2727),,,(15.2281543179 3336),,(13.6200517859 3737),,,,(29.5664457861 4499),(15.8688235619 4744),,(14.1242782261 5144),,
Point1,H3,,,,,(6.69332510534 957),(6.68791608066 1156),,,(6.59697885874 1790),,(13.5895514768 2127),(15.9230078146 2319),,(15.4216937615 2735),,,(15.4569606586 3343),,(13.802030695 3743),,,,(29.860591295 4507),(15.9541694342 4749),,(14.3124425347 5151),,
Point1,H4,,(3.2461996173 384),(2.27197991248 592),(3.54814209828 783),(2.42048683191 988),(2.30902109154 1195),,(3.22900314461 1602),(4.10658291939 1809),,(3.47531103207 2208),(2.56954299913 2417),,(6.11633599696 2789),(1.23839959146 3028),,(3.81950635913 3429),,,(3.54256671221 4033),,,(15.3466784371 4536),(2.40698996596 4823),(6.63037281379 4994),,,
Point1,H5,,(3.5576902753 394),(2.844567792 604),(3.70825177345 791),(3.46912766645 1003),(3.6146440349 1212),,(3.59893804474 1612),(4.98677811151 1820),,(3.64900750251 2217),(2.86416549737 2427),,(6.47877989776 2799),(1.73411517457 3038),,(3.84753625633 3433),,,(3.79404415603 4042),,,(15.6369969872 4543),(4.09193157285 4841),(6.84539768515 5003),,,
Point1,H6,(-3.5527136788e-15 205),(1.06581410364e-14 412),(-3.5527136788e-15 619),(-3.19744231092e-14 814),(-3.37507799486e-14 1021),(-5.3290705182e-15 1228),(0.0 1427),(1.7763568394e-15 1629),(7.1054273576e-15 1838),(-1.06581410364e-14 2041),(-1.42108547152e-14 2236),(-1.7763568394e-14 2443),(-1.06581410364e-14 2650),(-1.42108547152e-14 2845),(-1.24344978758e-14 3050),(-0.00689052351439 3248),(-5.3290705182e-15 3453),(-1.06581410364e-14 3654),(-0.00751568680603 3853),(-0.00452931830382 4061),(-8.881784197e-15 4255),(-3.5527136788e-15 4458),(-7.1054273576e-15 4654),(-3.5527136788e-15 4862),(1.42108547152e-14 5056),(5.3290705182e-15 5259),(-0.0075662836058 5464),
Point2,H1,(47.6123999136 40),(48.5116685525 249),(47.1933599768 456),(45.0335063881 651),(47.5599020753 857),(48.3146240505 1063),(44.2151634676 1270),(45.6997051285 1465),(47.3903078021 1673),(44.403364008 1878),(43.6376805981 2074),(47.218931994 2279),(46.2194771299 2490),(45.3505645808 2681),(48.030851478 2888),(45.1273936151 3082),(49.8114366545 3289),(47.4607463031 3497),(43.1419063036 3690),(49.2384052607 3896),(46.2493410863 4105),(46.0891895493 4296),(44.7209883185 4491),(47.7707718713 4696),(47.6047200743 4904),(44.578832973 5096),(46.0713271541 5306),(40.9129775859 5497),
Point2,H2,(5.12089064423 149),,,,,(9.82557444153 1151),,,(7.7035169148 1783),(19.9185120269 1914),(19.1171513006 2120),(22.9125017583 2313),,(21.5113183033 2728),,(21.6366998808 3130),(22.2515442909 3336),,(20.0671350538 3736),,,,(43.8595723586 4501),(23.3094787321 4743),,(21.1398259022 5144),,
Point2,H3,(5.82748300151 162),,,,,(9.84235723081 1155),,,(7.81325799644 1789),(19.9913712528 1918),(19.4254508658 2127),(23.3175738677 2321),,(21.9777766157 2735),,(21.7341843687 3134),(22.6134763219 3343),,(20.4818817473 3743),,,,(43.9066041646 4504),(23.7192308098 4751),,(21.3397136801 5150),,
Point2,H4,(4.78365187213 176),(4.87985197665 384),(2.7152873078 593),(3.43419079407 784),(3.1637905511 990),(3.80937407238 1198),,(4.38761279838 1602),(5.01558129222 1809),(2.25132465924 2023),(5.12518419537 2210),(3.92583167776 2418),,,(2.00428000668 3027),(4.63335850189 3218),(5.55508561292 3426),,(4.91197091171 3825),(4.7733141169 4033),(5.280869514 4227),,(21.8010042237 4537),(5.19212079275 4829),,(4.24823925322 5237),,
Point2,H5,(5.28801835053 186),(5.20601756109 393),(3.50523266875 604),(4.0738590151 796),(4.27755675685 1004),(5.27429636536 1212),,(4.94122454969 1612),(6.08697230846 1820),(2.25835340392 2025),(5.29650243032 2217),(4.19619625774 2426),,,(2.53168437898 3037),(4.85232577321 3226),(5.8172931466 3434),,(5.01644602659 3831),(5.33071005543 4043),(5.34076560979 4232),,(22.2121738895 4544),(5.85054093419 4840),,(4.27373091197 5241),,
