Cycle,0.606175
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
Point0,H1,(7.36778555446 44),(7.74218540691 177),(8.06513541676 298),(9.25444306384 428),(8.70894198866 571),(8.60609227663 716),(8.78123572889 857),(9.1242635724 987),(7.81705540974 1132),(7.28897745553 1258),(6.88077073488 1391),(6.39262589505 1528),(6.59494238888 1659),(6.98920874191 1779),(7.24794809983 1903),(6.86490146659 2028),(9.68144608492 2153),(6.21636042995 2267),(5.93464947997 2388),(10.4360148059 2506),(3.57548054635 2630),(8.71287261067 2762),(6.94851859702 2882),(7.52165112882 3015),(5.49964577373 3147),
Point0,H2,,,(2.03709823993 343),,,,,,(3.26758071186 1160),,,,,,,,,,,,,,(2.66900112692 2917),,
Point0,H3,,,(2.41989801851 355),,,,,,(3.53474495097 1170),,,,,,,,,,,,,,(2.84997972595 2928),,
Point0,H4,(1.27065427089 107),(0.77804228323 230),(0.64503191248 375),(0.607952591813 517),,(0.869179135307 791),(0.331715369655 924),(1.37282540399 1055),,(1.00256310063 1323),,,(2.3690076965 1692),(0.535016089608 1843),(2.07578906493 1948),,,(2.55773543022 2315),,(2.21242323925 2569),(0.242187521096 2668),,(1.27230380086 2953),,
Point0,H5,(1.2744606578 110),(1.41647288484 243),(0.924900587993 385),(1.07068436346 529),,(1.05147470225 802),(0.852122608863 942),(1.62456694742 1067),,(1.09567459419 1333),,,(2.47609971555 1700),(1.52508737104 1858),(2.10730274064 1953),,,(2.56512874076 2318),,(2.24248356791 2574),(1.18991475574 2703),,(1.30110558419 2959),,
Point0,H6,(3.5527136788e-15 130),(7.54951656745e-15 259),(8.881784197e-15 399),(-0.00182917529967 544),(4.88498130835e-15 687),(-2.6645352591e-15 821),(-2.6645352591e-15 957),(-4.4408920985e-16 1091),(2.22044604925e-15 1227),(-1.33226762955e-15 1356),(-0.000225964413564 1486),(-1.7763568394e-15 1619),(-0.000154178695094 1743),(-2.6645352591e-15 1874),(-0.000645979086431 1990),(-0.00159692538491 2111),(1.7763568394e-15 2241),(-2.44249065418e-15 2348),(-0.00813393037736 2459),(-6.2172489379e-15 2600),(-8.881784197e-15 2721),(-3.5527136788e-15 2848),(-2.6645352591e-15 2978),(-0.0203910747115 3099),
Point1,H1,(7.985132134 43),(8.98848883623 180),(10.4866183207 296),(11.559722949 431),(11.6809477449 572),(10.0397838448 716),(10.0920667999 856),(8.12975348562 989),(9.04191103694 1131),(9.57064348217 1261),(7.53041952016 1388),(11.5321707756 1532),(9.28976487535 1654),(9.66096502933 1776),(9.63530209007 1898),(9.44615208114 2028),(6.47812354217 2156),(6.82901567748 2271),(7.87976992445 2399),(6.18524386046 2504),(7.12657634692 2577),(7.84979432978 2638),(7.3175420669 2750),(7.79613295311 2892),(8.72371385192 3016),(7.42602132892 3148),
Point1,H2,,,,,,,,,,,(1.97945919196 1433),,,(9.54339077209 1783),(7.86857480731 1914),,(2.05952274713 2186),,(2.86131178826 2429),,,,,,
Point1,H3,,,,,,,,,,,(2.33450513738 1444),,,(9.63864625654 1791),(8.21215932763 1924),,(2.33425298263 2196),,(2.97689295555 2436),,,,,,
Point1,H4,,,,(1.68909757507 521),(1.2838033905 658),,(1.19720297102 916),(0.840954830279 1063),,,(0.322565015876 1468),,(1.31762240904 1720),(-0.278437717907 1847),,(2.11411434381 2078),(0.800749056276 2217),(2.24880977885 2322),(0.600741952886 2461),,,(1.02992679142 2691),,,
Point1,H5,,,,(1.88292250511 529),(1.38449980963 669),,(1.80591156361 932),(1.24989805594 1075),,,(0.357154948307 1473),,(1.34424943096 1726),(0.261063838014 1860),,(2.23381108922 2087),(0.991036980964 2226),(2.27090521443 2328),(0.628476263175 2465),,,(1.24119940717 2704),,,
Point1,H6,(2.6645352591e-15 127),(-3.5527136788e-15 257),(-0.000668329585016 391),(3.5527136788e-15 545),(2.6645352591e-15 687),(7.9936057773e-15 821),(8.881784197e-15 954),(-0.000707589120566 1092),(3.5527136788e-15 1226),(2.22044604925e-15 1361),(-0.00635276101361 1486),(0.0 1615),(-1.1990408666e-14 1744),(-0.278437717907 1847),(-8.881784197e-16 2001),(-0.00308879842864 2117),(-8.881784197e-16 2241),(1.7763568394e-15 2356),(-1.7763568394e-15 2479),(-4.4408920985e-15 2604),(-2.6645352591e-15 2721),(-4.88498130835e-15 2852),(-3.5527136788e-15 2977),(-0.0055860112095 3109),
