Cycle,0.899791666667
Average Width,13.1708851333
Width,,0,0,0.0,8.50680542768,10.4306058793,9.6033949995,16.6522210878,8.19863006903,8.98663441022,0.0,12.1193134596,0.0,7.18620930114,7.63897538169,7.99255004621,0,0.0
Point0,H1,(16.9661913933 44),(15.2156884669 225),(16.5640028289 416),(15.6812700994 611),(13.7317471657 798),(15.0111266733 990),(13.5888286342 1183),(13.3201332797 1365),(15.4316278383 1548),(17.9103355597 1734),(18.9193493891 1927),(18.5610163098 2117),(15.5452599634 2309),(13.2566324905 2491),(14.2992144956 2683),(15.4174115437 2876),(21.4286046744 3119),
Point0,H2,,,(3.89693937545 472),,(4.85950497377 866),(-0.0109456630323 1102),,(10.1367516251 1389),,,,,(7.60466543594 2350),,(2.52495771562 2777),,
Point0,H3,,,(4.25938495894 489),,(5.98344197212 883),(0.0213877360133 1111),,(10.6825842479 1404),,,,,(7.61588621052 2354),,(3.69634136529 2801),,
Point0,H4,(1.50665675321 157),(-8.881784197e-15 352),(-4.4408920985e-15 542),(1.00690829455 718),(1.15463194561e-14 931),(0.000803851002313 1117),(0.724996316915 1289),,(8.881784197e-16 1652),(-0.00752739892605 1823),(2.35940831633 2045),(1.45637714359 2242),(1.15635819642 2432),(4.09996856492 2570),(1.99707964996 2824),,
Point0,H5,(1.91234417871 171),(1.54545244998 369),(1.50968863581 561),(1.85328344782 740),(0.672324009545 945),(0.338934306605 1134),(1.89616613923 1309),,(2.28548108201 1678),(7.18393267156 1872),(2.83888600021 2059),(1.87021724145 2254),(1.53238578608 2445),(4.2027699529 2579),(2.00264574432 2827),,
Point0,H6,(-2.6645352591e-15 189),(-8.881784197e-15 352),(-4.4408920985e-15 542),(1.42108547152e-14 762),(1.15463194561e-14 931),(-0.0109456630323 1102),(8.881784197e-16 1329),(-0.00877025399804 1511),(8.881784197e-16 1652),(-0.00752739892605 1823),(1.95399252334e-14 2079),(3.10862446895e-14 2271),(2.30926389122e-14 2461),(8.881784197e-16 2643),(-2.30926389122e-14 2845),(-0.031039841688 3027),
Point1,H1,(15.6559485006 43),(14.3592184139 224),(16.4461512728 416),(15.8392184669 611),(13.7820620412 797),(14.8807141972 988),(13.5536582959 1183),(13.4171544492 1365),(16.2957114999 1549),(17.5427646464 1734),(19.8181795701 1927),(17.4454334037 2115),(16.2253614714 2309),(14.4635290767 2493),(15.4305512406 2683),(15.0547847928 2877),(19.8172468965 3081),
Point1,H2,,,(3.68735902896 469),(2.27964577998 680),,,,(8.77964279003 1391),,,(10.8497605176 1971),,(6.45940251691 2350),(6.28886607495 2535),(2.11771250236 2775),,
Point1,H3,,,(4.20795001368 486),(2.43429784512 690),,,,(9.44692779827 1408),,,(10.8643787921 1975),,(6.51935775787 2357),(6.3464544326 2541),(3.67086476398 2800),,
Point1,H4,(1.24461094732 158),(0.334190145656 352),(5.3290705182e-15 542),(0.513386368118 714),,(-0.100487222775 1116),(0.126584244409 1288),,(0.0 1656),(-0.00153870219687 1821),(2.06169996655 2044),(0.886282660402 2243),(1.17211430266 2429),(3.50157509791 2574),(1.18701542759 2824),,
Point1,H5,(1.58763871699 171),(1.07495387166 366),(2.08008015442 565),(1.93619690963 740),,(0.482773040261 1138),(1.69041024674 1311),,(1.82370571083 1680),(6.21826990611 1873),(2.38968123391 2057),(1.14328062748 2254),(1.47172070232 2442),(3.53604953755 2581),(1.21155314799 2829),,
Point1,H6,(8.881784197e-16 189),(6.2172489379e-15 380),(5.3290705182e-15 542),(-1.7763568394e-15 762),(8.881784197e-16 931),(-0.100487222775 1116),(-8.881784197e-15 1329),(8.881784197e-16 1509),(0.0 1656),(-0.00153870219687 1821),(-0.0105118287808 2078),(9.7699626167e-15 2269),(7.9936057773e-15 2460),(-0.000248799188004 2643),(8.881784197e-16 2844),(-0.0196756460337 3031),
Point2,H1,(14.3375278857 70),(12.8840969141 253),(16.5103738057 444),(14.2296742574 638),(12.8113410418 826),(13.4390494487 1016),(13.1254951014 1210),(11.8987053614 1392),(15.5454518427 1575),(17.6713805842 1760),(19.6343567733 1954),(16.6807521154 2142),(14.3815395361 2335),(13.6859648409 2520),(14.6285931929 2710),(14.1550320029 2905),(21.2167588444 3140),
Point2,H2,,(-0.0026600528262 332),,(1.48444422965 708),(2.52680125746 893),,,(7.93560939528 1418),,,,,,,(4.88816012138 2749),,
Point2,H3,,(1.59323996692 354),,(1.58295229907 716),(4.76343498208 918),,,(8.92350728037 1435),,,,,,,(4.965461752 2758),,
Point2,H4,(0.706424906613 177),(0.79984930374 374),,(-0.00328267683057 739),(7.1054273576e-15 956),(2.93303903349 1085),(-0.00366086665872 1312),,(5.3290705182e-15 1680),(2.6645352591e-15 1850),(2.07043854159 2076),(0.323044477916 2270),(1.48461254069 2462),(3.28906109783 2596),(1.78035269341 2800),,
Point2,H5,(1.47184479634 198),(2.62302430415 395),,(2.24677981484 768),(0.697787253124 971),(3.25475197424 1098),(1.50411481085 1336),,(2.05450937992 1707),(7.06254740481 1900),(2.32083671788 2086),(0.67999642745 2282),(1.50380444979 2467),(3.66148534666 2612),(3.68107841284 2827),,
Point2,H6,(4.4408920985e-15 216),(-0.0026600528262 332),(-0.00439673801254 569),(-0.00328267683057 739),(7.1054273576e-15 956),(-0.00311813185171 1133),(-0.00366086665872 1312),(1.15463194561e-14 1537),(5.3290705182e-15 1680),(2.6645352591e-15 1850),(-6.2172489379e-15 2105),(-9.70953395019e-07 2296),(-9.7699626167e-15 2487),(-8.881784197e-15 2671),(8.881784197e-15 2871),(-0.0210972415429 3059),
