Cycle,0.9133
Average Width,7.99582145188
Width,,6.93342205703,8.6613183393,9.01367692934,8.27543816036,8.92584312894,7.46848142491,9.45455742068,7.63636124961,8.83012841858,6.89110664369,7.16718056955,7.54954494507,7.43481626603,7.49477191062,7.73388138439,11.2640761794,8.24983866956,6.95304292554,8.5097189861,7.56313672982,13.0513826134,8.93135212024,7.35085956225,7.94641599312,7.16951209381,7.19420911726
Point0,H1,(12.2854317267 38),(14.6205197917 220),(13.1714335825 408),(12.3751698783 600),(16.7189026924 794),(15.2124395787 988),(15.017236284 1178),(13.6395833459 1368),(13.1989547774 1564),(10.9870912653 1735),(10.7959538929 1930),(10.777623018 2118),(12.2114217029 2316),(12.0661548894 2506),(10.000018524 2706),(16.2292273264 2886),(14.4037812943 3081),(11.4935911475 3268),(11.8301885028 3453),(12.221152199 3641),(15.1077482744 3819),(12.3668189305 4031),(10.9519145634 4200),(12.7843206643 4391),(10.6694327705 4582),(11.8244592619 4788),
Point0,H2,(4.94051822059 84),,(12.1654011031 420),,,,(1.55819492528 1273),,,,,,(9.06103753073 2358),,(6.93576634957 2740),,,,(9.86997927217 3487),,,,(7.28001063662 4243),(11.2238077796 4406),,
Point0,H3,(5.25802058414 95),,(12.5486779072 430),,,,(1.71286882227 1286),,,,,,(9.26764883785 2368),,(7.01790433355 2747),,,,(11.1912777344 3505),,,,(7.87719160099 4257),(11.4967979346 4416),,
Point0,H4,(0.284611795415 163),(-0.00293498942324 355),(-0.00204700410719 530),(-7.1054273576e-15 718),(0.025581111251 911),,(1.69349951989 1293),(0.381490729919 1488),,,,,,,(-0.00476697325052 2812),(5.10229287649 2962),(0.503610081938 3206),(-0.00560325667335 3387),,,(3.43076611984 3939),(1.87168719929 4132),(4.70929157537 4292),(1.94762283868 4514),,
Point0,H5,(0.479887766136 174),(0.560291775899 367),(0.859565404779 558),(0.72855294882 737),(1.17591730388 927),,(1.77834246664 1303),(1.14906701905 1502),,,,,,,(3.07403947071 2837),(6.49551546901 2985),(0.70811080099 3215),(1.62711057682 3408),,,(3.56989496401 3952),(1.95210655075 4140),(4.75550587977 4299),(2.44030507332 4525),,
Point0,H6,(-2.6645352591e-15 185),(-0.0951806700262 378),(-0.00204700410719 530),(-7.1054273576e-15 718),(6.2172489379e-15 941),(0.0 1128),(-1.7763568394e-15 1327),(-5.3290705182e-15 1516),(-1.7763568394e-15 1699),(7.1054273576e-15 1878),(-0.0118883431114 2065),(-8.881784197e-16 2242),(6.2172489379e-15 2464),(-0.00487275803588 2648),(-0.00476697325052 2812),(7.1054273576e-15 3036),(-9.7699626167e-15 3229),(-0.00560325667335 3387),(1.42108547152e-14 3599),(-0.000352293493666 3786),(9.7699626167e-15 3981),(2.04281036531e-14 4166),(-5.3290705182e-15 4355),(-8.881784197e-16 4544),(8.881784197e-15 4734),
Point1,H1,(13.3181023501 39),(15.5552960694 220),(14.576493744 410),(14.4914502395 602),(18.3410060065 795),(17.2759450776 991),(16.4838296899 1180),(15.8964550015 1371),(14.9749870709 1564),(13.6532430874 1738),(13.358602505 1931),(13.5532924421 2120),(14.3908698017 2322),(14.8754616556 2508),(12.7234941769 2704),(17.2818836627 2891),(16.5831456625 3085),(14.838926592 3271),(13.3584186774 3471),(14.9975037542 3644),(15.8949147174 3822),(13.8430406593 4032),(13.2609009523 4202),(14.6231392162 4394),(13.5883134927 4586),(14.1056821593 4788),
Point1,H2,(5.59470166929 87),(14.7366864081 233),(13.3397098096 424),,,,,,,(6.84985919788 1786),,,,,(7.86810911359 2743),,,(-1.06581410364e-14 3392),(10.3044864512 3494),(2.03915958316 3741),,(10.282299538 4056),,,,
Point1,H3,(5.80626362072 96),(14.7506323763 236),(13.3954736111 429),,,,,,,(7.00774575401 1794),,,,,(7.91114861243 2748),,,(0.982920143179 3409),(10.9064226253 3506),(2.04882661318 3745),,(10.3487207389 4062),,,,
Point1,H4,(-0.0257354324 164),,(-0.00136128527602 534),(-0.00063701638565 719),(1.39794867056 914),,(1.63496623827 1281),(0.947356069945 1492),,(0.153481110851 1882),,,,,(-0.00522610447624 2814),(5.09039183865 2965),(0.941024919019 3207),(0.459123965314 3420),(3.01619158289 3575),(1.18349762011 3765),(-7.9936057773e-15 3982),(1.4942987549 4134),(9.00516309701 4246),,,
