Cycle,0.862936507937
Average Width,5.78177788631
Width,,4.95220028023,7.67710803706,5.91825399735,6.29921906559,5.44230580396,5.84713961229,5.53819166268,6.43904662747,5.65524452287,5.34793772923,6.81135907576,5.56497783038,5.64272859875,5.95281677723,6.01272517852,5.87242447652,5.17075634109,6.16044487449,4.93867106523,5.4571498985,5.50683314356,5.55361288325
Point0,H1,(6.08096192505 152),(12.4535145621 322),(11.7224410989 477),(12.9864264234 683),(9.47645990709 873),(13.4077029979 1050),(11.0764899676 1235),(11.9031188229 1417),(12.2657547225 1563),(10.2289525885 1785),(9.88781169078 1962),(12.8371362602 2136),(10.7410023675 2277),(8.912026583 2509),(8.32261850024 2686),(12.1908360347 2872),(13.7185762485 3052),(12.8834418312 3227),(13.548669755 3403),(14.38022176 3590),(13.5406764032 3771),(16.4635889668 3946),
Point0,H2,(-0.0338003948535 177),,,(7.9936057773e-15 721),(-5.3290705182e-15 900),(-5.3290705182e-15 1086),,,(12.0366888999 1578),,,,(8.99551860685 2318),(-1.06581410364e-14 2546),,,(-8.881784197e-15 3089),,(-1.7763568394e-15 3444),,,,
Point0,H3,(9.12863161278 229),,,(7.52520571098 768),(1.88558459847 918),(5.11349619473 1140),,,(12.2069048583 1593),,,,(9.2737618747 2328),(4.7936656484 2590),,,(6.31870816006 3138),,(7.78412825895 3494),,,,
Point0,H4,(8.97948280504 237),(-0.00689808468864 358),,(5.83423536631 786),(1.87870253245 921),(4.77757356774 1151),,(4.4408920985e-15 1452),(8.881784197e-16 1638),(-0.00164722324804 1818),(5.3290705182e-15 2001),(-2.22044604925e-14 2183),(-1.06581410364e-14 2365),(3.99152094638 2607),,,(6.00097107402 3149),(-8.881784197e-15 3268),(7.56035027176 3503),(1.7763568394e-15 3621),(-1.24344978758e-14 3803),,
Point0,H5,(10.4302156686 270),(4.82201737637 404),,(8.42944935547 817),(6.59904348838 949),(6.23671350803 1172),,(8.26521348603 1505),(9.80540136089 1746),(4.78650335294 1858),(8.85780788686 2093),(6.5035831833 2230),(7.34938217027 2463),(6.44963349095 2647),,,(8.83896411829 3173),(8.32940192428 3314),(13.9741492659 3574),(12.7889661903 3740),(13.6737166165 3899),,
Point0,H6,(-3.54756710143 31),(-0.0338003948535 177),(-0.00689808468864 358),(-7.1054273576e-15 535),(7.9936057773e-15 721),(-5.3290705182e-15 900),(-5.3290705182e-15 1086),(7.1054273576e-15 1267),(4.4408920985e-15 1452),(8.881784197e-16 1638),(-0.00164722324804 1818),(5.3290705182e-15 2001),(-2.22044604925e-14 2183),(-1.06581410364e-14 2365),(-1.06581410364e-14 2546),(-1.68753899743e-14 2722),(-0.00634275983684 2903),(-8.881784197e-15 3089),(-8.881784197e-15 3268),(-1.7763568394e-15 3444),(1.7763568394e-15 3621),(-1.24344978758e-14 3803),(-8.24241781512e-05 3984),
Point1,H1,(18.4398579165 148),(23.5050501667 322),(23.8553717601 479),(25.9991222129 683),(22.0565518098 871),(27.6281495618 1048),(23.9414734462 1234),(24.808465415 1417),(26.0540620158 1596),(21.8898593108 1784),(22.3760812439 1963),(26.3205609682 2145),(20.9840311557 2329),(20.0625825908 2507),(19.9126197188 2687),(26.6804122991 2870),(29.2860715983 3052),(26.1713974288 3228),(27.7188230385 3405),(28.2288285152 3591),(26.2555170648 3769),(30.4974139039 3945),
Point1,H2,,,,(-1.7763568394e-15 723),,(3.01980662698e-14 1091),(1.42108547152e-14 1267),,,,,,,,,,(-0.00732023075927 3090),,,(8.881784197e-15 3621),,,
Point1,H3,,,,(13.3613103751 769),,(10.4493207654 1140),(5.00966807604 1286),,,,,,,,,,(11.7824793402 3139),,,(2.76876358355 3636),,,
Point1,H4,(1.7763568394e-15 178),,,(12.0706348229 783),(1.95399252334e-14 901),(10.360000461 1146),(4.97328713596 1289),(-5.3290705182e-15 1453),,,,,(-1.95399252334e-14 2366),(3.5527136788e-15 2546),(5.3290705182e-15 2721),,(11.7567332349 3143),(2.13162820728e-14 3267),(1.7763568394e-14 3443),(2.58575726894 3642),(1.42108547152e-14 3803),,
Point1,H5,(13.0731597388 230),,,(17.472586766 822),(13.1493654463 950),(14.5836085753 1171),(13.5505139693 1315),(15.3757870516 1506),,,,,(16.4102404595 2467),(11.5238288901 2590),(17.0903864763 2771),,(18.5990726048 3173),(15.5117612989 3314),(26.3005588711 3573),(23.9845376768 3741),(25.1132996894 3906),,
Point1,H6,(1.7763568394e-15 178),(-1.24344978758e-14 357),(1.7763568394e-15 534),(-1.7763568394e-15 723),(1.95399252334e-14 901),(3.01980662698e-14 1091),(1.42108547152e-14 1267),(-5.3290705182e-15 1453),(-7.1054273576e-15 1637),(-0.00756671305124 1830),(-1.42108547152e-14 2002),(3.5527136788e-15 2181),(-1.95399252334e-14 2366),(3.5527136788e-15 2546),(5.3290705182e-15 2721),(1.7763568394e-14 2902),(-0.00732023075927 3090),(2.13162820728e-14 3267),(1.7763568394e-14 3443),(8.881784197e-15 3621),(1.42108547152e-14 3803),(1.59872115546e-14 3986),
