Cycle,0.790588235294
Average Width,7.08038325728
Width,,0,7.52584704326,8.15859653241,7.2894901905,7.32073193311,6.27524627077,6.73385283554,8.6135091373,8.18299412507,6.30754403323,0.0,7.14243025222,4.49112564524,8.49224988881,0.0,6.41075306315,4.91973041088
Point0,H1,(10.9047313321 141),(10.2973919974 324),(9.90213357075 508),(9.44191230436 684),(12.1282575572 864),(8.18496603981 1002),(8.87614889763 1229),(10.1554376022 1410),(9.46636700712 1564),(8.88970915194 1705),(12.5153770566 1783),(7.98415083422 1927),(6.27313033356 2144),(12.7917692141 2321),(11.4998271328 2476),(5.10316472606 2685),(6.37761480276 2872),(11.6653885622 2996),
Point0,H2,(-1.24344978758e-14 178),(-1.24344978758e-14 359),(-1.06581410364e-14 539),,,,(-0.0167746346793 1263),(-2.6645352591e-15 1443),(7.87254016229 1584),,,,,,,,,
Point0,H3,(7.3025274455 230),(6.48469215153 415),(4.75148763977 584),,,,(4.0122388298 1307),(2.97526628071 1462),(8.45692389924 1595),,,,,,,,,
Point0,H4,(7.13522935792 239),(5.869806903 431),(4.74947516892 586),,(-1.06581410364e-14 905),,(4.00914699573 1311),,,,(-7.1054273576e-15 1815),,,(3.5527136788e-15 2367),,,,
Point0,H5,(7.79310990813 255),(9.27503051055 477),(8.35059411665 639),,(6.5419591209 946),,(9.31193607491 1366),,,,(7.95516917139 1879),,,(11.4878950406 2449),,,,
Point0,H6,(-1.24344978758e-14 178),(-1.24344978758e-14 359),(-1.06581410364e-14 539),(-0.00176883582393 718),(-1.06581410364e-14 905),(-9.32587340685e-15 1079),(-0.0167746346793 1263),(-2.6645352591e-15 1443),(-7.1054273576e-15 1627),(7.56254620718 1745),(-7.1054273576e-15 1815),(-0.0347003853292 2022),(-0.598630889469 2189),(3.5527136788e-15 2367),(-0.0204502341434 2537),(2.22044604925e-15 2714),(-0.015718384052 2897),
Point1,H1,(11.5819142189 140),(11.7671004066 328),(11.6590748055 508),(11.4545187596 685),(13.448243355 865),(10.8412953353 1048),(11.5858112127 1228),(11.4068129095 1408),(10.7051755408 1595),(13.5399424041 1781),(9.64738565524 1884),(10.5266718883 2144),(14.1854554851 2320),(12.6613976963 2481),(8.12166015628 2685),(8.94965646761 2871),(11.985919265 3022),
Point1,H2,,,,,,,,(-0.00173410357111 1445),,,,(-0.00585329192869 2188),,,(0.0 2718),,
Point1,H3,,,,,,,,(6.37210767611 1497),,,,(3.83914636933 2220),,,(5.0072834109 2773),,
Point1,H4,(-0.000118895644322 180),,(3.5527136788e-15 539),(6.2172489379e-15 722),,,(-5.3290705182e-15 1268),(6.36096253235 1501),(5.3290705182e-15 1629),,,(3.45348856289 2233),(-3.5527136788e-15 2365),,(4.40427712052 2788),,
Point1,H5,(8.40265565353 240),,(9.24992805454 639),(11.5035985787 829),,,(10.7086771281 1372),(10.0623497532 1563),(11.0526705425 1715),,,(12.3934032509 2287),(12.0085681016 2449),,(8.31121876335 2839),,
Point1,H6,(-0.000118895644322 180),(-9.7699626167e-15 358),(3.5527136788e-15 539),(6.2172489379e-15 722),(0.0 903),(5.3290705182e-15 1080),(-5.3290705182e-15 1268),(-0.00173410357111 1445),(5.3290705182e-15 1629),(-1.7763568394e-15 1815),(-0.01538504963 1992),(-0.00585329192869 2188),(-3.5527136788e-15 2365),(2.6645352591e-15 2535),(0.0 2718),(-6.2172489379e-15 2899),
Point2,H1,(8.25957604188 139),(8.72279314103 325),(8.70988549249 507),(8.57355414336 683),(9.73549546266 863),(7.84690054262 991),(8.35730019784 1226),(8.66089943362 1401),(7.82017325755 1594),(9.27388032461 1713),(10.7298983634 1778),(7.78050812007 1881),(8.66967045466 2142),(11.6298139503 2318),(9.34055941623 2469),(6.53724509934 2683),(6.5003002759 2847),
Point2,H2,,,(-1.42108547152e-14 540),,,,,,,,,,(-0.00541169024635 2187),,(7.8425736227 2497),,
Point2,H3,,,(6.10509222112 613),,,,,,,,,,(4.07032693853 2221),,(7.84934315516 2500),,
Point2,H4,(-0.00353191001081 179),,(6.08597396522 618),(-1.06581410364e-14 721),(-8.881784197e-16 902),,,(-8.881784197e-15 1444),,,,,(3.85449369275 2232),,(-2.6645352591e-15 2534),,
Point2,H5,(5.73618512058 239),,(6.78413241599 644),(7.95858431954 822),(6.24199876175 947),,,(7.58472804867 1561),,,,,(9.97661599769 2283),,(5.44995877233 2649),,
