Cycle,0.588141025641
Average Width,8.46269737292
Width,,11.365728392,7.21366673776,7.42255225416,7.8862161344,8.14279348858,8.41531907249,7.65230012396,56.0222848296,7.72627240686,8.73346763283,8.17860023926,8.11759006708,7.13236952293,7.54492946323,12.0682614194,8.49991233982,9.11617524781,10.9255889252,7.7987831034,8.30827220416,0,10.0399464551,8.49123019355,11.2103412485,8.28808432176,8.0450354493,9.25125081385,9.22323249879,0,10.8655981911,0,9.09399119685,9.39997315757,7.48267640203,0,0,0,0.0,6.03362919791,3.66369382148
Point0,H1,(13.3873123305 33),(13.3549463669 134),(16.0677875035 242),(19.6955519541 357),(18.0926063517 500),(18.7543515106 644),(15.550101388 772),(15.8159666657 889),(17.2133441405 1010),(16.4664380545 1137),(19.1832891425 1254),(16.9655877728 1370),(18.3421031446 1496),(17.0690717198 1637),(17.3870885652 1779),(16.2233163025 1912),(16.9756890653 2039),(17.9158977421 2163),(17.2287540417 2286),(12.8725556483 2417),(17.630287613 2547),(12.7715040393 2661),(12.4403643008 2772),(13.6356783732 2876),(14.6240756226 2987),(15.4005392804 3105),(15.6693900937 3229),(12.7304176836 3351),(13.4298462502 3464),(13.8701664748 3577),(13.0121343327 3690),(13.528039221 3809),(14.6747102073 3925),(14.4717395062 4041),(13.8137987431 4151),(13.5042671488 4268),(12.4158459348 4384),(12.1559919248 4502),(10.3747542537 4612),(8.03088107968 4722),
Point0,H2,(3.1841381549 66),,,,,(6.88463890271 677),(0.43479032361 815),,(4.90589021006 1049),,,,,,,(5.03260869318 1954),,,,,,,,,,(2.61906830575 3143),,(1.41744754701 3385),(2.80978932519 3503),,,,,,,,(0.755902987836 4421),,,
Point0,H3,(3.19586963022 70),,,,,(7.19011325251 689),(0.458587460116 819),,(4.93768186952 1054),,,,,,,(5.48142946174 1966),,,,,,,,,,(2.86787927463 3152),,(2.4020921697 3399),(2.87591709687 3509),,,,,,,,(1.21801975528 4434),,,
Point0,H4,,(1.95372720164 175),(3.23921351322 284),(6.31941376969 401),(5.21587614838 541),,(9.7699626167e-15 834),,,(3.85491032957 1173),,(5.85628814733 1413),(7.08995581395 1536),(4.52050982464 1673),(1.30261671815 1860),(1.94090616101 1989),(3.6479419707 2083),(6.3035545217 2196),,,,(-0.037583037111 2695),(1.42472517638 2807),(2.4587792361 2933),(3.64348237078 3037),(1.12955580732 3171),(4.08468558821 3265),(1.82758528212 3411),(2.35994977943 3526),(2.41438241744 3617),(1.55294804913 3744),(1.14345407141 3844),(3.2132200022 3965),(2.4429114775 4100),(1.10981193557 4207),(1.907337856 4319),(-8.881784197e-16 4450),(1.72277047063 4537),,
Point0,H5,,(3.01579895836 189),(3.31922427135 291),(6.34412256888 407),(5.26927830988 548),,(0.814395962322 849),,,(4.63237911091 1187),,(6.20501649659 1424),(7.78264958251 1548),(4.91093593154 1688),(1.70694396883 1870),(2.32799988357 1998),(4.04618004681 2097),(6.82547894528 2211),,,,(1.4310860333 2713),(3.26342629728 2829),(2.47335581472 2937),(3.94212008193 3049),(1.76787590336 3183),(4.85239034225 3281),(2.20143568528 3422),(2.36963054651 3530),(2.87716600109 3643),(2.29862077902 3758),(3.06555907243 3865),(3.39713126131 3975),(2.59241215384 4108),(1.72493583199 4222),(2.44380608313 4332),(1.38137727304 4465),(2.88956971077 4554),,
Point0,H6,(-0.0187938042318 108),(1.06581410364e-14 208),(-0.00828768072801 320),(-0.0196392054369 466),(-0.00491200139295 607),(-0.0234296221424 741),(9.7699626167e-15 834),(-0.0117230486491 975),(8.881784197e-16 1103),(-5.47296426321e-05 1225),(9.7699626167e-15 1342),(5.3290705182e-15 1468),(0.0 1604),(7.1054273576e-15 1742),(1.59872115546e-14 1884),(3.5527136788e-15 2013),(-0.00119567050093 2128),(-0.00877770050211 2255),(-0.0333543601728 2380),(-0.0550669160487 2468),(-0.0343089736055 2633),(-0.195953409553 2737),(8.881784197e-15 2847),(8.881784197e-15 2957),(7.1054273576e-15 3072),(-0.00645861636881 3198),(-9.7699626167e-15 3324),(5.3290705182e-15 3438),(0.0 3549),(-3.5527136788e-15 3662),(1.7763568394e-15 3776),(-8.881784197e-15 3898),(5.3290705182e-15 4013),(-1.06581410364e-14 4125),(5.3290705182e-15 4237),(-0.00856797737543 4352),(-8.881784197e-16 4450),(-0.0110695096295 4586),(-1.2836112019 4691),
Point1,H1,(14.1642392938 32),(16.3694685841 133),(19.4758371565 241),(23.2804599773 355),(21.9260855144 499),(21.9510807334 643),(19.1887320697 771),(18.2566590708 887),(20.7362623285 1008),(19.6128950837 1137),(22.4374423705 1253),(21.0418796091 1369),(22.2897619451 1496),(20.6829475908 1635),(18.0625512659 1778),(18.1523160516 1912),(18.8700364713 2038),(20.1734927755 2163),(20.2515641147 2284),(14.2388805482 2416),(17.6357944821 2547),(14.5331237431 2660),(14.2206100727 2770),(14.5983015899 2875),(17.2548052893 2985),(17.3031680553 3103),(16.8026104668 3228),(13.9678499351 3349),(13.7492500231 3463),(15.0101597729 3575),(12.9454510953 3689),(14.0911920153 3807),(15.9741342019 3924),(16.6215130611 4039),(13.6603644961 4151),(13.8148927249 4266),(11.9811110017 4383),(9.3232110275 4500),(12.3029387832 4612),(20.0764495704 4720),
Point1,H2,(3.0509187633 64),,,,,,(1.35489131041 811),,,,(6.84231738461 1291),,,,(6.35861088375 1813),(4.94887848178 1953),,(7.25770117537 2200),(4.83750408446 2325),,,,,,,(3.39967228247 3139),,(1.86663781368 3388),(3.49302071006 3501),(2.72870137207 3612),,(0.0 3843),,,,,(-0.0694626023975 4424),(-1.24354278784 4537),,
Point1,H3,(3.09854238715 70),,,,,,(1.49883962827 818),,,,(6.94536264295 1298),,,,(6.40298245166 1819),(5.87227816308 1966),,(7.3353611544 2207),(4.94869381725 2332),,,,,,,(3.96493052738 3151),,(2.12463275257 3398),(3.64601680912 3509),(2.92083769636 3621),,(1.7548232727 3863),,,,,(0.0648405988743 4434),(0.0492133619723 4559),,
Point1,H4,,(2.32931886856 174),(4.10985265068 283),,,(6.64948865336 675),(0.197225797585 836),,(5.35119597227 1046),(4.90211686962 1174),,(5.91285585667 1411),(7.10947998649 1535),(4.79684226566 1679),(1.01674525637 1857),(2.26292202966 1988),(4.6238134568 2081),,(1.84720770361 2358),,(4.21451464008 2586),(1.15331247012 2694),(1.39802589312 2809),(2.93187902862 2928),(3.89409271244 3037),(1.25387885137 3171),(3.91521764128 3263),(1.62076450902 3412),(3.19164359236 3525),(2.60035401157 3633),(1.61140857998 3744),(1.21459040914 3876),(3.65054505881 3963),,(1.02487393745 4205),(1.73019864223 4314),(-0.433251652753 4449),(0.0422175054502 4563),,
