Cycle,0.779456521739
Average Width,0.0
Width,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
Point0,H1,(12.1811706293 124),(7.32662362314 300),(8.58470784664 469),(10.3645949763 634),(9.97087972145 807),(10.0853142008 970),(8.2285722724 1130),(7.72075401531 1291),(11.2368290938 1458),(10.2134915303 1623),(9.70561258722 1784),(8.38240571087 1949),(8.93630422357 2119),(8.85300701188 2279),(7.14984283747 2450),(7.89410411774 2556),(10.2391089775 2619),(8.79602491493 2789),(11.1690490839 2951),(5.19084387902 3130),(8.58329440316 3288),(4.74374625584 3468),(10.2374429275 3604),(7.3382339703 3802),
Point0,H2,(-9.7699626167e-15 169),(-3.99680288865e-15 326),,,,(8.881784197e-15 997),,,(-0.00270000129091 1491),,,(-0.00186497326043 1985),(-0.000542459050706 2153),(2.22044604925e-15 2331),,(5.95870486804 2575),(-8.881784197e-16 2650),,(1.7763568394e-15 2993),,,,,,
Point0,H3,(3.01886160901 190),(4.20594083334 366),,,,(5.26474042128 1042),,,(4.58922957574 1535),,,(7.42593034064 2046),(3.35763431536 2189),(1.97189484197 2354),,(7.46147601777 2593),(2.34249708621 2684),,(3.52516988544 3016),,,,,,
Point0,H4,(1.7452797276 205),(2.91783092747 385),,(-0.00623829308325 678),(-3.5527136788e-15 835),(5.19968726166 1050),,,(4.43650528371 1546),,(3.10862446895e-15 1830),(7.12234114523 2059),(2.23948353759 2208),(1.83028833652 2363),,,(1.32069796511 2698),,(0.761820310817 3040),(1.7763568394e-15 3158),(-0.0565582517273 3336),,,,
Point0,H5,(4.85096908974 247),(4.95861143973 418),,(3.50459994485 703),(7.75487619972 938),(7.78351882883 1100),,,(5.32886874809 1566),,(6.88706461715 1915),(8.48936623061 2084),(8.7270116039 2259),(2.81273831384 2383),,,(5.55987276853 2720),,(2.60026511411 3068),(7.42486655142 3232),(2.4737109799 3362),,,,
Point0,H6,(-9.7699626167e-15 169),(-3.99680288865e-15 326),(0.0 496),(-0.00623829308325 678),(-3.5527136788e-15 835),(8.881784197e-15 997),(5.3290705182e-15 1158),(8.881784197e-16 1326),(-0.00270000129091 1491),(-0.0111550488531 1652),(3.10862446895e-15 1830),(-0.00186497326043 1985),(-0.000542459050706 2153),(2.22044604925e-15 2331),(1.7763568394e-15 2483),(-8.881784197e-16 2650),(1.7763568394e-15 2821),(1.7763568394e-15 2993),(1.7763568394e-15 3158),(-0.0565582517273 3336),(-0.0129658480617 3420),(-0.126967960361 3500),(-0.0191030600131 3668),(5.3290705182e-15 3837),
Point1,H1,(10.0007148953 30),(10.693111788 193),(12.2024392993 356),(10.9957107279 529),(10.6435211525 697),(11.063730299 866),(10.4627061209 1026),(12.415128844 1187),(11.0086311885 1349),(8.42305028171 1519),(9.52770349118 1680),(9.63380753834 1840),(10.0212805343 2004),(9.56710094493 2172),(9.99159024739 2337),(9.79931470417 2503),(10.6114411859 2674),(9.88749516236 2848),(7.23353737463 3010),(7.0229129527 3173),(9.59337299624 3347),(9.28429829196 3521),(6.33234388652 3687),(5.44007162978 3862),
Point1,H2,(-0.000719428550404 71),,,(-0.00707575730623 583),,(1.93371048017 928),(-0.0271613390683 1096),(-1.7763568394e-15 1265),(-1.02140518266e-14 1424),,,(6.41811329159 1863),(7.8375216423 2045),,,(6.87804180219 2542),,,(2.3148226726 3066),(6.49550105967 3186),(8.04121258315 3366),,(2.70360295056 3740),,
Point1,H3,(1.34882370242 94),,,(3.01080164172 622),,(2.08324255949 940),(1.38793904659 1122),(0.576667283902 1279),(0.903417092792 1444),,,(6.71774517531 1875),(7.88627952933 2052),,,(7.10704557193 2555),,,(2.48715921774 3081),(6.77827504837 3198),(8.05844156496 3370),,(3.10787888058 3757),,
Point1,H4,(0.864557374763 112),,(-0.00704668689968 450),(2.63140247971 633),(1.33226762955e-15 780),(1.17812768474 969),(1.25477643333 1130),(0.359928876163 1288),(0.890404938776 1448),(-4.4408920985e-15 1609),,(0.558818902141 1950),(1.61638478442 2111),,,(-8.881784197e-16 2619),,,(1.13054119091 3114),,,,(1.77531030223 3785),,
Point1,H5,(3.86968768405 139),,(2.02652442412 483),(4.66365535606 650),(2.36158960643 822),(2.17364834204 985),(1.94239330675 1145),(2.81142270582 1307),(1.75085978512 1466),(1.98697653522 1628),,(1.24001745463 1963),(1.9930099138 2121),,,(1.20648305231 2635),,,(1.53245521876 3128),,,,(2.1044568575 3799),,
Point1,H6,(-0.000719428550404 71),(0.0 161),(-0.0118140764211 267),(-0.00704668689968 450),(-0.00707575730623 583),(-5.3290705182e-15 669),(1.33226762955e-15 780),(-2.22044604925e-15 1001),(-0.0271613390683 1096),(-0.0109848907609 1160),(-1.7763568394e-15 1265),(-1.7763568394e-15 1323),(-1.02140518266e-14 1424),(-0.0129750772556 1483),(-4.4408920985e-15 1609),(2.22044604925e-15 1805),(4.4408920985e-15 1977),(-7.9936057773e-15 2139),(-0.000869290475882 2303),(-0.00398006172476 2474),(-8.881784197e-16 2619),(-2.6645352591e-15 2810),(0.0 2983),(-0.000605624896537 3145),(-8.881784197e-16 3317),(0.0 3483),(8.881784197e-16 3659),(-3.99680288865e-15 3823),
