Cycle,0.704637681159
Average Width,5.03775739822
Width,,4.99099939317,4.86002898716,4.90233869758,5.68266463694,4.51411222445,4.58882232727,5.12901003485,6.22788089492,5.12993457418,5.65294188539,4.56699270937,6.27407857449,4.49126457118,5.54793958464,4.16632900821,5.00421439176,4.37025997715,4.84212419317,5.57721578857,4.83752941482,5.80012311635,6.01228916558,5.74008273032,4.93266775445
Point0,H1,(14.1969367083 114),(12.5557479501 271),(11.3803083718 424),(10.2493640116 566),(9.39927506962 708),(10.1911996269 844),(12.1125735043 985),(12.3975056306 1137),(12.6501181586 1286),(10.3269777226 1430),(10.0839413716 1581),(11.1302088022 1736),(8.81780623114 1893),(7.54248759916 2034),(12.8648181822 2180),(13.4555124876 2328),(12.0653499455 2481),(13.9412859459 2627),(13.9357740663 2772),(15.5921394823 2921),(14.2650666635 3075),(14.5986081283 3222),(12.7220518391 3364),(16.4466850632 3512),
Point0,H2,,,,(1.7763568394e-15 609),,(0.319794868996 874),(-0.0224806174645 1017),(2.4222284616 1164),,,,(-0.00903716010619 1778),(-1.99840144433e-15 1919),(-1.7763568394e-15 2059),,,(2.22044604925e-14 2510),(1.59872115546e-14 2656),(3.99680288865e-15 2802),(-1.11022302463e-14 2957),,,,,
Point0,H3,,,,(1.25742116363 628),,(2.27837254393 892),(1.96946479854 1037),(3.47196416874 1176),,,,(0.202528149298 1791),(2.29919954467 1954),(1.30655150771 2073),,,(2.53324913807 2531),(1.99358733943 2685),(1.55017270686 2829),(1.06404943716 2973),,,,,
Point0,H4,,,,(0.650743036003 641),,(0.112693083774 928),(0.664045051636 1073),(1.89330109031 1195),,,,(-0.20633120588 1811),(1.23282116001 1972),(0.616257488857 2085),,,(1.00394910243 2553),(0.701658583413 2705),(1.00097407705 2845),(0.51075974701 2987),(0.793625635063 3143),(-0.0169169106603 3278),,,
Point0,H5,,,,(1.96293231552 660),,(0.681868692831 944),(1.51410561259 1088),(1.95729830862 1202),,,,(1.29499495371 1839),(1.56763189494 1985),(3.47913954943 2127),,,(3.25457100819 2576),(1.49067167466 2722),(1.64460824415 2861),(3.44587568983 3022),(2.09938281321 3164),(4.15950323575 3310),,,
Point0,H6,(-2.6645352591e-15 80),(-2.22044604925e-15 166),(-5.3290705182e-15 240),(-0.00121778658543 303),(4.21884749358e-15 397),(-1.7763568394e-15 457),(1.7763568394e-15 609),(0.498552660536 678),(-0.00357543743731 736),(2.22044604925e-16 817),(6.2172489379e-15 956),(-0.0224806174645 1017),(-0.00252929594286 1104),(-0.00761816872239 1239),(-0.0359109854353 1329),(-0.0114763972053 1401),(-0.000567482771833 1460),(-5.77315972805e-15 1553),(-0.0162822714827 1610),(-0.20633120588 1811),(-1.99840144433e-15 1919),(0.894680172693 2002),(-1.7763568394e-15 2059),(-1.64313007645e-14 2301),(-0.00688599088842 2364),(1.11022302463e-14 2449),(2.22044604925e-14 2510),(1.59872115546e-14 2656),(3.99680288865e-15 2802),(0.0 2889),(-1.11022302463e-14 2957),(-1.7763568394e-15 3190),(-0.0169169106603 3278),(-0.00751980955735 3393),(-0.494985159991 3554),
Point1,H1,(15.4520220032 113),(14.2957710599 269),(12.772348091 423),(10.8855428662 565),(10.9521290483 707),(11.8166059865 843),(13.7000209969 983),(13.4415876597 1136),(13.9736226197 1285),(11.1186017851 1428),(11.8056655819 1579),(12.1139442303 1734),(9.52307687159 1892),(8.16186241327 2033),(13.828481584 2179),(14.9437251837 2327),(14.2044658336 2479),(15.1710295221 2626),(14.7570408245 2770),(17.3561588096 2919),(14.9541864332 3073),(15.1509443515 3221),(13.8434100663 3363),(18.3135685656 3510),
Point1,H2,,,,,,,,(2.16611006571 1165),(-0.0206326011028 1327),,,(-0.00421852600656 1776),(-3.99680288865e-15 1918),(-3.5527136788e-15 2059),,,(7.1054273576e-15 2508),(1.7763568394e-15 2654),(-0.000302681856591 2801),(3.5527136788e-15 2957),(1.37786380341 3104),,,,
Point1,H3,,,,,,,,(2.72923835213 1175),(0.713613001559 1344),,,(0.321047431724 1790),(1.4037868257 1952),(1.32244597945 2075),,,(2.65975024151 2529),(1.95977779138 2687),(1.20867133851 2832),(1.42700807213 2976),(1.51427356936 3110),,,,
Point1,H4,,,,,,,,(1.52382650813 1194),(0.000940258677499 1361),,,(-0.134701856188 1814),(0.70421787034 1970),(1.18777021186 2083),,,(1.16642499786 2555),(0.105374473154 2707),(1.06013035932 2842),(0.991216996529 2993),(-0.251248458247 3140),(0.0 3267),,,
Point1,H5,,,,,,,,(1.54689624359 1199),(0.221985142066 1372),,,(1.09559202751 1841),(0.905763668041 1981),(3.7801866731 2128),,,(3.15628033792 2577),(0.941897649708 2722),(1.6226224921 2858),(2.60104284254 3022),(1.27529944699 3164),(3.10963748283 3313),,,
