Cycle,0.676679549114
Average Width,3.24312914395
Width,,2.9673756776,2.50254272929,3.1878947051,3.20845557299,3.30204892828,3.16917825056,3.40395292223,3.24285423019,3.1969347754,3.27217843676,3.38352193066,3.31919503815,3.15743861946,3.70563875897,3.49738506845,3.18540391632,3.3110781207,3.34406694423,3.50040869243,3.22628134328,3.67359874799,3.31877336069,3.18698519072,3.26889866953,3.39851713035,3.35466751223,3.16131118054,3.80703867626,3.07131585077,3.2811640205,3.45112956907,3.23703650355,3.28297554311,3.24314869018,3.42731553827,3.08526142249,3.56217083521,3.16516499937,3.14297039141,3.52980029062,3.27639083235,2.96354802476,3.32468759602,3.50380458949,2.83458182304,3.5446308702
Point0,H1,(11.698880679 72),(14.1389362122 220),(12.1693336743 366),(10.5708562535 510),(10.6891992169 650),(13.3463065756 795),(11.0011604182 947),(9.78761648316 1083),(10.0762109574 1224),(9.58014606015 1370),(11.0208499747 1516),(9.82007754003 1646),(9.62095026777 1789),(10.1822582871 1936),(8.22736637485 2067),(11.5682343379 2203),(7.77572590913 2344),(9.54173522185 2477),(11.347953785 2604),(10.8423947553 2744),(9.85274245703 2884),(9.85393028534 3021),(11.0206766522 3149),(9.89503384843 3286),(9.91381435048 3418),(10.5035105306 3555),(10.1420171113 3694),(7.62028299222 3832),(9.98369660644 3962),(9.10897962389 4098),(10.0309835303 4235),(10.7014284037 4377),(8.55367289269 4522),(9.6013337357 4666),(8.90276012907 4803),(9.71845060713 4942),(9.67086790828 5083),(9.37854237 5210),(10.0198136462 5349),(9.6766983168 5491),(8.93219458553 5621),(10.2125475139 5755),(10.2994272904 5901),(9.57457256026 6032),(9.50067305442 6184),(8.77025939499 6325),
Point0,H2,(2.15217045796 102),,,,(2.87964082621 702),,(4.87043849434 982),,,(2.69871881917 1415),,,,(4.67690557361 1977),(2.81045025925 2100),,(3.25572027328 2374),,,(6.1040588644 2772),,(3.4292798671 3064),,,(3.03186236684 3467),,(4.14890824965 3735),(2.56865834261 3861),,(3.36023369579 4138),,,,,(4.01194798364 4838),(3.99765280332 4980),,,,(4.13169529013 5529),,(3.12049409604 5798),,,(4.08789831721 6220),,
Point0,H3,(4.00997275852 129),,,,(2.89815663081 706),,(4.97114752074 991),,,(2.98487519583 1426),,,,(4.70312715988 1983),(3.23802106364 2114),,(3.33153679653 2382),,,(6.11717961604 2775),,(3.64858052449 3074),,,(3.10919144468 3474),,(4.27713650234 3744),(3.47287008776 3877),,(3.49124823877 4147),,,,,(4.11681059798 4847),(4.15676332123 4990),,,,(4.25814362094 5538),,(3.31646468644 5809),,,(4.13765221382 6229),,
Point0,H4,(1.79126298496 168),(1.83873768644 312),(1.43112057586 457),,(0.704476966021 746),(1.71568024666 889),,,(1.57582172411 1304),(0.514549194655 1463),,(3.63961852278 1688),(1.7803065575 1881),,(0.371460094803 2155),(4.50771544528 2249),(0.632684198705 2424),,,,(0.859402912079 2969),(1.17616199994 3099),(4.50583927061 3191),,(1.1585263131 3497),,,,(1.6042324499 4041),(0.393296287176 4185),,,(1.39522464097 4594),(1.13748907474 4745),(1.39944620585 4887),,,(1.5077510076 5291),(1.58696730487 5432),(2.02643754157 5563),(-0.000359051072847 5706),(1.0636949104 5847),(3.47722280651 5946),,(1.74129458836 6265),,
Point0,H5,(1.86221348791 175),(2.08898564861 322),(1.67976532077 467),,(0.822858268054 754),(1.90184294895 898),,,(1.66223448666 1312),(0.888809837141 1475),,(3.83895032704 1698),(1.85820377172 1888),,(0.450892749242 2163),(4.56932223503 2256),(0.85563532032 2434),,,,(1.29751329765 2980),(1.27706783816 3106),(4.9854597318 3204),,(1.3192250462 3506),,,,(1.67951386679 4049),(0.642186449776 4196),,,(1.50114467876 4604),(1.25154832785 4753),(1.75471849495 4898),,,(1.50933921667 5293),(2.00502750413 5443),(2.0726318383 5569),(0.294988006371 5718),(1.37667000994 5858),(3.70459391274 5956),,(1.81149111054 6272),,
Point0,H6,(-0.549792458134 40),(1.7763568394e-15 193),(4.4408920985e-15 339),(-0.00504171683081 483),(-0.164648438243 618),(-0.00197186885405 767),(-0.0013985113915 916),(1.33226762955e-15 1055),(1.7763568394e-15 1188),(8.881784197e-15 1339),(-8.881784197e-16 1488),(0.0 1618),(2.6645352591e-15 1761),(-0.00175966396763 1907),(6.2172489379e-15 2035),(-2.22044604925e-14 2174),(-2.0872192863e-14 2310),(-0.00431046061412 2448),(-5.3290705182e-15 2576),(-8.881784197e-16 2708),(-5.3290705182e-15 2851),(-4.88498130835e-15 2994),(-0.00219016486469 3121),(2.6645352591e-15 3253),(-3.10862446895e-15 3390),(-0.00364028039095 3522),(-1.50990331349e-14 3666),(-1.7763568394e-14 3799),(-2.6645352591e-15 3927),(9.7699626167e-15 4067),(-3.99680288865e-15 4208),(-8.881784197e-16 4343),(-0.00150253537317 4491),(-0.00241135005506 4635),(-1.11022302463e-14 4771),(-7.1054273576e-15 4915),(7.54951656745e-15 5055),(-2.6645352591e-15 5176),(7.9936057773e-15 5315),(8.881784197e-16 5460),(4.4408920985e-15 5589),(-0.000359051072847 5706),(8.881784197e-16 5874),(6.66133814775e-15 6001),(-1.7763568394e-15 6148),(-2.22044604925e-15 6292),
Point1,H1,(17.4147218603 70),(24.0367137448 217),(22.8726306499 365),(22.8931580032 508),(22.3795238843 648),(24.0457004543 793),(21.7106683389 945),(21.0685581021 1080),(22.2904383228 1222),(21.9845230996 1367),(22.3119714585 1514),(21.8544278296 1644),(22.5038176972 1788),(21.2131666429 1935),(20.0514366858 2065),(23.1932214413 2201),(20.5544843156 2342),(21.6093034862 2475),(22.0944741998 2602),(23.0878924119 2743),(20.6166642035 2883),(20.8463500823 3018),(22.037004415 3147),(21.5390815738 3284),(20.8602089688 3417),(20.8792875699 3552),(22.2987754431 3692),(18.4519414222 3829),(21.6685664168 3960),(20.8796162185 4095),(20.8196466702 4233),(20.933702343 4376),(19.2707072527 4520),(20.2591796639 4664),(19.017718934 4801),(20.3975330838 4939),(18.3059036114 5081),(18.9660171654 5208),(20.0139319578 5348),(19.3986719127 5489),(17.7240871987 5619),(20.2861265779 5753),(19.4744433814 5899),(17.3598100847 6030),(19.6075715591 6182),(16.8496411842 6323),
Point1,H2,(3.58270582274 97),(8.88005148159 262),,,,(10.0456310647 838),(9.43315362183 981),,,,,(8.3420581129 1685),(9.23953548504 1829),,(7.54180638066 2100),,,,,,,(7.39288610481 3064),,,,(9.8646713857 3590),,(6.37919687921 3858),,(8.19316311713 4136),,,,,(7.98485625257 4835),,,,,(7.51841969042 5527),(6.41458115489 5656),(6.77888302456 5798),,,,,
Point1,H3,(5.50107309734 123),(8.98727201571 269),,,,(10.1864168163 845),(9.50743484225 986),,,,,(8.56529319467 1694),(9.37303260557 1836),,(7.76567571961 2109),,,,,,,(7.59412669318 3072),,,,(10.0042934811 3597),,(7.36888708431 3872),,(8.24091865224 4141),,,,,(8.23195275117 4844),,,,,(7.92363214746 5537),(6.4395711106 5660),(6.90654256681 5806),,,,,
Point1,H4,(1.57689755367 166),(2.96182550163 309),(3.7246192273 455),,(0.926050430906 744),(3.31205743778 885),,(7.50644599987 1124),,(1.14416423218 1462),(3.46062512443 1595),(3.03581910959 1733),(3.23281042032 1878),(9.31463183957 1973),,(8.80836063461 2250),(1.99846867298 2424),,,(3.95526894175 2824),(2.2225568589 2966),(2.65478445395 3098),(7.90903184206 3191),,(2.95585431298 3495),(2.92451458394 3637),(8.34438090369 3733),,(3.68433287068 4040),(1.95193297343 4187),,,,(2.97135608221 4745),(2.89156880201 4885),,,(2.45982705923 5286),(2.85004718453 5430),,,(2.59092380156 5844),,(2.97437946493 6119),(2.40192810364 6263),,
