Cycle,0.803475783476
Average Width,5.61862017504
Width,,5.6820433388,5.73122769795,5.80458009427,5.70670345832,5.77539524859,5.96078460926,5.97860143007,5.68110958726,5.88120909806,5.83395736657,5.53072990539,5.81215642808,5.60075448098,5.57353861542,5.76064485181,5.47794449893,5.59796512656,5.64916907271,5.50034434259,5.50836368365,5.51442850607,5.45916617359,5.3045072862,5.39912204121,5.45295627893,5.49889805883,5.28775087176
Point0,H1,(10.0585763174 34),(9.84086380221 192),(10.867323419 359),(10.3453484431 535),(10.1646611541 704),(11.2394488387 880),(9.32719784887 1046),(10.4261610763 1216),(11.2296009974 1385),(9.2971854232 1545),(10.4505584331 1716),(9.27642252681 1892),(8.69445060414 2056),(10.3440066845 2234),(9.09285427105 2405),(8.87184125963 2574),(9.63260138296 2741),(8.79361725091 2902),(7.49916072866 3062),(8.16764748194 3228),(8.79363316014 3381),(7.93391455952 3548),(7.65637700116 3712),(8.72111612452 3874),(8.60955546278 4039),(7.66952504762 4210),(8.26497547596 4371),
Point0,H2,(5.80467922872 58),,,(5.87302621176 565),,(7.06098073253 905),(5.74460541657 1075),,(7.51137287467 1420),,(6.80507086552 1739),(5.68609593788 1917),,(6.33969713303 2266),,,(6.24687059286 2768),(4.08865256812 2932),,(3.1719264006 3261),(5.27968572633 3406),(5.24166523635 3584),(3.15303155094 3736),(4.48132159072 3899),,,
Point0,H3,(5.94295941561 67),,,(6.07145614308 576),,(7.74627527475 920),(5.85911997761 1086),,(7.7285188984 1431),,(7.02472190535 1749),(6.31130263696 1934),,(6.67463856279 2279),,,(6.31127172655 2782),(4.56256938194 2946),,(4.36326033122 3279),(5.85815019192 3425),(5.38656136934 3595),(4.15671454706 3757),(4.90357775511 3913),,,
Point0,H4,(2.22872669983 124),(6.23143381034 219),(6.89352674843 393),(1.94942797886 641),(6.13135476319 730),(1.28150196272 998),(1.53045038428 1153),,(2.13674166565 1492),(5.28174923658 1581),,(1.00645479921 2002),,(1.51837693704 2337),(5.54021905538 2430),(5.39906021078 2601),(0.797380634065 2848),(0.0961757971904 3003),,(0.439167633292 3327),(1.98717721051 3488),(0.934019267627 3648),(1.05534946807 3809),(1.32695393001 3979),(4.93484496218 4066),,
Point0,H5,(2.54002634993 136),(6.50919684437 231),(7.0354372998 404),(1.97999773672 647),(6.72999522708 744),(1.28716206461 1001),(1.58838358971 1161),,(2.16378962597 1497),(5.73763586976 1596),,(1.14509444319 2011),,(2.11435096448 2352),(6.41314328103 2453),(6.47309899692 2620),(1.04981306249 2859),(0.273304954839 3019),,(0.822679784916 3340),(2.17693682828 3498),(1.23684642314 3660),(1.22569011242 3820),(1.56316480725 3992),(6.17445364093 4088),,
Point0,H6,(1.7763568394e-15 159),(-0.00175038630934 329),(7.1054273576e-15 504),(3.5527136788e-15 670),(1.7763568394e-15 843),(4.4408920985e-15 1018),(5.3290705182e-15 1181),(7.1054273576e-15 1355),(-0.00288066357402 1517),(8.881784197e-15 1682),(-0.000473716318593 1859),(-1.33226762955e-15 2027),(-8.881784197e-16 2203),(8.881784197e-16 2375),(5.3290705182e-15 2540),(3.5527136788e-15 2713),(-3.10862446895e-15 2874),(-4.4408920985e-15 3031),(-8.881784197e-16 3197),(-0.000479862846726 3353),(5.3290705182e-15 3518),(5.3290705182e-15 3680),(-0.00132253478864 3840),(0.0 4011),(5.3290705182e-15 4176),(4.4408920985e-15 4338),
Point1,H1,(16.1376930528 34),(15.4305874524 192),(17.3865701174 358),(16.5563050282 535),(16.5959930436 703),(17.0477178992 879),(16.0074843941 1046),(16.7386131173 1214),(17.4540933176 1384),(15.5391823467 1544),(17.2086890345 1715),(15.6077821384 1891),(15.6436810646 2055),(17.0105134897 2232),(15.994779182 2405),(15.6643582575 2572),(16.1029623772 2741),(15.5527201495 2901),(14.3262916653 3061),(14.4616326534 3226),(15.4156478797 3381),(15.4735408735 3546),(14.8969150742 3713),(15.5274080986 3874),(15.7861125395 4039),(14.7813839013 4209),(16.038360457 4371),
Point1,H2,(8.42723559305 58),,,(8.7672615919 565),(9.23755035736 730),,(8.24909478444 1074),,,,(9.69604465017 1741),,,,,,(8.78797741121 2766),(6.17570170615 2930),,(5.91633929099 3259),(8.0892145587 3407),(8.72817488945 3578),(6.30547642149 3737),(7.35578879387 3898),(7.89145543965 4068),,
Point1,H3,(9.4735033616 72),,,(9.2909940074 578),(10.533711359 745),,(9.67186015079 1092),,,,(10.6375841506 1757),,,,,,(10.0027893538 2785),(7.85575567857 2949),,(7.89883688408 3277),(8.65324336593 3427),(9.30466433822 3592),(8.43336413815 3756),(8.99459147178 3916),(10.1292520052 4089),,
Point1,H4,(2.64099099442 130),(8.93680082902 218),(10.1081047729 396),(3.28569708553 641),(2.89674843834 816),(10.1812027055 904),(2.7875640045 1154),,(10.0550355075 1415),(8.12145010589 1575),(3.01808269056 1824),(8.3332296636 1916),(8.95224667188 2083),(9.80369410298 2263),(8.02590561261 2430),(8.52625178362 2601),(1.86255190245 2852),(7.1054273576e-15 3007),,(0.166638007759 3330),(2.35319644021 3488),(2.28240427418 3649),(1.96523894208 3809),(1.53312497729 3989),(3.28787339307 4144),,
